seed,beta,repeat,probe_sha256,matches_seed_reference,boundary_max_abs_diff,probe_progress_m,boundary_vx_mps,boundary_vy_mps,boundary_yaw_rate_rps,boundary_base_z_m,boundary_roll_rad,boundary_pitch_rad,boundary_safety_state,first_policy_requested_normalized
13,lm100_ls000_le000,0,d5e5b77ae5582f4ee40e6be2a7171fed98b8b573a233dadaeeadb046b145f2c3,1,0.0,0.20416568645496858,0.2598586082458496,0.04341932758688927,0.04530845209956169,0.5494943261146545,0.001798038138076663,0.14505279064178467,watch,"[0.06889846920967102, 0.03867524117231369, -0.01456784550100565, 0.0]"
13,lm100_ls000_le000,1,d5e5b77ae5582f4ee40e6be2a7171fed98b8b573a233dadaeeadb046b145f2c3,1,0.0,0.20416568645496858,0.2598586082458496,0.04341932758688927,0.04530845209956169,0.5494943261146545,0.001798038138076663,0.14505279064178467,watch,"[0.06889846920967102, 0.03867524117231369, -0.01456784550100565, 0.0]"
13,lm100_ls000_le000,2,d5e5b77ae5582f4ee40e6be2a7171fed98b8b573a233dadaeeadb046b145f2c3,1,0.0,0.20416568645496858,0.2598586082458496,0.04341932758688927,0.04530845209956169,0.5494943261146545,0.001798038138076663,0.14505279064178467,watch,"[0.06889846920967102, 0.03867524117231369, -0.01456784550100565, 0.0]"
13,lm000_ls100_le000,0,d5e5b77ae5582f4ee40e6be2a7171fed98b8b573a233dadaeeadb046b145f2c3,1,0.0,0.20416568645496858,0.2598586082458496,0.04341932758688927,0.04530845209956169,0.5494943261146545,0.001798038138076663,0.14505279064178467,watch,"[0.06859327852725983, 0.03591860458254814, -0.01907343976199627, 0.0]"
13,lm000_ls100_le000,1,d5e5b77ae5582f4ee40e6be2a7171fed98b8b573a233dadaeeadb046b145f2c3,1,0.0,0.20416568645496858,0.2598586082458496,0.04341932758688927,0.04530845209956169,0.5494943261146545,0.001798038138076663,0.14505279064178467,watch,"[0.06859327852725983, 0.03591860458254814, -0.01907343976199627, 0.0]"
13,lm000_ls100_le000,2,d5e5b77ae5582f4ee40e6be2a7171fed98b8b573a233dadaeeadb046b145f2c3,1,0.0,0.20416568645496858,0.2598586082458496,0.04341932758688927,0.04530845209956169,0.5494943261146545,0.001798038138076663,0.14505279064178467,watch,"[0.06859327852725983, 0.03591860458254814, -0.01907343976199627, 0.0]"
13,lm000_ls000_le100,0,d5e5b77ae5582f4ee40e6be2a7171fed98b8b573a233dadaeeadb046b145f2c3,1,0.0,0.20416568645496858,0.2598586082458496,0.04341932758688927,0.04530845209956169,0.5494943261146545,0.001798038138076663,0.14505279064178467,watch,"[0.04641648381948471, 0.04030881077051163, 8.281506597995758e-05, 0.0]"
13,lm000_ls000_le100,1,d5e5b77ae5582f4ee40e6be2a7171fed98b8b573a233dadaeeadb046b145f2c3,1,0.0,0.20416568645496858,0.2598586082458496,0.04341932758688927,0.04530845209956169,0.5494943261146545,0.001798038138076663,0.14505279064178467,watch,"[0.04641648381948471, 0.04030881077051163, 8.281506597995758e-05, 0.0]"
13,lm000_ls000_le100,2,d5e5b77ae5582f4ee40e6be2a7171fed98b8b573a233dadaeeadb046b145f2c3,1,0.0,0.20416568645496858,0.2598586082458496,0.04341932758688927,0.04530845209956169,0.5494943261146545,0.001798038138076663,0.14505279064178467,watch,"[0.04641648381948471, 0.04030881077051163, 8.281506597995758e-05, 0.0]"
13,lm040_ls040_le020,0,d5e5b77ae5582f4ee40e6be2a7171fed98b8b573a233dadaeeadb046b145f2c3,1,0.0,0.20416568645496858,0.2598586082458496,0.04341932758688927,0.04530845209956169,0.5494943261146545,0.001798038138076663,0.14505279064178467,watch,"[0.06337349861860275, 0.03807488828897476, -0.012744801118969917, 0.0]"
