suite,split,heldout,base_tag,n_train,n_test,l1,target_beta,pred_beta
ram_ref_context_g3,leave_one_condition,m060,,19,3,0.2530513418530777,"(0.4489, 0.2333, 0.3178)","(0.3224, 0.2781, 0.3995)"
ram_ref_context_g3,leave_one_condition,p015,,19,3,0.4256914710167776,"(0.3672, 0.2869, 0.3460)","(0.3225, 0.4369, 0.2407)"
ram_ref_context_g3,leave_one_condition,p030,,19,3,0.22123758329845714,"(0.4623, 0.3365, 0.2012)","(0.3927, 0.3251, 0.2823)"
ram_ref_context_g3,leave_one_condition,p045,,21,1,0.4863462807462719,"(0.5711, 0.3831, 0.0458)","(0.4397, 0.2713, 0.2890)"
ram_ref_context_g3,leave_one_condition,p060,,19,3,0.7278462159829407,"(0.0265, 0.5573, 0.4162)","(0.3707, 0.2788, 0.3504)"
ram_ref_context_g3,leave_one_rollout,clean,clean,21,1,0.0483925980393356,"(0.3655, 0.2691, 0.3655)","(0.3458, 0.2645, 0.3897)"
ram_ref_context_g3,leave_one_rollout,clean_r1,clean,21,1,0.5586834946521944,"(0.3655, 0.2691, 0.3655)","(0.0861, 0.5037, 0.4102)"
ram_ref_context_g3,leave_one_rollout,clean_r2,clean,21,1,0.1834830182900598,"(0.3655, 0.2691, 0.3655)","(0.4344, 0.2919, 0.2737)"
ram_ref_context_g3,leave_one_rollout,m015,m015,21,1,0.16538496347665965,"(0.4287, 0.2704, 0.3009)","(0.4406, 0.3412, 0.2182)"
ram_ref_context_g3,leave_one_rollout,m015_r1,m015,21,1,0.20621861334965033,"(0.4287, 0.2704, 0.3009)","(0.4804, 0.1673, 0.3523)"
ram_ref_context_g3,leave_one_rollout,m015_r2,m015,21,1,0.857354561483441,"(0.4287, 0.2704, 0.3009)","(0.0000, 0.5383, 0.4617)"
ram_ref_context_g3,leave_one_rollout,m030,m030,21,1,0.09203983032342378,"(0.3313, 0.1809, 0.4878)","(0.3042, 0.2270, 0.4688)"
ram_ref_context_g3,leave_one_rollout,m030_r1,m030,21,1,0.25769685808765025,"(0.3313, 0.1809, 0.4878)","(0.3722, 0.2688, 0.3590)"
ram_ref_context_g3,leave_one_rollout,m030_r2,m030,21,1,0.47683468336305423,"(0.3313, 0.1809, 0.4878)","(0.4742, 0.2765, 0.2494)"
ram_ref_context_g3,leave_one_rollout,m060,m060,21,1,0.1108692949237298,"(0.4489, 0.2333, 0.3178)","(0.3935, 0.2596, 0.3469)"
ram_ref_context_g3,leave_one_rollout,m060_r1,m060,21,1,0.3544692935540541,"(0.4489, 0.2333, 0.3178)","(0.2717, 0.2746, 0.4537)"
ram_ref_context_g3,leave_one_rollout,m060_r2,m060,21,1,0.039812143300752445,"(0.4489, 0.2333, 0.3178)","(0.4687, 0.2335, 0.2979)"
ram_ref_context_g3,leave_one_rollout,p015,p015,21,1,0.20225354922979905,"(0.3672, 0.2869, 0.3460)","(0.4137, 0.3414, 0.2448)"
ram_ref_context_g3,leave_one_rollout,p015_r1,p015,21,1,0.6615375825246288,"(0.3672, 0.2869, 0.3460)","(0.0517, 0.6176, 0.3307)"
ram_ref_context_g3,leave_one_rollout,p015_r2,p015,21,1,0.4540449015423629,"(0.3672, 0.2869, 0.3460)","(0.5303, 0.3507, 0.1190)"
ram_ref_context_g3,leave_one_rollout,p030,p030,21,1,0.24004759991392977,"(0.4623, 0.3365, 0.2012)","(0.4507, 0.2281, 0.3212)"
ram_ref_context_g3,leave_one_rollout,p030_r1,p030,21,1,0.24676590193958645,"(0.4623, 0.3365, 0.2012)","(0.3571, 0.4598, 0.1830)"
ram_ref_context_g3,leave_one_rollout,p030_r2,p030,21,1,0.23449634274896755,"(0.4623, 0.3365, 0.2012)","(0.3653, 0.3163, 0.3185)"
ram_ref_context_g3,leave_one_rollout,p045,p045,21,1,0.4863462807462719,"(0.5711, 0.3831, 0.0458)","(0.4397, 0.2713, 0.2890)"
ram_ref_context_g3,leave_one_rollout,p060,p060,21,1,1.1657743717954114,"(0.0265, 0.5573, 0.4162)","(0.6094, 0.2032, 0.1874)"
ram_ref_context_g3,leave_one_rollout,p060_r1,p060,21,1,0.43535818078810073,"(0.0265, 0.5573, 0.4162)","(0.2442, 0.3772, 0.3786)"
ram_ref_context_g3,leave_one_rollout,p060_r2,p060,21,1,0.4939151600059583,"(0.0265, 0.5573, 0.4162)","(0.2478, 0.3103, 0.4418)"
online_safe_g3,leave_one_condition,clean,,19,3,0.39819104093437324,"(0.3655, 0.2691, 0.3655)","(0.5012, 0.3325, 0.1664)"
online_safe_g3,leave_one_condition,m015,,19,3,0.5114969021380897,"(0.4287, 0.2704, 0.3009)","(0.5691, 0.1859, 0.2449)"
online_safe_g3,leave_one_condition,m030,,19,3,0.3238410962915453,"(0.3313, 0.1809, 0.4878)","(0.4039, 0.2569, 0.3392)"
online_safe_g3,leave_one_condition,m060,,19,3,0.2317710002507787,"(0.4489, 0.2333, 0.3178)","(0.4146, 0.1910, 0.3944)"
online_safe_g3,leave_one_condition,p015,,19,3,0.32119081104675007,"(0.3672, 0.2869, 0.3460)","(0.3130, 0.3624, 0.3246)"
online_safe_g3,leave_one_condition,p030,,19,3,0.3816800023001306,"(0.4623, 0.3365, 0.2012)","(0.3028, 0.3157, 0.3815)"
online_safe_g3,leave_one_condition,p045,,21,1,0.38268846673224155,"(0.5711, 0.3831, 0.0458)","(0.4032, 0.3597, 0.2371)"
online_safe_g3,leave_one_condition,p060,,19,3,0.9135922416290363,"(0.0265, 0.5573, 0.4162)","(0.4833, 0.3026, 0.2140)"
online_safe_g3,leave_one_rollout,clean,clean,21,1,0.053173601979269264,"(0.3655, 0.2691, 0.3655)","(0.3920, 0.2494, 0.3586)"
online_safe_g3,leave_one_rollout,clean_r1,clean,21,1,0.7309085264501237,"(0.3655, 0.2691, 0.3655)","(0.5663, 0.4337, 0.0000)"
online_safe_g3,leave_one_rollout,clean_r2,clean,21,1,0.33066918968187653,"(0.3655, 0.2691, 0.3655)","(0.4740, 0.3258, 0.2001)"
online_safe_g3,leave_one_rollout,m015,m015,21,1,0.17965927280958516,"(0.4287, 0.2704, 0.3009)","(0.4498, 0.3392, 0.2111)"
online_safe_g3,leave_one_rollout,m015_r1,m015,21,1,0.29152006967740435,"(0.4287, 0.2704, 0.3009)","(0.3614, 0.1919, 0.4467)"
online_safe_g3,leave_one_rollout,m015_r2,m015,21,1,0.6032517688134863,"(0.4287, 0.2704, 0.3009)","(0.7303, 0.2697, 0.0000)"
online_safe_g3,leave_one_rollout,m030,m030,21,1,0.09785028134257306,"(0.3313, 0.1809, 0.4878)","(0.2823, 0.1866, 0.5311)"
online_safe_g3,leave_one_rollout,m030_r1,m030,21,1,0.6852701455233279,"(0.3313, 0.1809, 0.4878)","(0.5416, 0.3132, 0.1452)"
online_safe_g3,leave_one_rollout,m030_r2,m030,21,1,0.6144900287640105,"(0.3313, 0.1809, 0.4878)","(0.4123, 0.4072, 0.1806)"
online_safe_g3,leave_one_rollout,m060,m060,21,1,0.194375189941601,"(0.4489, 0.2333, 0.3178)","(0.5461, 0.1858, 0.2681)"
online_safe_g3,leave_one_rollout,m060_r1,m060,21,1,0.46898634536194617,"(0.4489, 0.2333, 0.3178)","(0.2691, 0.1786, 0.5523)"
online_safe_g3,leave_one_rollout,m060_r2,m060,21,1,0.05507106643618112,"(0.4489, 0.2333, 0.3178)","(0.4214, 0.2555, 0.3232)"
online_safe_g3,leave_one_rollout,p015,p015,21,1,0.1917712836539191,"(0.3672, 0.2869, 0.3460)","(0.4630, 0.2773, 0.2597)"
online_safe_g3,leave_one_rollout,p015_r1,p015,21,1,0.5660984509252244,"(0.3672, 0.2869, 0.3460)","(0.0841, 0.4503, 0.4656)"
online_safe_g3,leave_one_rollout,p015_r2,p015,21,1,0.2002865529678895,"(0.3672, 0.2869, 0.3460)","(0.4469, 0.3072, 0.2458)"
online_safe_g3,leave_one_rollout,p030,p030,21,1,0.12118323671447237,"(0.4623, 0.3365, 0.2012)","(0.4287, 0.3095, 0.2618)"
online_safe_g3,leave_one_rollout,p030_r1,p030,21,1,0.3228886190696928,"(0.4623, 0.3365, 0.2012)","(0.3009, 0.4087, 0.2904)"
online_safe_g3,leave_one_rollout,p030_r2,p030,21,1,0.5599964032683112,"(0.4623, 0.3365, 0.2012)","(0.2792, 0.2396, 0.4812)"
online_safe_g3,leave_one_rollout,p045,p045,21,1,0.38268846673224155,"(0.5711, 0.3831, 0.0458)","(0.4032, 0.3597, 0.2371)"
online_safe_g3,leave_one_rollout,p060,p060,21,1,0.9936065729392198,"(0.0265, 0.5573, 0.4162)","(0.5233, 0.2074, 0.2692)"
