descriptor,variant,rows,shadow_score_excess_mean,frozen_score_excess_mean,frozen_score_excess_median,frozen_score_excess_p95,frozen_score_excess_max,frozen_score_excess_le_0p05_fraction,frozen_mean_improvement_vs_baseline,frozen_mean_relative_improvement_vs_baseline
v1,baseline,450,0.5737630206786739,0.5737630206786739,0.23251950881022693,2.544730912102526,11.130887436028344,0.24444444444444444,0.0,0.0
v1,q10,450,0.3131069732309983,0.5567021381024622,0.2070925576895733,2.544730912102526,11.130887436028344,0.2733333333333333,0.017060882576211744,0.02973506824478045
v1,q25,450,0.29666373633153564,0.5559193432035067,0.20668115854668986,2.544730912102526,11.130887436028344,0.27111111111111114,0.01784367747516724,0.031099385690735
v1,q50,450,0.22925826692302567,0.5056588264275352,0.20668115854668986,1.9807387891928152,11.130887436028344,0.26666666666666666,0.06810419425113867,0.11869742698053602
v2,baseline,450,0.7606647259848193,0.7606647259848193,0.24423531283713726,2.972467945270382,19.23182281033655,0.2088888888888889,0.0,0.0
v2,q10,450,0.42565731106298405,0.7570241488760698,0.2246532652382579,2.972467945270382,19.23182281033655,0.2288888888888889,0.003640577108749432,0.004786046972318903
v2,q25,450,0.38867761952794455,0.7575322757302072,0.2246532652382579,2.972467945270382,19.23182281033655,0.22666666666666666,0.0031324502546120625,0.004118043268743051
v2,q50,450,0.28037777247061246,0.7002035171651632,0.22279663906923192,2.680679866126661,12.757375760919771,0.2288888888888889,0.06046120881965611,0.0794847016750751
