held_context,raw_nn,derivative_nn,semantic_nn,raw_Q_excess,derivative_Q_excess,semantic_Q_excess,derivative_minus_raw_Q_excess,semantic_minus_raw_Q_excess,raw_rho_JS,semantic_rho_JS,semantic_minus_raw_rho_JS,raw_rho_JE,semantic_rho_JE,semantic_minus_raw_rho_JE,raw_rho_Q,semantic_rho_Q,semantic_minus_raw_rho_Q,raw_rank,semantic_rank,rank_delta_semantic_minus_raw,baseline_Q_excess
rough_seed_18,rough_seed_6,rough_seed_6,rough_seed_36,0.11112329085320133,0.11112329085320133,5.801274272905326,0.0,5.690150982052125,-0.5012987012987012,0.6337662337662338,1.135064935064935,0.6350649350649351,-0.32857142857142857,-0.9636363636363636,0.6792207792207793,-0.22467532467532467,-0.903896103896104,4,11,7,1.6530904404215563
rough_seed_29,rough_seed_25,rough_seed_41,rough_seed_32,0.22111780249293078,0.08903025213256054,0.6211206867656048,-0.13208755036037023,0.40000288427267405,-0.06883116883116883,-0.7285714285714285,-0.6597402597402597,0.26103896103896107,0.46623376623376617,0.2051948051948051,0.3233766233766234,0.11298701298701298,-0.2103896103896104,8,12,4,0.01807345113361848
rough_seed_10,rough_seed_38,rough_seed_28,rough_seed_28,0.0,0.2560874033297659,0.2560874033297659,0.2560874033297659,0.2560874033297659,0.274025974025974,-0.9207792207792208,-1.1948051948051948,0.18571428571428572,0.28051948051948056,0.09480519480519484,0.5389610389610389,0.18311688311688312,-0.35584415584415574,1,18,17,0.04660870274838702
rough_seed_20,rough_seed_25,rough_seed_12,rough_seed_41,0.13589150167133868,0.14668871104683318,0.27582706210966956,0.010797209375494499,0.13993556043833089,-0.062337662337662345,0.5389610389610389,0.6012987012987012,-0.3233766233766234,0.5220779220779221,0.8454545454545455,0.0012987012987012987,0.3246753246753247,0.3233766233766234,10,19,9,0.14667944598463062
rough_seed_17,rough_seed_38,rough_seed_39,rough_seed_39,0.14204112922934917,0.247041423263548,0.247041423263548,0.10500029403419883,0.10500029403419883,0.2532467532467532,0.39610389610389607,0.14285714285714285,0.7389610389610389,0.8584415584415584,0.11948051948051952,0.7688311688311688,0.6558441558441558,-0.11298701298701297,3,8,5,0.19233300719603325
rough_seed_5,rough_seed_38,rough_seed_40,rough_seed_40,0.0,0.03155339441793098,0.03155339441793098,0.03155339441793098,0.03155339441793098,0.4584415584415585,0.8480519480519481,0.3896103896103896,0.47402597402597396,0.5428571428571428,0.06883116883116885,0.7922077922077921,0.36623376623376624,-0.4259740259740259,1,4,3,0.04604145419202896
rough_seed_28,rough_seed_40,rough_seed_25,rough_seed_47,0.6041013760693854,0.6179655636381415,0.6179655636381415,0.01386418756875607,0.01386418756875607,-0.8090909090909091,-0.24415584415584415,0.564935064935065,0.8428571428571429,0.1155844155844156,-0.7272727272727273,0.4688311688311688,0.4090909090909091,-0.059740259740259705,8,9,1,0.2066409730589126
rough_seed_12,rough_seed_36,rough_seed_20,rough_seed_25,0.0,0.38840714958114364,0.0023523746305496585,0.38840714958114364,0.0023523746305496585,-0.11688311688311687,0.8025974025974025,0.9194805194805193,-0.16883116883116883,0.18961038961038962,0.35844155844155845,-0.1987012987012987,0.6558441558441558,0.8545454545454545,1,2,1,0.27336439191352324
rough_seed_13,rough_seed_18,rough_seed_15,rough_seed_18,0.03270896035207965,0.005441381035202031,0.03270896035207965,-0.02726757931687762,0.0,-0.2506493506493506,-0.2506493506493506,0.0,-0.8402597402597403,-0.8402597402597403,0.0,-0.2545454545454545,-0.2545454545454545,0.0,8,8,0,0.0
rough_seed_22,rough_seed_20,rough_seed_20,rough_seed_5,0.1894274549107057,0.1894274549107057,0.14334293722216282,0.0,-0.04608451768854288,0.7922077922077921,0.8363636363636363,0.04415584415584417,0.5792207792207792,0.44285714285714284,-0.13636363636363635,0.34025974025974026,0.7844155844155845,0.4441558441558442,10,8,-2,0.14102356059836776
rough_seed_15,rough_seed_32,rough_seed_13,rough_seed_42,0.12127889777638276,0.0068616204234064615,0.06226849336941298,-0.1144172773529763,-0.05901040440696978,0.28441558441558445,0.348051948051948,0.06363636363636355,0.2675324675324675,-0.212987012987013,-0.4805194805194805,0.28441558441558445,-0.0012987012987012987,-0.28571428571428575,8,7,-1,0.0068616204234064615
rough_seed_0,rough_seed_32,rough_seed_32,rough_seed_6,0.1307796446375164,0.1307796446375164,0.041768950939877314,0.0,-0.08901069369763909,0.4285714285714285,0.6402597402597403,0.21168831168831181,0.4584415584415585,0.5,0.04155844155844152,0.12727272727272726,0.33246753246753247,0.2051948051948052,12,4,-8,0.1191408580715218
