terrain_label,terrain,seed,success,status,policy_steps_reported,logged_reward_steps,aggregation_rule,reward_steps,mean_cost_motion,mean_cost_posture,mean_cost_traction,mean_cost_stability,mean_cost_energy,mean_objective_cost,median_cost_posture,median_cost_traction,traction_dominant_steps,traction_dominant_fraction,posture_dominant_fraction,tie_fraction,mean_established_contact_dt_s
flat,flat,27100,True,success,34,39,last_policy_steps,34,0.2037572730887015,0.011426224944273209,0.0013213110776293293,0.011426224944273209,0.5202921328086885,0.2451585436138877,0.01018997351898801,0.0007774062376007462,0,0.0,1.0,0.0,0.47588235294102305
flat,flat,27101,True,success,34,39,last_policy_steps,34,0.203586862079768,0.011301518348168211,0.0013292316770540334,0.011301518348168211,0.5306912212925594,0.24852653390683188,0.010405781150733111,0.0008997662939908876,0,0.0,1.0,0.0,0.47523529411749665
flat,flat,27102,True,success,34,39,last_policy_steps,34,0.202780505230259,0.011272539556938738,0.0013528508373323383,0.011272539556938738,0.5379098278047637,0.25065429086398716,0.010205800927929956,0.0009032888948428128,0,0.0,1.0,0.0,0.47517647058808676
low_friction,low_friction,27200,True,success,34,39,last_policy_steps,34,0.20440042069140585,0.009681244652007927,0.15254958436724866,0.15683508270270935,0.5786279074949918,0.3132878036297023,0.010648768139487551,0.0149329251556651,17,0.5,0.5,0.0,0.463529411764569
low_friction,low_friction,27201,True,success,34,39,last_policy_steps,34,0.2044847720472298,0.010411084698907924,0.15027773824290913,0.15456501924848567,0.5803699843972042,0.3131399252309732,0.010679760035455243,0.022051854462056483,18,0.5294117647058824,0.47058823529411764,0.0,0.4645882352939802
low_friction,low_friction,27202,True,success,34,39,last_policy_steps,34,0.20460161562777754,0.010139239288341612,0.1373236348594432,0.14207336592798905,0.5770413930199484,0.30790545819190496,0.010537838723119145,0.007804591231716446,16,0.47058823529411764,0.5294117647058824,0.0,0.46117647058809874
rough,rough_perlin,13,True,success,35,40,last_policy_steps,35,0.20971752816455413,0.2355836556792082,0.0041066721638590865,0.23569127365355905,0.7555657100942245,0.40032483730411256,0.20904575925616928,0.0005854453063063839,1,0.02857142857142857,0.9714285714285714,0.0,0.4271999999999036
rough,rough_perlin,7,True,success,36,41,last_policy_steps,36,0.21214034821197142,0.10115566781510593,0.0023465942417693485,0.10115566781510593,0.6837658445658845,0.33235395353098723,0.05234162348621573,0.0005632823181147633,0,0.0,1.0,0.0,0.4397777777776807
rough,rough_perlin,15,True,success,35,40,last_policy_steps,35,0.20995285647681022,0.19335345763471212,0.004660521853968886,0.19335790938038766,0.7965360036672449,0.39994892317481423,0.1508635123980477,0.0019138806084371806,1,0.02857142857142857,0.9714285714285714,0.0,0.4324571428570351
