update,specialized_beta,paired_steps,mean_delta_cost_traction,mean_delta_cost_posture,mean_delta_cost_stability,mean_delta_cost_energy,mean_delta_req_vx_mps,mean_delta_req_yaw_rate_rps,mean_delta_req_body_height_m,mean_delta_app_vx_mps,mean_delta_app_yaw_rate_rps,mean_delta_app_body_height_m,mean_delta_state_vx_mps,mean_delta_abs_vy_mps,mean_delta_state_z_m,corr_dCtr_dReqVx,corr_dCtr_dReqYaw,corr_dCtr_dReqHeight,traction_better_steps,traction_worse_steps,traction_equal_steps
10,stability,41,0.006009756338103513,-0.000493165472737855,0.006164215175894876,0.002543602793928967,0.003157678630668671,-0.00903510821517557,0.0011277274986183903,0.003157678630668671,-0.00903510821517557,0.0011277274986183903,0.002497147496153669,-0.0002735851003530026,0.0009414088435289337,-0.24365435799167562,-0.0217320655844356,0.2029980761430919,22,14,5
10,energy,41,-0.015446917667453831,0.0005082455764254765,-0.015203448503282499,-0.01301732050011228,-0.005540378394014227,0.010763821347116878,-0.0013557145766141532,-0.005540378394014227,0.010763821347116878,-0.0013557145766141532,-0.004876866936683655,0.00029221508103967987,-0.0011933133369538842,-0.14284294284514093,0.24582290467994508,-0.46346636550417286,21,16,4
20,stability,40,0.011751467503308247,-0.00013525843145476465,0.011828749947204164,0.0022344672943984956,-0.00011101161144324162,-0.007742730633181055,0.0010170613825321237,-0.00011101161144324162,-0.007742730633181055,0.0010170613825321237,-0.0002663943916559219,6.994289651629515e-05,0.0009726628661155701,-0.28165862514960777,-0.3316761473545596,0.19904773051513033,25,10,5
20,energy,40,-0.013136232800076286,0.00011735198375452315,-0.013386837840588467,-0.004140076758391386,-0.0018955004528106625,0.00955483372701565,-0.0004951970446854803,-0.0018955004528106625,0.00955483372701565,-0.0004951970446854803,-0.001692730188369751,0.00033807803847594184,-0.00043080896139144895,-0.0394560803231941,-0.24145147837509776,0.1685795113049396,18,18,4
30,stability,38,0.011422129162135215,0.0003735837597453676,0.01182456908432196,-0.0014066264499776663,-0.0035531997463151195,-0.006584047936025615,0.0015951251120943789,-0.0035531997463151195,-0.006584047936025615,0.0015951251120943789,-0.003099033707066586,-0.00014609243877011498,0.0017513844527696307,-0.19379548512219363,-0.3383006955038493,0.2580797083068497,22,12,4
30,energy,38,-0.009802032883350395,0.0002544671417188964,-0.00996704633733356,0.0003581361745837686,-0.0009005529046254721,0.006363701826194302,-0.0006357815430352547,-0.0009005529046254721,0.006363701826194302,-0.0006357815430352547,-0.0006146509396402459,0.00021233351990782753,-0.0004953545959372269,0.15301645109702164,-0.18150347545222012,0.15645247751954608,13,19,6
40,stability,38,0.01740561689921431,0.00043533449791807147,0.017656940324622533,-0.0012725675687712268,-0.004214594258289585,-0.001216397905036023,0.001629087125000203,-0.004214594258289585,-0.001216397905036023,0.001629087125000203,-0.0036650354924954867,-0.00016163217783047768,0.0017985481964914423,-0.20525967813724838,-0.3111101873192467,-0.3505030205680391,20,14,4
40,energy,38,-0.004841465202073075,0.0002867881933457678,-0.004652096465941419,-0.0056060610327221564,-0.0038329296353224068,0.003633058860309815,-0.0006046779296900085,-0.0038329296353224068,0.003633058860309815,-0.0006046779296900085,-0.0033037599764372174,0.00018010172521156309,-0.0004888145547164114,-0.06905495839184402,0.2205441316644061,-0.21076927886694732,19,13,6
