context_id,beta_index,beta_name,J_motion_s_per_m,J_stability,J_energy_j_per_m,r_motion,r_stability,r_energy,quality_Q,quality_gap_from_best,quality_rank,is_pareto,is_exact_best
flat,0,lm100_ls000_le000,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,1,1,1
flat,1,lm080_ls020_le000,4.469945899774418,0.10773247789699482,100.57061579877232,0.0,0.0,0.0,0.0,0.0,2,0,1
flat,2,lm080_ls000_le020,4.482395219000594,0.10765555658293449,100.74864153845152,0.0,0.0,0.0,0.0,0.0,3,0,1
flat,3,lm060_ls040_le000,4.473096986949553,0.10776323228923,100.56920588921066,0.0,0.0,0.0,0.0,0.0,4,0,1
flat,4,lm060_ls020_le020,4.4847112296132,0.10771272620220991,100.76632352047439,0.0,0.0,0.0,0.0,0.0,5,0,1
flat,5,lm060_ls000_le040,4.499505713066695,0.1077645947239037,100.87921994012753,0.0,0.0,0.0,0.0,0.0,6,0,1
flat,6,lm040_ls060_le000,4.476609590764586,0.10785539329279735,100.62083597912908,0.0,0.0,0.0,0.0,0.0,7,0,1
flat,7,lm040_ls040_le020,4.4869363546036505,0.10791981468510763,100.69302174245277,0.0,0.0,0.0,0.0,0.0,8,0,1
flat,8,lm040_ls020_le040,4.501379895768366,0.1078199718997769,100.89519090904237,0.0,0.0,0.0,0.0,0.0,9,0,1
flat,9,lm040_ls000_le060,4.518070082809281,0.10787701915459925,101.07091951251621,0.0,0.0,0.0,0.0,0.0,10,0,1
flat,10,lm020_ls080_le000,4.480397345163054,0.10791824696198046,100.64913864205676,0.0,0.0,0.0,0.0,0.0,11,0,1
flat,11,lm020_ls060_le020,4.489862213451604,0.10798132366175422,100.71461080039796,0.0,0.0,0.0,0.0,0.0,12,0,1
flat,12,lm020_ls040_le040,4.503529556390161,0.10787377873386135,100.90852613275976,0.0,0.0,0.0,0.0,0.0,13,0,1
flat,13,lm020_ls020_le060,4.519560161683371,0.10792691693790064,101.08111137057324,0.0,0.0,0.0,0.0,0.0,14,0,1
flat,14,lm020_ls000_le080,4.5371087902111285,0.10795760810630325,101.17897677415537,0.0,0.0,0.0,0.0,0.0,15,0,1
flat,15,lm000_ls100_le000,4.484460789869289,0.1079844358424402,100.67943777836511,0.0,0.0,0.0,0.0,0.0,16,0,1
flat,16,lm000_ls080_le020,4.493319030854598,0.10792278971116868,100.70004431180836,0.0,0.0,0.0,0.0,0.0,17,0,1
flat,17,lm000_ls060_le040,4.5059645884530966,0.10792906576369801,100.92582582014641,0.0,0.0,0.0,0.0,0.0,18,0,1
flat,18,lm000_ls040_le060,4.5213105184848015,0.10797766925054109,101.09120688149996,0.0,0.0,0.0,0.0,0.0,19,0,1
flat,19,lm000_ls020_le080,4.538330127058792,0.10800516447379362,101.18599374529741,0.0,0.0,0.0,0.0,0.0,20,0,1
flat,20,lm000_ls000_le100,4.556305297028323,0.10801105996711,101.3186798071945,0.0,0.0,0.0,0.0,0.0,21,0,1
low_friction,0,lm100_ls000_le000,4.539224297512309,0.25137314479378425,110.58335893441934,0.0,1.0,0.5941920981184179,0.338647306993728,0.1088819211156632,6,1,0
low_friction,1,lm080_ls020_le000,4.542541160232466,0.2509052680762073,110.51206006721317,0.12004539642447351,0.7237294812464607,0.22756768461331556,0.24481430228976775,0.015048916411702917,2,1,0
low_friction,2,lm080_ls000_le020,4.556018487699771,0.2507302254936805,110.68653809102952,0.6078229305149613,0.6203708329917056,1.12474748083966,0.3827589644277078,0.15299357854964296,7,0,0
low_friction,3,lm060_ls040_le000,4.544679391626769,0.2505255781359973,110.59918496615518,0.19743323458139905,0.49953124096951407,0.6755708048303816,0.22976538587806483,0.0,1,1,1
low_friction,4,lm060_ls020_le020,4.558784834314689,0.2507302254936805,110.76304011931,0.7079437989540113,0.6203708329917056,1.5181269600561027,0.515530458658707,0.2857650727806421,9,0,0
low_friction,5,lm060_ls000_le040,4.5749470069703335,0.25000000000004763,110.90143495132799,1.2928924649740514,0.18918935215679752,2.22976413058804,0.7556275300217428,0.5258621441436779,12,0,0
low_friction,6,lm040_ls060_le000,4.547219700831385,0.25017519271203076,110.62720484327328,0.289373254786527,0.2926366484276484,0.8196512287900357,0.2778892800366926,0.04812389415862778,3,1,0
low_friction,7,lm040_ls040_le020,4.5607666766339205,0.2507302254936805,110.78662088471246,0.7796715329410556,0.6203708329917056,1.6393811205279454,0.5565917851308507,0.3268263992527859,10,0,0
low_friction,8,lm040_ls020_le040,4.576578808155128,0.24988323213456426,110.91715311015582,1.3519513518324453,0.1202405937362067,2.3105881462764346,0.7828053157316285,0.5530399298535636,13,0,0
low_friction,9,lm040_ls000_le060,4.598085397754187,0.2530325359936935,111.09274967095638,2.130327574178773,1.9798326148566416,3.2135195481297423,1.0955854485004646,0.8658200626223997,16,0,0
low_friction,10,lm020_ls080_le000,4.550188003922176,0.24997079780404255,110.6622779661086,0.39680342338423646,0.17194612218620497,1.0,0.3385624984852348,0.10879711260716995,5,1,0
low_friction,11,lm020_ls060_le020,4.5629887402029965,0.25055484172414566,110.8084137105066,0.8600934631008434,0.516810721598957,1.7514415541431254,0.5942416705105182,0.3644762846324534,11,0,0
low_friction,12,lm020_ls040_le040,4.578437285601594,0.24976646426908078,110.93595733119693,1.4192142085226211,0.05129183531555032,2.4072809379119846,0.8153529359098287,0.5855875500317639,15,0,0
low_friction,13,lm020_ls020_le060,4.599570603116465,0.2529191701621552,111.10333766076694,2.184080798695089,1.9128926798023531,3.2679638290363364,1.113871067370558,0.8841056814924932,17,0,0
low_friction,14,lm020_ls000_le080,4.6119453723294415,0.2545062918036926,111.2600275435598,2.6319540455452364,2.8500517705629838,4.073675597429581,1.3897441371883195,1.1599787513102546,20,0,0
low_friction,15,lm000_ls100_le000,4.553235179487535,0.2499707978040426,110.69916960412483,0.507088180270753,0.17194612218623775,1.189699720078759,0.4027956867680388,0.17303030088997395,8,0,0
low_friction,16,lm000_ls080_le020,4.566854367627028,0.2496795992077843,110.4678040997217,1.0,0.0,0.0,0.33666666666666667,0.10690128078860184,4,1,0
low_friction,17,lm000_ls060_le040,4.579152868718935,0.2501460450987745,110.92893592612148,1.4451129165016305,0.27542564832396926,2.3711763177596823,0.8040311555285117,0.5742657696504468,14,0,0
low_friction,18,lm000_ls040_le060,4.6012436459029615,0.25314590182523194,111.12196885822252,2.2446323202637997,2.0467725499109957,3.3637669197123357,1.1467728792037355,0.9170074933256707,18,0,0
low_friction,19,lm000_ls020_le080,4.6135500942896,0.25405282847753896,111.25484540212705,2.6900328688524513,2.5822920303455996,4.047028616377407,1.3800740505110538,1.150308664632989,19,0,0
low_friction,20,lm000_ls000_le100,4.626380711988806,0.2546464188577031,111.44581246807458,3.154404390384375,2.932793596451166,5.028996371199583,1.7133861049266448,1.48362071904858,21,0,0
