context_id,pareto_count,exact_best_count,best_beta_name,second_beta_name,best_Q,second_Q,best_second_gap,J_M_ideal,J_S_ideal,J_E_ideal,J_M_nadir,J_S_nadir,J_E_nadir,J_M_span,J_S_span,J_E_span
flat,1,21,lm100_ls000_le000,lm080_ls020_le000,0.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0
low_friction,6,1,lm060_ls040_le000,lm080_ls020_le000,0.22976538587806483,0.24481430228976775,0.015048916411702917,4.539224297512309,0.2496795992077843,110.4678040997217,4.566854367627028,0.25137314479378425,110.6622779661086,0.02763007011471874,0.0016935455859999615,0.19447386638690034
rough_seed_13,9,1,lm080_ls020_le000,lm000_ls040_le060,0.2407611954219468,0.24129370680473491,0.00053251138278812,4.425768838781536,0.480545692682495,145.32719359313973,4.518383985560771,0.4904870473813614,148.2619747782019,0.09261514677923444,0.009941354698866423,2.934781185062178
rough_seed_7,12,1,lm000_ls060_le040,lm000_ls100_le000,0.22386239429317928,0.22990322265536745,0.0060408283621881664,4.457193450320372,0.3199357677276557,130.33310099906856,4.565303810371516,0.3265309299802105,133.44172120843342,0.1081103600511435,0.006595162252554798,3.108620209364858
rough_seed_15,11,1,lm060_ls040_le000,lm080_ls020_le000,0.16401860528735004,0.1708802257107565,0.0068616204234064615,4.453475368085315,0.4390288881572686,151.10764345690615,4.503668003129401,0.44396975897545204,153.784242345689,0.050192635044085776,0.0049408708181834515,2.6765988887828485
rough_seed_0,8,1,lm100_ls000_le000,lm060_ls040_le000,0.21914119591102738,0.22055808879625385,0.0014168928852264784,4.499353072637152,0.3620766548128629,129.7115052776725,4.5777436774933085,0.3664498598362224,134.31087483449625,0.0783906048561569,0.004373205023359528,4.599369556823746
rough_seed_5,14,1,lm060_ls020_le020,lm040_ls040_le020,0.2031948689274342,0.21012680805531853,0.006931939127884312,4.558487248364316,0.2972464679923494,130.1828326937916,4.6786072285628,0.3076861128019467,132.30960632857662,0.12011998019848402,0.010439644809597304,2.1267736347850246
rough_seed_11,4,1,lm020_ls080_le000,lm000_ls100_le000,0.30451808158399496,0.3367132648476721,0.03219518326367715,4.474104281542436,0.31924057719573234,125.28381453523822,4.490218916860584,0.3232691364021935,125.58508642795526,0.016114635318148274,0.004028559206461169,0.3012718927170397
rough_seed_4,4,1,lm020_ls080_le000,lm060_ls040_le000,0.17257566678742198,0.3329011878991446,0.1603255211117226,4.625549702410184,0.2216246169651689,121.26501560053696,4.626589030567893,0.22284068813209168,121.5888482161748,0.0010393281577094626,0.0012160711669227664,0.3238326156378406
rough_seed_25,7,1,lm040_ls040_le020,lm060_ls020_le020,0.08496091283764638,0.12739387537570057,0.04243296253805419,4.582541332167897,0.23080022333849481,114.66701470937633,4.6445231101955144,0.23539957866828726,115.11867843060317,0.06198177802761773,0.004599355329792443,0.4516637212268364
rough_seed_12,3,1,lm100_ls000_le000,lm040_ls040_le020,0.33666666666666667,0.33901904129721633,0.0023523746305496585,4.4729751418429275,0.3368289057281556,131.24375188337078,4.4956485087924705,0.3385737561066201,132.00051190728962,0.022673366949542917,0.001744850378464502,0.7567600239188437
rough_seed_6,9,1,lm000_ls080_le020,lm020_ls080_le000,0.14215729902371685,0.19631724930476538,0.05415995028104853,4.649983773589159,0.2147754038349376,119.03268774618753,4.705051621204484,0.21814841588090939,119.51103111971635,0.05506784761532568,0.0033730120459717905,0.4783433735288156
rough_seed_29,6,1,lm060_ls040_le000,lm040_ls060_le000,0.11886945728956978,0.12255236298024054,0.003682905690670757,4.441700033008183,0.3237304880241609,131.4637970363857,4.462383657979929,0.32730155642594877,132.28884832469015,0.02068362497174636,0.0035710684017878913,0.8250512883044507
rough_seed_18,2,1,lm000_ls100_le000,lm040_ls040_le020,0.33666666666666667,0.33999999999999997,0.0033333333333332993,4.789394365536296,0.12595293390731585,118.129206688321,4.8008529627643,0.1260583716410282,118.4896430274661,0.01145859722800413,0.00010543773371235465,0.360436339145096
rough_seed_10,10,1,lm060_ls020_le020,lm040_ls040_le020,0.10172382780129385,0.10889188943274611,0.007168061631452255,4.569619603168461,0.19203583276109382,119.52297722918112,4.685135597047089,0.2078995034128659,120.49582539094442,0.11551599387862765,0.015863670651772077,0.9728481617632951
rough_seed_8,3,1,lm080_ls020_le000,lm100_ls000_le000,0.33666666666666667,0.3383145750468347,0.0016479083801680394,4.444756142384128,0.33030354465182266,129.06596190712793,4.456594925914559,0.33596916088580847,129.48644624186608,0.011838783530430774,0.005665616233985815,0.4204843347381484
rough_seed_22,5,1,lm040_ls040_le020,lm020_ls060_le020,0.1971901720469265,0.213378861739291,0.016188689692364505,4.456161709144545,0.2918907353996407,128.5473484424561,4.502268904095968,0.2964430835008966,129.28814709489995,0.046107194951423125,0.004552348101255876,0.740798652443857
rough_seed_20,10,1,lm000_ls060_le040,lm000_ls040_le060,0.19321935599181445,0.22107312303014462,0.027853767038330174,4.632606806971819,0.2206061137984559,123.5643306903904,4.773834436644039,0.22794681138057118,124.89680162820964,0.1412276296722199,0.00734069758211528,1.332470937819238
rough_seed_28,5,1,lm000_ls100_le000,lm040_ls060_le000,0.07975956129897814,0.2305841812988754,0.15082461999989727,4.683081145864362,0.25342085372924245,119.4619850525099,4.712953016458786,0.25368674993953216,119.71966610602774,0.029871870594424088,0.00026589621028971777,0.25768105351784243
rough_seed_17,4,1,lm100_ls000_le000,lm080_ls000_le020,0.09095764342481116,0.2283079290238007,0.13735028559898954,4.536170285007224,0.20975998378527672,118.82968781248044,4.570606106765785,0.2114624016022477,119.21618723028257,0.03443582175856097,0.0017024178169709747,0.3864994178021277
rough_seed_30,6,1,lm060_ls040_le000,lm020_ls080_le000,0.25502450093093687,0.2639852131128744,0.008960712181937502,4.541403075556528,0.17501610091081077,126.8157791627689,4.595592413936926,0.17727011281391225,128.54114802044927,0.05418933838039841,0.0022540119031014827,1.7253688576803654
rough_seed_31,6,1,lm060_ls000_le040,lm040_ls020_le040,0.27559244646791614,0.27674826903425875,0.0011558225663426125,4.456873881942336,0.3058298449017352,126.24318820879552,4.491907864326527,0.30871152300729143,127.50996913564842,0.0350339823841912,0.002881678105556229,1.2667809268529027
rough_seed_32,10,1,lm040_ls000_le060,lm040_ls040_le020,0.28614761334604655,0.29342531574928005,0.007277702403233499,4.622605399184798,0.1554923044951415,116.34199534958928,4.76697548711434,0.17198538355838852,119.51627496732041,0.1443700879295422,0.016493079063247013,3.1742796177311305
rough_seed_33,11,1,lm040_ls040_le020,lm060_ls020_le020,0.207608668450085,0.2158823053860022,0.008273636935917206,4.421003718942344,0.30956916377844673,124.78884336114466,4.514229025246849,0.3189591628450872,126.82966140870741,0.09322530630450565,0.009389999066640453,2.0408180475627518
rough_seed_35,3,1,lm080_ls020_le000,lm100_ls000_le000,0.23385069283299142,0.33724705415113254,0.10339636131814112,4.50293193260854,0.32865286620422696,133.12912115362474,4.507624469803866,0.32937095053331256,133.4735347407163,0.004692537195325919,0.0007180843290855998,0.3444135870915659
rough_seed_36,6,1,lm100_ls000_le000,lm080_ls020_le000,0.13494721299542517,0.29012128687024785,0.15517407387482268,4.5892550168081465,0.23674622356659963,126.08495167915895,4.698054787793123,0.2401752649040777,126.3819746771603,0.10879977098497662,0.003429041337478067,0.2970229980013528
rough_seed_37,6,1,lm040_ls060_le000,lm020_ls080_le000,0.10665640660370022,0.23895056070134393,0.13229415409764372,4.567692216879736,0.3237125557743963,136.01333519079088,4.609235875027175,0.32947296944975274,140.23847112250218,0.041543658147439544,0.005760413675356457,4.225135931711293
rough_seed_38,11,1,lm060_ls020_le020,lm080_ls000_le020,0.08882385187942704,0.10322739601029271,0.01440354413086567,4.444890637199822,0.4669306075071744,145.55274724255406,4.5203916132168995,0.4803033053192252,148.38451044115422,0.07550097601707773,0.013372697812050804,2.8317631986001572
rough_seed_39,11,1,lm060_ls040_le000,lm000_ls100_le000,0.19067057020623207,0.19152424019133954,0.0008536699851074692,4.608307580210637,0.31725575983038873,125.50643904728834,4.6759753608656895,0.3459965421605721,133.80540063752127,0.06766778065505274,0.028740782330183345,8.298961590232935
rough_seed_40,9,1,lm020_ls060_le020,lm000_ls080_le020,0.16841523532440975,0.2340410681918669,0.06562583286745716,4.637661629066227,0.2829411788353655,124.8348078007342,4.697400379751999,0.28801627954604614,125.43943688777641,0.05973875068577161,0.0050751007106806245,0.6046290870422126
rough_seed_41,9,1,lm000_ls100_le000,lm000_ls080_le020,0.13316453537066833,0.16203892792931365,0.028874392558645323,4.598584403338096,0.2412559702519466,123.64558455658562,4.689919967308359,0.24519564265164653,124.38591318636293,0.09133556397026332,0.003939672399699945,0.7403286297773093
rough_seed_42,9,1,lm020_ls040_le040,lm040_ls020_le040,0.15619274720971893,0.17399086157104376,0.017798114361324835,4.610595990508616,0.29705203187691115,122.33955223289519,4.634220736826859,0.2989299287006976,124.31420298922471,0.023624746318243517,0.0018778968237864735,1.974650756329524
rough_seed_44,14,1,lm020_ls020_le060,lm000_ls060_le040,0.20887680213071352,0.21170579127780134,0.002828989147087818,4.478336149343636,0.314975969492968,127.06085600166116,4.529319142520982,0.3245938151310743,128.43516958501624,0.050982993177346,0.009617845638106304,1.3743135833550753
rough_seed_45,14,1,lm020_ls040_le040,lm000_ls080_le020,0.17479028886352704,0.2078313128994199,0.033041024035892846,4.618674085339248,0.20992774186953608,123.24384971143371,4.695260426347765,0.2201357930907638,124.1890858760487,0.07658634100851724,0.010208051221227726,0.9452361646149825
rough_seed_47,8,1,lm040_ls040_le020,lm060_ls020_le020,0.1345313254211736,0.24637415854197217,0.11184283312079857,4.5406781684509046,0.30007330376042823,134.0661336511846,4.596580680249805,0.30436447774594866,135.40083718698602,0.05590251179890071,0.0042911739855204245,1.3347035358014239
