tag,method,rows,target_beta_motion,target_beta_stability,target_beta_energy,pred_beta_motion,pred_beta_stability,pred_beta_energy,rmse_motion,rmse_stability,rmse_energy,mae_motion,mae_stability,mae_energy,mean_l1_beta_error
clean,d7_pred,2226,0.3498424650925944,0.30031506981480655,0.3498424650925944,0.3256558791922058,0.44846150836889076,0.2258826124389037,0.12028957873832334,0.20500852034488584,0.13179204842707082,0.10875615344281352,0.1834030954412833,0.12395985265369634,0.41611910153779336
clean,d7_raw,2226,0.3498424650925944,0.30031506981480655,0.3498424650925944,0.3316767672091987,0.44548254583999847,0.2228406869508028,0.1266131583060382,0.20666325058881957,0.1336561880404218,0.11369303490320132,0.18412993874186745,0.12700177814179722,0.424824751786866
clean,d7_prior,2226,0.3498424650925944,0.30031506981480655,0.3498424650925944,0.3015723270440356,0.46037735849057226,0.238050314465402,0.10134116522279389,0.20346864224250985,0.12634992526416888,0.08900862767262749,0.18049572223936683,0.11179215062719101,0.38129650053918296
clean,d7_actual,2226,0.3498424650925944,0.30031506981480655,0.3498424650925944,0.3016846361186088,0.46026504941599894,0.238050314465402,0.1013136303770834,0.2034274140454603,0.12634992526416888,0.08898630739851014,0.1804286198762175,0.11179215062719101,0.38120707790191627
clean,f8_calibrated_trainfit,2226,0.3498424650925944,0.30031506981480655,0.3498424650925944,0.34954016240689856,0.2989297044736545,0.3515301331194466,0.000372809547784922,0.0017125430712808486,0.0020853060214633618,0.0003184130235565652,0.001462269516754397,0.0017806734889084625,0.003561356029219425
clean_r1,d7_pred,2224,0.2515781554453725,0.36729330911608776,0.38112853543853864,0.33040882910977176,0.43592666116653395,0.23366450972369443,0.141111195114436,0.1559444106039918,0.1540918726484189,0.10862682926814271,0.1410761212262975,0.1474640257148569,0.39716697620929664
clean_r1,d7_raw,2224,0.2515781554453725,0.36729330911608776,0.38112853543853864,0.3376029878407476,0.4296497832943073,0.23274722886494506,0.15137359787497537,0.15794767819919142,0.1540796580700176,0.11860369835894286,0.14435360362943384,0.1483813065736057,0.4113386085619823
clean_r1,d7_prior,2224,0.2515781554453725,0.36729330911608776,0.38112853543853864,0.3016321942446146,0.46103417266187713,0.2373336330935184,0.10187981320744721,0.15705799959573888,0.15560522141474425,0.06996080273698703,0.14114298795110183,0.1437949023450244,0.35489869303310806
clean_r1,d7_actual,2223,0.2515781554453725,0.36729330911608776,0.38112853543853864,0.3020017993702307,0.46077372919478843,0.23722447143499095,0.10233589170773567,0.15717987036750494,0.15566510606334924,0.07029295867369041,0.14138969793628722,0.14390406400355182,0.35558672061352425
clean_r1,f8_calibrated_trainfit,2224,0.2515781554453725,0.36729330911608776,0.38112853543853864,0.2514502722482818,0.3666888757478715,0.3818608520038474,0.00034509464758777914,0.0010150759290353487,0.0011184586354554635,0.00017948748873533417,0.0007986137549472117,0.0009516021393402666,0.0019297033830228106
