base_tag,reset_y,n_rollouts,base_vx_mean_mean,base_vx_mean_median,base_vx_mean_std,base_vx_mean_min,base_vx_mean_max,base_vy_abs_mean_mean,base_vy_abs_mean_median,base_vy_abs_mean_std,base_vy_abs_mean_min,base_vy_abs_mean_max,joint_abs_power_mean_mean,joint_abs_power_mean_median,joint_abs_power_mean_std,joint_abs_power_mean_min,joint_abs_power_mean_max,imu_ang_vel_norm_mean_mean,imu_ang_vel_norm_mean_median,imu_ang_vel_norm_mean_std,imu_ang_vel_norm_mean_min,imu_ang_vel_norm_mean_max,contact_force_z_sum_mean_mean,contact_force_z_sum_mean_median,contact_force_z_sum_mean_std,contact_force_z_sum_mean_min,contact_force_z_sum_mean_max,mean_motion_score,mean_stability_score,mean_energy_score,mean_beta_motion_true_seed,mean_beta_stability_true_seed,mean_beta_energy_true_seed,mean_dominant_beta_true_seed,robust_median_motion_score,robust_median_stability_score,robust_median_energy_score,robust_median_beta_motion_true_seed,robust_median_beta_stability_true_seed,robust_median_beta_energy_true_seed,robust_median_dominant_beta_true_seed,mean_vs_robust_beta_l1,beta_floor
clean,0.0,3,0.1744519608989366,0.1744389632575795,0.0006439807650967649,0.1736698279077338,0.17524709153149653,0.03651390737095318,0.036286069845550835,0.0004792558170975974,0.03607501807126134,0.037180634196047384,157.6715980507686,157.71481717366666,2.109512915590073,155.06664449516705,160.2333324834721,0.4483761046157044,0.4432689310724821,0.011958422791100931,0.4369674781932821,0.46489190458134894,122.93780434123367,122.96472158196131,0.038154072552643345,122.88384638146492,122.9648450602748,0.9992491031710041,0.4905753626146333,1.0,0.39746926993448306,0.2047770106008745,0.39775371946464244,energy,1.0,0.6083463487242913,1.0,0.38066285638335984,0.2386742872332802,0.38066285638335984,motion,0.06779455326481154,0.05
m015,-0.15,3,0.16347676097413483,0.173937621191664,0.015551101883803398,0.14149273550996558,0.17499992622077493,0.047562833114939716,0.03611149056586646,0.016792607152442622,0.03527080343091232,0.07130620534804037,159.31507937853686,160.07800058737155,2.1101913005146025,156.4350543044722,161.43218324376681,0.48710618934242506,0.4598188838238554,0.04021688618895136,0.45753353591695156,0.5439661482864682,124.27043364831214,125.17778026398314,1.4442821470301055,122.23199916931625,125.40152151163701,0.7271290290417931,0.0,0.5869971178025745,0.5307801043760745,0.034150062894351726,0.4350698327295739,motion,0.8820650607103375,0.33577978640904216,0.3904611426351191,0.5300926381081577,0.219404238316282,0.2505031235755603,motion,0.3705083508438607,0.05
m030,-0.3,3,0.17316218419815263,0.17293204508753202,0.0007399896827643377,0.17239314171971465,0.17416136578721125,0.038176393258494416,0.03890242857642325,0.0016378617725663655,0.0359085025547075,0.03971824864435249,157.71966753948462,157.86869454975155,0.2342791472736027,157.38888602829294,157.90142204040933,0.44478572723633525,0.4516997920732395,0.01654057560148228,0.42197584638629976,0.46068154324946653,123.65065611430626,123.62510732232782,0.6076353098126472,122.91956126841355,124.40729975217741,0.9672702659897029,0.453354786583067,0.9879202537625252,0.39759712813011666,0.19673475601025875,0.4056681158596246,energy,0.6455148789988074,0.17058988267482741,0.9603102156823091,0.3610410462824683,0.11450797739207413,0.5244509763254576,energy,0.23756572093166595,0.05
m060,-0.6,3,0.17275867364160596,0.1732545665939449,0.0009006399168019191,0.1714947074685453,0.17352674686232772,0.03780233188032825,0.03806464190824673,0.0017029875224072028,0.03559785951508099,0.039744494217657036,161.5835815129505,160.72398024007944,1.3178545088252323,160.58127705603383,163.44548724273824,0.4668873112571098,0.4599205770508802,0.010611533548007993,0.458859578185369,0.48188177853508024,124.2074604765175,124.30584808154273,0.648124527585393,123.36906580333269,124.94746754467705,0.9572655896911633,0.3623598471260679,0.01692801877843657,0.6775845065642447,0.2773932182350171,0.045022275200738246,motion,0.7213843439098673,0.148168396679364,0.22384280183725874,0.6203853219583758,0.15937679516900774,0.22023788287261648,motion,0.35043121534375654,0.05
p015,0.15,3,0.17448224621635577,0.17425230791540056,0.0006348574591358397,0.17384560890501577,0.175348821828651,0.03609964745508807,0.03655562010195862,0.0013904419208385333,0.03421514073883624,0.03752818152446936,159.45342762112307,158.3234968944494,2.0556021038760193,157.69876102467012,162.33802494424972,0.4484078386832235,0.43966018479005287,0.01898998403928266,0.4307921646295067,0.47477116663011093,123.01748986987495,122.47551684937089,0.9788998016321271,122.18526916195017,124.39168359830379,1.0,0.5013376114392947,0.5522305390957504,0.47649989846924007,0.25020220559342593,0.27329789593733406,motion,0.9560914833512604,0.6403813484538623,0.8430024773551441,0.3885310200843439,0.2666105160422418,0.3448584638734143,motion,0.17593775676979223,0.05
p030,0.3,3,0.1739529800745004,0.17388946913218356,0.00022642509763736593,0.1737129318344725,0.17425653925684514,0.036631227321043014,0.03640548580059789,0.0005045055611921833,0.03615795017640614,0.037330245986125006,161.6509439551457,161.59181924687533,1.8914257850235259,159.3645582416352,163.99645437692655,0.4586950269203926,0.4524503244529645,0.015181831670356328,0.44402735882807653,0.47960739748013675,123.87022640656555,123.72482057623257,0.6998848173937775,123.09504902663942,124.79080961682467,0.9868773286370578,0.4339476604656737,0.0,0.6600845643723372,0.30808502781847685,0.03183040780918594,motion,0.8707378440301882,0.45677600104816607,0.0,0.6231669822230061,0.34299238733786025,0.033840630439133684,motion,0.07383516429866219,0.05
p060,0.6,3,0.1341500511002012,0.17018795783937915,0.05467484765521628,0.056886178897218594,0.17537601656400584,0.03150269793754694,0.035150272382560147,0.0052911193036846715,0.024020702895438638,0.03533711853464203,158.7949295189384,159.30244568553488,2.425169849238432,155.603656550237,161.4786863210433,0.39553025856780777,0.42153433784642774,0.061388820004164825,0.3107945327837787,0.4542619050732168,107.3537918292593,122.43538194331327,21.720960846066916,76.63737510121105,122.98861844325354,0.0,1.0,0.7177095193121599,0.02677075823783026,0.5621859229944355,0.41104331876773426,stability,0.0,1.0,0.5905009897107768,0.028727360855053934,0.6032745779561326,0.36799806118881345,stability,0.0860905151578416,0.05
