tag,base_tag,n_group_rollouts,mean_abs_metric_z,max_abs_metric_z,beta_leave_one_out_delta_l1,full_beta_motion,full_beta_stability,full_beta_energy,loo_beta_motion,loo_beta_stability,loo_beta_energy,base_vx_mean,base_vy_abs_mean,joint_abs_power_mean,imu_ang_vel_norm_mean,contact_force_z_sum_mean,base_vx_mean_z,base_vx_mean_abs_z,base_vy_abs_mean_z,base_vy_abs_mean_abs_z,joint_abs_power_mean_z,joint_abs_power_mean_abs_z,imu_ang_vel_norm_mean_z,imu_ang_vel_norm_mean_abs_z,contact_force_z_sum_mean_z,contact_force_z_sum_mean_abs_z
p060_r2,p060,3,1.387512886805469,1.414137106812665,0.7210396899632463,0.02677075823783026,0.5621859229944355,0.41104331876773426,0.38729060321945347,0.4541055092821683,0.15860388749837825,0.056886178897218594,0.024020702895438638,155.603656550237,0.3107945327837787,76.63737510121105,-1.4131520345555313,1.4131520345555313,-1.4140665920910025,1.4140665920910025,-1.3158966864541701,1.3158966864541701,-1.3803120141139753,1.3803120141139753,-1.414137106812665,1.414137106812665
m015_r1,m015,3,0.9832391565918479,1.4113824526513319,0.3043701213603533,0.5307801043760745,0.034150062894351726,0.4350698327295739,0.6657050855056934,0.05141014244490942,0.2828847720493972,0.173937621191664,0.03527080343091232,156.4350543044722,0.45753353591695156,122.23199916931625,0.6726764634231,0.6726764634231,-0.7319905463422586,0.7319905463422586,-1.3648170539620381,1.3648170539620381,-0.7353292665805111,0.7353292665805111,-1.4113824526513319,1.4113824526513319
p030,p030,3,1.2902653139940317,1.3855519519550197,0.2861035812075211,0.6600845643723372,0.30808502781847685,0.03183040780918594,0.5432707126642924,0.2818470889227611,0.1748821984129465,0.17425653925684514,0.037330245986125006,163.99645437692655,0.47960739748013675,123.09504902663942,1.3406604899908252,1.3406604899908252,1.3855519519550197,1.3855519519550197,1.2400753126835924,1.2400753126835924,1.3774603100479066,1.3774603100479066,-1.1075785052928142,1.1075785052928142
m015,m015,3,0.7775685965925926,1.003275800025174,0.2646098417770889,0.5307801043760745,0.034150062894351726,0.4350698327295739,0.39847518348753,0.03422189092263318,0.5673029255898369,0.17499992622077493,0.03611149056586646,161.43218324376681,0.4598188838238554,125.40152151163701,0.7409870588425359,0.7409870588425359,-0.6819276152367778,0.6819276152367778,1.003275800025174,1.003275800025174,-0.6785036859981023,0.6785036859981023,0.7831488228603729,0.7831488228603729
m060_r1,m060,3,1.0608721150475573,1.4128310199033158,0.2590105031767057,0.6775845065642447,0.2773932182350171,0.045022275200738246,0.5787592847894205,0.24671318842148843,0.17452752678909103,0.17352674686232772,0.039744494217657036,163.44548724273824,0.458859578185369,124.94746754467705,0.8528083270493989,0.8528083270493989,1.140444255624085,1.140444255624085,1.4128310199033158,1.4128310199033158,-0.7565101722029415,0.7565101722029415,1.1417668004580457,1.1417668004580457
p015,p015,3,1.0595890520008484,1.4038144926964249,0.20324551170766136,0.47649989846924007,0.25020220559342593,0.27329789593733406,0.40808146685800084,0.21699788135083442,0.3749206517911647,0.17384560890501577,0.03752818152446936,162.33802494424972,0.43966018479005287,124.39168359830379,-1.0028035461796225,1.0028035461796225,1.0273957135295388,1.0273957135295388,1.4032858390675378,1.4032858390675378,-0.4606456685311177,0.4606456685311177,1.4038144926964249,1.4038144926964249
m015_r2,m015,3,1.0462379040302185,1.4139181615790368,0.19231870604702972,0.5307801043760745,0.034150062894351726,0.4350698327295739,0.5121305572909471,0.13030941591786654,0.3575600267911863,0.14149273550996558,0.07130620534804037,160.07800058737155,0.5439661482864682,125.17778026398314,-1.4136635222656342,1.4136635222656342,1.4139181615790368,1.4139181615790368,0.36154125393685077,0.36154125393685077,1.413832952578612,1.413832952578612,0.628233629790959,0.628233629790959
clean,clean,3,1.0626414419323056,1.4142123280366257,0.15506532891178015,0.39746926993448306,0.2047770106008745,0.39775371946464244,0.4553671506168085,0.22441179437443914,0.32022105500875236,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492,1.2347117734804538,1.2347117734804538,-0.4753985601721982,0.4753985601721982,-1.2348602069937535,1.2348602069937535,-0.9540243409784963,0.9540243409784963,-1.4142123280366257,1.4142123280366257
p015_r2,p015,3,0.6050019474569854,0.9276297450949414,0.15476887866860725,0.47649989846924007,0.25020220559342593,0.27329789593733406,0.538845804125248,0.26524073927172165,0.19591345660303042,0.17425230791540056,0.03655562010195862,157.69876102467012,0.4307921646295067,122.47551684937089,-0.3621888624703367,0.3621888624703367,0.32793361595108256,0.32793361595108256,-0.8536022575304679,0.8536022575304679,-0.9276297450949414,0.9276297450949414,-0.5536552562380987,0.5536552562380987
p060_r1,p060,3,0.8453086059571701,1.1066263267901342,0.15465754851104313,0.02677075823783026,0.5621859229944355,0.41104331876773426,0.02325581395348837,0.48837209302325574,0.48837209302325574,0.17537601656400584,0.035150272382560147,161.4786863210433,0.4542619050732168,122.98861844325354,0.7540206737068329,0.7540206737068329,0.6893767151447673,0.6893767151447673,1.1066263267901342,1.1066263267901342,0.9567156772426065,0.9567156772426065,0.7198036369015093,0.7198036369015093
