tag,reset_y,manifest,true_csv,summary_csv,n_rows,base_dx,base_dy,base_vx_mean,base_vx_std,base_vy_abs_mean,joint_abs_power_mean,joint_abs_power_max,joint_abs_effort_mean,joint_sq_effort_mean,imu_ang_vel_norm_mean,imu_ang_vel_norm_max,imu_acc_norm_mean,imu_acc_norm_max,contact_count_mean,contact_force_z_sum_mean,contact_force_z_sum_max,contact_force_norm_sum_mean,contact_force_norm_sum_max,motion_proxy,lateral_drift_proxy,energy_proxy,stability_proxy,contact_load_proxy,base_vy_mean,base_x_end,base_x_start,base_y_end,base_y_start,t_ros_end,t_ros_start,motion_score_true,lateral_score_true,energy_score_true,imu_stability_score_true,contact_score_true,objective_motion_score,objective_stability_score,objective_energy_score,objective_balanced_score,beta_motion_true_seed,beta_stability_true_seed,beta_energy_true_seed,beta_floor,dominant_beta_true_seed
clean,0.0,reports/phase_d4_context_meta_repeat_20260721_020213_manifest.tsv,datasets/phase_f/f3_clean_20260721_020209_true_metrics.csv,datasets/phase_f/f3_clean_20260721_020209_true_metric_summary.csv,8396,7.5318173655720555,-0.2757786533386242,0.17524709153149653,0.028923384274023006,0.036286069845550835,155.06664449516705,944.677510554344,39.33784720671353,352.95624737199057,0.4369674781932821,3.370629153067266,10.500790757675299,35.84002486864326,2.1035016674606957,122.88384638146492,658.0986003142312,147.39242420687495,953.3619305348149,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492,-0.006601550971374629,8.051742755624481,0.5199253900524259,-0.2558600548439049,0.019918598494719324,50.472,0.0,1.0,0.9008943688216973,1.0,0.7398711031987911,1.0,1.0,0.8513509072492803,1.0,0.9509457993922625,0.3498424650926001,0.3003150698147998,0.3498424650926001,0.05,motion
clean_r1,,reports/phase_d4_context_meta_repeat_20260721_031558_manifest.tsv,datasets/phase_f/f3_clean_r1_20260721_031553_true_metrics.csv,datasets/phase_f/f3_clean_r1_20260721_031553_true_metric_summary.csv,8391,7.466036863609981,-0.3792366856875792,0.1736698279077338,0.031927900632479515,0.03607501807126134,157.71481717366666,955.4730909121204,39.43589423791263,354.80987837732255,0.46489190458134894,3.217776940766637,10.543938557445758,37.5739084490147,2.0978429269455368,122.9648450602748,727.2374899261629,146.37836294813326,1044.549009439089,0.1736698279077338,0.03607501807126134,157.71481717366666,0.46489190458134894,122.9648450602748,-0.009020344431282704,8.016512910912223,0.5504760473022418,-0.30038982530267083,0.07884686038490833,50.4295,0.0,0.4473400978351633,0.9562922271889892,0.7034457940802409,0.25533744311041917,0.9575247821730574,0.4473400978351633,0.6760951968051714,0.7034457940802409,0.6073441602561416,0.2515781554453731,0.3672933091160761,0.3811285354385509,0.05,energy
clean_r2,,reports/phase_d4_context_meta_repeat_20260721_033010_manifest.tsv,datasets/phase_f/f3_clean_r2_20260721_033009_true_metrics.csv,datasets/phase_f/f3_clean_r2_20260721_033009_true_metric_summary.csv,8391,7.496087852949991,-0.22265389938530086,0.1744389632575795,0.029625930816081253,0.037180634196047384,160.2333324834721,912.7357484895883,39.575049464733155,358.7788423931382,0.4432689310724821,3.9207073559561056,10.50845387324727,36.02964818899955,2.092122512215469,122.96472158196131,702.2873873098143,146.41925678067824,1081.4060132847378,0.1744389632575795,0.037180634196047384,160.2333324834721,0.4432689310724821,122.96472158196131,-0.0051463642370676525,8.072902859734112,0.5768150067841219,-0.20607438559108884,0.01657951379421201,50.444,0.0,0.7168386526697589,0.6660849276025038,0.42141119948602623,0.6305307720850256,0.9575895334546729,0.7168386526697589,0.6955889562733379,0.42141119948602623,0.6123351933083082,0.38654282263838263,0.3758314199245466,0.2376257574370707,0.05,motion
m030,-0.3,reports/phase_d4_context_meta_repeat_20260721_023923_manifest.tsv,datasets/phase_f/f3_m030_20260721_023915_true_metrics.csv,datasets/phase_f/f3_m030_20260721_023915_true_metric_summary.csv,8392,7.410550077969353,-0.6376120911547967,0.17239314171971465,0.028998989231538704,0.03890242857642325,157.90142204040933,1038.3482934582019,39.285292586658656,354.8251163831494,0.46068154324946653,4.9721221842673495,10.535780431591803,36.950667126746424,2.096163012392755,122.91956126841355,619.6368279848457,147.11469009217376,902.4396365363812,0.17239314171971465,0.03890242857642325,157.90142204040933,0.46068154324946653,122.91956126841355,-0.01490516347180829,7.956768776163449,0.546218698194096,-0.9131156643835233,-0.2755035732287267,50.43025,0.0,0.0,0.21414027306089084,0.6825489475388785,0.3283939764150148,0.9812713290500917,0.0,0.37491141280092055,0.6825489475388785,0.34896191891213374,0.04140922687178665,0.3519050618616942,0.6066857112665192,0.05,energy
m030_r1,,reports/phase_d4_context_meta_repeat_20260721_032045_manifest.tsv,datasets/phase_f/f3_m030_r1_20260721_032044_true_metrics.csv,datasets/phase_f/f3_m030_r1_20260721_032044_true_metric_summary.csv,8393,7.4903231880899845,-0.6627011483072187,0.17416136578721125,0.036581505678225885,0.03971824864435249,157.86869454975155,976.7548163551953,39.305352334410195,354.36434450484035,0.4516997920732395,4.465132839078979,10.511572694611854,36.781061289076284,2.081377338258072,124.40729975217741,704.9532162394203,148.33035773247622,935.4678018385043,0.17416136578721125,0.03971824864435249,157.86869454975155,0.4516997920732395,124.40729975217741,-0.015509613767610599,8.064908000068426,0.5745848119784412,-0.9063095747593898,-0.2436084264521711,50.4525,0.0,0.6195708348468116,0.0,0.6862139181363632,0.48424178904117027,0.20111025610565358,0.6195708348468116,0.22386325403231616,0.6862139181363632,0.5109795506635801,0.39863759076316774,0.16304800344384915,0.4383144057929831,0.05,energy
m030_r2,,reports/phase_d4_context_meta_repeat_20260721_033457_manifest.tsv,datasets/phase_f/f3_m030_r2_20260721_033456_true_metrics.csv,datasets/phase_f/f3_m030_r2_20260721_033456_true_metric_summary.csv,8395,7.441958805559419,-0.04194736220570028,0.17293204508753202,0.027717420788637787,0.0359085025547075,157.38888602829294,920.45001517923,38.978846640156455,351.24731789643255,0.42197584638629976,2.96469387760142,10.510949421695335,35.80266350970052,2.0886241810601547,123.62510732232782,576.4335414109756,147.27344476882996,964.9828926971968,0.17293204508753202,0.0359085025547075,157.38888602829294,0.42197584638629976,123.62510732232782,-0.001011338249584073,8.006629032777015,0.5646702272175962,-0.3496162871643065,-0.3076689249586062,50.515,0.0,0.18882720557755658,1.0,0.7399450196728797,1.0,0.6112872408245144,0.18882720557755658,0.9416930861236772,0.7399450196728797,0.6191418248092331,0.1182040613283931,0.49082410895202605,0.3909718297195808,0.05,stability
p030,0.3,reports/phase_d4_context_meta_repeat_20260721_020740_manifest.tsv,datasets/phase_f/f3_p030_20260721_020739_true_metrics.csv,datasets/phase_f/f3_p030_20260721_020739_true_metric_summary.csv,8393,7.4898881757833,-0.1462828704820344,0.17425653925684514,0.031495111371315374,0.037330245986125006,163.99645437692655,914.8827618700993,39.967591700485265,360.6163088112151,0.47960739748013675,3.472612434110611,10.492141283877542,36.55794826660918,2.091743119266055,123.09504902663942,683.0127607951797,146.8832771119682,869.1863367932704,0.17425653925684514,0.037330245986125006,163.99645437692655,0.47960739748013675,123.09504902663942,-0.003523544609009438,8.050881139382954,0.5609929635996539,0.1690271503858745,0.3153100208679089,50.46025,0.0,0.6529188177864518,0.6268141241008554,0.0,0.0,0.8892466088185222,0.6529188177864518,0.4154533471681633,0.0,0.35909200261288754,0.5769327616021463,0.3820288747203131,0.041038363677540615,0.05,motion
p030_r1,,reports/phase_d4_context_meta_repeat_20260721_032523_manifest.tsv,datasets/phase_f/f3_p030_r1_20260721_032521_true_metrics.csv,datasets/phase_f/f3_p030_r1_20260721_032521_true_metric_summary.csv,8394,7.466134130679683,0.127150885318287,0.1737129318344725,0.03336992752782153,0.03615795017640614,159.3645582416352,1000.2686775822791,39.42024335358318,353.903636802245,0.4524503244529645,3.9802350829108324,10.499919127927534,38.456813538787976,2.0924469859423396,124.79080961682467,620.4270733081931,148.83915881395643,898.5700270985049,0.1737129318344725,0.03615795017640614,159.3645582416352,0.4524503244529645,124.79080961682467,0.002958708236298652,8.008186000005917,0.5420518693262338,0.49597237488315027,0.36882148956486327,50.46575,0.0,0.46244335107415074,0.9345238197430926,0.5187004198995001,0.47121884647793844,0.0,0.46244335107415074,0.6090232574755671,0.5187004198995001,0.5293795528989834,0.294479404963111,0.37871264464932874,0.3268079503875602,0.05,stability
p030_r2,,reports/phase_d4_context_meta_repeat_20260721_033944_manifest.tsv,datasets/phase_f/f3_p030_r2_20260721_033943_true_metrics.csv,datasets/phase_f/f3_p030_r2_20260721_033943_true_metric_summary.csv,8397,7.479697820395307,0.018813631194530556,0.17388946913218356,0.036526823860083386,0.03640548580059789,161.59181924687533,992.4427086327721,39.39673429420253,352.940082111789,0.44402735882807653,3.186921304740482,10.536824720383056,36.42792292617129,2.0828867452661664,123.72482057623257,640.4192200743643,146.99855321890053,880.7584611872178,0.17388946913218356,0.03640548580059789,161.59181924687533,0.44402735882807653,123.72482057623257,0.0003376702227718579,8.080034990729224,0.6003371703339169,0.29636118563150726,0.2775475544369767,50.549,0.0,0.5243005347507033,0.8695495095483643,0.26928178336282993,0.6173708320660674,0.5589982128790221,0.5243005347507033,0.7220953440550442,0.26928178336282993,0.5054166338631375,0.34478491715078324,0.46353226773170425,0.19168281511751253,0.05,stability
