t_wall,t_ros,base_x,base_y,base_z,base_qx,base_qy,base_qz,base_qw,base_vx,base_vy,base_vz,base_wx,base_wy,base_wz,imu_qx,imu_qy,imu_qz,imu_qw,imu_wx,imu_wy,imu_wz,imu_ax,imu_ay,imu_az,joint_abs_power_sum,joint_abs_effort_sum,joint_sq_effort_sum,joint_abs_velocity_sum,joint_count,contact_FL_fz,contact_FR_fz,contact_RL_fz,contact_RR_fz,contact_FL_norm,contact_FR_norm,contact_RL_norm,contact_RR_norm,contact_count_fz_gt_1,contact_force_z_sum,contact_force_norm_sum
1784618233.552151,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0
1784618233.572247,8.20175,0.5504760473022418,0.07884686038490833,0.37379100015571654,-0.002981961385335141,-0.012415627981018943,-0.004099989088151005,0.9999100710451969,0.1906886267690587,-0.038122831303472146,0.025814749616809754,0.22245621336052246,0.0022791913530762443,0.028561761827562957,-0.003778473784479242,-0.011330541567878837,-0.004548008741647139,1.001103298192085,0.22075549829100186,0.005881119771442436,0.021195025662363833,1.3765093219912954,0.12709574149964314,-1.7741970007202967,28.605496549559366,6.826828893448692,7.899210001662757,32.6100063886894,12,0.0,11.946747931764843,9.69305133962241,0.0,0.0,12.520412967109829,9.938963199617659,0.0,2,21.639799271387254,22.459376166727488
1784618233.592495,8.20675,0.5514799124685607,0.07864153779143011,0.37380736896682043,-0.0025226187369821016,-0.012422084890765708,-0.003999391982503518,0.9999116626309771,0.1900547022204755,-0.04003467101925636,-0.02001216616972452,0.10569488148718315,-0.005171200271110779,0.043684995142663406,-0.004972184538333122,-0.011695935083865742,-0.003883560868963076,1.0007959075611152,0.12031914652113256,-0.004290877257559611,0.04126410359677195,-0.20410166076193653,-0.391028484041828,1.1726742659857874,57.83413204916115,8.614533327519894,13.589124483585872,34.65211929967056,12,0.0,11.946747931764843,9.69305133962241,0.0,0.0,12.520412967109829,9.938963199617659,0.0,2,21.639799271387254,22.459376166727488
1784618233.612654,8.2115,0.5523734939213437,0.07844938749445425,0.37363704739740206,-0.002441861344379463,-0.01240618141068096,-0.0038980676573467615,0.9999124606906941,0.18473788706557498,-0.040395338342587635,-0.04823531921623864,-0.021713394395869206,0.017346916609454806,0.03800266146732982,-0.002256149834283621,-0.012521586499009389,-0.005865242488636284,0.9996286272918588,0.05189828687581773,0.00587753604974242,0.04053762642059978,-0.6988069243124252,-0.26527288372382923,2.367288874860625,63.62635602953603,21.26382827758789,50.95972939207715,39.724512756553516,12,0.0,9.437198548733681,6.54247589175708,0.0,0.0,10.262169778499464,6.905870762310421,0.0,2,15.979674440490761,17.168040540809884
1784618233.632787,8.21675,0.5533237798982091,0.07824241643479239,0.3734141095132021,-0.002649244291864266,-0.012347785668761505,-0.0037989402908090927,0.99991303709194,0.17374319162383026,-0.038389777033123185,-0.034868841560758736,-0.06861038312050569,0.043466059713490345,0.019518078919197587,-0.0021789723033018914,-0.013725188135340146,-0.0038528829207279164,1.000182319245947,-0.0708402069220852,0.04204016109936472,0.024359887727969976,-1.8464458115402147,0.3501345753247854,14.42587301183822,144.70611759334219,48.15581250190735,339.6349431953604,52.82374258403891,12,0.0,9.437198548733681,6.54247589175708,0.0,0.0,10.262169778499464,6.905870762310421,0.0,2,15.979674440490761,17.168040540809884
1784618233.652958,8.22175,0.5542028323452834,0.0780555708386029,0.3733468014170852,-0.0027724622938197063,-0.012250018499078873,-0.0037390286425140707,0.9999141313954976,0.1701540206439775,-0.0360454154241811,-0.020694820413653166,0.10407391378023295,0.06636351589679734,-0.03151374453972544,-0.0023023021853447218,-0.01250456691783714,-0.0037692211118971865,1.000112127977405,0.10460564529386007,0.08019820697604753,-0.03223716241554326,0.5235282680726309,0.48734158922718807,7.873796296210118,112.42512630886492,58.51578853279352,616.137612409196,52.432528564315035,12,0.0,77.31445972254228,50.96620109910545,0.0,0.0,82.12594292415608,56.90106209471079,0.0,2,128.28066082164773,139.02700501886687
1784618233.673118,8.22675,0.5550773631634849,0.07788180029264036,0.37328069099078953,-0.0025087791832126343,-0.012211446991276366,-0.00387223642477898,0.9999147925570757,0.1692167357073632,-0.034775571901004096,-0.02668797520435918,0.30091708287018454,0.06764916011087949,-0.11919133005134408,-0.00370649029277206,-0.014413290476917145,-0.00400437393462649,0.9997693992113972,0.260231641604785,0.057823463147640655,-0.11955051682509778,0.32497374356191666,0.31213645938206297,9.332548968001522,105.6775196001901,47.843645729124546,481.6731186671133,48.51210112799438,12,0.0,77.31445972254228,50.96620109910545,0.0,0.0,82.12594292415608,56.90106209471079,0.0,2,128.28066082164773,139.02700501886687
1784618233.693366,8.232,0.555944934345606,0.07771344496381423,0.3732093244218103,-0.002233415479880633,-0.012302568594508187,-0.004242261730280535,0.9999128271387878,0.16901584076369214,-0.03433419214627576,-0.025801817603142554,0.10301757469037172,-0.050408593189130685,-0.20390909698650067,-0.0010069169537584943,-0.011391359944450275,-0.0035393212652952287,0.9984670108851458,0.1337824880659479,-0.0339639810529332,-0.2060703196885585,1.4592761735062125,-0.4821245068572138,5.2690689648719005,107.33658413429383,51.35397231578827,550.6352284189325,53.72691628149096,12,0.0,76.50693876608375,44.17313685879652,0.0,0.0,81.73134182653328,55.64852572873735,0.0,2,120.68007562488026,137.37986755527064
1784618233.713517,8.237,0.5568735413745328,0.07752630812348549,0.3731342385652378,-0.002509836936054809,-0.012625151538477434,-0.004802410621385641,0.9999056171056389,0.17307596608828457,-0.03620808635708868,-0.02564256127434591,-0.20814910186375318,-0.15168180927633634,-0.2797873816874836,-0.0029252344196292472,-0.012694672728294108,-0.00576644484766794,0.9993837540463562,-0.17855905225858754,-0.141350941747766,-0.277614848962848,1.2340822460821708,-0.8366057873579412,7.236548626340729,109.62000231961851,39.36893491446972,367.9357453852884,52.13748237584462,12,0.0,76.50693876608375,44.17313685879652,0.0,0.0,81.73134182653328,55.64852572873735,0.0,2,120.68007562488026,137.37986755527064
1784618233.733694,8.242,0.5577305808674986,0.07734199173485581,0.3730658567269738,-0.003065225197880642,-0.012968898678923629,-0.005425752796605462,0.9998964812760031,0.1765754650767339,-0.039329565123784646,-0.0249471595571017,-0.2382402767982906,-0.15282670441917012,-0.2995872872246465,-0.0033387429084093,-0.011848970974871196,-0.006155526322740247,0.9997802159710605,-0.24774120501371047,-0.15291675392001444,-0.2982553594427123,0.8663989722511718,0.054576473554275154,8.69743330980602,105.14622883235958,47.80297717452049,493.1509601724804,53.38971671744804,12,0.0,69.63069027978405,56.757177880742624,0.0,0.0,78.53897370137169,65.20742895703543,0.0,2,126.38786816052666,143.74640265840713
