t_wall,t_ros,base_x,base_y,base_z,base_qx,base_qy,base_qz,base_qw,base_vx,base_vy,base_vz,base_wx,base_wy,base_wz,imu_qx,imu_qy,imu_qz,imu_qw,imu_wx,imu_wy,imu_wz,imu_ax,imu_ay,imu_az,joint_abs_power_sum,joint_abs_effort_sum,joint_sq_effort_sum,joint_abs_velocity_sum,joint_count,contact_FL_fz,contact_FR_fz,contact_RL_fz,contact_RR_fz,contact_FL_norm,contact_FR_norm,contact_RL_norm,contact_RR_norm,contact_count_fz_gt_1,contact_force_z_sum,contact_force_norm_sum
1784619372.72786,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0
1784619372.747959,8.27325,0.5646702272175962,-0.3076689249586062,0.36869647337049294,0.0004306129697507358,-0.022080055650366717,0.005826080436481785,0.9997391372261539,0.16413115540226528,-0.08027954670852332,0.033427640871757494,0.048680738083012064,-0.16104300329259574,0.060856005393081246,-4.1551965188362417e-05,-0.024604160791652074,0.006565046305974273,0.9996717224113024,0.04074788034143942,-0.1504396786002696,0.057645549208378694,1.4599410681636422,-0.3035493261813837,16.706142538035866,188.5928990454418,58.18409085273743,533.691109515252,47.51363639324631,12,,105.10391815000426,75.12565694729838,0.0,,113.5061176421651,85.04737183069169,0.0,2,180.22957509730264,198.55348947285677
1784619372.768072,8.2785,0.5655897784419015,-0.3080928285522595,0.36902655582122784,0.0004724024065727164,-0.02267230294957525,0.00607798509548777,0.9997243628181259,0.16870843777400782,-0.08109699487873452,0.05976094251640626,0.1422621917164573,-0.20380359404484838,0.06552590473160902,0.0011179320148517104,-0.023085660126994857,0.004637582786186411,1.001890615783779,0.13672763788385625,-0.20649880749309352,0.059084796960002316,1.6699641118915585,-0.0778134638193661,13.876658357426965,118.33436217179327,43.22803284355177,354.3492261018478,39.46521759506383,12,,105.10391815000426,75.12565694729838,0.0,,113.5061176421651,85.04737183069169,0.0,2,180.22957509730264,198.55348947285677
1784619372.788213,8.2835,0.566491431251884,-0.30849410923753684,0.3693347175079457,0.0006650959043408443,-0.023334583926884662,0.006323104633165683,0.9997074938141632,0.17920190088742002,-0.07625974839818159,0.031943228809378436,0.22115775061191592,-0.2895234685944275,0.07477668589424125,-0.0007841150283184598,-0.023669004281191397,0.005340359794878591,0.9990380055985609,0.14004421087665647,-0.2498378934928492,0.07127382150798069,2.3458235074845346,0.30925109108490434,-0.797669523193733,326.62552621816457,64.38919651508331,993.1211316773963,26.646767853097774,12,0.0,120.4459598593725,90.09333234827683,0.0,0.0,128.2813248845415,99.55367937895542,0.0,2,210.53929220764934,227.83500426349693
1784619372.808412,8.288499999999999,0.5674418968315457,-0.30883372941384635,0.36941150805506573,0.001933168248687876,-0.024492046684814354,0.006543101531920423,0.9996767429184565,0.19997670844552792,-0.0631169613722276,-0.016542137229822663,0.959518223143293,-0.6411626673149099,0.13833375860166686,0.0006345239230018194,-0.025164113690298574,0.006183635529020384,0.9993129068504065,0.7891148679086591,-0.5690168329785704,0.0837787194653273,4.928206624314436,1.9187436647084317,-2.6896612116432626,181.99136882812627,38.47504307515919,267.28836658422455,59.79341374709743,12,0.0,120.4459598593725,90.09333234827683,0.0,0.0,128.2813248845415,99.55367937895542,0.0,2,210.53929220764934,227.83500426349693
1784619372.828582,8.2935,0.5685318645230099,-0.3090940579748557,0.3692853596971775,0.003924039336094666,-0.026011873103072056,0.006826034653908368,0.9996306265935744,0.22783253303082182,-0.04324240785010448,-0.0338092372481076,0.584398140876975,-0.5576151668911721,0.10190617575917665,0.0041105053141300765,-0.025490395894634667,0.007726110233143987,1.0010708070158834,0.7196843134001983,-0.602980061340922,0.08653157980376384,5.602251844507191,4.42058840985257,7.718967999300721,294.96495676752045,56.24055626988411,683.868847463359,60.25656073866194,12,0.0,14.51534846982125,9.119147861539792,188.9563225642466,0.0,14.606677911419347,9.13751817783626,412.8629566371797,3,212.59081889560764,436.6071527264353
1784619372.848718,8.2985,0.5697365216078587,-0.30925494237022916,0.3691280480581262,0.0040363932340214525,-0.026970627777362383,0.006941906120195709,0.9996039729344687,0.2494481348425338,-0.02641286866123167,-0.05144295465254058,-0.359358847181177,-0.2621711461984506,0.002043066288711058,0.006656001915302306,-0.0279224895829262,0.0062345208365332475,0.9986489098504099,-0.03201653765159473,-0.3869860370488569,0.03883055652763367,3.7626905586859256,3.037037125573261,7.581468278369483,223.56961445796742,48.805458784103394,510.56390656440965,60.528652754285176,12,0.0,14.51534846982125,9.119147861539792,188.9563225642466,0.0,14.606677911419347,9.13751817783626,412.8629566371797,3,212.59081889560764,436.6071527264353
1784619372.868998,8.30375,0.571028599386663,-0.3093463570297305,0.36891578754771137,0.0018767675149088147,-0.027170330716148473,0.006879045921923,0.9996053869401037,0.2545309224808068,-0.013668556526564714,-0.04436152511628913,-1.0457667663023866,-0.02945197358447762,-0.05299103884379371,0.0030220477458420014,-0.028649514296818022,0.006339096828982366,1.0005517974579776,-0.9474278016899359,-0.06009330566828213,0.0033071937538067314,1.3980769345620359,2.535161545700789,11.42024714565759,229.42757324155642,53.812473714351654,466.0917435490192,57.15146802882643,12,79.90498130596455,0.0,0.0,126.32283646804812,106.66465321177073,0.0,0.0,164.32659984253428,2,206.2278177740127,270.991253054305
1784619372.889143,8.30875,0.5723741535336405,-0.30938166031050757,0.3688023317026344,-0.0015472957194949443,-0.026786205920499,0.006758849131859028,0.9996171382118025,0.2470739046247475,-0.0025965662958142796,-0.018477329008918762,-1.1792503095145037,0.21379045658173232,-0.05451389828821798,-0.0011124356506855481,-0.026998656577613703,0.005837262516156398,0.9986948296554005,-1.3174708470103735,0.18452851887536126,0.005619990957227081,-0.6190814096419305,2.037032160828129,15.524327044571818,255.154424448424,59.401304721832275,453.7346669854288,65.65859543515892,12,79.90498130596455,0.0,0.0,126.32283646804812,106.66465321177073,0.0,0.0,164.32659984253428,2,206.2278177740127,270.991253054305
1784619372.909281,8.31375,0.5736097603376626,-0.3093631167159136,0.36884722585306634,-0.00345683902581426,-0.026049800054368015,0.006689924079431178,0.9996322839408943,0.2357342131250557,0.0076185709234151905,0.008873928406611355,-0.30249672962136254,0.3450572620259866,0.007795417419694722,-0.003494584214988532,-0.02631528805059822,0.006624103454440117,0.9994599913458504,-0.5053755650421087,0.33112793694540515,0.02173906031573694,-1.477708958909012,1.9846704215210995,15.40387797450769,220.33368236373698,56.79821467399597,393.5992957624646,65.669952889386,12,64.17575001911648,0.0,0.0,119.10252710232257,72.78351292409488,0.0,0.0,136.8407941007075,2,183.27827712143903,209.6243070248024
