base_tag,mean_beta,robust_beta,mean_vs_robust_beta_l1,f17_max_rollout_loo_beta_delta_l1,f17_mean_rollout_loo_beta_delta_l1,f14_train_l1,f20_train_l1,train_l1_improvement_f14_minus_f20,f14_loto_l1,f20_loto_l1,loto_l1_improvement_f14_minus_f20
m015,"(0.5308, 0.0342, 0.4351)","(0.5301, 0.2194, 0.2505)",0.3705083508438607,0.3043701213603533,0.25376622306149066,0.4094890128048491,0.19507163565129992,0.2144173771535492,0.554849716304394,0.29316927321167385,0.2616804430927201
m060,"(0.6776, 0.2774, 0.0450)","(0.6204, 0.1594, 0.2202)",0.35043121534375654,0.2590105031767057,0.10206788722252555,0.4583883794815317,0.4227139327978854,0.03567444668364633,0.6252650666890816,0.5570748189524757,0.06819024773660587
p060,"(0.0268, 0.5622, 0.4110)","(0.0287, 0.6033, 0.3680)",0.0860905151578416,0.7210396899632463,0.30486222665613527,0.7825315320282263,0.7074504412103978,0.07508109081782854,1.0270669749280728,0.9607391606630192,0.06632781426505352
clean,"(0.3975, 0.2048, 0.3978)","(0.3807, 0.2387, 0.3807)",0.06779455326481154,0.15506532891178015,0.057962320228679365,0.18653169295269034,0.16787972906757329,0.018651963885117057,0.3569590622051974,0.3041465592284558,0.052812502976741615
p030,"(0.6601, 0.3081, 0.0318)","(0.6232, 0.3430, 0.0338)",0.07383516429866219,0.2861035812075211,0.11142443608253305,0.4857816529191331,0.48311825754287385,0.002663395376259259,0.6264253196062475,0.6217891645047389,0.00463615510150861
p015,"(0.4765, 0.2502, 0.2733)","(0.3885, 0.2666, 0.3449)",0.17593775676979223,0.20324551170766136,0.15395345303882338,0.07264672072175243,0.09065414650203502,-0.018007425780282582,0.11640078994047771,0.13117882061083422,-0.014778030670356504
m030,"(0.3976, 0.1967, 0.4057)","(0.3610, 0.1145, 0.5245)",0.23756572093166595,0.04758823214342783,0.03155896807018294,0.22610950319408343,0.3801056820817098,-0.15399617888762637,0.28695981322360953,0.4822830591798767,-0.19532324595626716
