base_tag,reset_y,n_rollouts,base_vx_mean_mean,base_vx_mean_std,base_vx_mean_min,base_vx_mean_max,base_vy_abs_mean_mean,base_vy_abs_mean_std,base_vy_abs_mean_min,base_vy_abs_mean_max,joint_abs_power_mean_mean,joint_abs_power_mean_std,joint_abs_power_mean_min,joint_abs_power_mean_max,imu_ang_vel_norm_mean_mean,imu_ang_vel_norm_mean_std,imu_ang_vel_norm_mean_min,imu_ang_vel_norm_mean_max,contact_force_z_sum_mean_mean,contact_force_z_sum_mean_std,contact_force_z_sum_mean_min,contact_force_z_sum_mean_max,group_motion_score,group_lateral_score,group_energy_score,group_imu_stability_score,group_contact_score,group_stability_score,group_balanced_score,group_beta_motion_true_seed,group_beta_stability_true_seed,group_beta_energy_true_seed,group_dominant_beta_true_seed,beta_floor
clean,0.0,3,0.1744519608989366,0.0006439807650967649,0.1736698279077338,0.17524709153149653,0.03651390737095318,0.0004792558170975974,0.03607501807126134,0.037180634196047384,157.6715980507686,2.109512915590073,155.06664449516705,160.2333324834721,0.4483761046157044,0.011958422791100931,0.4369674781932821,0.46489190458134894,122.93780434123367,0.038154072552643345,122.88384638146492,122.9648450602748,1.0,1.0,1.0,0.7418721674762414,1.0,0.8967488669904966,0.965927126106864,0.3446296514215706,0.3107406971568588,0.3446296514215706,motion,0.05
m030,-0.3,3,0.17316218419815263,0.0007399896827643377,0.17239314171971465,0.17416136578721125,0.038176393258494416,0.0016378617725663655,0.0359085025547075,0.03971824864435249,157.71966753948462,0.2342791472736027,157.38888602829294,157.90142204040933,0.44478572723633525,0.01654057560148228,0.42197584638629976,0.46068154324946653,123.65065611430626,0.6076353098126472,122.91956126841355,124.40729975217741,0.0,0.0,0.9879202537625252,1.0,0.2354838011916199,0.435322570178743,0.46967013190061857,0.03178148931564209,0.30848548157551353,0.6597330291088443,energy,0.05
p030,0.3,3,0.1739529800745004,0.00022642509763736593,0.1737129318344725,0.17425653925684514,0.036631227321043014,0.0005045055611921833,0.03615795017640614,0.037330245986125006,161.6509439551457,1.8914257850235259,159.3645582416352,163.99645437692655,0.4586950269203926,0.015181831670356328,0.44402735882807653,0.47960739748013675,123.87022640656555,0.6998848173937775,123.09504902663942,124.79080961682467,0.6131261914307375,0.9294310099297483,0.0,0.0,0.0,0.41824395446838675,0.3464834100610184,0.5613195777230696,0.3963566847306885,0.042323737546241864,motion,0.05
