suite,heldout,n_features,n_train,n_test,target_motion,target_stability,target_energy,pred_motion,pred_stability,pred_energy,loto_l1,rmse_motion,rmse_stability,rmse_energy,kept_features
score_proxy,m030,5,38830,6572,0.36104104628247946,0.11450797739208565,0.524450976325515,0.4242829254978916,0.30251843668943945,0.2731986378126699,0.5025094970042101,0.07048078985898622,0.19017301485439567,0.2517745119682236,motion_score;stability_score;energy_score;effort_proxy;hold_drift
score_proxy,m060,5,38725,6677,0.6203853219584585,0.1593767951690096,0.22023788287263657,0.38975327326233905,0.2883879923082389,0.32185873442942137,0.4645116306693979,0.2329546454550198,0.13526342200277647,0.10381817869788283,motion_score;stability_score;energy_score;effort_proxy;hold_drift
score_proxy,p015,5,38928,6474,0.3885310200843911,0.2666105160422082,0.34485846387340796,0.42803584390817034,0.28317909833646326,0.2887850577553667,0.11684624733992892,0.04434863252028206,0.027365104793097696,0.059217332719875976,motion_score;stability_score;energy_score;effort_proxy;hold_drift
score_proxy,p030,5,38832,6570,0.6231669822230986,0.3429923873378998,0.03384063043913142,0.3800546182515818,0.2725409475902227,0.34740443415819683,0.627269555539477,0.24443953209933006,0.07317022545474193,0.31363293066273823,motion_score;stability_score;energy_score;effort_proxy;hold_drift
score_proxy,p060,5,38931,6471,0.028727360855051513,0.6032745779561764,0.3679980611887493,0.480132643346828,0.22254261252486324,0.2973247441283086,0.9028105649835486,0.4515917412655856,0.3812020590691644,0.07682329432490809,motion_score;stability_score;energy_score;effort_proxy;hold_drift
ram_ref,clean,6,38730,6672,0.3806628563833892,0.23867428723330783,0.3806628563833892,0.42489346263847455,0.28189759434473394,0.2932089430167905,0.17490782673314553,0.04466387239164724,0.04507667037995413,0.088955528459096,ram_slip_proxy_mean;ram_roughness_proxy_mean;ram_sigma_mean;ref_vx_mean;ref_yaw_rate_mean;ref_clearance_mean
ram_ref,m015,6,39436,5966,0.5300926381081613,0.21940423831627337,0.2505031235755417,0.400091347635672,0.3121071447464072,0.28780150761792145,0.28716054813638475,0.1301398762108669,0.11667953452200758,0.07703419182176449,ram_slip_proxy_mean;ram_roughness_proxy_mean;ram_sigma_mean;ref_vx_mean;ref_yaw_rate_mean;ref_clearance_mean
ram_ref,m030,6,38830,6572,0.36104104628247946,0.11450797739208565,0.524450976325515,0.42664701024053353,0.2997305934678498,0.27362239629161805,0.5016571600676788,0.06577886892663413,0.18546227990319716,0.25109131317967115,ram_slip_proxy_mean;ram_roughness_proxy_mean;ram_sigma_mean;ref_vx_mean;ref_yaw_rate_mean;ref_clearance_mean
ram_ref,m060,6,38725,6677,0.6203853219584585,0.1593767951690096,0.22023788287263657,0.38092171346756537,0.2937940555253845,0.3252842310070501,0.47892721698162233,0.23968132591432914,0.13494053079885404,0.10723574438894132,ram_slip_proxy_mean;ram_roughness_proxy_mean;ram_sigma_mean;ref_vx_mean;ref_yaw_rate_mean;ref_clearance_mean
ram_ref,p015,6,38928,6474,0.3885310200843911,0.2666105160422082,0.34485846387340796,0.42300917709490893,0.27724852144496104,0.2997423014601232,0.09354083825249575,0.03495480319685978,0.016340544256844416,0.04793711113409395,ram_slip_proxy_mean;ram_roughness_proxy_mean;ram_sigma_mean;ref_vx_mean;ref_yaw_rate_mean;ref_clearance_mean
ram_ref,p030,6,38832,6570,0.6231669822230986,0.3429923873378998,0.03384063043913142,0.38348552655329526,0.2729666259539391,0.3435478474927684,0.6194144341072666,0.2397168206837352,0.07108158040866738,0.3098915057096956,ram_slip_proxy_mean;ram_roughness_proxy_mean;ram_sigma_mean;ref_vx_mean;ref_yaw_rate_mean;ref_clearance_mean
ram_ref,p060,6,38931,6471,0.028727360855051513,0.6032745779561764,0.3679980611887493,0.4873681232959309,0.22651862885653748,0.28611324784753045,0.9225572143460214,0.45953938132560757,0.37749466152731354,0.09716088061937259,ram_slip_proxy_mean;ram_roughness_proxy_mean;ram_sigma_mean;ref_vx_mean;ref_yaw_rate_mean;ref_clearance_mean
