update,checkpoint,beta_name,terrain_label,terrain,seed,success,status,policy_steps,decision_time_s,energy_abs_j,mean_applied_vx_mps,aggregation_rule,reward_steps,mean_cost_motion,mean_cost_posture,mean_cost_traction,mean_cost_stability,mean_cost_energy,mean_objective_cost,median_cost_posture,median_cost_traction,traction_dominant_steps,traction_dominant_fraction,posture_dominant_fraction,tie_fraction,mean_established_contact_dt_s
10,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0010.pt,balanced,flat,flat,27100,True,success,37,7.55,161.94308659480225,0.19775643171302068,last_policy_steps,37,0.22700090803893877,0.012358368962268051,0.0010969949503624322,0.012358368962268051,0.5008500498166568,0.24673644227262118,0.01164865112586317,0.0007810278037555879,0,0.0,1.0,0.0,0.47124324324315087
10,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0010.pt,balanced,flat,flat,27101,True,success,37,7.579999999999998,163.62975755551224,0.19776339692950903,last_policy_steps,37,0.2271714733922375,0.012350305673897421,0.0010999315351367296,0.012350305673897421,0.5060665073540483,0.24852942880672774,0.01157608829106971,0.0008098417711212032,0,0.0,1.0,0.0,0.47502702702693783
10,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0010.pt,balanced,flat,flat,27102,True,success,37,7.553999999999999,161.0529181422851,0.19775211794043868,last_policy_steps,37,0.22715479271961794,0.012356938306104213,0.0010752034124518924,0.012356938306104213,0.49809697820882726,0.2458695697448498,0.011943155313372103,0.0007808522395571636,0,0.0,1.0,0.0,0.47281081081071813
10,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0010.pt,balanced,low_friction,low_friction,27200,True,success,38,7.730000000000001,181.61022919033718,0.1954497544438039,last_policy_steps,38,0.230886019861971,0.011332798486086416,0.11852390010737454,0.12356518419832963,0.5468947353573452,0.3004486464725486,0.01249398430445079,0.008054599132285255,18,0.47368421052631576,0.5263157894736842,0.0,0.45621052631572556
10,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0010.pt,balanced,low_friction,low_friction,27201,True,success,38,7.739999999999999,182.60325151515008,0.195444496515158,last_policy_steps,38,0.23068156112047375,0.011401238810256292,0.11708571874999982,0.12218639610803798,0.5498850882904023,0.300917681839638,0.012746467041343657,0.008260806919678707,18,0.47368421052631576,0.5263157894736842,0.0,0.45552631578941094
10,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0010.pt,balanced,low_friction,low_friction,27202,True,success,38,7.7700000000000005,183.48853442704953,0.19544198275543753,last_policy_steps,38,0.23076528299556207,0.011373056263625846,0.13269632952465693,0.13759807858033027,0.5525509984980934,0.30697145335799525,0.0124852915145913,0.011866905051123873,20,0.5263157894736842,0.47368421052631576,0.0,0.45526315789467386
10,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0010.pt,balanced,rough,rough_perlin,13,True,success,38,7.746000000000002,241.1776534055112,0.19122843307099846,last_policy_steps,38,0.23379471621050585,0.22998110331855273,0.003953815953226259,0.23000221300241505,0.7262740073692415,0.3966903121940541,0.19666911071046145,0.0005780310196572551,1,0.02631578947368421,0.9736842105263158,0.0,0.43305263157889806
10,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0010.pt,balanced,rough,rough_perlin,7,True,success,39,7.941999999999998,220.34477783125192,0.19148400330390689,last_policy_steps,39,0.2376424713929969,0.09174415043262464,0.0021937340116381337,0.09174415043262464,0.6465247990614998,0.32530380696237376,0.04398225681363168,0.00035323650942509764,0,0.0,1.0,0.0,0.43635897435892645
10,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0010.pt,balanced,rough,rough_perlin,15,True,success,38,7.7200000000000015,251.80983086595768,0.19065218336488074,last_policy_steps,38,0.23458653616672692,0.18793993113208768,0.004864078718934519,0.18806574721279606,0.758291377230105,0.393647886869876,0.10977221171617782,0.0007753221299463818,3,0.07894736842105263,0.9210526315789473,0.0,0.42973684210521057
10,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0010.pt,motion,flat,flat,27100,True,success,37,7.555999999999999,162.8957173741878,0.20019000924768154,last_policy_steps,37,0.22426280967484732,0.012202245992911136,0.0010913070799044434,0.012202245992911136,0.5037963020052788,0.2343837489721216,0.011575118110464818,0.000781359056130657,0,0.0,1.0,0.0,0.47297297297288005
