context_id,context_index,group,terrain,seed,mission,primary_metric,constraint_1,constraint_1_budget,constraint_1_budget_context_norm,constraint_2,constraint_2_budget,constraint_2_budget_context_norm,feasible_good_count,selected_source_beta_name,selected_primary_value,selected_cost_motion,selected_cost_stability,selected_cost_energy,selected_decision_time_s,selected_episode_energy_abs_j,selected_support_class,selected_beta_expressible,beta_hat_motion,beta_hat_stability,beta_hat_energy,max_margin
flat_train:flat:27100,0,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011197067652175504,0.0,cost_energy,0.5434552248821048,1.0,1,motion,6.955999999999997,0.19835416724562394,0.011197067652175504,0.5434552248821048,6.955999999999997,161.47141561246366,strict,True,1.0,-0.0,0.0,0.004676271638302865
flat_train:flat:27100,0,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011355144203711469,0.6160738839117204,cost_energy,0.5387056566710693,0.6691725821253447,1,balanced,6.9540000000000015,0.2030304388839268,0.011355144203711469,0.5387056566710693,6.9540000000000015,160.06022391263184,unsupported,False,0.0,0.9824414480515397,0.01755855194846044,-7.190541602776262e-05
flat_train:flat:27100,0,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011355144203711469,0.6160738839117204,cost_energy,0.5434552248821048,1.0,2,balanced,6.9540000000000015,0.2030304388839268,0.011355144203711469,0.5387056566710693,6.9540000000000015,160.06022391263184,unsupported,False,0.0,0.9824414480515397,0.01755855194846044,-7.190541602776262e-05
flat_train:flat:27100,0,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011441272882193914,0.9517443483372526,cost_energy,0.5314020918061686,0.16044854697598163,1,energy,7.14,0.2061011887426643,0.011441272882193914,0.5314020918061686,7.14,162.5340178111016,strict,True,0.5935537803390051,0.0,0.4064462196609949,0.0003006764778493364
flat_train:flat:27100,0,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011441272882193914,0.9517443483372526,cost_energy,0.5387056566710693,0.6691725821253447,2,balanced,6.9540000000000015,0.2030304388839268,0.011355144203711469,0.5387056566710693,6.9540000000000015,160.06022391263184,unsupported,False,0.0,0.9824414480515397,0.01755855194846044,-7.190541602776262e-05
flat_train:flat:27100,0,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011441272882193914,0.9517443483372526,cost_energy,0.5434552248821048,1.0,3,balanced,6.9540000000000015,0.2030304388839268,0.011355144203711469,0.5387056566710693,6.9540000000000015,160.06022391263184,unsupported,False,0.0,0.9824414480515397,0.01755855194846044,-7.190541602776262e-05
flat_train:flat:27100,0,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011453654655234728,1.0,cost_energy,0.5290985907145127,0.0,1,stability,7.1640000000000015,0.20818512086391436,0.011453654655234728,0.5290985907145127,7.1640000000000015,161.8294716807193,strict,True,0.0,0.0,1.0,0.0023035010916558907
flat_train:flat:27100,0,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011453654655234728,1.0,cost_energy,0.5314020918061686,0.16044854697598163,2,energy,7.14,0.2061011887426643,0.011441272882193914,0.5314020918061686,7.14,162.5340178111016,strict,True,0.5935537803390051,0.0,0.4064462196609949,0.0003006764778493364
flat_train:flat:27100,0,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011453654655234728,1.0,cost_energy,0.5387056566710693,0.6691725821253447,3,balanced,6.9540000000000015,0.2030304388839268,0.011355144203711469,0.5387056566710693,6.9540000000000015,160.06022391263184,unsupported,False,0.0,0.9824414480515397,0.01755855194846044,-7.190541602776262e-05
flat_train:flat:27100,0,flat_train,flat,27100,fast,decision_time_s,cost_stability,0.011453654655234728,1.0,cost_energy,0.5434552248821048,1.0,4,balanced,6.9540000000000015,0.2030304388839268,0.011355144203711469,0.5387056566710693,6.9540000000000015,160.06022391263184,unsupported,False,0.0,0.9824414480515397,0.01755855194846044,-7.190541602776262e-05
flat_train:flat:27100,0,flat_train,flat,27100,stable,cost_stability,decision_time_s,6.9540000000000015,0.0,cost_energy,0.5387056566710693,0.6691725821253447,1,balanced,0.011355144203711469,0.2030304388839268,0.011355144203711469,0.5387056566710693,6.9540000000000015,160.06022391263184,unsupported,False,0.0,0.9824414480515397,0.01755855194846044,-7.190541602776262e-05
flat_train:flat:27100,0,flat_train,flat,27100,stable,cost_stability,decision_time_s,6.9540000000000015,0.0,cost_energy,0.5434552248821048,1.0,1,balanced,0.011355144203711469,0.2030304388839268,0.011355144203711469,0.5387056566710693,6.9540000000000015,160.06022391263184,unsupported,False,0.0,0.9824414480515397,0.01755855194846044,-7.190541602776262e-05
flat_train:flat:27100,0,flat_train,flat,27100,stable,cost_stability,decision_time_s,6.955999999999997,0.009523809523787329,cost_energy,0.5387056566710693,0.6691725821253447,1,balanced,0.011355144203711469,0.2030304388839268,0.011355144203711469,0.5387056566710693,6.9540000000000015,160.06022391263184,unsupported,False,0.0,0.9824414480515397,0.01755855194846044,-7.190541602776262e-05
flat_train:flat:27100,0,flat_train,flat,27100,stable,cost_stability,decision_time_s,6.955999999999997,0.009523809523787329,cost_energy,0.5434552248821048,1.0,2,motion,0.011197067652175504,0.19835416724562394,0.011197067652175504,0.5434552248821048,6.955999999999997,161.47141561246366,strict,True,1.0,-0.0,0.0,0.004676271638302865
