manifest,trial,world,goal_x,lateral_bound,hold_vx,log_dir,d5_log_dir,learned_vx,learned_yaw,learned_body_h,learned_clearance,learned_enable,d7_rows,gate_rows,mlp_rows,reset_y,final_x,final_y,success_proxy,goal_proxy,out_lane_proxy,path_max_abs_y,path_mean_abs_y,motion_score_mean,stability_score_mean,energy_score_mean,effort_proxy_mean,hold_drift_mean,pred_beta_motion_mean,pred_beta_stability_mean,pred_beta_energy_mean,ram_slip_proxy_mean,ram_roughness_proxy_mean,ram_sigma_mean,ref_vx_mean,ref_yaw_rate_mean,ref_clearance_mean,accept_rate,moving_accept_rate,hold_accept_rate,reject_missing_learned,reject_vx,reject_yaw,reject_clearance,reject_hold_phase,mean_err_vx,mean_err_yaw_rate,mean_err_clearance,count_flat,count_upslope,count_rough,count_downslope,count_goal_flat
reports/phase_d4_context_meta_repeat_20260720_155704_manifest.tsv,1,tracer_mixed_stress_course_v5_lowfric_from_solid,8.0,2.0,0.025,/home/kraken/Tracer/TRACER/logs/phase_d4_context_meta_20260720_155706,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_155704_trial_1,True,True,False,True,False,2421,2423,2414,0.0,7.978586699,-0.139651401,1,1,0,0.196044733,0.07989726048120611,0.5748382933035936,0.9630495616761668,0.5618992179979347,0.43810078200206526,0.005725357558446923,0.32823025777199505,0.42951477931268073,0.24225496292730278,0.08566707971912434,0.158364312267658,0.1798430400660884,0.17015179677819084,0.0009962545691862867,0.04677612556794713,0.7271976888155179,0.9943566591422122,0.0,9,1,0,0,651,0.0030958790747509005,5.4096011019341566e-05,-4.796329790042534e-05,430,420,430,490,651
reports/phase_d4_context_meta_repeat_20260720_155704_manifest.tsv,2,tracer_mixed_stress_course_v5_lowfric_from_solid,8.0,2.0,0.025,/home/kraken/Tracer/TRACER/logs/phase_d4_context_meta_20260720_160209,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_155704_trial_2,True,True,False,True,False,2422,2424,2415,0.0,8.180005611,0.138273433,1,1,0,0.364492615,0.14998591246573081,0.5743312661870356,0.923956699891412,0.5600167272423617,0.4399832727576383,0.019534880598265896,0.31674645535796864,0.4500482454145334,0.2332052992469034,0.08590008257638315,0.1560487200660611,0.17848885218827415,0.1701063170933113,0.003072610363748968,0.046696944673823286,0.7252475247524752,0.9920993227990971,0.0,10,2,0,2,652,0.0012427254032891253,2.499832463915011e-06,-9.431888906603915e-06,438,423,410,499,652
reports/phase_d4_context_meta_repeat_20260720_155704_manifest.tsv,3,tracer_mixed_stress_course_v5_lowfric_from_solid,8.0,2.0,0.025,/home/kraken/Tracer/TRACER/logs/phase_d4_context_meta_20260720_160712,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_155704_trial_3,True,True,False,True,False,2421,2422,2414,0.0,7.829444582,-0.057587734,1,1,0,0.417246651,0.1794828786542751,0.5750646082771582,0.9228128052028087,0.5596831581433293,0.4403168418566708,0.006146339734820322,0.31740938148327136,0.4474714253990087,0.23511919311565468,0.08515076414704667,0.15921106980586536,0.18004956629491944,0.16946716232961587,0.003217145536968195,0.04681330028913672,0.7233691164327003,0.9937606352807714,0.0,9,1,0,1,659,0.003511482805581557,-6.44570874747164e-05,-3.7035899732153098e-06,424,415,439,484,659
reports/phase_d4_context_meta_repeat_20260720_162902_manifest.tsv,1,tracer_mixed_stress_course_v5_lowfric_from_solid,8.0,2.0,0.025,/home/kraken/Tracer/TRACER/logs/phase_d4_context_meta_20260720_162904,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_162902_trial_1,True,True,False,True,False,2420,2420,2411,-0.3,8.18816137,0.69381794,1,1,0,0.69381794,0.22194747996818182,0.5718272460099174,0.8980513543764462,0.5563942944727273,0.44360570552727274,0.016094793408677685,0.31117324643223143,0.4610933653652893,0.227733388203719,0.08857438016528926,0.1597727272727273,0.1828305785123967,0.17227685950413224,-0.0006927020644628099,0.04677272727272727,0.6904958677685951,0.9288493607559756,0.0,10,117,0,1,621,0.0033305655180641564,0.0006096386227748002,7.541771414170305e-05,427,427,429,516,621
reports/phase_d4_context_meta_repeat_20260720_164714_manifest.tsv,1,tracer_mixed_stress_course_v5_lowfric_from_solid,8.0,2.0,0.025,/home/kraken/Tracer/TRACER/logs/phase_d4_context_meta_20260720_164716,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_164714_trial_1,True,True,False,True,False,2420,2420,2415,0.3,8.138134719,0.082258329,1,1,0,0.085853206,0.03397188555165289,0.5747678115227273,0.976628096579752,0.5632483933549587,0.4367516066450413,0.01174272244876033,0.33063392899958677,0.42583768787190085,0.24352838314338843,0.08473140495867769,0.1584710743801653,0.17927685950413222,0.16961570247933885,-2.9200612396694216e-05,0.04680165289256198,0.7243801652892562,0.9954571266325951,0.0,6,2,0,0,659,0.0034512470984064047,0.0002230793525179299,-6.209468582401973e-05,432,412,436,481,659
reports/phase_d4_context_meta_repeat_20260720_180654_manifest.tsv,1,tracer_mixed_stress_course_v5_lowfric_from_solid,8.0,2.0,0.025,/home/kraken/Tracer/TRACER/logs/phase_d4_context_meta_20260720_180656,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_180654_trial_1,True,False,False,True,False,2528,2529,2520,-0.3,8.132972934,0.664389687,1,1,0,0.667301953,0.28582571604509494,0.5771795805379747,0.8731887007776898,0.5629824800941455,0.4370175199058544,0.015080972238528481,0.3015644696356804,0.47143569707357597,0.22699983329588608,0.08552215189873418,0.15547863924050634,0.1780854430379747,0.16842761075949367,-0.00017154783306962026,0.04671677215189873,0.6955318307631475,0.9596290234588107,0.0,10,64,0,0,696,0.005586020592422714,0.0006769369119991584,0.00033220954263021206,451,412,435,526,697
reports/phase_d4_context_meta_repeat_20260720_192118_manifest.tsv,1,tracer_mixed_stress_course_v5_lowfric_from_solid,8.0,2.0,0.025,/home/kraken/Tracer/TRACER/logs/phase_d4_context_meta_20260720_192120,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_192118_trial_1,False,True,False,True,False,2528,2529,2519,-0.3,8.248141589,0.473933466,1,1,0,0.505080384,0.24361184922112342,0.5779344588734178,0.8767572464054588,0.5653714785925633,0.4346285214074367,0.031771499982199365,0.30157495472943036,0.4762893269454114,0.22213571834414558,0.08417721518987342,0.15579509493670887,0.1771756329113924,0.1673892405063291,-0.0021320780996835443,0.046728639240506326,0.7149070778964017,0.9939527212754261,0.0,11,0,0,0,710,0.0037523034018578645,0.0013814903143632325,0.00026144308022158104,448,427,436,507,710
reports/phase_d4_context_meta_repeat_20260720_192832_manifest.tsv,1,tracer_mixed_stress_course_v5_lowfric_from_solid,8.0,2.0,0.025,/home/kraken/Tracer/TRACER/logs/phase_d4_context_meta_20260720_192834,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_192832_trial_1,False,False,False,True,False,2422,2428,2418,-0.3,8.004035251,0.183264746,1,1,0,0.198682501,0.08106945997811726,0.5759466004962841,0.9621508738860446,0.5638273908414534,0.43617260915854666,0.006250403294384806,0.3259869680660611,0.42898462239760526,0.24502840952146987,0.08453757225433527,0.15774153592072668,0.17850949628406276,0.16907927332782824,0.001021681843104872,0.04675474814203138,0.7219934102141681,0.9943278502552467,0.0,10,0,0,0,665,0.004178938739821378,5.098890912681795e-05,-1.904735284663968e-05,425,430,425,477,665
reports/phase_d4_context_meta_repeat_20260720_194813_manifest.tsv,1,tracer_mixed_stress_course_v5_lowfric_from_solid,8.0,2.0,0.025,/home/kraken/Tracer/TRACER/logs/phase_d4_context_meta_20260720_194815,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_194813_trial_1,False,False,False,True,False,2427,2428,2417,-0.3,8.066256841,-0.258636898,1,1,0,0.321473918,0.14412553860115368,0.5709680083716523,0.9320283505871446,0.5613047669394314,0.4386952330605686,0.012347210086526577,0.3208979420498558,0.44284962408199424,0.23625243386485373,0.08374536464771323,0.15768438401318502,0.17793572311495673,0.16977853316852082,0.001483544208487845,0.04677173465183354,0.7244645799011532,0.9932241671372106,0.0,12,0,0,0,657,-0.000995648399852353,5.700420699932532e-06,-1.328894531721773e-05,444,425,429,471,658
reports/phase_d4_context_meta_repeat_20260720_194813_manifest.tsv,2,tracer_mixed_stress_course_v5_lowfric_from_solid,8.0,2.0,0.025,/home/kraken/Tracer/TRACER/logs/phase_d4_context_meta_20260720_195321,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_194813_trial_2,False,False,False,True,False,2426,2428,2415,-0.3,8.211306298,-0.503370892,1,1,0,0.517949526,0.20932929799258038,0.5701007806389118,0.8891771891941468,0.5572892959884583,0.4427107040115416,0.03340507591055235,0.3080224039286892,0.4691904886830173,0.22278710738994228,0.08757213520197857,0.15752267106347898,0.1804616652926628,0.17205688375927453,0.0023366644084913436,0.04668178070898599,0.735996705107084,0.9927777777777778,0.0,13,0,0,0,628,4.3468607385214496e-05,-9.44690656872472e-05,1.018859603390324e-05,434,449,409,506,628
