policy,checkpoint,trained_reward_mode,eval_reward_mode,group,terrain,seed,status,settled,settling_steps,success,m4_terminal,m4_interventions,policy_steps,initial_goal_distance_m,final_goal_distance_m,progress_m,decision_time_s,energy_abs_j,energy_bracket_time_s,mean_cost_motion,mean_cost_stability,mean_cost_energy,sum_cost_motion,sum_cost_stability,sum_cost_energy,mean_progress_rate_mps,mean_energy_power_ratio,roll_rms_rad,pitch_rms_rad,max_abs_roll_rad,max_abs_pitch_rad,mean_action_vx_norm,mean_abs_action_yaw_norm,mean_action_height_norm,mean_requested_vx_mps,mean_abs_requested_yaw_rps,mean_requested_height_m,mean_requested_clearance_m,mean_applied_vx_mps,mean_abs_applied_yaw_rps,mean_applied_height_m,mean_applied_clearance_m,beta_name,beta_motion,beta_stability,beta_energy
beta_conditioned,results/icra27/phase1a_beta_conditioned_v2_seed27027/phase1_beta_identifiable_selected_u20.pt,tracer_cost_v2,tracer_cost_v2,flat_train,flat,27100,success,True,5,True,False,0,34,1.785599907755503,0.13352781566237468,1.6520720920931282,6.9540000000000015,160.06022391263184,6.949999999999502,0.2030304388839268,0.011355144203711469,0.5387056566710693,6.903034922053511,0.38607490292618996,18.315992326816357,0.23757564889285857,1.0543891198371194,0.003778554270891437,0.02789747874671039,0.009340843185782433,0.04599017649888992,0.0915507757488419,0.023184416177066264,-0.03100831894313588,0.2183101551497684,0.009273766470826504,0.2981395008634118,0.06,0.2183101551497684,0.009273766470826504,0.2981395008634118,0.06,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333
beta_conditioned,results/icra27/phase1a_beta_conditioned_v2_seed27027/phase1_beta_identifiable_selected_u20.pt,tracer_cost_v2,tracer_cost_v2,flat_train,flat,27101,success,True,5,True,False,0,34,1.785599907755503,0.13353191663750288,1.652067991118,6.961999999999999,159.53089920277537,6.955999999999501,0.2033722443053676,0.01134791284137214,0.5369241383872321,6.914656306382498,0.3858290366066528,18.25542070516589,0.23730220455570597,1.0502296911785114,0.0037511839412846955,0.027888594225758234,0.009399247355759144,0.04599037766456604,0.09149407420088262,0.02324964606497601,-0.03096939921926926,0.21829881484017652,0.009299858425990404,0.29814183604684386,0.06,0.21829881484017652,0.009299858425990404,0.29814183604684386,0.06,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333
beta_conditioned,results/icra27/phase1a_beta_conditioned_v2_seed27027/phase1_beta_identifiable_selected_u20.pt,tracer_cost_v2,tracer_cost_v2,flat_train,flat,27102,success,True,5,True,False,0,34,1.7889681907245567,0.13365421279922854,1.655313977925328,6.968000000000001,159.92103254215624,6.967999999999501,0.20303906793465695,0.011385505444421061,0.5382371881359014,6.9033283097783364,0.3871071851103161,18.300064396620648,0.23756874565227443,1.0511981801463008,0.00372037718468424,0.027934749690911736,0.00873662531375885,0.04589219391345978,0.09146130983443822,0.02325548991554088,-0.03095480227185523,0.21829226196688764,0.009302195966216353,0.2981427118636886,0.06,0.21829226196688764,0.009302195966216353,0.2981427118636886,0.06,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333
beta_conditioned,results/icra27/phase1a_beta_conditioned_v2_seed27027/phase1_beta_identifiable_selected_u20.pt,tracer_cost_v2,tracer_cost_v2,flat_train,flat,27103,success,True,5,True,False,0,34,1.7828367853620484,0.13375760467918485,1.6490791806828635,6.951999999999999,160.26338971015153,6.9499999999995,0.2035325858964294,0.011291397168657449,0.5393894403225634,6.920107920478599,0.3839075037343533,18.339240970967158,0.23717393128285652,1.0555695344468632,0.0037704511451899228,0.027819061128085933,0.009683134034276009,0.04605530947446823,0.09150049879270442,0.023216725058292094,-0.030969649224596864,0.2183000997585409,0.00928669002331684,0.2981418210465242,0.06,0.2183000997585409,0.00928669002331684,0.2981418210465242,0.06,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333
beta_conditioned,results/icra27/phase1a_beta_conditioned_v2_seed27027/phase1_beta_identifiable_selected_u20.pt,tracer_cost_v2,tracer_cost_v2,flat_train,flat,27104,success,True,5,True,False,0,34,1.785599907755503,0.13744747428156676,1.6481524334739361,6.932000000000001,158.97423783599203,6.931999999999495,0.20275299564345195,0.011229601636326709,0.5350506146609368,6.893601851877366,0.3818064556351081,18.191720898471853,0.23779760348523848,1.0496842307852312,0.0037449906808635254,0.02774283264576195,0.009205292910337448,0.04598367214202881,0.09158306108678088,0.023147947726743844,-0.031037547817344174,0.2183166122173562,0.009259179090697539,0.29813774713095936,0.06,0.2183166122173562,0.009259179090697539,0.29813774713095936,0.06,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333
beta_conditioned,results/icra27/phase1a_beta_conditioned_v2_seed27027/phase1_beta_identifiable_selected_u20.pt,tracer_cost_v2,tracer_cost_v2,flat_train,flat,27105,success,True,5,True,False,0,34,1.785599907755503,0.13353503410040374,1.6520648736550991,6.960000000000001,158.94574215766195,6.9559999999995,0.2033471031204577,0.011368821516054863,0.5349547083655947,6.913801506095562,0.38653993154586536,18.18846008443022,0.23732231750363386,1.0464012577667208,0.0037078024017820673,0.02791427472128249,0.009133921936154366,0.0459834560751915,0.09144859629518845,0.023260361438802005,-0.030936062281184337,0.21828971925903773,0.009304144575520801,0.29814383626312896,0.06,0.21828971925903773,0.009304144575520801,0.29814383626312896,0.06,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333
beta_conditioned,results/icra27/phase1a_beta_conditioned_v2_seed27027/phase1_beta_identifiable_selected_u20.pt,tracer_cost_v2,tracer_cost_v2,flat_train,flat,27106,success,True,5,True,False,0,34,1.7889681907245567,0.13562108231767314,1.6533471084068836,6.960000000000001,159.80368638264576,6.959999999999497,0.2030361497534538,0.011411024672171024,0.5378422427936318,6.903229091617429,0.38797483885381484,18.28663625498348,0.23757108019723702,1.0508791677019185,0.003701808944034051,0.027966038508373155,0.008651052601635456,0.045418716967105865,0.09153505546205185,0.023217403038870543,-0.03101435933700379,0.21830701109241035,0.009286961215548216,0.2981391384397798,0.06,0.21830701109241035,0.009286961215548216,0.2981391384397798,0.06,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333
beta_conditioned,results/icra27/phase1a_beta_conditioned_v2_seed27027/phase1_beta_identifiable_selected_u20.pt,tracer_cost_v2,tracer_cost_v2,flat_train,flat,27107,success,True,5,True,False,0,34,1.785599907755503,0.13506029175103376,1.6505396160044692,6.954000000000002,160.13983450516537,6.953999999999498,0.20329890418813903,0.011340106413105296,0.5389735975465749,6.912162742396728,0.38556361804558004,18.325102316583546,0.2373608766494888,1.0541418003925793,0.0037737442759403347,0.02787899975916583,0.009340843185782433,0.046033672988414764,0.09153680284233655,0.023227819924667367,-0.03099726849947782,0.2183073605684673,0.009291127969866947,0.2981401638900313,0.06,0.2183073605684673,0.009291127969866947,0.2981401638900313,0.06,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333
beta_conditioned,results/icra27/phase1a_beta_conditioned_v2_seed27027/phase1_beta_identifiable_selected_u20.pt,tracer_cost_v2,tracer_cost_v2,flat_train,flat,27108,success,True,5,True,False,0,34,1.7828367853620484,0.1323196803260452,1.6505171050360032,6.966000000000001,158.62312640248345,6.953999999999504,0.2038492129557286,0.011300652711629682,0.5338688987372093,6.930873240494773,0.3842221921954092,18.151542557065117,0.23692062963541716,1.0443483765861623,0.003761030229520911,0.027830460422721782,0.00965013075619936,0.04607316106557846,0.09143263496020261,0.02329387394403217,-0.030924272340010193,0.2182865269920405,0.00931754957761287,0.2981445436595993,0.06,0.2182865269920405,0.00931754957761287,0.2981445436595993,0.06,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333
beta_conditioned,results/icra27/phase1a_beta_conditioned_v2_seed27027/phase1_beta_identifiable_selected_u20.pt,tracer_cost_v2,tracer_cost_v2,flat_train,flat,27109,success,True,5,True,False,0,34,1.785599907755503,0.13401070366471013,1.6515892040907927,6.958000000000002,160.40044720530184,6.9559999999995,0.20336247688943415,0.011319688092373712,0.5398507269940538,6.914324214240761,0.3848693951407062,18.35492471779783,0.2373100184884527,1.0563546059679663,0.0037465691013226863,0.02785389014374855,0.009147762320935726,0.04594922438263893,0.09148657782112851,0.02321115681757767,-0.030968166312531513,0.21829731556422569,0.009284462727031068,0.29814191002124807,0.06,0.21829731556422569,0.009284462727031068,0.29814191002124807,0.06,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333
