terrain,vx,body_height,clearance,n,valid_rate,bad_rate,mean_cost,std_cost,mean_dx,std_dx,mean_z_p10,mean_abs_dy_per_dx,mean_roll_abs_max,mean_pitch_abs_max,mean_abs_yaw_delta,labels,episodes,group_label
sponge_firm_flat,0.08,0.3399999999999999,0.12,2,1.0,0.5,4.7209493596067444,6.602114523895762,0.07422200406242455,0.06649512265661592,0.2407867661369954,0.46668286493936967,0.05449633682916915,0.14758232594875445,0.08284421695588615,"{'variable_or_unknown': 1, 'negative_low_height': 1}","['sponge_firm_flat_sponge_refine_vx008_h034_c012_r1_20260629_181155', 'sponge_firm_flat_sponge_refine_vx008_h034_c012_r2_20260629_181212']",avoid_variable_or_bad
sponge_firm_flat,0.08,0.32,0.1,2,1.0,1.0,5.76036245963043,2.204411904254539,0.0811140488866357,0.048996280295373465,0.13896026759252736,0.06329995374284886,0.07674415714068004,0.1796731244531094,0.04745579376627125,{'negative_low_height': 2},"['sponge_firm_flat_sponge_refine_vx008_h032_c010_r1_20260629_181122', 'sponge_firm_flat_sponge_refine_vx008_h032_c010_r2_20260629_181138']",avoid_variable_or_bad
sponge_firm_flat,0.08,0.3399999999999999,0.1,4,1.0,1.0,5.920273830031148,2.37789540465907,0.08708721382220355,0.04253025372433012,0.2503927616588284,0.3311519202352652,0.048685482566024646,0.15472163512680145,0.04917197642039485,{'negative_low_height': 4},"['sponge_firm_flat_sponge_cautious_vx008_h034_c010_r1_20260629_180708', 'sponge_firm_flat_sponge_cautious_vx008_h034_c010_r2_20260629_180724', 'sponge_firm_flat_sponge_refine_vx008_h034_c010_r1_20260629_181016', 'sponge_firm_flat_sponge_refine_vx008_h034_c010_r2_20260629_181033']",avoid_variable_or_bad
sponge_firm_flat,0.1,0.32,0.06,2,1.0,1.0,6.657225723973806,3.699774275949514,0.0379164344535039,0.06944964388873544,0.23326648002461675,2.399509318995365,0.03067520791558775,0.1074608118016409,0.0323182041312122,{'negative_low_height': 2},"['sponge_firm_flat_gms_acceptable_vx010_h032_c006_r1_20260629_180104', 'sponge_firm_flat_gms_acceptable_vx010_h032_c006_r2_20260629_180119']",avoid_variable_or_bad
sponge_firm_flat,0.07,0.3399999999999999,0.1,2,1.0,1.0,6.697110915858862,3.5891554044433134,0.0304721008920454,0.02908752957933152,0.2478694855265169,0.19184769150013195,0.04515482587313065,0.10136292678122974,0.04784811082676485,{'negative_low_height': 2},"['sponge_firm_flat_sponge_refine_vx007_h034_c010_r1_20260629_180943', 'sponge_firm_flat_sponge_refine_vx007_h034_c010_r2_20260629_180959']",avoid_variable_or_bad
sponge_firm_flat,0.1,0.3399999999999999,0.06,2,1.0,1.0,6.765678444144154,3.4345035818220286,0.05013681204765985,0.029064979225540258,0.238551937246558,1.2282958552406613,0.05722072986601286,0.15917203125831925,0.05170365819121869,{'negative_low_height': 2},"['sponge_firm_flat_gms_balanced_vx010_h034_c006_r1_20260629_180030', 'sponge_firm_flat_gms_balanced_vx010_h034_c006_r2_20260629_180047']",avoid_variable_or_bad
sponge_firm_flat,0.12,0.32,0.06,2,1.0,1.0,7.392544487450073,1.7009173108771274,0.0724056648675612,0.018433914423796195,0.24075878447030546,0.6758667267415621,0.0369836401347699,0.25769088202629037,0.11918004242950755,{'negative_low_height': 2},"['sponge_firm_flat_gms_fast_vx012_h032_c006_r1_20260629_175957', 'sponge_firm_flat_gms_fast_vx012_h032_c006_r2_20260629_180014']",avoid_variable_or_bad
sponge_firm_flat,0.0899999999999999,0.3399999999999999,0.1,2,1.0,1.0,7.634462440952867,2.09837356971048,0.0532750158993975,0.010607078886065407,0.21216248343310085,0.38344882072749653,0.044512309117099,0.0848757119329994,0.0586630514706441,{'negative_low_height': 2},"['sponge_firm_flat_sponge_refine_vx009_h034_c010_r1_20260629_181049', 'sponge_firm_flat_sponge_refine_vx009_h034_c010_r2_20260629_181106']",avoid_variable_or_bad
sponge_firm_flat,0.06,0.3399999999999999,0.1,2,1.0,1.0,7.722594372676504,2.1674988236447676,0.0424049233735544,0.08994739301548904,0.21209387066522714,0.6305868130587027,0.0785758589243521,0.11645257220799535,0.01857696590636465,{'negative_low_height': 2},"['sponge_firm_flat_sponge_cautious_vx006_h034_c010_r1_20260629_180635', 'sponge_firm_flat_sponge_cautious_vx006_h034_c010_r2_20260629_180652']",avoid_variable_or_bad
sponge_firm_flat,0.05,0.3399999999999999,0.08,2,1.0,1.0,8.346249270697815,1.5349417279328987,-0.00824821958822185,0.07237486409304282,0.2054524309632575,0.3835685587713856,0.054595024686079505,0.15241850449250927,0.02404067219185895,{'negative_low_height': 2},"['sponge_firm_flat_sponge_cautious_vx005_h034_c008_r1_20260629_180602', 'sponge_firm_flat_sponge_cautious_vx005_h034_c008_r2_20260629_180618']",avoid_variable_or_bad
sponge_firm_flat,0.0899999999999999,0.32,0.05,2,1.0,1.0,8.787188854723412,0.529454054121649,0.0681710786458764,0.029686184817377552,0.20317450881202193,0.719087198306112,0.100441751021442,0.17608406531592935,0.01092785938638495,{'negative_low_height': 2},"['sponge_firm_flat_gms_diagnostic_vx009_h032_c005_r1_20260629_180137', 'sponge_firm_flat_gms_diagnostic_vx009_h032_c005_r2_20260629_180153']",avoid_variable_or_bad
sponge_firm_flat,0.05,0.3599999999999999,0.1,2,1.0,1.0,9.246683756426492,0.014350041701846495,-0.0132963830192241,0.023554657854362504,0.26384078421559376,3.0524630775861685,0.04166739169556945,0.1010428651574051,0.00753200638572445,{'negative_low_height': 2},"['sponge_firm_flat_sponge_probe_vx005_h036_c010_r1_20260629_180740', 'sponge_firm_flat_sponge_probe_vx005_h036_c010_r2_20260629_180756']",avoid_variable_or_bad
sponge_firm_flat,0.03,0.3399999999999999,0.08,2,1.0,1.0,9.296298494546221,0.01822763220799324,-0.0123386126992304,0.008998395164244609,0.2189458870595298,5.792135097274933,0.04726865760605645,0.1289628276001726,0.00909255167302345,{'negative_low_height': 2},"['sponge_firm_flat_sponge_cautious_vx003_h034_c008_r1_20260629_180530', 'sponge_firm_flat_sponge_cautious_vx003_h034_c008_r2_20260629_180546']",avoid_variable_or_bad
