schema_version,row_granularity,source_phase,candidate_mode,trial_idx,source_rollout_id,rough_window_count,rough_window_types,rough_evidence_roles,rough_t_start,rough_t_end,rough_elapsed_span_s,rough_observed_duration_s,rough_span_coverage_ratio,rough_window_rows,rough_state_rows,rough_x_start,rough_y_start,rough_x_end,rough_y_end,rough_max_x_proxy,rough_progress,rough_progress_rate,rough_mean_abs_y,rough_max_abs_y,rough_start_abs_y,rough_end_abs_y,rough_lateral_growth,rough_completed,goal_reached,outcome_class,rollout_status,rollout_final_x,rollout_final_y,rollout_max_abs_y,rollout_mean_abs_y,mean_emp_clearance,mean_out_clearance,mean_realized_clearance_delta,manifest,d5_log_dir,j7_csv,run_dir
phase_l6e_v0,rough_rollout,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_low05,3,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:rough_clear_low05:3,1,accepted_candidate_exposure,candidate_exposure,1784995800.413818,1784995843.813757,43.39993906021118,43.39993906021118,1.0,435,435,4.00344,-0.031287,5.997309,0.093441,5.997309,1.9938689999999992,0.04594174653641316,0.041762710344827585,0.096159,0.031287,0.093441,0.062153999999999994,1,1,goal_success,ok,8.053316,0.012792,0.144655,0.03955,0.055,0.050020689655172416,-0.0049793103448275864,reports/phase_d4_context_meta_repeat_20260725_120734_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_120734_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/9_rough_clear_low05_r3/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/9_rough_clear_low05_r3
phase_l6e_v0,rough_rollout,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_noop,3,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:rough_noop:3,2,accepted_candidate_exposure,control_equivalent_noop,1784996663.844519,1784996803.844934,140.00041508674622,133.6006109714508,0.9542872489961548,1338,1331,4.002,-0.242171,4.122441,0.829552,4.122441,0.12044100000000046,0.0008602903064635454,0.4476321525493354,1.021802,0.242171,0.829552,0.5873809999999999,0,0,rough_incomplete,ok,4.122441,0.829552,1.021867,0.347315,0.05498505231689089,0.05499103139013452,5.9790732436472345e-06,reports/phase_d4_context_meta_repeat_20260725_122158_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_122158_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/12_rough_noop_r3/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/12_rough_noop_r3
phase_l6e_v0,rough_rollout,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,baseline,4,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:baseline:4,1,empirical_context_window,reference_anchor,1784997247.5600815,1784997289.6599503,42.09986877441406,42.09986877441406,1.0,422,422,4.003948898562819,-0.1623927154362955,5.996438708605973,0.043021366697958224,5.996438708605973,1.9924898100431543,0.04732769645244305,0.11296552468604246,0.20476357394798644,0.1623927154362955,0.043021366697958224,-0.11937134873833727,1,1,goal_success,ok,8.04598,0.01278,0.204764,0.059644,0.055,,,reports/phase_d4_context_meta_repeat_20260725_123137_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_123137_trial_1,NA,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/14_baseline_r4
phase_l6e_v0,rough_rollout,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_high05,4,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:rough_clear_high05:4,1,accepted_candidate_exposure,candidate_exposure,1784996961.726981,1784997005.327388,43.600407123565674,43.600407123565674,1.0,437,437,4.002904,-0.099069,5.996685,-0.194045,5.996685,1.9937810000000002,0.04572849501954255,0.08290437299771167,0.194362,0.099069,0.194045,0.09497599999999999,1,1,goal_success,ok,8.056554,-0.201096,0.257765,0.128441,0.055,0.06,0.005,reports/phase_d4_context_meta_repeat_20260725_122654_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_122654_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/13_rough_clear_high05_r4/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/13_rough_clear_high05_r4
phase_l6e_v0,rough_rollout,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_low05,4,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:rough_clear_low05:4,1,accepted_candidate_exposure,candidate_exposure,1784997816.99182,1784997860.891855,43.90003490447998,43.90003490447998,1.0,440,440,4.001725,-0.090012,5.994816,0.088309,5.994816,1.9930909999999997,0.04540067005269296,0.05674500909090909,0.120119,0.090012,0.088309,-0.0017029999999999962,1,1,goal_success,ok,8.146958,0.259144,0.291234,0.132388,0.05497727272727273,0.04999772727272728,-0.004979545454545454,reports/phase_d4_context_meta_repeat_20260725_124108_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_124108_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/16_rough_clear_low05_r4/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/16_rough_clear_low05_r4
phase_l6e_v0,rough_rollout,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_noop,4,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:rough_noop:4,1,accepted_candidate_exposure,control_equivalent_noop,1784997528.416283,1784997570.816298,42.400015115737915,42.400015115737915,1.0,425,425,4.005194,-0.058469,5.998242,-0.162881,5.998242,1.993048,0.04700583229887166,0.0714516894117647,0.166264,0.058469,0.162881,0.104412,1,1,goal_success,ok,8.18585,-0.187117,0.251561,0.123982,0.055,0.055,0.0,reports/phase_d4_context_meta_repeat_20260725_123623_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_123623_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/15_rough_noop_r4/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/15_rough_noop_r4
phase_l6e_v0,rough_rollout,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,baseline,5,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:baseline:5,1,empirical_context_window,reference_anchor,1785020308.4714386,1785020351.5716226,43.100183963775635,43.100183963775635,1.0,432,432,4.0018888149735545,-0.0698028594879741,5.999759180681035,-0.12833251761076372,5.999759180681035,1.9978703657074801,0.04635410297521301,0.14660868951163897,0.21466883093770223,0.0698028594879741,0.12833251761076372,0.058529658122789624,1,1,goal_success,ok,8.057442,-0.324628,0.341692,0.137179,0.055,,,reports/phase_d4_context_meta_repeat_20260725_185559_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_185559_trial_1,NA,logs/phase_l/l6d_repair_baseline_repeat5_20260725_185555/1_baseline_r5
phase_l6e_v0,rough_rollout,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_high05,5,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:rough_clear_high05:5,1,accepted_candidate_exposure,candidate_exposure,1784999933.421384,1784999979.721356,46.29997181892395,46.29997181892395,1.0,464,464,4.004741,-0.193724,5.998214,-0.24256,5.998214,1.9934729999999998,0.04305559856054206,0.3202252327586207,0.397163,0.193724,0.24256,0.04883599999999999,1,1,goal_success,ok,8.101602,0.192371,0.39695,0.148957,0.055,0.06,0.004999999999999999,reports/phase_d4_context_meta_repeat_20260725_131608_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_131608_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/18_rough_clear_high05_r5/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/18_rough_clear_high05_r5
phase_l6e_v0,rough_rollout,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_low05,5,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:rough_clear_low05:5,1,accepted_candidate_exposure,candidate_exposure,1785000226.041142,1785000335.541342,109.50020003318787,109.50020003318787,1.0,1096,1096,4.003265,-0.15141,5.998851,-0.032363,5.998851,1.9955860000000003,0.018224496388090324,0.14750296167883212,0.343669,0.15141,0.032363,-0.11904699999999999,1,0,goal_failure_after_rough,ok,7.053154,0.060295,0.343778,0.11426,0.055,0.05,-0.005,reports/phase_d4_context_meta_repeat_20260725_132119_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_132119_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/19_rough_clear_low05_r5/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/19_rough_clear_low05_r5
phase_l6e_v0,rough_rollout,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_noop,5,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:rough_noop:5,2,accepted_candidate_exposure,candidate_exposure;control_equivalent_noop,1785000521.66448,1785000564.664587,43.00010704994202,42.90020513534546,0.9976767054444649,431,430,4.000152,-0.148324,5.999206,-0.285024,5.999206,1.999054,0.04648951216977716,0.2349199307301244,0.314107,0.148324,0.285024,0.1367,1,1,goal_success,ok,8.061919,-0.127896,0.344412,0.174157,0.05497679814385151,0.0549860788863109,9.280742459396753e-06,reports/phase_d4_context_meta_repeat_20260725_132615_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_132615_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/20_rough_noop_r5/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/20_rough_noop_r5
phase_l6e_v0,rough_rollout,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,baseline,6,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:baseline:6,1,empirical_context_window,reference_anchor,1785001392.0649903,1785001432.1649306,40.09994029998779,40.09994029998779,1.0,402,402,4.001794513572334,-0.6397186944351757,5.9965843538520165,-0.8331104767526479,5.9965843538520165,1.9947898402796822,0.04974545661057479,0.6598970928303907,0.8331104767526479,0.6397186944351757,0.8331104767526479,0.19339178231747223,1,1,goal_success,ok,8.086421,-0.71761,0.848269,0.533243,0.055,,,reports/phase_d4_context_meta_repeat_20260725_134039_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_134039_trial_1,NA,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/23_baseline_r6
phase_l6e_v0,rough_rollout,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_high05,6,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:rough_clear_high05:6,1,accepted_candidate_exposure,candidate_exposure,1785001669.357625,1785001714.857612,45.49998688697815,45.49998688697815,1.0,456,456,4.001589,-0.387571,5.996623,-0.28709,5.996623,1.9950339999999995,0.04384691373550632,0.35778199561403506,0.440553,0.387571,0.28709,-0.10048099999999999,1,1,goal_success,ok,8.063012,-0.089352,0.440553,0.22068,0.05500000000000001,0.059997807017543855,0.0049978070175438595,reports/phase_d4_context_meta_repeat_20260725_134524_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_134524_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/24_rough_clear_high05_r6/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/24_rough_clear_high05_r6
phase_l6e_v0,rough_rollout,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_low05,6,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:rough_clear_low05:6,1,accepted_candidate_exposure,candidate_exposure,1785000810.00657,1785000853.606335,43.599764823913574,43.599764823913574,1.0,437,437,4.002385,-0.255634,5.998889,-0.290447,5.998889,1.9965039999999998,0.045791623144374356,0.29739515789473686,0.320121,0.255634,0.290447,0.03481300000000004,1,1,goal_success,ok,8.134864,-0.478736,0.478736,0.242735,0.05497711670480549,0.049997711670480546,-0.004979405034324943,reports/phase_d4_context_meta_repeat_20260725_133101_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_133101_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/21_rough_clear_low05_r6/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/21_rough_clear_low05_r6
phase_l6e_v0,rough_rollout,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_noop,6,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:rough_noop:6,1,mixed_route_noop_window,control_equivalent_noop,1785001097.764698,1785001142.964568,45.199869871139526,45.199869871139526,1.0,453,453,4.002298,-0.331905,5.998531,-0.459873,5.998531,1.9962330000000001,0.044164574050568464,0.3590012163355408,0.459873,0.331905,0.459873,0.12796799999999997,1,1,goal_success,ok,8.14782,-0.332926,0.484818,0.27253,0.055,0.055,0.0,reports/phase_d4_context_meta_repeat_20260725_133546_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_133546_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/22_rough_noop_r6/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/22_rough_noop_r6
