schema_version,row_granularity,source_phase,candidate_mode,trial_idx,source_rollout_id,window_id,window_type,context,action_id,t_start,t_end,duration_s,window_rows,state_rows,state_coverage_ratio,x_start,y_start,x_end,y_end,mean_abs_y_window,max_abs_y_window,beta_motion_mean,beta_stability_mean,beta_energy_mean,ram_slip_mean,ram_roughness_mean,ram_sigma_mean,emp_vx_mean,emp_yaw_rate_mean,emp_body_h_mean,emp_clearance_mean,emp_enable_mean,proj_vx_mean,proj_yaw_rate_mean,proj_body_h_mean,proj_clearance_mean,proj_enable_mean,out_vx_mean,out_yaw_rate_mean,out_body_h_mean,out_clearance_mean,out_enable_mean,delta_vx_mean,delta_yaw_rate_mean,delta_body_h_mean,delta_clearance_mean,vx_scale_mean,vx_delta_mean,yaw_gain_scale_mean,body_h_delta_mean,clearance_delta_mean,goal_reached,final_x,final_y,rollout_max_abs_y,rollout_mean_abs_y,rollout_risk_score,rollout_decision_raw,rollout_decision_label,evidence_role,direct_action_label_allowed,manifest,d5_log_dir,j7_csv,run_dir
phase_l2_v1,context_action_window,L5F_FRESH_BODY_HEIGHT_VALIDITY_20260724_232525,baseline,1,L5F_FRESH_BODY_HEIGHT_VALIDITY_20260724_232525:baseline:1,baseline:flat:1,empirical_context_window,flat,empirical,1784949993.0404806,1784950039.740493,46.70001244544983,468,468,1.0,-0.000567782437122886,-0.0015965557568201022,1.9950921910276715,-0.10662469013799561,0.04569695208731139,0.10662469013799561,0.45,0.25,0.3,0.0,0.05,0.05,0.21,0.00045504316236530997,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,True,8.089472,-0.134101,0.452560,0.183956,,pilot_unlabeled,pilot_unlabeled,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260724_232529_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260724_232529_trial_1,NA,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/1_baseline_r1
phase_l2_v1,context_action_window,L5F_FRESH_BODY_HEIGHT_VALIDITY_20260724_232525,flat_noop,1,L5F_FRESH_BODY_HEIGHT_VALIDITY_20260724_232525:flat_noop:1,flat_noop:flat:1:1,mixed_route_noop_window,flat,1,1784950275.377136,1784950319.477107,44.0999710559845,442,414,0.9366515837104072,2e-06,1.1e-05,1.999681,-0.053028,0.05788745022624434,0.083977,0.44883777239709444,0.2508716707021792,0.30029055690072637,0.0009685230024213075,0.05048426150121066,0.051452784503631964,0.21,0.0014222913122171946,0.32,0.045,1.0,0.2098337104072398,0.0014222913122171946,0.3199819004524887,0.04501809954751131,1.0,0.21,0.0014222913122171946,0.32,0.045,1.0,-0.000166289592760181,0.0,-1.8099547511312218e-05,1.8099547511312218e-05,1.0,0.0,1.0,0.0,0.0,True,8.063932,-0.583283,0.584739,0.185086,,pilot_unlabeled,pilot_unlabeled,control_equivalent_noop,0,reports/phase_d4_context_meta_repeat_20260724_233015_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260724_233015_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/2_flat_noop_r1/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/2_flat_noop_r1
phase_l2_v1,context_action_window,L5F_FRESH_BODY_HEIGHT_VALIDITY_20260724_232525,flat_body_low05,1,L5F_FRESH_BODY_HEIGHT_VALIDITY_20260724_232525:flat_body_low05:1,flat_body_low05:flat:1:1,accepted_candidate_exposure,flat,1,1784950560.986312,1784950606.586355,45.600043058395386,457,429,0.9387308533916849,0.000838,0.000643,1.995926,-0.091714,0.0351194989059081,0.095828,0.45,0.25,0.3,0.0,0.05,0.05,0.21,0.0005716,0.32,0.045,1.0,0.21,0.0005716,0.315,0.045,1.0,0.21,0.0005716,0.315,0.045,1.0,0.0,0.0,-0.005,0.0,1.0,0.0,1.0,-0.005,0.0,True,8.161970,-0.554760,0.596631,0.282726,,pilot_unlabeled,pilot_unlabeled,candidate_exposure,0,reports/phase_d4_context_meta_repeat_20260724_233501_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260724_233501_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/3_flat_body_low05_r1/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/3_flat_body_low05_r1
phase_l2_v1,context_action_window,L5F_FRESH_BODY_HEIGHT_VALIDITY_20260724_232525,flat_body_high05,1,L5F_FRESH_BODY_HEIGHT_VALIDITY_20260724_232525:flat_body_high05:1,flat_body_high05:flat:1:1,accepted_candidate_exposure,flat,1,1784950846.741504,1784950893.541553,46.80004906654358,469,441,0.9402985074626866,0.000349,0.000238,1.999787,-0.037002,0.018076827292110874,0.054533,0.45,0.25,0.3,0.0,0.05,0.05,0.21,0.000367737078891258,0.32,0.045,1.0,0.21,0.000367737078891258,0.325,0.045,1.0,0.21,0.000367737078891258,0.325,0.045,1.0,0.0,0.0,0.005,0.0,1.0,0.0,1.0,0.005,0.0,True,8.149121,0.043362,0.283763,0.112889,,pilot_unlabeled,pilot_unlabeled,candidate_exposure,0,reports/phase_d4_context_meta_repeat_20260724_233947_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260724_233947_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/4_flat_body_high05_r1/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/4_flat_body_high05_r1
phase_l2_v1,context_action_window,L5F_FRESH_BODY_HEIGHT_VALIDITY_20260724_232525,flat_noop,2,L5F_FRESH_BODY_HEIGHT_VALIDITY_20260724_232525:flat_noop:2,flat_noop:flat:1:1,accepted_candidate_exposure,flat,1,1784951142.374597,1784951187.774749,45.40015196800232,455,427,0.9384615384615385,0.001039,0.000653,1.999359,0.043855,0.022691395604395603,0.055805,0.45,0.25,0.3,0.0,0.05,0.05,0.21,-4.52209010989011e-05,0.32,0.045,1.0,0.21,-4.52209010989011e-05,0.32,0.045,1.0,0.21,-4.52209010989011e-05,0.32,0.045,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,8.211580,1.166749,1.263817,0.403399,,pilot_unlabeled,pilot_unlabeled,control_equivalent_noop,0,reports/phase_d4_context_meta_repeat_20260724_234443_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260724_234443_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/5_flat_noop_r2/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/5_flat_noop_r2
phase_l2_v1,context_action_window,L5F_FRESH_BODY_HEIGHT_VALIDITY_20260724_232525,flat_body_low05,2,L5F_FRESH_BODY_HEIGHT_VALIDITY_20260724_232525:flat_body_low05:2,flat_body_low05:flat:1:1,accepted_candidate_exposure,flat,1,1784951438.191087,1784951481.591433,43.40034604072571,435,408,0.9379310344827586,0.004492,0.002733,1.999407,-0.060664,0.04152529425287357,0.070026,0.45,0.25,0.3,0.0,0.05,0.05,0.21,-0.000513887724137931,0.32,0.045,1.0,0.21,-0.000513887724137931,0.315,0.045,1.0,0.21,-0.000513887724137931,0.315,0.045,1.0,0.0,0.0,-0.005,0.0,1.0,0.0,1.0,-0.005,0.0,True,8.137296,0.128941,0.245758,0.079661,,pilot_unlabeled,pilot_unlabeled,candidate_exposure,0,reports/phase_d4_context_meta_repeat_20260724_234938_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260724_234938_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/6_flat_body_low05_r2/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/6_flat_body_low05_r2
phase_l2_v1,context_action_window,L5F_FRESH_BODY_HEIGHT_VALIDITY_20260724_232525,flat_body_high05,2,L5F_FRESH_BODY_HEIGHT_VALIDITY_20260724_232525:flat_body_high05:2,flat_body_high05:flat:1:1,accepted_candidate_exposure,flat,1,1784951723.887373,1784951768.487871,44.60049796104431,447,420,0.9395973154362416,0.002576,0.001885,1.996673,-0.173966,0.05476825727069351,0.173966,0.45,0.25,0.3,0.0,0.05,0.05,0.21,0.0012821578970917227,0.32,0.045,1.0,0.21,0.0012821578970917227,0.325,0.045,1.0,0.21,0.0012821578970917227,0.325,0.045,1.0,0.0,0.0,0.005,0.0,1.0,0.0,1.0,0.005,0.0,True,8.030117,-0.222200,0.394928,0.245139,,pilot_unlabeled,pilot_unlabeled,candidate_exposure,0,reports/phase_d4_context_meta_repeat_20260724_235424_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260724_235424_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/7_flat_body_high05_r2/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/7_flat_body_high05_r2
phase_l2_v1,context_action_window,L5F_FRESH_BODY_HEIGHT_VALIDITY_20260724_232525,baseline,2,L5F_FRESH_BODY_HEIGHT_VALIDITY_20260724_232525:baseline:2,baseline:flat:1,empirical_context_window,flat,empirical,1784952008.925896,1784952054.4261563,45.50026035308838,456,456,1.0,-0.0014392372007741377,0.0003605057046172028,1.9991655796379764,-0.11353891910932075,0.07076467939213534,0.16144656591546652,0.45,0.25,0.3,0.0,0.05,0.05,0.21,0.0016115541403329621,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,True,8.111476,0.146291,0.338814,0.156160,,pilot_unlabeled,pilot_unlabeled,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260724_235906_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260724_235906_trial_1,NA,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/8_baseline_r2
phase_l2_v1,context_action_window,L5F_FRESH_BODY_HEIGHT_VALIDITY_20260724_232525,flat_body_low05,3,L5F_FRESH_BODY_HEIGHT_VALIDITY_20260724_232525:flat_body_low05:3,flat_body_low05:flat:1:1,accepted_candidate_exposure,flat,1,1784952301.732512,1784952345.132666,43.40015411376953,435,408,0.9379310344827586,0.004579,0.002863,1.998943,0.018944,0.020243294252873564,0.035031,0.45,0.25,0.3,0.0,0.05,0.05,0.21,-0.0004445664827586207,0.32,0.045,1.0,0.21,-0.0004445664827586207,0.315,0.045,1.0,0.21,-0.0004445664827586207,0.315,0.045,1.0,0.0,0.0,-0.005,0.0,1.0,0.0,1.0,-0.005,0.0,True,8.106498,-0.072473,0.151546,0.071031,,pilot_unlabeled,pilot_unlabeled,candidate_exposure,0,reports/phase_d4_context_meta_repeat_20260725_000402_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_000402_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/9_flat_body_low05_r3/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/9_flat_body_low05_r3
phase_l2_v1,context_action_window,L5F_FRESH_BODY_HEIGHT_VALIDITY_20260724_232525,flat_body_high05,3,L5F_FRESH_BODY_HEIGHT_VALIDITY_20260724_232525:flat_body_high05:3,flat_body_high05:flat:1:1,accepted_candidate_exposure,flat,1,1784952587.554028,1784952631.554015,43.99998688697815,439,407,0.9271070615034168,0.000926,0.000751,1.995848,-0.083016,0.025870781321184512,0.083016,0.45,0.25,0.3,0.0,0.05,0.05,0.21,0.0005500818223234624,0.32,0.045,1.0,0.21,0.0005500818223234624,0.325,0.045,1.0,0.21,0.0005500818223234624,0.325,0.045,1.0,0.0,0.0,0.005,0.0,1.0,0.0,1.0,0.005,0.0,True,8.127363,0.491287,0.491287,0.212054,,pilot_unlabeled,pilot_unlabeled,candidate_exposure,0,reports/phase_d4_context_meta_repeat_20260725_000847_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_000847_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/10_flat_body_high05_r3/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/10_flat_body_high05_r3
