schema_version,row_granularity,source_phase,source_row_index,source_rollout_id,manifest,d5_log_dir,j7_csv,run_dir,world_name,context_label,next_context,segment_id,segment_progress,x_start,y_start,abs_y_start,beta_motion,beta_stability,beta_energy,ram_rho_summary,sigma_uncertainty,baseline_vx,baseline_yaw,baseline_body_h,baseline_clearance,baseline_enable,candidate_mode,candidate_action_id,candidate_mode_family,candidate_theta_desc,candidate_vx,candidate_yaw,candidate_body_h,candidate_clearance,candidate_enable,candidate_vx_scale,candidate_vx_delta,candidate_yaw_gain,candidate_body_h_delta,candidate_clearance_delta,active_used,j7_accepted,j7_projected,j7_failsafe,flat_rows,flat_accepted,flat_accept_rate,status,goal_reached,final_x,final_y,max_abs_y,mean_abs_y,risk_score_lower_better,delta_progress,time_to_goal,termination_reason,decision_raw,decision_label,supervision_role,decision_reason
phase_l1_v0,rollout_candidate_outcome,K1,11,K1:baseline:6,reports/phase_d4_context_meta_repeat_20260722_204355_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_204355_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/6_baseline,,,,,,,,,,,,,,,,,,,baseline,baseline,empirical_baseline,empirical_D7_D6_gated,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,ok,1,8.096336,0.241085,0.330449,0.118779,0.3898385,,,,reference,empirical,reference_anchor,baseline_reference
phase_l1_v0,rollout_candidate_outcome,K1,12,K1:j19_profile:6,reports/phase_d4_context_meta_repeat_20260722_204852_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_204852_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/6_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/6_j19_profile,,,,,,,,,,,,,,,,,,,j19_profile,j19_profile,j19_flat_noop_profile,flat_noop_active_profile,,,,,,,,,,,1,462.0,462.0,7.0,463.0,462.0,0.9978401727861771,ok,1,8.138908,-0.346228,0.40572,0.297625,0.5545325,,,,reject,reject,negative,empirical_default_active_shadow_only
phase_l1_v0,rollout_candidate_outcome,K1,13,K1:baseline:7,reports/phase_d4_context_meta_repeat_20260722_205335_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_205335_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/7_baseline,,,,,,,,,,,,,,,,,,,baseline,baseline,empirical_baseline,empirical_D7_D6_gated,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,ok,1,8.150317,-0.036835,0.232221,0.09411,0.279276,,,,reference,empirical,reference_anchor,baseline_reference
phase_l1_v0,rollout_candidate_outcome,K1,14,K1:j19_profile:7,reports/phase_d4_context_meta_repeat_20260722_205832_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_205832_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/7_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/7_j19_profile,,,,,,,,,,,,,,,,,,,j19_profile,j19_profile,j19_flat_noop_profile,flat_noop_active_profile,,,,,,,,,,,1,446.0,446.0,7.0,448.0,446.0,0.9955357142857143,ok,1,8.102549,-0.110004,0.256301,0.10245,0.307526,,,,reject,reject,negative,empirical_default_active_shadow_only
phase_l1_v0,rollout_candidate_outcome,K1,15,K1:baseline:8,reports/phase_d4_context_meta_repeat_20260722_210314_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_210314_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/8_baseline,,,,,,,,,,,,,,,,,,,baseline,baseline,empirical_baseline,empirical_D7_D6_gated,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,ok,1,8.142905,-0.04803,0.240008,0.076154,0.278085,,,,reference,empirical,reference_anchor,baseline_reference
phase_l1_v0,rollout_candidate_outcome,K1,16,K1:j19_profile:8,reports/phase_d4_context_meta_repeat_20260722_210801_manifest.tsv,,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/8_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/8_j19_profile,,,,,,,,,,,,,,,,,,,j19_profile,j19_profile,j19_flat_noop_profile,flat_noop_active_profile,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,timeout,0,,,,,6.5,,,,reject,reject,negative,empirical_default_active_shadow_only
phase_l1_v0,rollout_candidate_outcome,K1,17,K1:baseline:9,reports/phase_d4_context_meta_repeat_20260722_213815_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_213815_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/9_baseline,,,,,,,,,,,,,,,,,,,baseline,baseline,empirical_baseline,empirical_D7_D6_gated,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,ok,1,8.041699,-0.58155,0.621932,0.195508,0.719686,,,,reference,empirical,reference_anchor,baseline_reference
phase_l1_v0,rollout_candidate_outcome,K1,18,K1:j19_profile:9,reports/phase_d4_context_meta_repeat_20260722_214326_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_214326_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/9_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/9_j19_profile,,,,,,,,,,,,,,,,,,,j19_profile,j19_profile,j19_flat_noop_profile,flat_noop_active_profile,,,,,,,,,,,1,463.0,463.0,8.0,464.0,463.0,0.9978448275862069,ok,1,8.184127,-0.054525,0.142834,0.041393,0.1635305,,,,reject,reject,negative,empirical_default_active_shadow_only
phase_l1_v0,rollout_candidate_outcome,K1,19,K1:baseline:10,reports/phase_d4_context_meta_repeat_20260722_214810_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_214810_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/10_baseline,,,,,,,,,,,,,,,,,,,baseline,baseline,empirical_baseline,empirical_D7_D6_gated,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,ok,1,8.158976,-0.286946,0.300163,0.172027,0.38617650000000003,,,,reference,empirical,reference_anchor,baseline_reference
phase_l1_v0,rollout_candidate_outcome,K1,20,K1:j19_profile:10,reports/phase_d4_context_meta_repeat_20260722_215256_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_215256_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/10_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/10_j19_profile,,,,,,,,,,,,,,,,,,,j19_profile,j19_profile,j19_flat_noop_profile,flat_noop_active_profile,,,,,,,,,,,1,449.0,449.0,6.0,450.0,449.0,0.9977777777777778,ok,1,8.178385,-0.212398,0.212785,0.063674,0.244622,,,,reject,reject,negative,empirical_default_active_shadow_only
phase_l1_v0,rollout_candidate_outcome,K4C,21,K4C:baseline:1,reports/phase_d4_context_meta_repeat_20260723_164406_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_164406_trial_1,NA,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_baseline,,,,,,,,,,,,,,,,,,,baseline,baseline,empirical_baseline,empirical_D7_D6_gated,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,ok,1,8.141177,-0.060489,0.483797,0.220794,0.594194,,,,reference,empirical,reference_anchor,baseline_reference
phase_l1_v0,rollout_candidate_outcome,K4C,22,K4C:flat_noop:1,reports/phase_d4_context_meta_repeat_20260723_164851_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_164851_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_flat_noop/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_flat_noop,,,,,,,,,,,,,,,,,,,flat_noop,flat_noop,flat_micro_action,flat theta no-op,,,,,,,,,,,1,435.0,435.0,6.0,436.0,435.0,0.9977064220183486,ok,1,8.041636,-0.189066,0.413035,0.215599,0.5208345,,,,reject,reject,negative,does_not_improve_lateral_metrics
phase_l1_v0,rollout_candidate_outcome,K4C,23,K4C:flat_slow03:1,reports/phase_d4_context_meta_repeat_20260723_165337_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_165337_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_flat_slow03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_flat_slow03,,,,,,,,,,,,,,,,,,,flat_slow03,flat_slow03,flat_micro_action,flat vx_scale 0.97,,,,,,,,,,,1,484.0,484.0,8.0,485.0,484.0,0.9979381443298969,ok,1,8.084136,-0.059845,0.237615,0.103612,0.289421,,,,shadow_only,shadow_only,near_miss,improves_max_abs_y_only_but_worsens_mean_abs_y
