source_phase,mode,idx,status,goal_reached,final_x,final_y,max_abs_y,mean_abs_y,risk_score_lower_better,decision,manifest,d5_log_dir,j7_csv,run_dir
L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_high05,3,ok,True,8.116053,-0.018135,0.466118,0.216043,,pilot_unlabeled,reports/phase_d4_context_meta_repeat_20260725_121220_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_121220_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/10_rough_clear_high05_r3/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/10_rough_clear_high05_r3
L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,baseline,4,ok,True,8.045980,0.012780,0.204764,0.059644,,pilot_unlabeled,reports/phase_d4_context_meta_repeat_20260725_123137_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_123137_trial_1,NA,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/14_baseline_r4
L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_noop,4,ok,True,8.185850,-0.187117,0.251561,0.123982,,pilot_unlabeled,reports/phase_d4_context_meta_repeat_20260725_123623_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_123623_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/15_rough_noop_r4/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/15_rough_noop_r4
L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_low05,4,ok,True,8.146958,0.259144,0.291234,0.132388,,pilot_unlabeled,reports/phase_d4_context_meta_repeat_20260725_124108_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_124108_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/16_rough_clear_low05_r4/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/16_rough_clear_low05_r4
L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_high05,4,ok,True,8.056554,-0.201096,0.257765,0.128441,,pilot_unlabeled,reports/phase_d4_context_meta_repeat_20260725_122654_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_122654_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/13_rough_clear_high05_r4/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/13_rough_clear_high05_r4
L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,baseline,5,ok,True,8.057442,-0.324628,0.341692,0.137179,,pilot_unlabeled,reports/phase_d4_context_meta_repeat_20260725_185559_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_185559_trial_1,NA,logs/phase_l/l6d_repair_baseline_repeat5_20260725_185555/1_baseline_r5
L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_noop,5,ok,True,8.061919,-0.127896,0.344412,0.174157,,pilot_unlabeled,reports/phase_d4_context_meta_repeat_20260725_132615_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_132615_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/20_rough_noop_r5/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/20_rough_noop_r5
L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_low05,5,ok,False,7.053154,0.060295,0.343778,0.114260,,pilot_unlabeled,reports/phase_d4_context_meta_repeat_20260725_132119_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_132119_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/19_rough_clear_low05_r5/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/19_rough_clear_low05_r5
L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_high05,5,ok,True,8.101602,0.192371,0.396950,0.148957,,pilot_unlabeled,reports/phase_d4_context_meta_repeat_20260725_131608_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_131608_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/18_rough_clear_high05_r5/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/18_rough_clear_high05_r5
L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,baseline,6,ok,True,8.086421,-0.717610,0.848269,0.533243,,pilot_unlabeled,reports/phase_d4_context_meta_repeat_20260725_134039_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_134039_trial_1,NA,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/23_baseline_r6
L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_noop,6,ok,True,8.147820,-0.332926,0.484818,0.272530,,pilot_unlabeled,reports/phase_d4_context_meta_repeat_20260725_133546_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_133546_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/22_rough_noop_r6/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/22_rough_noop_r6
L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_low05,6,ok,True,8.134864,-0.478736,0.478736,0.242735,,pilot_unlabeled,reports/phase_d4_context_meta_repeat_20260725_133101_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_133101_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/21_rough_clear_low05_r6/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/21_rough_clear_low05_r6
L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_high05,6,ok,True,8.063012,-0.089352,0.440553,0.220680,,pilot_unlabeled,reports/phase_d4_context_meta_repeat_20260725_134524_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_134524_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/24_rough_clear_high05_r6/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/24_rough_clear_high05_r6
