section,comparison_type,candidate,control,analysis_scope,metric,metric_label,included_repeats,n_pairs,mean_effect,ci_low,ci_high,positive_pairs,negative_pairs,ties,same_sign_required,effect_class,sign_p,candidate_success,control_success,comparison_conclusion
conditional_quality,candidate_vs_baseline,rough_clear_low05,baseline,both_rough_completed,rough_lateral_growth,rough lateral growth,1;2;3;4;5;6,6,0.05250859447465908,-0.043859394514526966,0.14609420836500717,4,2,0,5,unresolved,0.6875,,,unresolved
reliability,candidate_vs_noop,rough_clear_high05,rough_noop,all_six_repeats,rough_completed,rough completion,1;2;3;4;5;6,6,0.16666666666666666,,,1,0,5,,candidate_directional_edge,1.0,6,5,
reliability,candidate_vs_noop,rough_clear_high05,rough_noop,all_six_repeats,goal_reached,full-course goal success,1;2;3;4;5;6,6,0.16666666666666666,,,1,0,5,,candidate_directional_edge,1.0,6,5,
conditional_quality,candidate_vs_noop,rough_clear_high05,rough_noop,both_rough_completed,rough_elapsed_span_s,rough traversal elapsed time,1;2;4;5;6,5,-1.4399927616119386,-2.4598368644714355,-0.6602270126342773,0,5,0,5,repeatable_negative,0.0625,,,progress_cost_with_lateral_degradation_signal
conditional_quality,candidate_vs_noop,rough_clear_high05,rough_noop,both_rough_completed,rough_progress_rate,rough progress rate,1;2;4;5;6,5,-0.0014907616067534157,-0.0025330054741027827,-0.0007138531582353558,0,5,0,5,repeatable_negative,0.0625,,,progress_cost_with_lateral_degradation_signal
conditional_quality,candidate_vs_noop,rough_clear_high05,rough_noop,both_rough_completed,rough_mean_abs_y,rough mean absolute lateral error,1;2;4;5;6,5,-0.08803008222748407,-0.15826416887632147,-0.02115444555147576,1,4,0,5,negative_ci_sign_shortfall,0.375,,,progress_cost_with_lateral_degradation_signal
conditional_quality,candidate_vs_noop,rough_clear_high05,rough_noop,both_rough_completed,rough_max_abs_y,rough maximum absolute lateral error,1;2;4;5;6,5,-0.1013674,-0.1952044,-0.020122399999999995,1,4,0,5,negative_ci_sign_shortfall,0.375,,,progress_cost_with_lateral_degradation_signal
conditional_quality,candidate_vs_noop,rough_clear_high05,rough_noop,both_rough_completed,rough_end_abs_y,rough end absolute lateral error,1;2;4;5;6,5,-0.05697000000000001,-0.21267019999999998,0.08206419999999998,2,3,0,5,unresolved,1.0,,,progress_cost_with_lateral_degradation_signal
conditional_quality,candidate_vs_noop,rough_clear_high05,rough_noop,both_rough_completed,rough_lateral_growth,rough lateral growth,1;2;4;5;6,5,0.005602799999999996,-0.12031099999999999,0.13645699999999997,3,2,0,5,unresolved,1.0,,,progress_cost_with_lateral_degradation_signal
reliability,candidate_vs_baseline,rough_clear_high05,baseline,all_six_repeats,rough_completed,rough completion,1;2;3;4;5;6,6,0.0,,,0,0,6,,no_directional_edge,1.0,6,6,
reliability,candidate_vs_baseline,rough_clear_high05,baseline,all_six_repeats,goal_reached,full-course goal success,1;2;3;4;5;6,6,0.0,,,0,0,6,,no_directional_edge,1.0,6,6,
conditional_quality,candidate_vs_baseline,rough_clear_high05,baseline,both_rough_completed,rough_elapsed_span_s,rough traversal elapsed time,1;2;3;4;5;6,6,-2.466396371523539,-3.8664966026941934,-1.299812873204549,0,6,0,5,repeatable_negative,0.03125,,,repeatable_progress_cost
conditional_quality,candidate_vs_baseline,rough_clear_high05,baseline,both_rough_completed,rough_progress_rate,rough progress rate,1;2;3;4;5;6,6,-0.002592527363001073,-0.004069128851314131,-0.0013139859359946014,0,6,0,5,repeatable_negative,0.03125,,,repeatable_progress_cost
conditional_quality,candidate_vs_baseline,rough_clear_high05,baseline,both_rough_completed,rough_mean_abs_y,rough mean absolute lateral error,1;2;3;4;5;6,6,0.023244203306606797,-0.08877163391933827,0.14904435061020327,3,3,0,5,unresolved,1.0,,,repeatable_progress_cost
conditional_quality,candidate_vs_baseline,rough_clear_high05,baseline,both_rough_completed,rough_max_abs_y,rough maximum absolute lateral error,1;2;3;4;5;6,6,0.033538514632728174,-0.08995949446754499,0.19307310606932934,3,3,0,5,unresolved,1.0,,,repeatable_progress_cost
conditional_quality,candidate_vs_baseline,rough_clear_high05,baseline,both_rough_completed,rough_end_abs_y,rough end absolute lateral error,1;2;3;4;5;6,6,0.045403840381814546,-0.1064394692968215,0.26791543278557056,3,3,0,5,unresolved,1.0,,,repeatable_progress_cost
conditional_quality,candidate_vs_baseline,rough_clear_high05,baseline,both_rough_completed,rough_lateral_growth,rough lateral growth,1;2;3;4;5;6,6,0.023773761141325758,-0.12852952825967903,0.17693247293599476,4,2,0,5,unresolved,0.6875,,,repeatable_progress_cost
