analysis_type,source_rollout_id,candidate_mode,evidence_role,context,action_id,match_k,matched_control_ids,match_distance_mean,match_distance_max,duration_s,x_start,y_start,vx_scale_mean,clearance_delta_mean,rollout_decision_label,candidate_progress_rate,control_progress_rate_mean,control_progress_rate_std,effect_progress_rate,effect_z_progress_rate,candidate_mean_abs_y_window,control_mean_abs_y_window_mean,control_mean_abs_y_window_std,effect_mean_abs_y_window,effect_z_mean_abs_y_window,candidate_max_abs_y_window,control_max_abs_y_window_mean,control_max_abs_y_window_std,effect_max_abs_y_window,effect_z_max_abs_y_window,candidate_end_abs_y,control_end_abs_y_mean,control_end_abs_y_std,effect_end_abs_y,effect_z_end_abs_y,candidate_lateral_growth,control_lateral_growth_mean,control_lateral_growth_std,effect_lateral_growth,effect_z_lateral_growth,placebo_relative_status
placebo_noop_vs_baseline,K1:j19_profile:1,j19_profile,control_equivalent_noop,flat,1,5,K4C:baseline:3|K1:baseline:10|K1:baseline:5|K4C:baseline:1|K1:baseline:1,9.82057176265129,10.250654007549716,43.09979295730591,0.004217,0.003592,1.0,0.0,reject,0.04619938666462832,0.044553447533707616,0.0003770978179624993,0.0016459391309207039,4.364753792037018,0.025020055555555556,0.0462419542904974,0.011197767485413145,0.021221898734941843,1.8951901584478075,0.061796,0.10923671504035735,0.03333430176041852,0.04744071504035736,1.4231801038259315,0.017753,0.0864623971771486,0.0566887139653383,0.06870939717714859,1.2120472025377083,0.014161000000000002,0.08593552092625842,0.05662574779377263,0.07177452092625841,1.2675244693925571,placebo_control
placebo_noop_vs_baseline,K1:j19_profile:2,j19_profile,control_equivalent_noop,flat,1,5,K4C:baseline:3|K1:baseline:10|K1:baseline:5|K4C:baseline:1|K1:baseline:3,5.17101736506332,5.55321732641994,46.30012392997742,0.002883,0.001642,1.0,0.0,reject,0.04309953906425696,0.04447429302359131,0.0005040540130894956,-0.0013747539593343475,-2.7273941356166875,0.09325778663793104,0.0469199547216899,0.010605064508422345,-0.046337831916241135,-4.369405945568788,0.240151,0.10618026304117147,0.03617972252242249,-0.13397073695882855,-3.7029232846050655,0.234333,0.08675023463065808,0.056284700707235034,-0.14758276536934195,-2.622076044021162,0.232691,0.086274784897493,0.0561491567487259,-0.14641621510250702,-2.6076298128169024,placebo_control
placebo_noop_vs_baseline,K1:j19_profile:3,j19_profile,control_equivalent_noop,flat,1,5,K4C:baseline:3|K1:baseline:10|K1:baseline:5|K4C:baseline:1|K1:baseline:1,13.641233987831459,14.074887148142164,43.200254917144775,0.006753,0.004723,1.0,0.0,reject,0.04606956611291077,0.044553447533707616,0.0003770978179624993,0.0015161185792031545,4.020491519666989,0.06320957967667437,0.0462419542904974,0.011197767485413145,-0.016967625386176972,-1.51526859334059,0.103948,0.10923671504035735,0.03333430176041852,0.005288715040357356,0.1586568417832357,0.013297,0.0864623971771486,0.0566887139653383,0.0731653971771486,1.2906519139221395,0.008574,0.08593552092625842,0.05662574779377263,0.07736152092625842,1.366189833077422,placebo_control
placebo_noop_vs_baseline,K1:j19_profile:4,j19_profile,control_equivalent_noop,flat,1,5,K4C:baseline:3|K1:baseline:10|K1:baseline:5|K4C:baseline:1|K1:baseline:1,12.208642824102531,12.653281699961886,43.999894857406616,0.006165,0.004214,1.0,0.0,reject,0.045244880844638846,0.044553447533707616,0.0003770978179624993,0.0006914333109312304,1.8335648683069028,0.03158807709750567,0.0462419542904974,0.011197767485413145,0.01465387719299173,1.3086427461617427,0.064597,0.10923671504035735,0.03333430176041852,0.04463971504035735,1.3391525450628456,0.055319,0.0864623971771486,0.0566887139653383,0.031143397177148598,0.54937561639149,0.051105,0.08593552092625842,0.05662574779377263,0.03483052092625842,0.6151004142692996,placebo_control
placebo_noop_vs_baseline,K1:j19_profile:5,j19_profile,control_equivalent_noop,flat,1,5,K1:baseline:2|K1:baseline:7|K4C:baseline:5|K1:baseline:5|K1:baseline:10,1.3130568017239812,1.6112849871680124,44.299906969070435,4.8e-05,4e-05,1.0,0.0,reject,0.045132171527942896,0.04510474810806443,0.0009794301008299098,2.7423419878463973e-05,0.027999363972198755,0.05792101351351352,0.0518180438107484,0.013866718059832963,-0.006102969702765117,-0.4401163762349281,0.110434,0.1055443361152943,0.025807144655352835,-0.0048896638847057,-0.1894693872571254,0.039334,0.08920140852101112,0.03249128991531698,0.04986740852101112,1.5347931292042278,0.039294,0.08900451313075469,0.03252010253878736,0.04971051313075469,1.5286087450512802,placebo_control
placebo_noop_vs_baseline,K1:j19_profile:6,j19_profile,control_equivalent_noop,flat,1,5,K4C:baseline:3|K1:baseline:10|K1:baseline:5|K4C:baseline:1|K1:baseline:2,3.330966185379106,3.6639096936120574,46.09946298599243,0.001528,0.001115,1.0,0.0,reject,0.04330061286411376,0.044552361419897366,0.00037868005664103144,-0.0012517485557836036,-3.305557115647616,0.12689669696969696,0.05236493668062441,0.011918256274392898,-0.07453176028907255,-6.253579263034358,0.202257,0.11562590479200761,0.030644782326925184,-0.08663109520799238,-2.8269443810627553,0.202257,0.10167798375400074,0.04134480477472311,-0.10057901624599926,-2.4326881404816803,0.201142,0.10125738499897653,0.04119917274854952,-0.09988461500102346,-2.424432539231993,placebo_control
placebo_noop_vs_baseline,K1:j19_profile:7,j19_profile,control_equivalent_noop,flat,1,5,K4C:baseline:3|K1:baseline:10|K1:baseline:5|K4C:baseline:1|K1:baseline:1,10.787554854492768,11.108717697644394,44.49964499473572,0.003633,0.004168,1.0,0.0,reject,0.04480332371720847,0.044553447533707616,0.0003770978179624993,0.00024987618350085644,0.662629619155488,0.06029743273542601,0.0462419542904974,0.011197767485413145,-0.014055478444928611,-1.2552036344064195,0.134247,0.10923671504035735,0.03333430176041852,-0.02501028495964265,-0.7502867508489443,0.134247,0.0864623971771486,0.0566887139653383,-0.04778460282285141,-0.8429297382203588,0.130079,0.08593552092625842,0.05662574779377263,-0.04414347907374158,-0.7795654943844508,placebo_control
placebo_noop_vs_baseline,K1:j19_profile:9,j19_profile,control_equivalent_noop,flat,1,5,K4C:baseline:3|K1:baseline:10|K1:baseline:5|K4C:baseline:1|K1:baseline:1,8.734562947473863,9.153571795073569,46.19996500015259,0.004042,0.003136,1.0,0.0,reject,0.04315537901367274,0.044553447533707616,0.0003770978179624993,-0.0013980685200348786,-3.7074426141970154,0.042860691144708425,0.0462419542904974,0.011197767485413145,0.0033812631457889736,0.3019586850855406,0.122188,0.10923671504035735,0.03333430176041852,-0.01295128495964265,-0.38852726097959356,0.122188,0.0864623971771486,0.0566887139653383,-0.03572560282285141,-0.630206620046019,0.119052,0.08593552092625842,0.05662574779377263,-0.033116479073741587,-0.5848307592219302,placebo_control
placebo_noop_vs_baseline,K1:j19_profile:10,j19_profile,control_equivalent_noop,flat,1,5,K4C:baseline:3|K1:baseline:10|K1:baseline:5|K4C:baseline:1|K1:baseline:1,9.580011683448479,9.988082637354108,44.79951310157776,0.004151,0.003519,1.0,0.0,reject,0.044447581282526766,0.044553447533707616,0.0003770978179624993,-0.00010586625118085002,-0.28073949553157573,0.016341044543429845,0.0462419542904974,0.011197767485413145,0.029900909747067553,2.670256351189485,0.043342,0.10923671504035735,0.03333430176041852,0.06589471504035735,1.9767840200751225,0.002809,0.0864623971771486,0.0566887139653383,0.08365339717714859,1.4756622848826233,-0.0007100000000000001,0.08593552092625842,0.05662574779377263,0.08664552092625842,1.5301435177830391,placebo_control
placebo_noop_vs_baseline,K4C:flat_noop:1,flat_noop,control_equivalent_noop,flat,1,5,K4C:baseline:3|K1:baseline:10|K1:baseline:5|K4C:baseline:1|K4C:baseline:5,8.213998672785957,8.70724759762797,43.400789976119995,0.004339,0.00278,1.0,0.0,reject,0.045894325911946685,0.045121846438961576,0.000900649293060616,0.0007724794729851089,0.8576917552003442,0.05627811034482759,0.052124342740346476,0.01165029340047749,-0.004153767604481114,-0.3565375962386381,0.105946,0.1180767124269896,0.030979966452251782,0.012130712426989598,0.3915663512962867,0.104113,0.10746013873450527,0.04029163817027784,0.0033471387345052755,0.0830727884619588,0.10133299999999999,0.10702801860697264,0.040197891009671194,0.005695018606972649,0.14167456212074625,placebo_control
placebo_noop_vs_baseline,K4C:flat_noop:2,flat_noop,control_equivalent_noop,flat,1,5,K4C:baseline:3|K1:baseline:10|K1:baseline:5|K4C:baseline:1|K4C:baseline:5,6.191863741547228,6.719476276064743,43.50013279914856,0.002795,0.002247,1.0,0.0,reject,0.04585452667949194,0.045121846438961576,0.000900649293060616,0.0007326802405303659,0.8135022657271487,0.013524133027522936,0.052124342740346476,0.01165029340047749,0.03860020971282354,3.3132392795568135,0.051223,0.1180767124269896,0.030979966452251782,0.06685371242698959,2.157965940022195,0.051223,0.10746013873450527,0.04029163817027784,0.056237138734505275,1.3957521036210945,0.048976,0.10702801860697264,0.040197891009671194,0.05805201860697264,1.4441558287972354,placebo_control
placebo_noop_vs_baseline,K4C:flat_noop:3,flat_noop,control_equivalent_noop,flat,1,5,K4C:baseline:3|K1:baseline:10|K1:baseline:5|K4C:baseline:1|K1:baseline:1,9.79778053636459,10.182847662147156,45.70000505447388,0.004184,0.003607,1.0,0.0,reject,0.04356638467822422,0.044553447533707616,0.0003770978179624993,-0.0009870628554833963,-2.6175247070285494,0.033459626637554585,0.0462419542904974,0.011197767485413145,0.012782327652942814,1.1415067931704965,0.078782,0.10923671504035735,0.03333430176041852,0.03045471504035735,0.9136149081280467,0.001491,0.0864623971771486,0.0566887139653383,0.08497139717714859,1.4989120626215553,-0.002116,0.08593552092625842,0.05662574779377263,0.08805152092625843,1.5549732119553894,placebo_control
placebo_noop_vs_baseline,K4C:flat_noop:5,flat_noop,control_equivalent_noop,flat,1,5,K4C:baseline:3|K1:baseline:10|K1:baseline:5|K4C:baseline:1|K1:baseline:3,5.264151575751619,5.729916238610712,45.10033297538757,0.002573,0.001861,1.0,0.0,reject,0.04420661375356213,0.04447429302359131,0.0005040540130894956,-0.0002676792700291794,-0.5310527504552424,0.10253586504424779,0.0469199547216899,0.010605064508422345,-0.05561591032255789,-5.244278361379958,0.158723,0.10618026304117147,0.03617972252242249,-0.05254273695882854,-1.4522703131917338,0.101596,0.08675023463065808,0.056284700707235034,-0.014845765369341929,-0.2637620025122316,0.099735,0.086274784897493,0.0561491567487259,-0.013460215102507,-0.23972247994289658,placebo_control
placebo_noop_vs_baseline,K4C:flat_noop:6,flat_noop,control_equivalent_noop,flat,1,5,K4C:baseline:3|K1:baseline:10|K1:baseline:5|K4C:baseline:1|K1:baseline:3,5.268829503644426,5.73046487023238,45.299763917922974,0.002488,0.001894,1.0,0.0,reject,0.04401053841278851,0.04447429302359131,0.0005040540130894956,-0.00046375461080280095,-0.9200494366869777,0.021829982378854626,0.0469199547216899,0.010605064508422345,0.025089972342835276,2.36584815895361,0.04497,0.10618026304117147,0.03617972252242249,0.06121026304117146,1.6918389300314898,0.038245,0.08675023463065808,0.056284700707235034,0.048505234630658076,0.8617836467312519,0.036351,0.086274784897493,0.0561491567487259,0.049923784897493,0.8891279546887557,placebo_control
intervention_vs_empirical_equivalent,K4C:flat_slow03:1,flat_slow03,near_miss_exposure,flat,1,5,K1:j19_profile:9|K1:j19_profile:2|K4C:flat_noop:3|K1:j19_profile:6|K4C:flat_noop:6,0.8246975779908022,1.0070776241477104,48.300034046173096,0.00459,0.003553,0.97,0.0,shadow_only,0.04127765206322801,0.043426490806611234,0.00033374427458834156,-0.002148838743383223,-6.438578597441764,0.039845913223140496,0.06366095675374912,0.03992325885295219,0.023815043530608627,0.5965205300079751,0.08656,0.1376696,0.07345013927447654,0.051109600000000005,0.6958407499951504,0.085834,0.1197028,0.09007869642573653,0.033868800000000004,0.3759912314885953,0.08228099999999999,0.117424,0.09073089675077614,0.03514300000000001,0.3873322237355643,mixed_or_within_placebo
