status,mode,idx,return_code,goal_reached,final_x,final_y,max_x,max_abs_y,mean_abs_y,rows,valid_xy,j7_rows,j7_accepted,j7_accept_rate,j7_projected,j7_empirical,j7_failsafe,flat_rows,flat_accepted,upslope_rows,upslope_accepted,rough_rows,rough_accepted,downslope_rows,downslope_accepted,manifest,d5_log_dir,j7_csv,run_dir
ok,flat_noop,3,0,True,8.122768,-0.506091,8.126082,0.638575,0.302677,2128,2128,2177,448,0.205788,448,1722,7,449,448,413,0,408,0,502,0,reports/phase_d4_context_meta_repeat_20260725_001816_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_001816_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/12_flat_noop_r3/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/12_flat_noop_r3
ok,flat_body_high05,4,0,True,8.208162,-0.101137,8.208224,0.340119,0.149261,2128,2128,2185,454,0.207780,454,1725,6,454,454,403,0,425,0,489,0,reports/phase_d4_context_meta_repeat_20260725_002302_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_002302_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/13_flat_body_high05_r4/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/13_flat_body_high05_r4
ok,baseline,4,0,True,8.063125,-0.181163,8.083311,0.375940,0.211083,2126,2126,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,reports/phase_d4_context_meta_repeat_20260725_002745_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_002745_trial_1,NA,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/14_baseline_r4
ok,flat_noop,4,0,True,8.069500,-0.091401,8.078937,0.281467,0.125981,2127,2127,2171,467,0.215108,467,1698,6,468,467,432,0,431,0,503,0,reports/phase_d4_context_meta_repeat_20260725_003230_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_003230_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/15_flat_noop_r4/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/15_flat_noop_r4
ok,flat_body_low05,4,0,True,8.115775,-0.006277,8.116948,0.359269,0.174195,2228,2228,2279,452,0.198333,452,1821,6,452,452,444,0,439,0,511,0,reports/phase_d4_context_meta_repeat_20260725_003716_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_003716_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/16_flat_body_low05_r4/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/16_flat_body_low05_r4
ok,baseline,5,0,True,8.154864,-0.266986,8.161788,0.289621,0.171757,2226,2226,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,reports/phase_d4_context_meta_repeat_20260725_004208_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_004208_trial_1,NA,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/17_baseline_r5
ok,flat_body_high05,5,0,True,8.139416,0.420618,8.140455,0.420618,0.163618,2124,2124,2176,439,0.201746,439,1731,6,440,439,428,0,400,0,501,0,reports/phase_d4_context_meta_repeat_20260725_004704_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_004704_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/18_flat_body_high05_r5/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/18_flat_body_high05_r5
ok,flat_body_low05,5,0,True,8.143646,-0.275814,8.143646,0.398682,0.220013,2128,2128,2173,441,0.202945,441,1725,7,441,441,429,0,438,0,502,0,reports/phase_d4_context_meta_repeat_20260725_005149_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_005149_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/19_flat_body_low05_r5/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/19_flat_body_low05_r5
ok,flat_noop,5,0,True,8.188940,-0.099616,8.189164,0.126119,0.052007,2128,2128,2185,433,0.198169,433,1745,7,434,433,426,0,434,0,469,0,reports/phase_d4_context_meta_repeat_20260725_005635_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_005635_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/20_flat_noop_r5/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/20_flat_noop_r5
ok,flat_body_low05,6,0,True,8.218063,-0.618509,8.218063,0.618522,0.258167,2227,2227,2278,442,0.194030,442,1830,6,443,442,444,0,451,0,508,0,reports/phase_d4_context_meta_repeat_20260725_010122_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_010122_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/21_flat_body_low05_r6/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/21_flat_body_low05_r6
ok,flat_noop,6,0,True,8.041768,-0.064500,8.109084,0.388351,0.170087,2127,2127,2180,439,0.201376,439,1735,6,439,439,413,0,443,0,510,0,reports/phase_d4_context_meta_repeat_20260725_010617_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_010617_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/22_flat_noop_r6/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/22_flat_noop_r6
ok,baseline,6,0,True,8.142986,-0.453977,8.142986,0.459928,0.154115,2125,2125,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,reports/phase_d4_context_meta_repeat_20260725_011100_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_011100_trial_1,NA,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/23_baseline_r6
ok,flat_body_high05,6,0,True,8.071322,0.290465,8.087581,0.539139,0.204101,2231,2231,2276,452,0.198594,452,1818,6,453,452,426,0,438,0,531,0,reports/phase_d4_context_meta_repeat_20260725_011545_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_011545_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/24_flat_body_high05_r6/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/24_flat_body_high05_r6
