context_id,group,terrain,seed,beta_name,pareto_nondominated,support_class,max_margin,beta_hat_motion,beta_hat_stability,beta_hat_energy,beta_gen_motion,beta_gen_stability,beta_gen_energy,original_beta_selected_cost,original_beta_best_cost,original_beta_regret,original_beta_consistent
flat:flat:27027,flat,flat,27027,balanced,True,strict,2.4226303390519624e-06,0.0,0.9856194909493724,0.014380509050627682,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25128885896003783,0.24872119026262696,0.0025676686974108742,False
flat:flat:27027,flat,flat,27027,motion,True,strict,0.00429272112265508,1.0,-0.0,0.0,0.7,0.15,0.15,0.22237826799593075,0.22237826799593075,0.0,True
flat:flat:27027,flat,flat,27027,stability,False,unsupported,-4.366828168441171e-05,0.0,0.985404883643641,0.014595116356359064,0.15,0.7,0.15,0.11868349251494445,0.11821426089519432,0.00046923161975012673,False
flat:flat:27027,flat,flat,27027,energy,True,strict,0.00157448744293127,0.618044153473756,0.0,0.38195584652624404,0.15,0.15,0.7,0.40270163562249267,0.40270163562249267,0.0,True
flat:flat:27028,flat,flat,27028,balanced,True,strict,2.1425272425857168e-05,0.0,0.9761494621165727,0.02385053788342734,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25028591765288905,0.24928616492875838,0.0009997527241306647,False
flat:flat:27028,flat,flat,27028,motion,True,strict,0.0043263869530529575,1.0,-0.0,0.0,0.7,0.15,0.15,0.2215439908863738,0.2215439908863738,0.0,True
flat:flat:27028,flat,flat,27028,stability,True,strict,0.000358113221172518,0.0,0.0,1.0,0.15,0.7,0.15,0.1186991521515822,0.11848282659061124,0.00021632556097095357,False
flat:flat:27028,flat,flat,27028,energy,True,strict,0.000693269612413239,0.5011409890453566,0.0,0.4988590109546416,0.15,0.15,0.7,0.4035268713611235,0.4035268713611235,0.0,True
flat:flat:27029,flat,flat,27029,balanced,True,strict,6.57404849364765e-06,0.0,0.9870567002150679,0.012943299784932126,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.24987606331180617,0.24854155471761735,0.0013345085941888213,False
flat:flat:27029,flat,flat,27029,motion,True,strict,0.004304583726992051,1.0,-0.0,0.0,0.7,0.15,0.15,0.22178454349213006,0.22178454349213006,0.0,True
flat:flat:27029,flat,flat,27029,stability,False,unsupported,-0.00014066647403445187,0.0,0.9862582155575765,0.013741784442423475,0.15,0.7,0.15,0.11903427726493063,0.11810934138686636,0.0009249358780642619,False
flat:flat:27029,flat,flat,27029,energy,True,strict,0.003788350079011571,-0.0,0.0,1.0,0.15,0.15,0.7,0.4019120622171972,0.4019120622171972,0.0,True
flat:flat:27030,flat,flat,27030,balanced,True,strict,2.477559562875978e-06,0.0,0.9850557542177071,0.014944245782293003,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2511680897648919,0.2486177744653762,0.0025503152995157152,False
flat:flat:27030,flat,flat,27030,motion,True,strict,0.0045230122896617875,1.0,-0.0,0.0,0.7,0.15,0.15,0.22224387185439554,0.22224387185439554,0.0,True
flat:flat:27030,flat,flat,27030,stability,False,unsupported,-9.775400061175145e-05,0.0,0.9848436286094734,0.01515637139052664,0.15,0.7,0.15,0.11886427480192377,0.11816989615362941,0.0006943786482943581,False
flat:flat:27030,flat,flat,27030,energy,True,strict,0.00307525048318813,-0.0,0.0,1.0,0.15,0.15,0.7,0.4019686512866296,0.4019686512866296,0.0,True
flat:flat:27031,flat,flat,27031,balanced,True,unsupported,-8.289418223892832e-05,0.0,0.9724282066991554,0.02757179330084447,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25154795389624485,0.25070412033733913,0.0008438335589057155,False
flat:flat:27031,flat,flat,27031,motion,True,strict,0.004439208200259531,1.0,-0.0,0.0,0.7,0.15,0.15,0.22240365574225193,0.22240365574225193,0.0,True
flat:flat:27031,flat,flat,27031,stability,True,strict,0.0024621336203832778,0.0,-0.0,1.0,0.15,0.7,0.15,0.11913383918723223,0.11913383918723223,0.0,True
flat:flat:27031,flat,flat,27031,energy,True,strict,0.00013242334577948946,0.549046541825568,0.0,0.4509534581744321,0.15,0.15,0.7,0.40685362276117343,0.40545917040895096,0.0013944523522224639,False
flat:flat:27032,flat,flat,27032,balanced,False,unsupported,-0.00022402016017027127,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2515569022238988,0.24688463849669845,0.004672263727200365,False
flat:flat:27032,flat,flat,27032,motion,True,strict,0.005912790343324007,0.7459909352727333,0.0,0.2540090647272667,0.7,0.15,0.15,0.2200840318560638,0.2200840318560638,0.0,True
flat:flat:27032,flat,flat,27032,stability,True,strict,0.005685423756468078,0.0,-0.0,1.0,0.15,0.7,0.15,0.11804451640233476,0.11723501489959691,0.0008095015027378555,False
flat:flat:27032,flat,flat,27032,energy,False,unsupported,-0.0003272555496530386,0.0,1.0,0.0,0.15,0.15,0.7,0.40495262105993557,0.40087358597126455,0.004079035088671024,False
