context_id,context_index,group,terrain,seed,source_beta_name,cost_motion,cost_stability,cost_energy,episode_energy_abs_j,decision_time_s,roll_rms_rad,pitch_rms_rad,mean_applied_vx_mps,pareto_nondominated,support_class,max_margin,beta_hat_motion,beta_hat_stability,beta_hat_energy,beta_hat_dominant,beta_hat_entropy,beta_hat_interior_005,beta_gen_motion,beta_gen_stability,beta_gen_energy,beta_hat_gen_l1,original_beta_regret,original_beta_consistent,selection_evidence_required
flat:flat:27027,0,flat,flat,27027,balanced,0.20278592850707208,0.01127110473648551,0.5398095436365559,160.38821080618308,6.942000000000001,0.003825035084960367,0.027794052021573073,0.21831091252319954,True,strict,2.4226303390519624e-06,0.0,0.9856194909493724,0.014380509050627682,stability,0.0685201019164446,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.304572315232078,0.0025676686974108742,False,True
flat:flat:27027,0,flat,flat,27027,energy,0.20604207027638508,0.011435864140022154,0.5286856363714737,161.7031659518153,7.140000000000002,0.0036091284992365866,0.0279964600794305,0.21545831722872602,True,strict,0.00157448744293127,0.618044153473756,0.0,0.38195584652624404,motion,0.6053213692394296,False,0.15,0.15,0.7,0.9360883069475119,0.0,True,True
flat:flat:27027,0,flat,flat,27027,motion,0.198493207384417,0.011197501790156638,0.545022650388769,161.9371290766833,6.960000000000001,0.0038034609828890764,0.02770315303103494,0.2224399467163226,True,strict,0.00429272112265508,1.0,-0.0,0.0,motion,-0.0,False,0.7,0.15,0.15,0.6000000000000001,0.0,True,True
flat:flat:27028,1,flat,flat,27028,balanced,0.2028468856769183,0.011268477762874778,0.5367423895188741,159.47689797927794,6.94,0.003751753419034438,0.027790813083169056,0.21831447639886073,True,strict,2.1425272425857168e-05,0.0,0.9761494621165727,0.02385053788342734,stability,0.10255502130678387,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.2856322575664787,0.0009997527241306647,False,True
flat:flat:27028,1,flat,flat,27028,energy,0.20667276839381665,0.011461913404854467,0.5297238129876041,162.02070142865867,7.140000000000002,0.0037161523888185463,0.02802832787122367,0.21546291417309218,True,strict,0.000693269612413239,0.5011409890453566,0.0,0.4988590109546416,motion,0.6309273835686008,False,0.15,0.15,0.7,0.702281978090715,0.0,True,True
flat:flat:27028,1,flat,flat,27028,motion,0.19852049872386535,0.011227860326064222,0.5393030848717228,160.23773177872562,6.972,0.003783214000727924,0.027740681432965274,0.22242826525779333,True,strict,0.0043263869530529575,1.0,-0.0,0.0,motion,-0.0,False,0.7,0.15,0.15,0.6000000000000001,0.0,True,True
flat:flat:27028,1,flat,flat,27028,stability,0.20841263329969492,0.011474860273804625,0.5293656997664316,161.91116934068614,7.154000000000001,0.003573040202051173,0.02804415316613699,0.21398339514221465,True,strict,0.000358113221172518,0.0,0.0,1.0,energy,-0.0,False,0.15,0.7,0.15,1.7,0.00021632556097095357,False,True
flat:flat:27029,2,flat,flat,27029,balanced,0.2028322119230605,0.011278937683790862,0.5355170403285672,159.11282222966784,6.924000000000003,0.0037999976328860403,0.027803708444508513,0.21832018021275013,True,strict,6.57404849364765e-06,0.0,0.9870567002150679,0.012943299784932126,stability,0.06292118482028725,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.307446733763469,0.0013345085941888213,False,True
flat:flat:27029,2,flat,flat,27029,energy,0.20683556531974678,0.011392075934433735,0.5273970228986716,161.30903215300367,7.153999999999999,0.0036325496966952146,0.02794280899945488,0.2154657289172922,True,strict,0.003788350079011571,-0.0,0.0,1.0,energy,-0.0,False,0.15,0.15,0.7,0.6000000000000001,0.0,True,True
flat:flat:27029,2,flat,flat,27029,motion,0.19852762819606845,0.011215192456728314,0.5408861659091527,160.70809681422324,6.975999999999999,0.003788396098471993,0.027725028032869557,0.22242435979492525,True,strict,0.004304583726992051,1.0,-0.0,0.0,motion,-0.0,False,0.7,0.15,0.15,0.6000000000000001,0.0,True,True
flat:flat:27030,3,flat,flat,27030,balanced,0.2033012664784807,0.01126279230654685,0.5389402105096482,160.12991454880316,6.936000000000002,0.003841266609662169,0.027783801160596866,0.21830909401178358,True,strict,2.477559562875978e-06,0.0,0.9850557542177071,0.014944245782293003,stability,0.07067925260401343,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3034448417687474,0.0025503152995157152,False,True
flat:flat:27030,3,flat,flat,27030,energy,0.20697595899354587,0.011439813898563878,0.5274375505040189,161.32142787863387,7.157999999999999,0.003644302686815171,0.028001294228584994,0.2154375994418349,True,strict,0.00307525048318813,-0.0,0.0,1.0,energy,-0.0,False,0.15,0.15,0.7,0.6000000000000001,0.0,True,True
flat:flat:27030,3,flat,flat,27030,motion,0.19877825418881892,0.011206947768963159,0.5427870117125188,161.27287611650542,6.9760000000000035,0.0038214456562466804,0.02771483511842829,0.22243371325380662,True,strict,0.0045230122896617875,1.0,-0.0,0.0,motion,-0.0,False,0.7,0.15,0.15,0.6000000000000001,0.0,True,True
