context_id,context_index,group,terrain,seed,source_beta_name,cost_motion,cost_stability,cost_energy,episode_energy_abs_j,decision_time_s,roll_rms_rad,pitch_rms_rad,mean_applied_vx_mps,pareto_nondominated,support_class,max_margin,beta_hat_motion,beta_hat_stability,beta_hat_energy,beta_hat_dominant,beta_hat_entropy,beta_hat_interior_005,beta_gen_motion,beta_gen_stability,beta_gen_energy,beta_hat_gen_l1,original_beta_regret,original_beta_consistent,selection_evidence_required
flat:flat:27031,4,flat,flat,27031,balanced,0.2031993275763825,0.011343150345441987,0.5401013837669101,160.4749223452818,6.956,0.0037763086389544513,0.02788274156912366,0.21830708450254274,True,unsupported,-8.289418223892832e-05,0.0,0.9724282066991554,0.02757179330084447,stability,0.11486983414004454,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.2781897467316443,0.0008438335589057155,False,True
flat:flat:27033,6,flat,flat,27033,balanced,0.2036506524371058,0.011323680233231673,0.5362141983358067,159.31996181574686,6.952000000000001,0.0037493761538527504,0.027858801294579506,0.21829410725656676,True,unsupported,-0.00010210528277145763,0.0,0.9901977766616679,0.009802223338332004,stability,0.050145751055314144,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3137288866566692,0.004900742828912147,False,True
flat:flat:27033,6,flat,flat,27033,energy,0.20655654801495493,0.011512015271795252,0.5308664569921817,162.3701891778704,7.1599999999999975,0.0036539847301210317,0.02808951935584351,0.21543093704751562,True,unsupported,-0.00023617446421875872,0.0,0.990197776661668,0.009802223338332004,stability,0.05014575105531404,False,0.15,0.15,0.7,1.680395553323336,0.009736131074087717,False,True
flat:flat:27035,8,flat,flat,27035,balanced,0.20314606966111906,0.011357881827509207,0.5401308558637374,160.48367909464758,6.95,0.0037903782100042437,0.02790084154128196,0.2183043040773448,True,unsupported,-0.0001563624294425434,0.0,0.974428926059628,0.025571073940372054,stability,0.10831152561231107,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.2821911854525891,0.00198029860728563,False,True
flat:flat:27035,8,flat,flat,27035,energy,0.20667139776751023,0.0114229470100988,0.5330347949067483,163.0333944581297,7.148000000000001,0.0036839084379935807,0.027980644138776243,0.21544334466968262,True,unsupported,-3.83099260206379e-05,0.0,0.9744289260596282,0.02557107394037204,stability,0.10831152561231094,False,0.15,0.15,0.7,1.648857852119256,0.00270414794173951,False,True
flat:flat:27036,9,flat,flat,27036,balanced,0.2031937295472977,0.011346392625228716,0.5402625657928969,160.52281274860445,6.948000000000001,0.0037896795518054262,0.027886726235031807,0.21830468778224554,True,unsupported,-2.296958914694987e-05,0.0,0.9866920185888015,0.013307981411198513,stability,0.06435520053013027,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3067173705109363,0.002710842836300714,False,True
flat:flat:27036,9,flat,flat,27036,energy,0.2063921400118817,0.011495324461108344,0.5340046406712781,163.33003034119577,7.146000000000001,0.0037189030960476164,0.028069149098845496,0.21545217567256522,True,unsupported,-8.663909173198001e-05,0.0,0.9866920185888014,0.01330798141119851,stability,0.06435520053013036,False,0.15,0.15,0.7,1.6733840371776028,0.004752708131976313,False,True
low_friction:low_friction:27028,11,low_friction,low_friction,27028,energy,0.2080907821351918,0.010022993012053819,0.5777621738830252,176.71365790320797,7.146000000000002,0.005131817950937344,0.026210019506011307,0.21589958469782558,True,unsupported,-8.355312615774689e-05,0.0,0.9438167738008776,0.05618322619912242,stability,0.19691545523066886,False,0.15,0.15,0.7,1.5876335476017551,0.0025773997696383333,False,True
low_friction:low_friction:27029,12,low_friction,low_friction,27029,balanced,0.20493310684729413,0.0098001680933653,0.5805677844439192,172.49829925453014,6.964000000000002,0.005201451956779187,0.025917039414218433,0.21890255296055008,True,unsupported,-0.0002395542994989517,0.0,0.948812965752208,0.051187034247792064,stability,0.18386438338772076,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.2309592648377492,0.000739791571982118,False,True
low_friction:low_friction:27029,12,low_friction,low_friction,27029,energy,0.20792647182395163,0.01009586789760667,0.5799092679119243,177.3703655536221,7.158,0.005259353394597224,0.026305130015642154,0.21589345893689563,True,unsupported,-0.00048641059945759316,0.0,0.948812965752208,0.05118703424779203,stability,0.18386438338772074,False,0.15,0.15,0.7,1.597625931504416,0.0042798240660002485,False,True
low_friction:low_friction:27030,13,low_friction,low_friction,27030,energy,0.2080273325320219,0.009993902648384493,0.5782372994177729,176.85897923957063,7.142000000000003,0.005149132618818964,0.026171956150134408,0.21590029486588072,True,unsupported,-0.00027273704818870265,0.0,0.9679826544016392,0.032017345598360746,stability,0.1289683412119569,False,0.15,0.15,0.7,1.6359653088032784,0.003801020364322838,False,True
low_friction:low_friction:27031,14,low_friction,low_friction,27031,energy,0.20833725388386398,0.00995801815861967,0.5770956854141067,176.50980652522426,7.134000000000001,0.0049588824973886055,0.026124926786510703,0.21589692132813587,True,unsupported,-0.0004237633978739227,0.0,0.9241179833998596,0.07588201660014024,stability,0.24448549730540128,False,0.15,0.15,0.7,1.5482359667997194,0.006529014192986848,False,True
low_friction:low_friction:27033,16,low_friction,low_friction,27033,energy,0.20815886882446,0.010002504677964884,0.5790965128570541,177.12177724996047,7.148000000000001,0.005160764395973081,0.026183217072793783,0.21589987326945578,True,unsupported,-0.00010081127304010009,0.0,0.9578450034245973,0.04215499657540257,stability,0.15904918344582586,False,0.15,0.15,0.7,1.6156900068491948,0.0032256638258191805,False,True
low_friction:low_friction:27034,17,low_friction,low_friction,27034,balanced,0.2047064474410161,0.009814829716669936,0.579804652104803,172.2715573750616,6.954,0.0052241420064061475,0.02593641891926998,0.21889703422784804,True,unsupported,-3.6916809816299803e-05,0.030787197759884137,0.8911437385718134,0.07806906366830255,stability,0.3722444034670744,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.11562081047696,0.000227630938718415,False,True
rough_test:rough_perlin:2,20,rough_test,rough_perlin,2,stability,0.23871249968953043,0.1238123514670755,0.6298591384146389,214.66488543118598,7.948000000000001,0.012529440652388663,0.09209625346726236,0.20818303436614002,True,unsupported,-0.00013568328339779692,0.6441779778318787,0.35582202216812125,0.0,motion,0.5925442462753562,False,0.15,0.7,0.15,0.9883559556637574,0.0025692722953717106,False,True
rough_test:rough_perlin:26,23,rough_test,rough_perlin,26,balanced,0.2165387408185827,0.053455603980619576,0.6116109361340248,192.4113604645476,7.354000000000002,0.00528393180104228,0.060529243256875774,0.21048748095830283,True,unsupported,-0.0001858546578466444,0.7239551882576027,0.0,0.27604481174239714,motion,0.5362937307633767,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.781243709848539,0.002238424982777487,False,True
rough_test:rough_perlin:3,21,rough_test,rough_perlin,3,balanced,0.207809893317919,0.09245961857662528,0.6596488924259084,201.75943317463143,7.162000000000002,0.006766605280443797,0.07955489761148413,0.21079332308045456,True,unsupported,-8.101456750523738e-05,0.4698818137293888,0.5301181862706111,0.0,stability,0.6292773881079808,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.008257728690516497,False,True
rough_test:rough_perlin:3,21,rough_test,rough_perlin,3,stability,0.2115497744355769,0.09168360146729755,0.6502090967702562,198.8721883954209,7.158,0.006662072452003251,0.0792272154266098,0.20807999194200552,True,unsupported,-0.0014269359076908522,0.46988181372938886,0.5301181862706111,0.0,stability,0.6292773881079808,False,0.15,0.7,0.15,0.6397636274587777,0.0057421457617973515,False,True
