representation,held_context,context_dim,model_input_dim,shared_param_count,factorized_param_count,factorized_over_shared,rho_regret_motion,rho_regret_stability,rho_regret_energy,final_mse_motion,final_mse_stability,final_mse_energy,balanced_oracle_beta,balanced_selected_beta,balanced_baseline_beta,balanced_Q_excess,balanced_baseline_Q_excess,balanced_rank,balanced_beats_baseline,balanced_ties_baseline,balanced_worse_baseline,motion_biased_oracle_beta,motion_biased_selected_beta,motion_biased_baseline_beta,motion_biased_Q_excess,motion_biased_baseline_Q_excess,motion_biased_rank,motion_biased_beats_baseline,motion_biased_ties_baseline,motion_biased_worse_baseline,stability_biased_oracle_beta,stability_biased_selected_beta,stability_biased_baseline_beta,stability_biased_Q_excess,stability_biased_baseline_Q_excess,stability_biased_rank,stability_biased_beats_baseline,stability_biased_ties_baseline,stability_biased_worse_baseline,energy_biased_oracle_beta,energy_biased_selected_beta,energy_biased_baseline_beta,energy_biased_Q_excess,energy_biased_baseline_Q_excess,energy_biased_rank,energy_biased_beats_baseline,energy_biased_ties_baseline,energy_biased_worse_baseline
semantic_only,rough_seed_29,74,77,9347,9075,0.9708997539317428,0.7532467532467532,-0.7623376623376623,-0.3168831168831169,0.013113954104483128,0.030434255798657734,0.0543258897960186,lm060_ls040_le000,lm060_ls000_le040,lm080_ls020_le000,0.8607055246525701,0.01807345113361848,17,0,0,1,lm060_ls040_le000,lm060_ls000_le040,lm080_ls020_le000,0.44909620666188554,0.15487168492320835,10,0,0,1,lm080_ls020_le000,lm060_ls000_le040,lm080_ls020_le000,1.2412237909254167,0.0,18,0,0,1,lm080_ls000_le020,lm040_ls020_le040,lm100_ls000_le000,1.8601304764962094,0.5558651539577645,18,0,0,1
semantic_only,rough_seed_18,74,77,9347,9075,0.9708997539317428,0.9896103896103896,0.8116883116883117,0.38571428571428573,0.013796144165098667,0.04558859393000603,0.057867070039113365,lm000_ls100_le000,lm000_ls100_le000,lm080_ls020_le000,0.0,1.6530904404215563,1,1,0,0,lm000_ls100_le000,lm000_ls100_le000,lm080_ls020_le000,0.0,0.7482497464283054,1,1,0,0,lm040_ls040_le020,lm000_ls100_le000,lm080_ls020_le000,0.5539999999999999,4.008310195358528,3,1,0,0,lm000_ls100_le000,lm000_ls100_le000,lm100_ls000_le000,0.0,2.622873817942152,1,1,0,0
semantic_only,rough_seed_10,74,77,9347,9075,0.9708997539317428,0.9454545454545454,-0.9480519480519479,0.287012987012987,0.013707992931207022,0.030617691576480865,0.05569995939731598,lm060_ls020_le020,lm080_ls020_le000,lm080_ls020_le000,0.04660870274838702,0.04660870274838702,5,0,1,0,lm080_ls020_le000,lm100_ls000_le000,lm080_ls020_le000,0.07178136053531575,0.0,3,0,0,1,lm040_ls000_le060,lm100_ls000_le000,lm080_ls020_le000,0.5117349217338809,0.17602207741313627,18,0,0,1,lm080_ls020_le000,lm000_ls100_le000,lm100_ls000_le000,0.6406411529651291,0.07278475262244571,17,0,0,1
semantic_only,rough_seed_8,74,77,9347,9075,0.9708997539317428,0.9649350649350649,0.2311688311688312,0.648051948051948,0.012615075955788294,0.027833903208374977,0.05744660273194313,lm080_ls020_le000,lm000_ls100_le000,lm080_ls020_le000,0.5694263023258392,0.0,6,0,0,1,lm080_ls020_le000,lm020_ls080_le000,lm080_ls020_le000,0.5768955544300101,0.0,5,0,0,1,lm080_ls020_le000,lm000_ls100_le000,lm080_ls020_le000,0.8862108009752141,0.0,21,0,0,1,lm040_ls060_le000,lm000_ls100_le000,lm080_ls020_le000,1.7348939282183722,0.554459329261933,15,0,0,1
semantic_only,rough_seed_22,74,77,9347,9075,0.9708997539317428,0.7701298701298702,-0.5,0.5532467532467533,0.013939896908899149,0.030316096420089405,0.0585100973645846,lm040_ls040_le020,lm060_ls040_le000,lm080_ls020_le000,0.15554189920854525,0.14102356059836776,9,0,0,1,lm080_ls020_le000,lm100_ls000_le000,lm080_ls020_le000,0.000743379983356468,0.0,2,0,0,1,lm040_ls020_le040,lm060_ls040_le000,lm080_ls020_le000,0.5832639117293313,0.5499283318018938,18,0,0,1,lm040_ls020_le040,lm040_ls060_le000,lm100_ls000_le000,0.7928598664529714,0.5569999999999999,14,0,0,1
semantic_only,rough_seed_20,74,77,9347,9075,0.9708997539317428,0.9324675324675323,-0.4090909090909091,-0.07532467532467534,0.013840549625456333,0.027876996124784153,0.05680675059556961,lm000_ls060_le040,lm040_ls060_le000,lm080_ls020_le000,0.22740588583138488,0.14667944598463062,17,0,0,1,lm080_ls000_le020,lm040_ls060_le000,lm080_ls020_le000,0.08262451346990989,0.04602913148335923,10,0,0,1,lm000_ls040_le060,lm020_ls060_le020,lm080_ls020_le000,0.4804911928791963,0.6086434426243702,13,1,0,0,lm060_ls020_le020,lm020_ls080_le000,lm100_ls000_le000,0.7486848710798879,0.5981245821404113,14,0,0,1
semantic_only,rough_seed_28,74,77,9347,9075,0.9708997539317428,0.42337662337662335,-0.6064935064935064,-0.7857142857142857,0.014276341845591864,0.03186328709125519,0.05645293369889259,lm000_ls100_le000,lm040_ls000_le060,lm080_ls020_le000,1.673491644655473,0.2066409730589126,18,0,0,1,lm060_ls040_le000,lm040_ls000_le060,lm080_ls020_le000,1.4445021782170115,0.017943524956309964,17,0,0,1,lm000_ls100_le000,lm040_ls000_le060,lm080_ls020_le000,3.611403833208213,0.38428357903425,17,0,0,1,lm000_ls100_le000,lm040_ls000_le060,lm100_ls000_le000,2.8345842702556623,0.6351132921090953,18,0,0,1
semantic_only,rough_seed_17,74,77,9347,9075,0.9708997539317428,0.9259740259740258,0.22857142857142856,0.44675324675324674,0.015090543776750565,0.027612874284386635,0.05420617386698723,lm100_ls000_le000,lm080_ls000_le020,lm080_ls020_le000,0.13735028559898954,0.19233300719603325,2,1,0,0,lm100_ls000_le000,lm100_ls000_le000,lm080_ls020_le000,0.0,0.08680197374791396,1,1,0,0,lm100_ls000_le000,lm080_ls000_le020,lm020_ls080_le000,0.4075558831949171,0.4407909749710096,8,1,0,0,lm020_ls060_le020,lm060_ls000_le040,lm080_ls020_le000,0.5561222600259639,0.44073567876514763,13,0,0,1
semantic_plus_probe,rough_seed_13,81,84,9795,9663,0.9865237366003062,0.8610389610389609,-0.33506493506493507,0.04935064935064935,0.012612441244224707,0.028744742274284363,0.05666909242669741,lm080_ls020_le000,lm000_ls080_le020,lm080_ls020_le000,0.1761300907969755,0.0,20,0,0,1,lm080_ls020_le000,lm000_ls100_le000,lm080_ls020_le000,0.07115253433137764,0.0,8,0,0,1,lm040_ls060_le000,lm000_ls080_le020,lm080_ls020_le000,0.7513727005538565,0.2576064893087705,20,0,0,1,lm040_ls000_le060,lm000_ls080_le020,lm100_ls000_le000,0.6159491028628588,0.5973903235713229,21,0,0,1
semantic_plus_probe,rough_seed_7,81,84,9795,9663,0.9865237366003062,0.9090909090909091,0.04155844155844156,0.21818181818181817,0.01306545672317346,0.027961007008949917,0.059290835012992225,lm000_ls060_le040,lm080_ls020_le000,lm080_ls020_le000,0.11426225020779207,0.11426225020779207,13,0,1,0,lm000_ls100_le000,lm080_ls020_le000,lm080_ls020_le000,0.04173637857875327,0.04173637857875327,4,0,1,0,lm020_ls020_le060,lm080_ls020_le000,lm080_ls020_le000,0.12887637281230643,0.12887637281230643,3,0,1,0,lm020_ls020_le060,lm080_ls020_le000,lm100_ls000_le000,0.5561560900254371,0.3949767223636602,19,0,0,1
