representation,eta_name,context_dim,shared_param_count,factorized_param_count,factorized_over_shared,rho_regret_motion_mean,rho_regret_stability_mean,rho_regret_energy_mean,factorized_Q_excess_mean,factorized_Q_excess_median,factorized_Q_excess_p95,baseline_Q_excess_mean,shared_Q_excess_mean,factorized_minus_shared_Qmean,factorized_minus_baseline_Qmean,shared_baseline_regression_diff,beat_tie_worse_baseline,rank_mean,top3_fraction,top5_fraction
semantic_only,balanced,74,9347,9075,0.9708997539317428,0.7924963924963925,-0.08116883116883115,0.2233044733044733,0.3061360518828543,0.14644609240376738,0.9826234426530044,0.1998418525268314,0.9605589075834686,-0.6544228557006143,0.10629419935602291,0.0,7/1/10,8.833333333333334,0.2777777777777778,0.3888888888888889
semantic_only,motion_biased,74,9347,9075,0.9708997539317428,0.7924963924963925,-0.08116883116883115,0.2233044733044733,0.3302633649926754,0.0714669474333467,1.5288230883779923,0.08077933508077832,0.32024160302847826,0.010021761964197129,0.24948402991189705,0.0,6/0/12,6.055555555555555,0.4444444444444444,0.6111111111111112
semantic_only,stability_biased,74,9347,9075,0.9708997539317428,0.7924963924963925,-0.08116883116883115,0.2233044733044733,0.9080243889702927,0.49962436297264057,3.7767583964457905,0.6333196622023638,0.794436922001434,0.11358746696885869,0.2747047267679289,0.0,10/0/8,12.166666666666666,0.1111111111111111,0.2222222222222222
semantic_only,energy_biased,74,9347,9075,0.9708997539317428,0.7924963924963925,-0.08116883116883115,0.2233044733044733,0.6333324292585756,0.40124927075385175,2.006298545560126,0.5631097364105113,0.9335719586194592,-0.3002395293608836,0.07022269284806426,0.0,6/1/11,10.555555555555555,0.2222222222222222,0.2777777777777778
semantic_plus_probe,balanced,81,9795,9663,0.9865237366003062,0.8323953823953825,-0.04018759018759017,0.19862914862914863,0.36475687740747553,0.1701105453381101,1.0592015868595976,0.1998418525268314,0.2704263260869022,0.09433055132057333,0.16491502488064413,0.0,8/1/9,8.5,0.2777777777777778,0.3333333333333333
semantic_plus_probe,motion_biased,81,9795,9663,0.9865237366003062,0.8323953823953825,-0.04018759018759017,0.19862914862914863,0.39534773172050564,0.0714669474333467,1.2199789490076731,0.08077933508077832,0.28141161955599026,0.11393611216451538,0.3145683966397273,0.0,5/1/12,6.611111111111111,0.16666666666666666,0.5
semantic_plus_probe,stability_biased,81,9795,9663,0.9865237366003062,0.8323953823953825,-0.04018759018759017,0.19862914862914863,1.4821795156944757,0.5190084267201001,4.833253281110656,0.6333196622023638,0.822991397063164,0.6591881186313117,0.8488598534921119,0.0,11/1/6,11.222222222222221,0.16666666666666666,0.16666666666666666
semantic_plus_probe,energy_biased,81,9795,9663,0.9865237366003062,0.8323953823953825,-0.04018759018759017,0.19862914862914863,0.6178267648818928,0.47047775671962266,2.053434817435354,0.5631097364105113,0.5385217060638813,0.07930505881801153,0.05471702847138149,0.0,8/2/8,9.444444444444445,0.2222222222222222,0.5
semantic_plus_prop_probe,balanced,87,10179,10167,0.9988211022693781,0.9061327561327561,0.11053391053391053,0.022005772005772015,0.16423269747065866,0.11511616185017873,0.6123322018582865,0.1998418525268314,0.281895886846194,-0.11766318937553533,-0.03560915505617274,0.0,11/0/7,6.888888888888889,0.2777777777777778,0.5
semantic_plus_prop_probe,motion_biased,87,10179,10167,0.9988211022693781,0.9061327561327561,0.11053391053391053,0.022005772005772015,0.1464169568786589,0.043834860886596085,0.5652864599177502,0.08077933508077832,0.28321611840834654,-0.13679916152968763,0.06563762179788059,0.0,8/1/9,4.5,0.5,0.6666666666666666
semantic_plus_prop_probe,stability_biased,87,10179,10167,0.9988211022693781,0.9061327561327561,0.11053391053391053,0.022005772005772015,0.44906839061231785,0.36858688677449736,0.888030556831751,0.6333196622023638,0.391206177869655,0.057862212742662844,-0.18425127159004595,0.0,11/0/7,8.944444444444445,0.2777777777777778,0.3333333333333333
semantic_plus_prop_probe,energy_biased,87,10179,10167,0.9988211022693781,0.9061327561327561,0.11053391053391053,0.022005772005772015,0.4960604316209968,0.3667556990413038,1.6631557538238761,0.5631097364105113,0.8743734104600932,-0.3783129788390964,-0.06704930478951454,0.0,7/3/8,8.944444444444445,0.2222222222222222,0.2777777777777778
