group,seed,pareto_count,J_motion_ideal,J_motion_nadir,J_motion_span,J_stability_ideal,J_stability_nadir,J_stability_span,J_energy_ideal,J_energy_nadir,J_energy_span,motion_regret_active,stability_regret_active,energy_regret_active
flat,27100,1,4.467153420035954,4.467153420035954,0.0,0.10764727422495432,0.10764727422495432,0.0,100.54988909022944,100.54988909022944,0.0,0,0,0
flat,27101,1,4.467153420035954,4.467153420035954,0.0,0.10764727422495432,0.10764727422495432,0.0,100.54988909022944,100.54988909022944,0.0,0,0,0
flat,27102,1,4.467153420035954,4.467153420035954,0.0,0.10764727422495432,0.10764727422495432,0.0,100.54988909022944,100.54988909022944,0.0,0,0,0
low_friction,27200,6,4.539224297512309,4.566854367627028,0.02763007011471874,0.2496795992077843,0.25137314479378425,0.0016935455859999615,110.4678040997217,110.6622779661086,0.19447386638690034,1,1,1
low_friction,27201,6,4.539224297512309,4.566854367627028,0.02763007011471874,0.2496795992077843,0.25137314479378425,0.0016935455859999615,110.4678040997217,110.6622779661086,0.19447386638690034,1,1,1
low_friction,27202,6,4.539224297512309,4.566854367627028,0.02763007011471874,0.2496795992077843,0.25137314479378425,0.0016935455859999615,110.4678040997217,110.6622779661086,0.19447386638690034,1,1,1
rough,7,12,4.457193450320372,4.565303810371516,0.1081103600511435,0.3199357677276557,0.3265309299802105,0.006595162252554798,130.33310099906856,133.44172120843342,3.108620209364858,1,1,1
rough,13,9,4.425768838781536,4.518383985560771,0.09261514677923444,0.480545692682495,0.4904870473813614,0.009941354698866423,145.32719359313973,148.2619747782019,2.934781185062178,1,1,1
rough,15,11,4.453475368085315,4.503668003129401,0.050192635044085776,0.4390288881572686,0.44396975897545204,0.0049408708181834515,151.10764345690615,153.784242345689,2.6765988887828485,1,1,1
