held_context,nearest_context,rho_J_motion,rho_J_stability,rho_J_energy,rho_J_mean,rho_Q,rho_Jmean_minus_Q,Q_best_second_gap,Q_range,Q_relative_best_second_gap,T6p3b_Q_excess
rough_seed_13,rough_seed_18,0.8805194805194804,-0.2506493506493506,-0.8402597402597403,-0.0701298701298702,-0.2545454545454545,0.1844155844155843,0.00053251138278812,0.17792272003435616,0.0029929363865688107,0.03270896035207965
rough_seed_7,rough_seed_5,0.8870129870129868,-0.14025974025974028,-0.525974025974026,0.0735930735930735,0.03636363636363636,0.03722943722943714,0.0060408283621881664,0.16582501381895393,0.03642893326566209,0.11608609226524153
rough_seed_15,rough_seed_32,0.8272727272727272,0.28441558441558445,0.2675324675324675,0.4597402597402597,0.28441558441558445,0.17532467532467527,0.0068616204234064615,0.40666745016513184,0.01687280459899169,0.12127889777638276
rough_seed_0,rough_seed_32,0.9753246753246754,0.4285714285714285,0.4584415584415585,0.6207792207792208,0.12727272727272726,0.4935064935064935,0.0014168928852264784,0.3322238806368559,0.004264873682500995,0.1307796446375164
rough_seed_5,rough_seed_38,0.9792207792207792,0.4584415584415585,0.47402597402597396,0.6372294372294373,0.7922077922077921,-0.15497835497835488,0.006931939127884312,0.19597431218644895,0.03537167218777786,0.0
rough_seed_11,rough_seed_25,0.9818181818181818,0.44285714285714284,0.15714285714285717,0.5272727272727272,0.5012987012987012,0.025974025974025983,0.03219518326367715,2.061775611243495,0.015615270201134858,0.6410250701151684
rough_seed_4,rough_seed_36,0.9623376623376624,0.5545454545454546,-0.16753246753246753,0.44978354978354984,0.03896103896103896,0.41082251082251087,0.1603255211117226,41.66832573678143,0.0038476593018039163,1.4184583553569694
rough_seed_25,rough_seed_20,0.9818181818181818,-0.062337662337662345,-0.3233766233766234,0.19870129870129868,0.0012987012987012987,0.19740259740259739,0.04243296253805419,0.4858669055965883,0.08733453966359661,0.3195472356950745
rough_seed_12,rough_seed_36,0.9974025974025975,-0.11688311688311687,-0.16883116883116883,0.23722943722943732,-0.1987012987012987,0.43593073593073606,0.0023523746305496585,0.8235968366306745,0.0028562210609904683,0.0
rough_seed_6,rough_seed_31,0.9805194805194805,0.5207792207792208,-0.45454545454545453,0.34891774891774885,0.10519480519480517,0.24372294372294367,0.05415995028104853,0.9630274917371909,0.056239256662704615,0.36734712600318287
rough_seed_29,rough_seed_25,0.9558441558441559,-0.06883116883116883,0.26103896103896107,0.38268398268398274,0.3233766233766234,0.059307359307359364,0.003682905690670757,1.1319061211078274,0.0032537200939122025,0.22111780249293078
rough_seed_18,rough_seed_6,0.9389610389610389,-0.5012987012987012,0.6350649350649351,0.3575757575757576,0.6792207792207793,-0.3216450216450217,0.0033333333333332993,13.071177694501156,0.00025501400189330926,0.11112329085320133
rough_seed_10,rough_seed_38,0.9233766233766234,0.274025974025974,0.18571428571428572,0.4610389610389611,0.5389610389610389,-0.07792207792207778,0.007168061631452255,0.6028285963471206,0.01189071267502503,0.0
rough_seed_8,rough_seed_6,0.9571428571428571,0.20129870129870128,0.7155844155844155,0.6246753246753246,0.5389610389610389,0.08571428571428574,0.0016479083801680394,1.6214059247717953,0.001016345354973323,0.7668658057023279
rough_seed_22,rough_seed_20,0.9727272727272727,0.7922077922077921,0.5792207792207792,0.7813852813852814,0.34025974025974026,0.44112554112554114,0.016188689692364505,0.6940065169003994,0.023326423164824302,0.1894274549107057
rough_seed_20,rough_seed_25,0.9818181818181818,-0.062337662337662345,-0.3233766233766234,0.19870129870129868,0.0012987012987012987,0.19740259740259739,0.027853767038330174,0.4074024508144523,0.06836916906770381,0.13589150167133868
rough_seed_28,rough_seed_40,0.9454545454545454,-0.8090909090909091,0.8428571428571429,0.3264069264069264,0.4688311688311688,-0.1424242424242424,0.15082461999989727,3.2611374722943802,0.04624908372653922,0.6041013760693854
rough_seed_17,rough_seed_38,0.9103896103896105,0.2532467532467532,0.7389610389610389,0.6341991341991342,0.7688311688311688,-0.13463203463203455,0.13735028559898954,0.9372501751670859,0.1465460228636434,0.14204112922934917
