update,checkpoint,beta_name,terrain_label,terrain,seed,success,status,policy_steps,decision_time_s,energy_abs_j,mean_applied_vx_mps,aggregation_rule,reward_steps,mean_cost_motion,mean_cost_posture,mean_cost_traction,mean_cost_stability,mean_cost_energy,mean_objective_cost,median_cost_posture,median_cost_traction,traction_dominant_steps,traction_dominant_fraction,posture_dominant_fraction,tie_fraction,mean_established_contact_dt_s
35,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0035.pt,balanced,flat,flat,27100,True,success,34,6.959999999999999,160.4170502365982,0.2198045317960136,last_policy_steps,34,0.2018868331786814,0.011474856598066132,0.0013712898382209088,0.011474856598066132,0.5399066068788784,0.2510894322185419,0.010461157853905518,0.0007765491824371677,0,0.0,1.0,0.0,0.47705882352926243
35,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0035.pt,balanced,flat,flat,27101,True,success,34,6.9380000000000015,160.1022746140519,0.21980880040894535,last_policy_steps,34,0.20204821934306624,0.011325996734755848,0.0013890585070087396,0.011325996734755848,0.5388471843421436,0.25074046680665524,0.010343829756232941,0.0008473307198402725,0,0.0,1.0,0.0,0.4755882352939679
35,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0035.pt,balanced,flat,flat,27102,True,success,34,6.934000000000001,159.47859929435705,0.21981435277882744,last_policy_steps,34,0.20214191025630607,0.011326481644729894,0.0013906198245463425,0.011326481644729894,0.536748115538959,0.25007216914666497,0.010343092820083555,0.0008352942415537459,0,0.0,1.0,0.0,0.47464705882337943
35,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0035.pt,balanced,low_friction,low_friction,27200,True,success,35,7.159999999999999,176.82590459958138,0.21713470157768044,last_policy_steps,35,0.21305591905998628,0.009847888894666807,0.12632230934242647,0.1305402887224096,0.5781291624682731,0.3072417900835563,0.011019011524434906,0.027859427299662134,19,0.5428571428571428,0.45714285714285713,0.0,0.45708571428559525
35,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0035.pt,balanced,low_friction,low_friction,27201,True,success,35,7.146,177.30691796339357,0.21712069581661905,last_policy_steps,35,0.21212030982658323,0.009909721162993726,0.12449282956298668,0.12892750845689904,0.5797018271396998,0.306916548474394,0.010996528800352717,0.018962410412040248,18,0.5142857142857142,0.4857142857142857,0.0,0.4577142857141672
35,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0035.pt,balanced,low_friction,low_friction,27202,True,success,35,7.124000000000002,176.52640320628336,0.21712505017008102,last_policy_steps,35,0.2129088183413823,0.009780796594773532,0.12279594159990016,0.12737161867208038,0.5771499479688051,0.3058101283274226,0.011172926806436079,0.007256620167795096,17,0.4857142857142857,0.5142857142857142,0.0,0.4565714285713097
35,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0035.pt,balanced,rough,rough_perlin,13,True,success,35,7.140000000000002,236.26179661317462,0.21517999362732684,last_policy_steps,35,0.21347021583422116,0.22375609006754393,0.005973523978985913,0.22375609006754393,0.7724537584497532,0.4032266881171727,0.20522231714078495,0.0005656706914997411,0,0.0,1.0,0.0,0.43319999999989756
35,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0035.pt,balanced,rough,rough_perlin,7,True,success,36,7.3679999999999986,217.7089639962811,0.21530176747667915,last_policy_steps,36,0.21555724336474155,0.10334111263180562,0.0023026916311950597,0.10334111263180562,0.6920235008632357,0.33697395228659427,0.06187155751647663,0.00035642548490417465,0,0.0,1.0,0.0,0.44433333333324065
35,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0035.pt,balanced,rough,rough_perlin,15,True,success,34,6.932000000000001,240.5443057274528,0.21623375020263827,last_policy_steps,34,0.20269730402014213,0.1870546103917985,0.004660337173387497,0.1870755388457042,0.8095863857227016,0.39978640952951594,0.12140010244038488,0.0018367440010841909,1,0.029411764705882353,0.9705882352941176,0.0,0.4381176470586975
35,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0035.pt,motion,flat,flat,27100,True,success,34,6.958000000000002,162.11663275156977,0.22289998358225124,last_policy_steps,34,0.19895831888922466,0.01137774907760925,0.0014382258429831143,0.01137774907760925,0.5456267957703682,0.2228215049496539,0.010661377489622866,0.0007901090118799152,0,0.0,1.0,0.0,0.47717647058808565
