policy,checkpoint,trained_reward_mode,eval_reward_mode,group,terrain,seed,status,settled,settling_steps,success,m4_terminal,m4_interventions,policy_steps,initial_goal_distance_m,final_goal_distance_m,progress_m,decision_time_s,energy_abs_j,energy_bracket_time_s,mean_cost_motion,mean_cost_stability,mean_cost_energy,sum_cost_motion,sum_cost_stability,sum_cost_energy,mean_progress_rate_mps,mean_energy_power_ratio,roll_rms_rad,pitch_rms_rad,max_abs_roll_rad,max_abs_pitch_rad,mean_action_vx_norm,mean_abs_action_yaw_norm,mean_action_height_norm,mean_requested_vx_mps,mean_abs_requested_yaw_rps,mean_requested_height_m,mean_requested_clearance_m,mean_applied_vx_mps,mean_abs_applied_yaw_rps,mean_applied_height_m,mean_applied_clearance_m,comparison_method,beta_name,fixed_action_norm_vx,fixed_action_norm_yaw,fixed_action_norm_height
fixed_train_mean,TRAIN-only balanced-u30 mean command,fixed_baseline_no_training,tracer_cost_v4,flat,flat,27027,success,True,5,True,False,0,38,1.806892693656803,0.12823762422895274,1.6786550694278504,7.6,169.67677860861525,7.6,0.2239054162125246,0.011745879683857896,0.5109587568230589,8.508405816075935,0.44634342798660004,19.41643275927624,0.22087566702998035,1.021917513646118,0.0031104649007662024,0.028373401325336278,0.005693777929991484,0.04458463191986084,0.06043507158756256,0.010498247109353542,-0.026836717501282692,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,B0_fixed,fixed,0.06043507158756256,0.010498247109353542,-0.026836717501282692
fixed_train_mean,TRAIN-only balanced-u30 mean command,fixed_baseline_no_training,tracer_cost_v4,flat,flat,27028,success,True,5,True,False,0,38,1.806892693656803,0.12823762422895274,1.6786550694278504,7.6,169.67677860861525,7.6,0.2239054162125246,0.011745879683857896,0.5109587568230589,8.508405816075935,0.44634342798660004,19.41643275927624,0.22087566702998035,1.021917513646118,0.0031104649007662024,0.028373401325336278,0.005693777929991484,0.04458463191986084,0.06043507158756256,0.010498247109353542,-0.026836717501282692,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,B0_fixed,fixed,0.06043507158756256,0.010498247109353542,-0.026836717501282692
fixed_train_mean,TRAIN-only balanced-u30 mean command,fixed_baseline_no_training,tracer_cost_v4,flat,flat,27029,success,True,5,True,False,0,38,1.806892693656803,0.12823762422895274,1.6786550694278504,7.6,169.67677860861525,7.6,0.2239054162125246,0.011745879683857896,0.5109587568230589,8.508405816075935,0.44634342798660004,19.41643275927624,0.22087566702998035,1.021917513646118,0.0031104649007662024,0.028373401325336278,0.005693777929991484,0.04458463191986084,0.06043507158756256,0.010498247109353542,-0.026836717501282692,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,B0_fixed,fixed,0.06043507158756256,0.010498247109353542,-0.026836717501282692
fixed_train_mean,TRAIN-only balanced-u30 mean command,fixed_baseline_no_training,tracer_cost_v4,flat,flat,27030,success,True,5,True,False,0,38,1.806892693656803,0.12823762422895274,1.6786550694278504,7.6,169.67677860861525,7.6,0.2239054162125246,0.011745879683857896,0.5109587568230589,8.508405816075935,0.44634342798660004,19.41643275927624,0.22087566702998035,1.021917513646118,0.0031104649007662024,0.028373401325336278,0.005693777929991484,0.04458463191986084,0.06043507158756256,0.010498247109353542,-0.026836717501282692,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,B0_fixed,fixed,0.06043507158756256,0.010498247109353542,-0.026836717501282692
fixed_train_mean,TRAIN-only balanced-u30 mean command,fixed_baseline_no_training,tracer_cost_v4,flat,flat,27031,success,True,5,True,False,0,38,1.806892693656803,0.12823762422895274,1.6786550694278504,7.6,169.67677860861525,7.6,0.2239054162125246,0.011745879683857896,0.5109587568230589,8.508405816075935,0.44634342798660004,19.41643275927624,0.22087566702998035,1.021917513646118,0.0031104649007662024,0.028373401325336278,0.005693777929991484,0.04458463191986084,0.06043507158756256,0.010498247109353542,-0.026836717501282692,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,B0_fixed,fixed,0.06043507158756256,0.010498247109353542,-0.026836717501282692
fixed_train_mean,TRAIN-only balanced-u30 mean command,fixed_baseline_no_training,tracer_cost_v4,flat,flat,27032,success,True,5,True,False,0,38,1.806892693656803,0.12823762422895274,1.6786550694278504,7.6,169.67677860861525,7.6,0.2239054162125246,0.011745879683857896,0.5109587568230589,8.508405816075935,0.44634342798660004,19.41643275927624,0.22087566702998035,1.021917513646118,0.0031104649007662024,0.028373401325336278,0.005693777929991484,0.04458463191986084,0.06043507158756256,0.010498247109353542,-0.026836717501282692,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,B0_fixed,fixed,0.06043507158756256,0.010498247109353542,-0.026836717501282692
fixed_train_mean,TRAIN-only balanced-u30 mean command,fixed_baseline_no_training,tracer_cost_v4,flat,flat,27033,success,True,5,True,False,0,38,1.806892693656803,0.12823762422895274,1.6786550694278504,7.6,169.67677860861525,7.6,0.2239054162125246,0.011745879683857896,0.5109587568230589,8.508405816075935,0.44634342798660004,19.41643275927624,0.22087566702998035,1.021917513646118,0.0031104649007662024,0.028373401325336278,0.005693777929991484,0.04458463191986084,0.06043507158756256,0.010498247109353542,-0.026836717501282692,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,B0_fixed,fixed,0.06043507158756256,0.010498247109353542,-0.026836717501282692
fixed_train_mean,TRAIN-only balanced-u30 mean command,fixed_baseline_no_training,tracer_cost_v4,flat,flat,27034,success,True,5,True,False,0,38,1.806892693656803,0.12823762422895274,1.6786550694278504,7.6,169.67677860861525,7.6,0.2239054162125246,0.011745879683857896,0.5109587568230589,8.508405816075935,0.44634342798660004,19.41643275927624,0.22087566702998035,1.021917513646118,0.0031104649007662024,0.028373401325336278,0.005693777929991484,0.04458463191986084,0.06043507158756256,0.010498247109353542,-0.026836717501282692,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,B0_fixed,fixed,0.06043507158756256,0.010498247109353542,-0.026836717501282692
fixed_train_mean,TRAIN-only balanced-u30 mean command,fixed_baseline_no_training,tracer_cost_v4,flat,flat,27035,success,True,5,True,False,0,38,1.806892693656803,0.12823762422895274,1.6786550694278504,7.6,169.67677860861525,7.6,0.2239054162125246,0.011745879683857896,0.5109587568230589,8.508405816075935,0.44634342798660004,19.41643275927624,0.22087566702998035,1.021917513646118,0.0031104649007662024,0.028373401325336278,0.005693777929991484,0.04458463191986084,0.06043507158756256,0.010498247109353542,-0.026836717501282692,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,B0_fixed,fixed,0.06043507158756256,0.010498247109353542,-0.026836717501282692
fixed_train_mean,TRAIN-only balanced-u30 mean command,fixed_baseline_no_training,tracer_cost_v4,flat,flat,27036,success,True,5,True,False,0,38,1.806892693656803,0.12823762422895274,1.6786550694278504,7.6,169.67677860861525,7.6,0.2239054162125246,0.011745879683857896,0.5109587568230589,8.508405816075935,0.44634342798660004,19.41643275927624,0.22087566702998035,1.021917513646118,0.0031104649007662024,0.028373401325336278,0.005693777929991484,0.04458463191986084,0.06043507158756256,0.010498247109353542,-0.026836717501282692,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,B0_fixed,fixed,0.06043507158756256,0.010498247109353542,-0.026836717501282692
