d7_group,t_h2,t_d7,dt_abs,h2_context,d7_context,known_context,h2_beta_motion,h2_beta_stability,h2_beta_energy,d7_beta_motion,d7_beta_stability,d7_beta_energy,l1
raw_beta,1784666625.385686,1784666625.397057,0.011371,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54222286,0.18710948,0.27066766,0.91555428
actual_beta,1784666625.485857,1784666625.497321,0.011464,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666625.485857,1784666625.497321,0.011464,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52345081,0.20020299,0.27634620,0.95309838
prior_beta,1784666625.485857,1784666625.497321,0.011464,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666625.485857,1784666625.497321,0.011464,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54181351,0.18775373,0.27043275,0.91637297
actual_beta,1784666625.585670,1784666625.597226,0.011556,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666625.585670,1784666625.597226,0.011556,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52335100,0.20031650,0.27633249,0.95329800
prior_beta,1784666625.585670,1784666625.597226,0.011556,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666625.585670,1784666625.597226,0.011556,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54168875,0.18789563,0.27041562,0.91662249
actual_beta,1784666625.685628,1784666625.697507,0.011879,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666625.685628,1784666625.697507,0.011879,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52328901,0.20036258,0.27634841,0.95342198
prior_beta,1784666625.685628,1784666625.697507,0.011879,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666625.685628,1784666625.697507,0.011879,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54161126,0.18795323,0.27043551,0.91677748
actual_beta,1784666625.785693,1784666625.797256,0.011563,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666625.785693,1784666625.797256,0.011563,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52323228,0.20040120,0.27636652,0.95353544
prior_beta,1784666625.785693,1784666625.797256,0.011563,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666625.785693,1784666625.797256,0.011563,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54154035,0.18800149,0.27045815,0.91691930
actual_beta,1784666625.885963,1784666625.897393,0.011430,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666625.885963,1784666625.897393,0.011430,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52318426,0.20042753,0.27638821,0.95363147
prior_beta,1784666625.885963,1784666625.897393,0.011430,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666625.885963,1784666625.897393,0.011430,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54148033,0.18803441,0.27048526,0.91703934
actual_beta,1784666625.985727,1784666625.997088,0.011361,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666625.985727,1784666625.997088,0.011361,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52315041,0.20043496,0.27641463,0.95369918
prior_beta,1784666625.985727,1784666625.997088,0.011361,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666625.985727,1784666625.997088,0.011361,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54143801,0.18804369,0.27051829,0.91712397
actual_beta,1784666626.085676,1784666626.097259,0.011583,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666626.085676,1784666626.097259,0.011583,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52314674,0.20039069,0.27646257,0.95370652
prior_beta,1784666626.085676,1784666626.097259,0.011583,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666626.085676,1784666626.097259,0.011583,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54143343,0.18798836,0.27057821,0.91713314
actual_beta,1784666626.185869,1784666626.196968,0.011099,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666626.185869,1784666626.196968,0.011099,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52314601,0.20034143,0.27651256,0.95370798
prior_beta,1784666626.185869,1784666626.196968,0.011099,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666626.185869,1784666626.196968,0.011099,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54143251,0.18792679,0.27064070,0.91713498
actual_beta,1784666626.285685,1784666626.297458,0.011773,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666626.285685,1784666626.297458,0.011773,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52314938,0.20028036,0.27657026,0.95370124
prior_beta,1784666626.285685,1784666626.297458,0.011773,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666626.285685,1784666626.297458,0.011773,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54143673,0.18785045,0.27071282,0.91712655
actual_beta,1784666626.385742,1784666626.397099,0.011357,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666626.385742,1784666626.397099,0.011357,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52314469,0.20022335,0.27663196,0.95371062
prior_beta,1784666626.385742,1784666626.397099,0.011357,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666626.385742,1784666626.397099,0.011357,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54143086,0.18777919,0.27078995,0.91713828
actual_beta,1784666626.485688,1784666626.497480,0.011792,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666626.485688,1784666626.497480,0.011792,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52317763,0.20010865,0.27671371,0.95364473
prior_beta,1784666626.485688,1784666626.497480,0.011792,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666626.485688,1784666626.497480,0.011792,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54147204,0.18763582,0.27089214,0.91705592
actual_beta,1784666626.585646,1784666626.597697,0.012051,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666626.585646,1784666626.597697,0.012051,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52316160,0.20008277,0.27675563,0.95367680
prior_beta,1784666626.585646,1784666626.597697,0.012051,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666626.585646,1784666626.597697,0.012051,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54145200,0.18760346,0.27094453,0.91709600
actual_beta,1784666626.685630,1784666626.697276,0.011646,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666626.685630,1784666626.697276,0.011646,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52305611,0.20020745,0.27673644,0.95388779
prior_beta,1784666626.685630,1784666626.697276,0.011646,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666626.685630,1784666626.697276,0.011646,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54132013,0.18775932,0.27092055,0.91735974
actual_beta,1784666626.785770,1784666626.797113,0.011343,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666626.785770,1784666626.797113,0.011343,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52293618,0.20035726,0.27670657,0.95412765
prior_beta,1784666626.785770,1784666626.797113,0.011343,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666626.785770,1784666626.797113,0.011343,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54117022,0.18794657,0.27088321,0.91765956
actual_beta,1784666626.885733,1784666626.896987,0.011254,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666626.885733,1784666626.896987,0.011254,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52282691,0.20049190,0.27668118,0.95434618
prior_beta,1784666626.885733,1784666626.896987,0.011254,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666626.885733,1784666626.896987,0.011254,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54103364,0.18811488,0.27085148,0.91793273
actual_beta,1784666626.985754,1784666626.997131,0.011377,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666626.985754,1784666626.997131,0.011377,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52271192,0.20063630,0.27665178,0.95457617
prior_beta,1784666626.985754,1784666626.997131,0.011377,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666626.985754,1784666626.997131,0.011377,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54088990,0.18829537,0.27081473,0.91822021
actual_beta,1784666627.085628,1784666627.097783,0.012155,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666627.085628,1784666627.097783,0.012155,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52260361,0.20077442,0.27662197,0.95479278
prior_beta,1784666627.085628,1784666627.097783,0.012155,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666627.085628,1784666627.097783,0.012155,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54075452,0.18846802,0.27077747,0.91849097
actual_beta,1784666627.185994,1784666627.197241,0.011247,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666627.185994,1784666627.197241,0.011247,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52248180,0.20092000,0.27659820,0.95503640
prior_beta,1784666627.185994,1784666627.197241,0.011247,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666627.185994,1784666627.197241,0.011247,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54060225,0.18865000,0.27074774,0.91879550
actual_beta,1784666627.285689,1784666627.297202,0.011513,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666627.285689,1784666627.297202,0.011513,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52242335,0.20096186,0.27661478,0.95515329
prior_beta,1784666627.285689,1784666627.297202,0.011513,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666627.285689,1784666627.297202,0.011513,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54052919,0.18870233,0.27076848,0.91894162
actual_beta,1784666627.385776,1784666627.397452,0.011676,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666627.385776,1784666627.397452,0.011676,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52236872,0.20100011,0.27663117,0.95526256
prior_beta,1784666627.385776,1784666627.397452,0.011676,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666627.385776,1784666627.397452,0.011676,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54046090,0.18875014,0.27078896,0.91907819
actual_beta,1784666627.485671,1784666627.497277,0.011606,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
