profile,preset,theta_norm,episodes,feasible_frac,runtime_score,zmin_mean,zmin_std,distance_mean,roll_max_mean,pitch_max_mean,effort_mean,runs
balanced,safe_bank_runtime_balanced,"[0.39914, 0.48059, -0.49646, 0.53806, 0.62689, 0.60572, 0.6286, 0.46199]",3,1.0,0.8452294286558936,0.2395577475123714,0.019962209572882233,0.043164151643280364,0.024596039902491186,0.10985471430461183,0.048188507000000005,safe_bank_runtime_v0_20260630_034537
energy_extreme,safe_bank_runtime_energy_extreme,"[0.3656, 0.44675, -0.52874, 0.50618, 0.55488, 0.56034, 0.58224, 0.42688]",3,0.6666666666666666,0.5818427787997211,0.2099630731373636,0.04413089059395235,0.03190594568444116,0.05102702980532757,0.08312096069114276,0.045736823,safe_bank_runtime_v0_20260630_034934
stability_extreme,safe_bank_runtime_stability_extreme,"[0.39914, 0.48059, -0.49646, 0.53806, 0.62689, 0.60572, 0.6286, 0.46199]",3,0.3333333333333333,0.34214790350077023,0.1831010320686595,0.05929964928356854,0.03063005692272955,0.06526608151200508,0.1580701414611856,0.048188507000000005,safe_bank_runtime_v0_20260630_035539
