representation,context_id,eta_name,selected_beta,oracle_beta,true_rank,exact,top3,top5,Q_excess_eta,beta_changed_vs_learned_balanced,target_improved,target_tied,target_worsened,delta_target_regret,delta_other_regret_mean
semantic_only,rough_seed_22,energy_biased,lm000_ls080_le020,lm040_ls020_le040,5,0,0,1,0.297941160296332,1,0,0,1,0.218722620579078,-0.0097612751715139
semantic_only,rough_seed_25,balanced,lm100_ls000_le000,lm040_ls040_le020,4,0,0,1,0.17697867292882175,0,0,1,0,0.0,0.0
semantic_only,rough_seed_25,motion_biased,lm100_ls000_le000,lm080_ls000_le020,2,0,1,1,0.007966230981075031,0,0,1,0,0.0,0.0
semantic_only,rough_seed_25,stability_biased,lm040_ls040_le020,lm060_ls000_le040,3,0,1,1,0.05763094158373107,1,1,0,0,-0.5280348768714831,0.11896034268662825
semantic_only,rough_seed_25,energy_biased,lm100_ls000_le000,lm040_ls040_le020,2,0,1,1,0.060503759923311584,0,0,1,0,0.0,0.0
semantic_only,rough_seed_28,balanced,lm000_ls020_le080,lm000_ls100_le000,20,0,0,0,3.2240571876694344,0,0,1,0,0.0,0.0
semantic_only,rough_seed_28,motion_biased,lm100_ls000_le000,lm060_ls040_le000,4,0,0,1,0.04170046758591664,1,1,0,0,-2.5815686027956573,-6.5325634632964125
semantic_only,rough_seed_28,stability_biased,lm060_ls000_le040,lm000_ls100_le000,14,0,0,0,2.659023460032451,1,1,0,0,-5.934520450058443,-1.293178239193788
semantic_only,rough_seed_28,energy_biased,lm000_ls000_le100,lm000_ls100_le000,20,0,0,0,3.8584998563316035,1,0,0,1,0.20365070690858555,0.33971222154269687
semantic_only,rough_seed_29,balanced,lm100_ls000_le000,lm060_ls040_le000,7,0,0,0,0.22013033405235882,0,0,1,0,0.0,0.0
semantic_only,rough_seed_29,motion_biased,lm100_ls000_le000,lm060_ls040_le000,2,0,1,1,0.021308297543392918,0,0,1,0,0.0,0.0
semantic_only,rough_seed_29,stability_biased,lm020_ls000_le080,lm080_ls020_le000,16,0,0,0,1.1071073636151358,1,0,0,1,0.9416621872795217,2.206920791964582
semantic_only,rough_seed_29,energy_biased,lm000_ls080_le020,lm080_ls000_le020,9,0,0,0,0.28098249667219455,1,1,0,0,-0.3913709741043724,0.6055404687404506
semantic_only,rough_seed_4,balanced,lm000_ls080_le020,lm020_ls080_le000,11,0,0,0,10.634846983014494,0,0,1,0,0.0,0.0
semantic_only,rough_seed_4,motion_biased,lm000_ls100_le000,lm020_ls080_le000,4,0,0,1,0.6290113757007559,1,1,0,0,-31.074294620269143,-1.3615191466958287
semantic_only,rough_seed_4,stability_biased,lm000_ls080_le020,lm000_ls100_le000,11,0,0,0,4.713767588125408,0,0,1,0,0.0,0.0
semantic_only,rough_seed_4,energy_biased,lm000_ls100_le000,lm020_ls080_le000,3,0,1,1,0.042972960747891364,1,1,0,0,-2.372602708928795,-15.712365102366002
semantic_only,rough_seed_5,balanced,lm000_ls060_le040,lm060_ls020_le020,17,0,0,0,0.13689095642851945,0,0,1,0,0.0,0.0
semantic_only,rough_seed_5,motion_biased,lm080_ls000_le020,lm100_ls000_le000,11,0,0,0,0.13264142087106134,1,1,0,0,-0.5824077851164091,-0.17316997367521286
semantic_only,rough_seed_5,stability_biased,lm020_ls040_le040,lm020_ls040_le040,1,1,1,1,0.0,1,0,0,1,0.05675771993768644,-0.11398734260202714
semantic_only,rough_seed_5,energy_biased,lm000_ls060_le040,lm060_ls020_le020,19,0,0,0,0.6164656489741572,0,0,1,0,0.0,0.0
semantic_only,rough_seed_6,balanced,lm100_ls000_le000,lm000_ls080_le020,11,0,0,0,0.14161293884355156,0,0,1,0,0.0,0.0
semantic_only,rough_seed_6,motion_biased,lm100_ls000_le000,lm020_ls080_le000,5,0,0,1,0.03921084476348394,0,0,1,0,0.0,0.0
semantic_only,rough_seed_6,stability_biased,lm020_ls080_le000,lm000_ls060_le040,12,0,0,0,0.31755134628514686,1,1,0,0,-0.26196333974329444,0.11120037266091691
semantic_only,rough_seed_6,energy_biased,lm100_ls000_le000,lm040_ls060_le000,2,0,1,1,0.004972483206469827,0,0,1,0,0.0,0.0
semantic_only,rough_seed_7,balanced,lm100_ls000_le000,lm000_ls060_le040,6,0,0,0,0.03784085474337451,0,0,1,0,0.0,0.0
semantic_only,rough_seed_7,motion_biased,lm100_ls000_le000,lm000_ls100_le000,2,0,1,1,0.007110061757766156,0,0,1,0,0.0,0.0
semantic_only,rough_seed_7,stability_biased,lm060_ls000_le040,lm020_ls020_le060,19,0,0,0,0.556625271143758,1,0,0,1,0.43634534307221784,-0.010787440797005748
semantic_only,rough_seed_7,energy_biased,lm080_ls000_le020,lm020_ls020_le060,16,0,0,0,0.44418665969286597,1,0,0,1,0.06837001282238653,0.29077942125950434
semantic_only,rough_seed_8,balanced,lm080_ls020_le000,lm080_ls020_le000,1,1,1,1,0.0,0,0,1,0,0.0,0.0
semantic_only,rough_seed_8,motion_biased,lm080_ls020_le000,lm080_ls020_le000,1,1,1,1,0.0,0,0,1,0,0.0,0.0
semantic_only,rough_seed_8,stability_biased,lm020_ls040_le040,lm080_ls020_le000,11,0,0,0,0.4307140369808603,1,0,0,1,0.6743543069608012,2.217394991208425
semantic_only,rough_seed_8,energy_biased,lm000_ls100_le000,lm040_ls060_le000,15,0,0,0,1.7348939282183722,1,0,0,1,1.663713344572118,1.396421447983948
semantic_plus_probe,rough_seed_0,balanced,lm000_ls060_le040,lm100_ls000_le000,3,0,1,1,0.026947920889475147,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_0,motion_biased,lm000_ls060_le040,lm100_ls000_le000,15,0,0,0,0.41349271742757165,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_0,stability_biased,lm000_ls060_le040,lm000_ls060_le040,1,1,1,1,0.0,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_0,energy_biased,lm000_ls060_le040,lm100_ls000_le000,10,0,0,0,0.3933641996327744,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_10,balanced,lm000_ls080_le020,lm060_ls020_le020,12,0,0,0,0.2046972594498272,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_10,motion_biased,lm080_ls000_le020,lm080_ls020_le000,7,0,0,0,0.10370424512977505,1,1,0,0,-0.06957513134175339,-0.2699222032752582
semantic_plus_probe,rough_seed_10,stability_biased,lm000_ls080_le020,lm040_ls000_le060,13,0,0,0,0.10429939151550519,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_10,energy_biased,lm000_ls080_le020,lm080_ls020_le000,15,0,0,0,0.5731829906213752,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_11,balanced,lm000_ls080_le020,lm020_ls080_le000,10,0,0,0,0.749905260502671,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_11,motion_biased,lm000_ls100_le000,lm100_ls000_le000,6,0,0,0,0.5540408865442786,1,1,0,0,-2.0474198023433794,-1.6916308297245068
semantic_plus_probe,rough_seed_11,stability_biased,lm000_ls080_le020,lm020_ls080_le000,6,0,0,0,0.3390986645577858,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_11,energy_biased,lm000_ls080_le020,lm000_ls100_le000,10,0,0,0,2.0443659429560737,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_12,balanced,lm020_ls000_le080,lm100_ls000_le000,19,0,0,0,0.6439560850891476,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_12,motion_biased,lm020_ls000_le080,lm100_ls000_le000,19,0,0,0,1.8882471493444895,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_12,stability_biased,lm000_ls000_le100,lm040_ls040_le020,20,0,0,0,1.3946657599233605,1,0,0,1,0.16297287105662894,0.3969972314467365
semantic_plus_probe,rough_seed_12,energy_biased,lm020_ls000_le080,lm100_ls000_le000,12,0,0,0,0.9460857747510449,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_13,balanced,lm000_ls080_le020,lm080_ls020_le000,20,0,0,0,0.1761300907969755,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_13,motion_biased,lm000_ls100_le000,lm080_ls020_le000,8,0,0,0,0.07115253433137764,1,1,0,0,-0.05755564144687397,-0.7012081818313294
semantic_plus_probe,rough_seed_13,stability_biased,lm000_ls080_le020,lm040_ls060_le000,20,0,0,0,0.7513727005538565,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_13,energy_biased,lm000_ls080_le020,lm040_ls000_le060,21,0,0,0,0.6159491028628588,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_15,balanced,lm060_ls040_le000,lm060_ls040_le000,1,1,1,1,0.0,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_15,motion_biased,lm080_ls020_le000,lm040_ls060_le000,2,0,1,1,0.00406380128866983,1,1,0,0,-0.027543259805799428,0.04096825300480275
semantic_plus_probe,rough_seed_15,stability_biased,lm060_ls040_le000,lm000_ls040_le060,7,0,0,0,0.08104917830102726,0,0,1,0,0.0,0.0
