policy,checkpoint,trained_reward_mode,eval_reward_mode,group,terrain,seed,status,settled,settling_steps,success,m4_terminal,m4_interventions,policy_steps,initial_goal_distance_m,final_goal_distance_m,progress_m,decision_time_s,energy_abs_j,energy_bracket_time_s,mean_cost_motion,mean_cost_stability,mean_cost_energy,sum_cost_motion,sum_cost_stability,sum_cost_energy,mean_progress_rate_mps,mean_energy_power_ratio,roll_rms_rad,pitch_rms_rad,max_abs_roll_rad,max_abs_pitch_rad,mean_action_vx_norm,mean_abs_action_yaw_norm,mean_action_height_norm,mean_requested_vx_mps,mean_abs_requested_yaw_rps,mean_requested_height_m,mean_requested_clearance_m,mean_applied_vx_mps,mean_abs_applied_yaw_rps,mean_applied_height_m,mean_applied_clearance_m,beta_name,beta_motion,beta_stability,beta_energy,lambda_motion,lambda_stability,lambda_energy
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough,rough_perlin,0,success,True,5,True,False,0,38,1.8221178913630929,0.1360748544089633,1.6860430369541295,7.6,218.69918028625855,7.6,0.22269028997464974,0.15885808595760548,0.6585831142813483,8.46223101903669,6.036607266389008,25.026158342691236,0.22184776802028025,1.317166228562697,0.009916359181869219,0.09553548795875269,0.023480113595724106,0.1701553910970688,0.07710314855763786,0.018542527106259706,-0.035593286450756226,0.21542062971152753,0.0074170108425038826,0.2978644028129546,0.060000000000000005,0.21542062971152753,0.0074170108425038826,0.2978644028129546,0.060000000000000005,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough,rough_perlin,5,success,True,5,True,False,0,38,1.8024241141025856,0.13867403787042962,1.663750076232156,7.6,217.4629191873877,7.6,0.2263568953565533,0.09322090558023788,0.6548602805537892,8.601562023549025,3.542394412049039,24.88469066104399,0.21891448371475739,1.3097205611075784,0.007351862439612765,0.07974215581671244,0.017031699419021606,0.17204517126083374,0.07090635509475281,0.018534700972898128,-0.03472578520641515,0.21418127101895057,0.00741388038915925,0.2979164528876151,0.060000000000000005,0.21418127101895057,0.00741388038915925,0.2979164528876151,0.060000000000000005,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough,rough_perlin,11,success,True,5,True,False,0,37,1.7990731048183874,0.1451107618913092,1.6539623429270782,7.4,207.7063873385219,7.4,0.22061446910015572,0.12196551484657403,0.6423846589143342,8.162735356705761,4.512724049323239,23.768232379830362,0.22350842471987545,1.284769317828668,0.006539520163082337,0.08463166202794649,0.014903850853443146,0.13819164037704468,0.0740320575801102,0.01864513716301755,-0.03457612813626592,0.21480641151602203,0.007458054865207021,0.297925432311824,0.060000000000000005,0.21480641151602203,0.007458054865207021,0.297925432311824,0.060000000000000005,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough,rough_perlin,4,success,True,5,True,False,0,39,1.8138496249951201,0.12934536003180114,1.684504264963319,7.800000000000001,204.72859826565102,7.800000000000001,0.23004739343536562,0.04987088841555484,0.6007045737984782,8.971848343979259,1.944964648206639,23.42747837814065,0.21596208525170751,1.2014091475969566,0.005898941554392313,0.05834182779720345,0.01581616699695587,0.15843650698661804,0.07553675044805576,0.0175764498148615,-0.036901709384834155,0.21510735008961113,0.0070305799259446,0.2977858974369099,0.060000000000000005,0.21510735008961113,0.0070305799259446,0.2977858974369099,0.060000000000000005,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough,rough_perlin,25,success,True,5,True,False,0,38,1.7971331823750483,0.13866478043166397,1.6584684019433844,7.6,190.23021159668664,7.6,0.2272255917856276,0.0551236635414848,0.57285265093249,8.634572487853848,2.0946992145764223,21.76840073543462,0.21821952657149796,1.1457053018649805,0.006142271107603058,0.06135926699991956,0.01874760538339615,0.11437185853719711,0.07262221057164042,0.018877809459809214,-0.03374323981667036,0.2145244421143281,0.007551123783923688,0.29797540561099983,0.060000000000000005,0.2145244421143281,0.007551123783923688,0.29797540561099983,0.060000000000000005,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough,rough_perlin,12,success,True,5,True,False,0,38,1.809426031819534,0.11033320009217203,1.6990928317273621,7.6,222.99531803403977,7.6,0.2205439421501049,0.11598321137045452,0.6715203542545939,8.380669801703986,4.4073620320772715,25.51777346167457,0.22356484627991607,1.343040708509188,0.009063083045236495,0.0886384016485239,0.01699742116034031,0.1694520115852356,0.0734013264116488,0.020260432923494495,-0.032336116964487654,0.21468026528232978,0.008104173169397797,0.29805983298213073,0.060000000000000005,0.21468026528232978,0.008104173169397797,0.29805983298213073,0.060000000000000005,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough,rough_perlin,6,success,True,5,True,False,0,39,1.8038034059521169,0.12676055784630375,1.677042848105813,7.800000000000001,199.6229176755563,7.800000000000001,0.2312431333163761,0.047459168026989094,0.585723737174743,9.018482199338669,1.8509075530525747,22.843225749814977,0.21500549334689908,1.171447474349486,0.006124920867489034,0.056972209859636865,0.014046132564544678,0.0891217291355133,0.07581997490846194,0.017440458146246292,-0.03723646595309942,0.21516399498169242,0.006976183258498519,0.297765812042814,0.060000000000000005,0.21516399498169242,0.006976183258498519,0.297765812042814,0.060000000000000005,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough,rough_perlin,29,success,True,5,True,False,0,37,1.8003383564333577,0.13430959604715012,1.6660287603862076,7.4,220.39702598730258,7.4,0.21857622290773523,0.11697441794566532,0.6816336761653797,8.087320247586204,4.328053463989617,25.220446018119052,0.2251390216738118,1.3632673523307597,0.007486247064798273,0.08540681766153424,0.017290636897087097,0.14262039959430695,0.07069662132778683,0.019764323287794518,-0.03239252181673372,0.21413932426555737,0.007905729315117809,0.298056448690996,0.060000000000000005,0.21413932426555737,0.007905729315117809,0.298056448690996,0.060000000000000005,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough,rough_perlin,18,success,True,5,True,False,0,40,1.8070339928928827,0.13929318465410453,1.6677408082387781,8.0,198.3532521912463,8.0,0.23941549871269094,0.017531584826560635,0.5674483885385875,9.576619948507638,0.7012633930624254,22.6979355415435,0.20846760102984727,1.1348967770771752,0.007707292562535108,0.03347686458852496,0.019160287454724312,0.07019973546266556,0.07437358638271689,0.017203266298747622,-0.037670183926820755,0.21487471727654336,0.006881306519499049,0.2977397889643908,0.06,0.21487471727654336,0.006881306519499049,0.2977397889643908,0.06,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough,rough_perlin,10,success,True,5,True,False,0,38,1.8071641992674783,0.1444241506871705,1.6627400485803079,7.6,198.95413639081735,7.6,0.22652301832560726,0.044036891520492505,0.5991235750034198,8.607874696373075,1.6734018777787152,22.766695850129953,0.21878158533951417,1.1982471500068395,0.0069661673835354305,0.05407361870270093,0.01666940562427044,0.09293185919523239,0.07323335424849861,0.018551380079435676,-0.03455208484573584,0.2146466708496998,0.00742055203177427,0.29792687490925585,0.060000000000000005,0.2146466708496998,0.00742055203177427,0.29792687490925585,0.060000000000000005,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0
