signature_id,context_id,terrain,mission,selected_beta_name,alternative_beta_names,choice_size,raw_decision_multiplicity,calibration_weight,exact_support_class,posterior_mean_motion,posterior_mean_stability,posterior_mean_energy,posterior_std_motion,posterior_std_stability,posterior_std_energy,posterior_map_motion,posterior_map_stability,posterior_map_energy,motion_q05,motion_q95,stability_q05,stability_q95,energy_q05,energy_q95,posterior_entropy_nats,posterior_entropy_normalized,posterior_information_gain_nats,posterior_effective_fraction,log_marginal_evidence,map_selected_choice_probability,posterior_expected_choice_probability
10,flat_train:flat:27100,flat,stable,balanced,energy|stability,3,1,0.16666666666666666,strict,0.5131328018163089,0.3411008905488037,0.14576630763488782,0.24460740629905425,0.24540515371707744,0.12568282489725055,1.0,0.0,0.0,0.08,0.88,0.02,0.8,0.0,0.39,8.072264360426761,0.9444618252142667,0.474681789138824,0.6220829785331959,-1.3531614803605247,0.8921100729956887,0.49481753378844084
11,flat_train:flat:27100,flat,stable,motion,balanced|energy|stability,4,1,0.16666666666666666,strict,0.5458765073042672,0.3161406735864513,0.13798281910928234,0.22472099445632274,0.23462387820572514,0.11036280424543202,1.0,0.0,0.0,0.14,0.88,0.02,0.77,0.01,0.35,7.937073711851001,0.928644403855805,0.6098724377145839,0.5434201845740694,-1.2199306537641057,0.9674706795588832,0.6323739100994502
12,flat_train:flat:27100,flat,efficient,balanced,motion,2,5,0.3333333333333333,strict,0.22211431505261042,0.32973282150214195,0.448152863445248,0.17748727735624212,0.23788240630572766,0.24033350778959847,0.0,0.0,1.0,0.01,0.57,0.02,0.78,0.06,0.85,8.376511339748479,0.9800589816719778,0.17043480981710601,0.8432980625916794,-0.7028941933337105,0.9723925441252887,0.6461221906202701
13,flat_train:flat:27100,flat,efficient,energy,balanced|motion,3,3,0.3333333333333333,strict,0.21258910795978614,0.30977346739617967,0.47763742464403536,0.1618285715627244,0.22770319625570076,0.220893443001331,0.0,0.0,1.0,0.01,0.52,0.02,0.74,0.11,0.85,8.272998736516186,0.9679479186769742,0.27394741304939885,0.7603720598574889,-0.662367461077384,0.9957174090189472,0.7489735384232779
14,flat_train:flat:27100,flat,efficient,stability,balanced|energy|motion,4,1,0.3333333333333333,strict,0.19856993812104184,0.3103889602344899,0.4910411016444698,0.15450580011256307,0.22954741733375508,0.22416165601022747,0.0,0.0,1.0,0.01,0.5,0.02,0.75,0.12,0.86,8.229754345443942,0.9628882879836835,0.3171918041216433,0.7281910716813073,-1.023546960912661,0.8485264638408416,0.5496884312935025
15,flat_train:flat:27101,flat,fast,balanced,motion,2,1,0.3333333333333333,strict,0.21828339805133284,0.34182585887285616,0.4398907430758121,0.18060264812416374,0.24263667258266716,0.24890317071203802,0.0,0.0,1.0,0.01,0.58,0.02,0.79,0.05,0.85,8.388532854827718,0.9814655092046042,0.15841329473786736,0.8534969632607445,-0.9245696762473212,0.868513978714778,0.5132971415675801
16,flat_train:flat:27101,flat,fast,balanced,energy,2,1,0.3333333333333333,strict,0.4365328041575198,0.3395446956821,0.2239225001603798,0.2454694858314009,0.2415064838060857,0.18121193203539707,1.0,0.0,0.0,0.05,0.85,0.02,0.79,0.01,0.58,8.398529469515417,0.9826351216618217,0.14841668005016828,0.8620718319600283,-0.7508842191343454,0.9364790141881256,0.5985925721071366
17,flat_train:flat:27101,flat,fast,balanced,energy|motion,3,1,0.3333333333333333,unsupported,0.29569446098319585,0.3940258554221033,0.310279683594702,0.20047852158389814,0.24995833959107022,0.20536841119908136,0.0,1.0,0.0,0.02,0.67,0.03,0.83,0.03,0.69,8.469618542168504,0.9909526038840187,0.07732760739708056,0.9255865749224544,-1.6583251350572628,0.3196684527811707,0.21698731535974006
18,flat_train:flat:27101,flat,stable,motion,balanced,2,1,0.3333333333333333,strict,0.4089850959797695,0.3277490231395907,0.2632658808806403,0.2428464603837474,0.23676660837885352,0.20429379931617742,1.0,0.0,0.0,0.04,0.83,0.02,0.77,0.01,0.66,8.478323517050038,0.9919710933806416,0.06862263251554701,0.9336789536837574,-0.5053441622686439,0.9654078448032307,0.6799656685140989
19,flat_train:flat:27101,flat,stable,balanced,energy,2,1,0.3333333333333333,strict,0.4365328041575198,0.3395446956821,0.2239225001603798,0.2454694858314009,0.2415064838060857,0.18121193203539707,1.0,0.0,0.0,0.05,0.85,0.02,0.79,0.01,0.58,8.398529469515417,0.9826351216618217,0.14841668005016828,0.8620718319600283,-0.7508842191343454,0.9364790141881256,0.5985925721071366
20,flat_train:flat:27101,flat,stable,motion,balanced|energy,3,1,0.3333333333333333,strict,0.4735641197951365,0.3222643774146593,0.20417150279020382,0.233713908824313,0.23527177065091387,0.16087623072074048,1.0,0.0,0.0,0.08,0.85,0.02,0.77,0.01,0.52,8.293346841224253,0.9703286643084533,0.2535993083413324,0.7760026775597059,-0.8095757691050736,0.9631479417884095,0.6409106654111064
21,flat_train:flat:27101,flat,efficient,balanced,motion,2,3,0.5,strict,0.21828339805133284,0.34182585887285616,0.4398907430758121,0.18060264812416374,0.24263667258266716,0.24890317071203802,0.0,0.0,1.0,0.01,0.58,0.02,0.79,0.05,0.85,8.388532854827718,0.9814655092046042,0.15841329473786736,0.8534969632607445,-0.9245696762473212,0.868513978714778,0.5132971415675801
22,flat_train:flat:27101,flat,efficient,energy,balanced|motion,3,1,0.5,strict,0.18177958690546794,0.3151351517975392,0.5030852612969953,0.1468894019804571,0.2331359089979693,0.23213873953869713,0.0,0.0,1.0,0.01,0.47,0.02,0.76,0.1,0.87,8.194565838325229,0.9587712025940087,0.3523803112403563,0.7030127074944238,-1.0092411633965739,0.956799389393452,0.5982474966048515
23,flat_train:flat:27102,flat,fast,motion,balanced,2,1,0.16666666666666666,strict,0.46580133837681886,0.34493756437579126,0.18926109724739099,0.24165601210275062,0.2441286739774993,0.15352745639353144,1.0,0.0,0.0,0.07,0.86,0.02,0.8,0.01,0.49,8.276948402469854,0.9684100329672191,0.2699977470957311,0.7633812141597118,-0.8269953893775623,0.9728746225743127,0.6431075404663723
24,flat_train:flat:27102,flat,fast,balanced,stability,2,1,0.16666666666666666,strict,0.4821858695288646,0.34361200820093235,0.17420212227020332,0.23884412882351852,0.24424054210730023,0.14084792291591416,1.0,0.0,0.0,0.08,0.86,0.02,0.8,0.01,0.45,8.203862126311085,0.9598588762289163,0.3430840232544998,0.7095785879530756,-0.8824444313418791,0.9826865383528874,0.6607379826733163
25,flat_train:flat:27102,flat,fast,motion,balanced|stability,3,1,0.16666666666666666,strict,0.5279984015546372,0.3282829316834038,0.1437186667619592,0.2278269996087384,0.23972064276842814,0.11359937541088577,1.0,0.0,0.0,0.12,0.88,0.02,0.78,0.01,0.36,7.989520915422692,0.9347807714722498,0.5574252341428929,0.572681688461916,-1.109041067386948,0.9724098996848515,0.6569578148250808
