packet_index,sim_time,schedule_offset,window,condition,command,expected_delta,leg,leg_index,phase,swing,shape,bump,target_z,actual_z,tracking_error,native_target_z,realized_relative_z,base_z,roll_deg,pitch_deg,yaw_deg,base_vz
4,54.29525,0.23155498504638672,A1,A,0.045,0.0,RL,2,0.0,0,0.0,0.0,-0.348072933809406,-0.348072933809406,0.0,-0.348072933809406,0.0,0.34821869227128566,-0.8730832428226343,4.916032325602019,-3.334410392538791,0.10470413625795415
4,54.29525,0.23155498504638672,A1,A,0.045,0.0,RR,3,0.4000000059604645,1,0.9216000091552732,0.0,-0.21070529666464585,-0.22042357136845755,-0.009718274703811702,-0.21070529666464585,-0.009718274703811702,0.34821869227128566,-0.8730832428226343,4.916032325602019,-3.334410392538791,0.10470413625795415
5,54.3155,0.31235599517822266,A1,A,0.045,0.0,FL,0,0.5,1,1.0,0.0,-0.1981910305860043,-0.19662566288339156,0.00156536770261273,-0.1981910305860043,0.00156536770261273,0.3487005400160397,-0.5001452418893984,4.652096674507051,-3.37849157167283,-0.05516559791169094
5,54.3155,0.31235599517822266,A1,A,0.045,0.0,FR,1,0.0,0,0.0,0.0,-0.34488786716784187,-0.34488786716784187,0.0,-0.34488786716784187,0.0,0.3487005400160397,-0.5001452418893984,4.652096674507051,-3.37849157167283,-0.05516559791169094
5,54.3155,0.31235599517822266,A1,A,0.045,0.0,RL,2,0.0,0,0.0,0.0,-0.34626396239634916,-0.34626396239634916,0.0,-0.34626396239634916,0.0,0.3487005400160397,-0.5001452418893984,4.652096674507051,-3.37849157167283,-0.05516559791169094
5,54.3155,0.31235599517822266,A1,A,0.045,0.0,RR,3,0.5,1,1.0,0.0,-0.19930640827291016,-0.19972607602980816,-0.0004196677568980012,-0.19930640827291016,-0.0004196677568980012,0.3487005400160397,-0.5001452418893984,4.652096674507051,-3.37849157167283,-0.05516559791169094
6,54.3355,0.39302992820739746,A1,A,0.045,0.0,FL,0,0.6000000238418579,1,0.9215999633789023,0.0,-0.21072266945319604,-0.1947018570322895,0.016020812420906527,-0.21072266945319604,0.016020812420906527,0.34851857676940934,-0.5320926060519795,4.406407821921558,-3.391562438072869,0.07739805865969011
6,54.3355,0.39302992820739746,A1,A,0.045,0.0,FR,1,0.0,0,0.0,0.0,-0.34606539260658054,-0.34606539260658054,0.0,-0.34606539260658054,0.0,0.34851857676940934,-0.5320926060519795,4.406407821921558,-3.391562438072869,0.07739805865969011
6,54.3355,0.39302992820739746,A1,A,0.045,0.0,RL,2,0.0,0,0.0,0.0,-0.3476962714252743,-0.3476962714252743,0.0,-0.3476962714252743,0.0,0.34851857676940934,-0.5320926060519795,4.406407821921558,-3.391562438072869,0.07739805865969011
6,54.3355,0.39302992820739746,A1,A,0.045,0.0,RR,3,0.6000000238418579,1,0.9215999633789023,0.0,-0.21136227153594409,-0.19926779737589112,0.012094474160052965,-0.21136227153594409,0.012094474160052965,0.34851857676940934,-0.5320926060519795,4.406407821921558,-3.391562438072869,0.07739805865969011
7,54.35575,0.47388792037963867,A1,A,0.045,0.0,FL,0,0.699999988079071,1,0.7056000320434564,0.0,-0.24367547979499798,-0.2193596613722238,0.024315818422774194,-0.24367547979499798,0.024315818422774194,0.34945944390219164,-0.26050995266431004,4.198117508931723,-3.3871504773452195,-0.027878860701146018
7,54.35575,0.47388792037963867,A1,A,0.045,0.0,FR,1,0.0,0,0.0,0.0,-0.34567388881085803,-0.34567388881085803,0.0,-0.34567388881085803,0.0,0.34945944390219164,-0.26050995266431004,4.198117508931723,-3.3871504773452195,-0.027878860701146018
7,54.35575,0.47388792037963867,A1,A,0.045,0.0,RL,2,0.0,0,0.0,0.0,-0.3469356459911033,-0.3469356459911033,0.0,-0.3469356459911033,0.0,0.34945944390219164,-0.26050995266431004,4.198117508931723,-3.3871504773452195,-0.027878860701146018
7,54.35575,0.47388792037963867,A1,A,0.045,0.0,RR,3,0.699999988079071,1,0.7056000320434564,0.0,-0.24397422258682533,-0.2235314741100518,0.02044274847677352,-0.24397422258682533,0.02044274847677352,0.34945944390219164,-0.26050995266431004,4.198117508931723,-3.3871504773452195,-0.027878860701146018
8,54.37575,0.5548100471496582,A1,A,0.045,0.0,FL,0,0.800000011920929,1,0.4095999633789063,0.0,-0.2884025521008907,-0.2599866676685845,0.028415884432306193,-0.2884025521008907,0.028415884432306193,0.34846833270767047,-0.40583165788896325,4.056973628003243,-3.353782476923071,0.005738502901939024
8,54.37575,0.5548100471496582,A1,A,0.045,0.0,FR,1,0.0,0,0.0,0.0,-0.34612494688480544,-0.34612494688480544,0.0,-0.34612494688480544,0.0,0.34846833270767047,-0.40583165788896325,4.056973628003243,-3.353782476923071,0.005738502901939024
8,54.37575,0.5548100471496582,A1,A,0.045,0.0,RL,2,0.0,0,0.0,0.0,-0.34749432091144206,-0.34749432091144206,0.0,-0.34749432091144206,0.0,0.34846833270767047,-0.40583165788896325,4.056973628003243,-3.353782476923071,0.005738502901939024
8,54.37575,0.5548100471496582,A1,A,0.045,0.0,RR,3,0.800000011920929,1,0.4095999633789063,0.0,-0.2884996345584204,-0.2633401836462982,0.02515945091212224,-0.2884996345584204,0.02515945091212224,0.34846833270767047,-0.40583165788896325,4.056973628003243,-3.353782476923071,0.005738502901939024
9,54.396,0.6356539726257324,A1,A,0.045,0.0,FL,0,0.8999999761581421,1,0.1296000549316448,0.0,-0.3305385732842719,-0.31129376709171014,0.019244806192561748,-0.3305385732842719,0.019244806192561748,0.3492207751522495,-0.3285837045316155,3.8569389725306573,-3.2863672403443487,-0.0350243976714006
9,54.396,0.6356539726257324,A1,A,0.045,0.0,FR,1,0.0,0,0.0,0.0,-0.3455618269557635,-0.3455618269557635,0.0,-0.3455618269557635,0.0,0.3492207751522495,-0.3285837045316155,3.8569389725306573,-3.2863672403443487,-0.0350243976714006
9,54.396,0.6356539726257324,A1,A,0.045,0.0,RL,2,0.0,0,0.0,0.0,-0.3469667565671715,-0.3469667565671715,0.0,-0.3469667565671715,0.0,0.3492207751522495,-0.3285837045316155,3.8569389725306573,-3.2863672403443487,-0.0350243976714006
9,54.396,0.6356539726257324,A1,A,0.045,0.0,RR,3,0.8999999761581421,1,0.1296000549316448,0.0,-0.3305517793652753,-0.3121083968781482,0.018443382487127125,-0.3305517793652753,0.018443382487127125,0.3492207751522495,-0.3285837045316155,3.8569389725306573,-3.2863672403443487,-0.0350243976714006
10,54.41625,0.7165980339050293,A1,A,0.045,0.0,FL,0,0.0,0,0.0,0.0,-0.34462928295460493,-0.34462928295460493,0.0,-0.34462928295460493,0.0,0.34762078613279424,-0.44743015693961896,3.6494649797386702,-3.1742813813903035,-0.03149345982567007
