context_id,seed,split_group,context_sha256,probe_safety_state_diagnostic,eta_name,eta_motion,eta_stability,eta_energy,selected_beta_index,selected_beta_name,selected_beta_motion,selected_beta_stability,selected_beta_energy,predicted_Q_selected,predicted_Q_best_second_gap
rough_seed_2,2,test,44486864c0425d214d63bb40c3e7dda7ef488c1bb4d8b247a5fd4f58d2146fec,normal,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,5,lm000_ls100_le000,0.15,0.7000000000000001,0.15,0.3296738393681516,0.017473386512909694
rough_seed_2,2,test,44486864c0425d214d63bb40c3e7dda7ef488c1bb4d8b247a5fd4f58d2146fec,normal,motion_biased,0.7,0.15,0.15,5,lm000_ls100_le000,0.15,0.7000000000000001,0.15,0.14835322771566822,0.007863023930809343
rough_seed_2,2,test,44486864c0425d214d63bb40c3e7dda7ef488c1bb4d8b247a5fd4f58d2146fec,normal,stability_biased,0.15,0.7,0.15,5,lm000_ls100_le000,0.15,0.7000000000000001,0.15,0.6923150626731183,0.03669411167711034
rough_seed_2,2,test,44486864c0425d214d63bb40c3e7dda7ef488c1bb4d8b247a5fd4f58d2146fec,normal,energy_biased,0.15,0.15,0.7,5,lm000_ls100_le000,0.15,0.7000000000000001,0.15,0.14835322771566822,0.007863023930809343
rough_seed_3,3,test,bf62064ac22358fec4abfd98b9526fe4ef06ec4e6ecf0ccd59b81b6a3689c86e,normal,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,20,lm100_ls000_le000,0.7000000000000001,0.15,0.15,0.26710781276491063,0.04180144863555685
rough_seed_3,3,test,bf62064ac22358fec4abfd98b9526fe4ef06ec4e6ecf0ccd59b81b6a3689c86e,normal,motion_biased,0.7,0.15,0.15,20,lm100_ls000_le000,0.7000000000000001,0.15,0.15,0.1201985157442098,0.01957613036434426
rough_seed_3,3,test,bf62064ac22358fec4abfd98b9526fe4ef06ec4e6ecf0ccd59b81b6a3689c86e,normal,stability_biased,0.15,0.7,0.15,1,lm000_ls020_le080,0.15,0.26,0.5900000000000001,0.2656587813038001,0.01673856451343081
rough_seed_3,3,test,bf62064ac22358fec4abfd98b9526fe4ef06ec4e6ecf0ccd59b81b6a3689c86e,normal,energy_biased,0.15,0.15,0.7,4,lm000_ls080_le020,0.15,0.5900000000000001,0.26,0.5189407301772475,0.0008490658417431574
rough_seed_19,19,test,63bee843e9525284121840a0f0c5156af98c7c7e74a9d267e2f09e9974e30d6c,normal,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,20,lm100_ls000_le000,0.7000000000000001,0.15,0.15,0.6350999845522726,0.032534483671094794
rough_seed_19,19,test,63bee843e9525284121840a0f0c5156af98c7c7e74a9d267e2f09e9974e30d6c,normal,motion_biased,0.7,0.15,0.15,20,lm100_ls000_le000,0.7000000000000001,0.15,0.15,0.2869162916814126,0.06338044737383736
rough_seed_19,19,test,63bee843e9525284121840a0f0c5156af98c7c7e74a9d267e2f09e9974e30d6c,normal,stability_biased,0.15,0.7,0.15,0,lm000_ls000_le100,0.15,0.15,0.7000000000000001,0.3023625072155659,0.15785156510846587
rough_seed_19,19,test,63bee843e9525284121840a0f0c5156af98c7c7e74a9d267e2f09e9974e30d6c,normal,energy_biased,0.15,0.15,0.7,5,lm000_ls100_le000,0.15,0.7000000000000001,0.15,0.4903115884686308,0.15775036370205503
rough_seed_26,26,test,7286a8ef32ac2df04aecc19e284a65c14541e9f703e9a09881839ae518bdbabd,normal,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,5,lm000_ls100_le000,0.15,0.7000000000000001,0.15,0.6361705272073186,0.1245714912798016
