context_id,seed,split_group,context_sha256,probe_safety_state_diagnostic,beta_index,beta_name,beta_motion,beta_stability,beta_energy,pred_regret_motion,pred_regret_stability,pred_regret_energy,pred_Q_balanced,pred_Q_motion_biased,pred_Q_stability_biased,pred_Q_energy_biased
rough_seed_1,1,val,da81bd353ca38a4c688c69ce6c52e8fe14b8b7bf27d53c1985de33586a95cdc3,normal,0,lm000_ls000_le100,0.15,0.15,0.7000000000000001,3.927168734669672,1.1056937256512473,1.2833487286884664,1.3301102821865884,2.7800918590929675,0.789541240230469,0.9148768448732271
rough_seed_1,1,val,da81bd353ca38a4c688c69ce6c52e8fe14b8b7bf27d53c1985de33586a95cdc3,normal,1,lm000_ls020_le080,0.15,0.26,0.5900000000000001,2.717148901394081,0.9434473777916076,1.0668090578847214,0.9214743182549283,1.9240396579391297,0.6726932330375847,0.7597248983432765
rough_seed_1,1,val,da81bd353ca38a4c688c69ce6c52e8fe14b8b7bf27d53c1985de33586a95cdc3,normal,2,lm000_ls040_le060,0.15,0.37,0.48,1.8243994888038044,0.6531517785831694,1.1498147649571466,0.6202243830424151,1.2925548883996003,0.46623962883894216,0.8166353657257831
rough_seed_1,1,val,da81bd353ca38a4c688c69ce6c52e8fe14b8b7bf27d53c1985de33586a95cdc3,normal,3,lm000_ls060_le040,0.15,0.48,0.37,1.0541199230252698,0.4272275405330421,1.5504734645029505,0.5269305579278544,0.7482293370864197,0.3059567612381531,1.0984067605989234
rough_seed_1,1,val,da81bd353ca38a4c688c69ce6c52e8fe14b8b7bf27d53c1985de33586a95cdc3,normal,4,lm000_ls080_le020,0.15,0.5900000000000001,0.26,0.4229257343868967,1.4296456016032288,1.2351300073353868,0.48684087167882795,0.30300565762494386,1.0132465239460662,0.8760157721901036
rough_seed_1,1,val,da81bd353ca38a4c688c69ce6c52e8fe14b8b7bf27d53c1985de33586a95cdc3,normal,5,lm000_ls100_le000,0.15,0.7000000000000001,0.15,0.0,2.415153621883973,1.1662968139696341,0.8169893754141696,0.3676452189363763,1.7092630558929232,0.8281945779093572
rough_seed_1,1,val,da81bd353ca38a4c688c69ce6c52e8fe14b8b7bf27d53c1985de33586a95cdc3,normal,6,lm020_ls000_le080,0.26,0.15,0.5900000000000001,2.7599837630803883,0.934966386697816,1.1016526390197425,0.9359832636561226,1.9543634490364108,0.6668136899985061,0.7844108410116253
rough_seed_1,1,val,da81bd353ca38a4c688c69ce6c52e8fe14b8b7bf27d53c1985de33586a95cdc3,normal,7,lm020_ls020_le060,0.26,0.26,0.48,1.8409553066926179,0.6559133896931151,1.1315527822462759,0.625746507159646,1.3042366010895898,0.46818952864644064,0.8037531200926956
rough_seed_1,1,val,da81bd353ca38a4c688c69ce6c52e8fe14b8b7bf27d53c1985de33586a95cdc3,normal,8,lm020_ls040_le040,0.26,0.37,0.37,1.0504605332877666,0.41060355150487926,1.3884380275287214,0.47231101621731164,0.7453741594030013,0.29395505875517436,0.9838172815899949
rough_seed_1,1,val,da81bd353ca38a4c688c69ce6c52e8fe14b8b7bf27d53c1985de33586a95cdc3,normal,9,lm020_ls060_le020,0.26,0.48,0.26,0.40585928147410655,1.7994672140545043,0.9680102173687136,0.6104001937278258,0.2910937281493281,1.2742841245847987,0.6876912134229735
rough_seed_1,1,val,da81bd353ca38a4c688c69ce6c52e8fe14b8b7bf27d53c1985de33586a95cdc3,normal,10,lm020_ls080_le000,0.26,0.5900000000000001,0.15,0.0,2.850347099823118,0.9873879786740328,0.9629081502026965,0.43330866759121345,2.016676481542955,0.7023588215722759
rough_seed_1,1,val,da81bd353ca38a4c688c69ce6c52e8fe14b8b7bf27d53c1985de33586a95cdc3,normal,11,lm040_ls000_le060,0.37,0.15,0.48,1.8758376582393805,0.6774476801603553,1.2025876090890497,0.6377987959047561,1.329037277309116,0.48357314777436383,0.8540593676335577
rough_seed_1,1,val,da81bd353ca38a4c688c69ce6c52e8fe14b8b7bf27d53c1985de33586a95cdc3,normal,12,lm040_ls020_le040,0.37,0.26,0.37,1.0692094001323125,0.3920066720257153,1.2488806142238325,0.4253271936958836,0.7583923768229192,0.28062585214371494,0.8851504183644866
rough_seed_1,1,val,da81bd353ca38a4c688c69ce6c52e8fe14b8b7bf27d53c1985de33586a95cdc3,normal,13,lm040_ls040_le020,0.37,0.37,0.26,0.4028542637431353,1.9602129664701167,0.6698480836902874,0.6635140398697174,0.30079701639196005,1.3874796208155225,0.47712719601435305
rough_seed_1,1,val,da81bd353ca38a4c688c69ce6c52e8fe14b8b7bf27d53c1985de33586a95cdc3,normal,14,lm040_ls060_le000,0.37,0.48,0.15,0.0,3.111872680328751,0.8232874143064861,1.0504080937583677,0.4726836421912655,2.2013289161138867,0.5867320109351788
rough_seed_1,1,val,da81bd353ca38a4c688c69ce6c52e8fe14b8b7bf27d53c1985de33586a95cdc3,normal,15,lm060_ls000_le040,0.48,0.15,0.37,1.1060754797795715,0.3913830256632762,1.2212292164463914,0.4161386978884279,0.7844142825673215,0.2801987561882752,0.865655243785763
rough_seed_1,1,val,da81bd353ca38a4c688c69ce6c52e8fe14b8b7bf27d53c1985de33586a95cdc3,normal,16,lm060_ls020_le020,0.48,0.26,0.26,0.4118727652264752,1.9107791141313115,0.44992859849886874,0.6461683063032927,0.2947351065840632,1.352213535736425,0.32158349695773686
