packet_index,sim_time,wall_elapsed,command,expected_delta,leg,leg_index,phase,swing,shape,bump,target_z,actual_z,tracking_error,base_z,roll_deg,pitch_deg,yaw_deg,base_vz
1,29.44875,0.022290945053100586,0.06,0.015,FL,0,0.699999988079071,1,0.7056000320434564,0.010584000480651846,-0.2321520813485699,-0.20237488146599447,0.029777199882575434,0.3464575222678392,-0.2278461008028201,5.890616121673992,-2.967388003411156,-0.030772169154332327
1,29.44875,0.022290945053100586,0.06,0.015,FR,1,0.0,0,0.0,0.0,-0.3425052263402992,-0.3425052263402992,0.0,0.3464575222678392,-0.2278461008028201,5.890616121673992,-2.967388003411156,-0.030772169154332327
1,29.44875,0.022290945053100586,0.06,0.015,RL,2,0.0,0,0.0,0.0,-0.34410037727968495,-0.34410037727968495,0.0,0.3464575222678392,-0.2278461008028201,5.890616121673992,-2.967388003411156,-0.030772169154332327
1,29.44875,0.022290945053100586,0.06,0.015,RR,3,0.699999988079071,1,0.7056000320434564,0.010584000480651846,-0.23241138094165914,-0.20681623493195156,0.02559514600970758,0.3464575222678392,-0.2278461008028201,5.890616121673992,-2.967388003411156,-0.030772169154332327
2,29.46925,0.10389494895935059,0.06,0.015,FL,0,0.800000011920929,1,0.4095999633789063,0.006143999450683594,-0.28195327645405804,-0.2508619541696329,0.031091322284425127,0.3475911305532968,-0.41812605716042334,5.570085880704654,-2.953698856571305,0.09746187975794365
2,29.46925,0.10389494895935059,0.06,0.015,FR,1,0.0,0,0.0,0.0,-0.3444597583089443,-0.3444597583089443,0.0,0.3475911305532968,-0.41812605716042334,5.570085880704654,-2.953698856571305,0.09746187975794365
2,29.46925,0.10389494895935059,0.06,0.015,RL,2,0.0,0,0.0,0.0,-0.3465314427069275,-0.3465314427069275,0.0,0.3475911305532968,-0.41812605716042334,5.570085880704654,-2.953698856571305,0.09746187975794365
2,29.46925,0.10389494895935059,0.06,0.015,RR,3,0.800000011920929,1,0.4095999633789063,0.006143999450683594,-0.2820375410536475,-0.2544238034630647,0.027613737590582776,0.3475911305532968,-0.41812605716042334,5.570085880704654,-2.953698856571305,0.09746187975794365
3,29.48925,0.1844499111175537,0.06,0.015,FL,0,0.8999999761581421,1,0.1296000549316448,0.0019440008239746721,-0.32855304588302126,-0.30626781599538777,0.022285229887633484,0.34770070290119925,-0.3159660810814531,5.317312572242355,-2.8859776516543314,-0.06763772130159945
3,29.48925,0.1844499111175537,0.06,0.015,FR,1,0.0,0,0.0,0.0,-0.34411825998658196,-0.34411825998658196,0.0,0.34770070290119925,-0.3159660810814531,5.317312572242355,-2.8859776516543314,-0.06763772130159945
3,29.48925,0.1844499111175537,0.06,0.015,RL,2,0.0,0,0.0,0.0,-0.3456415302207241,-0.3456415302207241,0.0,0.34770070290119925,-0.3159660810814531,5.317312572242355,-2.8859776516543314,-0.06763772130159945
3,29.48925,0.1844499111175537,0.06,0.015,RR,3,0.8999999761581421,1,0.1296000549316448,0.0019440008239746721,-0.3285645083568421,-0.3070113834951982,0.021553124861643902,0.34770070290119925,-0.3159660810814531,5.317312572242355,-2.8859776516543314,-0.06763772130159945
4,29.51,0.2675778865814209,0.06,0.015,FL,0,0.0,0,0.0,0.0,-0.34539538877134024,-0.34539538877134024,0.0,0.3484783212879463,-0.5206160143984689,4.911392959477706,-2.772473033671504,0.10745061411168655
4,29.51,0.2675778865814209,0.06,0.015,FR,1,0.0,0,0.0,0.0,-0.34624712817706205,-0.34624712817706205,0.0,0.3484783212879463,-0.5206160143984689,4.911392959477706,-2.772473033671504,0.10745061411168655
4,29.51,0.2675778865814209,0.06,0.015,RL,2,0.0,0,0.0,0.0,-0.34825135038918326,-0.34825135038918326,0.0,0.3484783212879463,-0.5206160143984689,4.911392959477706,-2.772473033671504,0.10745061411168655
4,29.51,0.2675778865814209,0.06,0.015,RR,3,0.0,0,0.0,0.0,-0.3454080531051784,-0.3454080531051784,0.0,0.3484783212879463,-0.5206160143984689,4.911392959477706,-2.772473033671504,0.10745061411168655
5,29.53,0.3470008373260498,0.06,0.015,FL,0,0.0,0,0.0,0.0,-0.34636480399871594,-0.34636480399871594,0.0,0.34942306717886823,-0.3399971459462921,4.38668159642746,-2.7434616875361653,-0.03466160526288787
5,29.53,0.3470008373260498,0.06,0.015,FR,1,0.10000000149011612,1,0.12960000343322756,0.0019440000514984134,-0.3250594025226762,-0.3373541973699208,-0.012294794847244606,0.34942306717886823,-0.3399971459462921,4.38668159642746,-2.7434616875361653,-0.03466160526288787
5,29.53,0.3470008373260498,0.06,0.015,RL,2,0.10000000149011612,1,0.12960000343322756,0.0019440000514984134,-0.32695880391020055,-0.3390918136224296,-0.012133009712229081,0.34942306717886823,-0.3399971459462921,4.38668159642746,-2.7434616875361653,-0.03466160526288787
5,29.53,0.3470008373260498,0.06,0.015,RR,3,0.0,0,0.0,0.0,-0.34717563850711286,-0.34717563850711286,0.0,0.34942306717886823,-0.3399971459462921,4.38668159642746,-2.7434616875361653,-0.03466160526288787
6,29.5505,0.42913389205932617,0.06,0.015,FL,0,0.0,0,0.0,0.0,-0.34787391444394977,-0.34787391444394977,0.0,0.3494314347434095,-0.4324564048868869,3.6900748654910327,-2.8361255293805985,0.05848824723501041
6,29.5505,0.42913389205932617,0.06,0.015,FR,1,0.20000000298023224,1,0.40960000915527345,0.006144000137329101,-0.279341644993681,-0.29978965646778577,-0.020448011474104744,0.3494314347434095,-0.4324564048868869,3.6900748654910327,-2.8361255293805985,0.05848824723501041
6,29.5505,0.42913389205932617,0.06,0.015,RL,2,0.20000000298023224,1,0.40960000915527345,0.006144000137329101,-0.2809835038206761,-0.29874485098971626,-0.017761347169040154,0.3494314347434095,-0.4324564048868869,3.6900748654910327,-2.8361255293805985,0.05848824723501041
6,29.5505,0.42913389205932617,0.06,0.015,RR,3,0.0,0,0.0,0.0,-0.3482044173406759,-0.3482044173406759,0.0,0.3494314347434095,-0.4324564048868869,3.6900748654910327,-2.8361255293805985,0.05848824723501041
7,29.57125,0.5125188827514648,0.06,0.015,FL,0,0.0,0,0.0,0.0,-0.34648707002951135,-0.34648707002951135,0.0,0.35012875482698547,-0.13635528517301795,3.192054160631175,-2.846652695991306,-0.02700578204409103
7,29.57125,0.5125188827514648,0.06,0.015,FR,1,0.30000001192092896,1,0.7056000320434566,0.010584000480651848,-0.23113024664759935,-0.250866299634554,-0.019736052986954633,0.35012875482698547,-0.13635528517301795,3.192054160631175,-2.846652695991306,-0.02700578204409103
7,29.57125,0.5125188827514648,0.06,0.015,RL,2,0.30000001192092896,1,0.7056000320434566,0.010584000480651848,-0.2324363982210929,-0.2485859762406678,-0.016149578019574895,0.35012875482698547,-0.13635528517301795,3.192054160631175,-2.846652695991306,-0.02700578204409103
7,29.57125,0.5125188827514648,0.06,0.015,RR,3,0.0,0,0.0,0.0,-0.3483663300298224,-0.3483663300298224,0.0,0.35012875482698547,-0.13635528517301795,3.192054160631175,-2.846652695991306,-0.02700578204409103
8,29.5915,0.59356689453125,0.06,0.015,FL,0,0.0,0,0.0,0.0,-0.34733536652002717,-0.34733536652002717,0.0,0.34971466904069,-0.5709144472683817,2.9639954484952447,-2.7995696599907247,0.023082302853849726
8,29.5915,0.59356689453125,0.06,0.015,FR,1,0.4000000059604645,1,0.9216000091552732,0.013824000137329097,-0.19615263177783662,-0.2068543930661115,-0.01070176128827488,0.34971466904069,-0.5709144472683817,2.9639954484952447,-2.7995696599907247,0.023082302853849726
8,29.5915,0.59356689453125,0.06,0.015,RL,2,0.4000000059604645,1,0.9216000091552732,0.013824000137329097,-0.19710503815239377,-0.2081813803425113,-0.011076342190117522,0.34971466904069,-0.5709144472683817,2.9639954484952447,-2.7995696599907247,0.023082302853849726
8,29.5915,0.59356689453125,0.06,0.015,RR,3,0.0,0,0.0,0.0,-0.3486813874083971,-0.3486813874083971,0.0,0.34971466904069,-0.5709144472683817,2.9639954484952447,-2.7995696599907247,0.023082302853849726
9,29.61175,0.6746909618377686,0.06,0.015,FL,0,0.0,0,0.0,0.0,-0.3469181522292616,-0.3469181522292616,0.0,0.35039294963187667,-0.6700077998931413,2.7142915840011304,-2.7650811759383394,-0.024483061047940978
9,29.61175,0.6746909618377686,0.06,0.015,FR,1,0.5,1,1.0,0.015,-0.18382722532015772,-0.1810151819984176,0.002812043321740121,0.35039294963187667,-0.6700077998931413,2.7142915840011304,-2.7650811759383394,-0.024483061047940978
9,29.61175,0.6746909618377686,0.06,0.015,RL,2,0.5,1,1.0,0.015,-0.1844535447614456,-0.18457830536839567,-0.00012476060695007507,0.35039294963187667,-0.6700077998931413,2.7142915840011304,-2.7650811759383394,-0.024483061047940978
9,29.61175,0.6746909618377686,0.06,0.015,RR,3,0.0,0,0.0,0.0,-0.34775600423701397,-0.34775600423701397,0.0,0.35039294963187667,-0.6700077998931413,2.7142915840011304,-2.7650811759383394,-0.024483061047940978
10,29.632,0.7565109729766846,0.06,0.015,FL,0,0.0,0,0.0,0.0,-0.3477342114029265,-0.3477342114029265,0.0,0.34975879507456786,-0.7026319599255083,2.5031803647812287,-2.7673276395481006,0.03880669070046022
10,29.632,0.7565109729766846,0.06,0.015,FR,1,0.6000000238418579,1,0.9215999633789023,0.013823999450683534,-0.1972634894549499,-0.17925296878564154,0.01801052066930836,0.34975879507456786,-0.7026319599255083,2.5031803647812287,-2.7673276395481006,0.03880669070046022
10,29.632,0.7565109729766846,0.06,0.015,RL,2,0.6000000238418579,1,0.9215999633789023,0.013823999450683534,-0.1976226460203144,-0.18209103952581301,0.015531606494501388,0.34975879507456786,-0.7026319599255083,2.5031803647812287,-2.7673276395481006,0.03880669070046022
10,29.632,0.7565109729766846,0.06,0.015,RR,3,0.0,0,0.0,0.0,-0.34862345243550563,-0.34862345243550563,0.0,0.34975879507456786,-0.7026319599255083,2.5031803647812287,-2.7673276395481006,0.03880669070046022
11,29.65275,0.8385589122772217,0.06,0.015,FL,0,0.0,0,0.0,0.0,-0.34786048202176595,-0.34786048202176595,0.0,0.3512896279068567,-0.7858622945886681,2.3337859373357657,-2.7842700468233494,0.019585853338681986
11,29.65275,0.8385589122772217,0.06,0.015,FR,1,0.699999988079071,1,0.7056000320434564,0.010584000480651846,-0.2332618777302891,-0.20741609593327437,0.025845781797014744,0.3512896279068567,-0.7858622945886681,2.3337859373357657,-2.7842700468233494,0.019585853338681986
11,29.65275,0.8385589122772217,0.06,0.015,RL,2,0.699999988079071,1,0.7056000320434564,0.010584000480651846,-0.23342963114750614,-0.20892450613338992,0.024505125014116225,0.3512896279068567,-0.7858622945886681,2.3337859373357657,-2.7842700468233494,0.019585853338681986
11,29.65275,0.8385589122772217,0.06,0.015,RR,3,0.0,0,0.0,0.0,-0.3486337646310014,-0.3486337646310014,0.0,0.3512896279068567,-0.7858622945886681,2.3337859373357657,-2.7842700468233494,0.019585853338681986
12,29.673000000000002,0.919705867767334,0.06,0.015,FL,0,0.0,0,0.0,0.0,-0.34798620916939194,-0.34798620916939194,0.0,0.3504277562456597,-0.6513484379820508,2.2669013578838313,-2.826886696337583,-0.04217118746602203
12,29.673000000000002,0.919705867767334,0.06,0.015,FR,1,0.800000011920929,1,0.4095999633789063,0.006143999450683594,-0.28231392703054853,-0.2522644650602871,0.030049461970261426,0.3504277562456597,-0.6513484379820508,2.2669013578838313,-2.826886696337583,-0.04217118746602203
12,29.673000000000002,0.919705867767334,0.06,0.015,RL,2,0.800000011920929,1,0.4095999633789063,0.006143999450683594,-0.2823684418655436,-0.25235505400675806,0.030013387858785545,0.3504277562456597,-0.6513484379820508,2.2669013578838313,-2.826886696337583,-0.04217118746602203
12,29.673000000000002,0.919705867767334,0.06,0.015,RR,3,0.0,0,0.0,0.0,-0.3486682675384824,-0.3486682675384824,0.0,0.3504277562456597,-0.6513484379820508,2.2669013578838313,-2.826886696337583,-0.04217118746602203
13,29.69325,1.0006740093231201,0.06,0.015,FL,0,0.0,0,0.0,0.0,-0.34866484801041725,-0.34866484801041725,0.0,0.3514175210388821,-0.6656766042500917,2.033593712142013,-2.911565347029885,0.051344806463115324
13,29.69325,1.0006740093231201,0.06,0.015,FR,1,0.8999999761581421,1,0.1296000549316448,0.0019440008239746721,-0.3286021050111917,-0.3078791531070235,0.020722951904168174,0.3514175210388821,-0.6656766042500917,2.033593712142013,-2.911565347029885,0.051344806463115324
13,29.69325,1.0006740093231201,0.06,0.015,RL,2,0.8999999761581421,1,0.1296000549316448,0.0019440008239746721,-0.32860952063853727,-0.30564472841975154,0.022964792218785723,0.3514175210388821,-0.6656766042500917,2.033593712142013,-2.911565347029885,0.051344806463115324
13,29.69325,1.0006740093231201,0.06,0.015,RR,3,0.0,0,0.0,0.0,-0.3497334910970355,-0.3497334910970355,0.0,0.3514175210388821,-0.6656766042500917,2.033593712142013,-2.911565347029885,0.051344806463115324
14,29.71375,1.082787036895752,0.06,0.015,FL,0,0.0,0,0.0,0.0,-0.3475430969848894,-0.3475430969848894,0.0,0.3502035637806657,-0.6374093039161727,1.7593857760793024,-3.0432188718384126,-0.13807316787012364
14,29.71375,1.082787036895752,0.06,0.015,FR,1,0.0,0,0.0,0.0,-0.34480898464364385,-0.34480898464364385,0.0,0.3502035637806657,-0.6374093039161727,1.7593857760793024,-3.0432188718384126,-0.13807316787012364
14,29.71375,1.082787036895752,0.06,0.015,RL,2,0.0,0,0.0,0.0,-0.34394350727159595,-0.34394350727159595,0.0,0.3502035637806657,-0.6374093039161727,1.7593857760793024,-3.0432188718384126,-0.13807316787012364
14,29.71375,1.082787036895752,0.06,0.015,RR,3,0.0,0,0.0,0.0,-0.3479871403236828,-0.3479871403236828,0.0,0.3502035637806657,-0.6374093039161727,1.7593857760793024,-3.0432188718384126,-0.13807316787012364
15,29.7345,1.1662800312042236,0.06,0.015,FL,0,0.10000000149011612,1,0.12960000343322756,0.0019440000514984134,-0.3262875921599771,-0.3385311606087982,-0.012243568448821074,0.34895382580493667,-0.07573790870668333,1.5545336519876327,-3.0998236717924725,0.0046241362406804955
15,29.7345,1.1662800312042236,0.06,0.015,FR,1,0.0,0,0.0,0.0,-0.34689251798625964,-0.34689251798625964,0.0,0.34895382580493667,-0.07573790870668333,1.5545336519876327,-3.0998236717924725,0.0046241362406804955
15,29.7345,1.1662800312042236,0.06,0.015,RL,2,0.0,0,0.0,0.0,-0.3486427289922625,-0.3486427289922625,0.0,0.34895382580493667,-0.07573790870668333,1.5545336519876327,-3.0998236717924725,0.0046241362406804955
15,29.7345,1.1662800312042236,0.06,0.015,RR,3,0.10000000149011612,1,0.12960000343322756,0.0019440000514984134,-0.3267084120315084,-0.3387995327469028,-0.012091120715394366,0.34895382580493667,-0.07573790870668333,1.5545336519876327,-3.0998236717924725,0.0046241362406804955
16,29.75475,1.2475218772888184,0.06,0.015,FL,0,0.20000000298023224,1,0.40960000915527345,0.006144000137329101,-0.2804033026351207,-0.3001682394329625,-0.019764936797841803,0.34859547987708134,-0.3397648298824948,1.3113506348174953,-3.0520321462762703,-0.05263720050911785
16,29.75475,1.2475218772888184,0.06,0.015,FR,1,0.0,0,0.0,0.0,-0.3464702116587318,-0.3464702116587318,0.0,0.34859547987708134,-0.3397648298824948,1.3113506348174953,-3.0520321462762703,-0.05263720050911785
16,29.75475,1.2475218772888184,0.06,0.015,RL,2,0.0,0,0.0,0.0,-0.346072722663088,-0.346072722663088,0.0,0.34859547987708134,-0.3397648298824948,1.3113506348174953,-3.0520321462762703,-0.05263720050911785
16,29.75475,1.2475218772888184,0.06,0.015,RR,3,0.20000000298023224,1,0.40960000915527345,0.006144000137329101,-0.28076706293622755,-0.3014938576178098,-0.020726794681582228,0.34859547987708134,-0.3397648298824948,1.3113506348174953,-3.0520321462762703,-0.05263720050911785
17,29.776,1.33217191696167,0.06,0.015,FL,0,0.30000001192092896,1,0.7056000320434566,0.010584000480651848,-0.23197482949240816,-0.2514598964783676,-0.01948506698595942,0.34764518898156577,-0.3868776106938566,1.047489935207579,-3.044580068181817,-0.028592168174992046
17,29.776,1.33217191696167,0.06,0.015,FR,1,0.0,0,0.0,0.0,-0.3450967681675464,-0.3450967681675464,0.0,0.34764518898156577,-0.3868776106938566,1.047489935207579,-3.044580068181817,-0.028592168174992046
17,29.776,1.33217191696167,0.06,0.015,RL,2,0.0,0,0.0,0.0,-0.3461787915678602,-0.3461787915678602,0.0,0.34764518898156577,-0.3868776106938566,1.047489935207579,-3.044580068181817,-0.028592168174992046
17,29.776,1.33217191696167,0.06,0.015,RR,3,0.30000001192092896,1,0.7056000320434566,0.010584000480651848,-0.23226421252696222,-0.2501749575633195,-0.017910745036357256,0.34764518898156577,-0.3868776106938566,1.047489935207579,-3.044580068181817,-0.028592168174992046
18,29.7965,1.4139399528503418,0.06,0.015,FL,0,0.4000000059604645,1,0.9216000091552732,0.013824000137329097,-0.1967684761419681,-0.2092043269249713,-0.012435850783003188,0.34749939393173856,0.1733468039293032,0.9313342600194522,-3.1058766260439032,-0.020481309983771418
18,29.7965,1.4139399528503418,0.06,0.015,FR,1,0.0,0,0.0,0.0,-0.3445563263173232,-0.3445563263173232,0.0,0.34749939393173856,0.1733468039293032,0.9313342600194522,-3.1058766260439032,-0.020481309983771418
18,29.7965,1.4139399528503418,0.06,0.015,RL,2,0.0,0,0.0,0.0,-0.34531617769679857,-0.34531617769679857,0.0,0.34749939393173856,0.1733468039293032,0.9313342600194522,-3.1058766260439032,-0.020481309983771418
18,29.7965,1.4139399528503418,0.06,0.015,RR,3,0.4000000059604645,1,0.9216000091552732,0.013824000137329097,-0.19697948553198924,-0.21013366232887767,-0.013154176796888434,0.34749939393173856,0.1733468039293032,0.9313342600194522,-3.1058766260439032,-0.020481309983771418
19,29.817,1.4960699081420898,0.06,0.015,FL,0,0.5,1,1.0,0.015,-0.18423221557260377,-0.18149251805430539,0.0027396975182983896,0.3467228336376929,-0.2896141976949843,0.909202082687379,-3.148741530234803,-0.02897037680091112
19,29.817,1.4960699081420898,0.06,0.015,FR,1,0.0,0,0.0,0.0,-0.344295703774776,-0.344295703774776,0.0,0.3467228336376929,-0.2896141976949843,0.909202082687379,-3.148741530234803,-0.02897037680091112
19,29.817,1.4960699081420898,0.06,0.015,RL,2,0.0,0,0.0,0.0,-0.34447422136774336,-0.34447422136774336,0.0,0.3467228336376929,-0.2896141976949843,0.909202082687379,-3.148741530234803,-0.02897037680091112
19,29.817,1.4960699081420898,0.06,0.015,RR,3,0.5,1,1.0,0.015,-0.18437097911597666,-0.1843680426657086,2.9364502680540028e-06,0.3467228336376929,-0.2896141976949843,0.909202082687379,-3.148741530234803,-0.02897037680091112
20,29.83725,1.577558994293213,0.06,0.015,FL,0,0.6000000238418579,1,0.9215999633789023,0.013823999450683534,-0.1974957270297177,-0.1823067347649058,0.015188992264811907,0.34693582348207924,0.07979793488988227,0.8003074925783125,-3.1267013819824556,0.002207131009677508
20,29.83725,1.577558994293213,0.06,0.015,FR,1,0.0,0,0.0,0.0,-0.34371189108105593,-0.34371189108105593,0.0,0.34693582348207924,0.07979793488988227,0.8003074925783125,-3.1267013819824556,0.002207131009677508
20,29.83725,1.577558994293213,0.06,0.015,RL,2,0.0,0,0.0,0.0,-0.3444572801165087,-0.3444572801165087,0.0,0.34693582348207924,0.07979793488988227,0.8003074925783125,-3.1267013819824556,0.002207131009677508
