objective,group,seed,candidate_beta,reference_beta,target_metric,target_reference,target_candidate,delta_target_cost,target_improved,decision_time_s__reference,decision_time_s__candidate,decision_time_s__delta_raw,decision_time_s__delta_cost_oriented,decision_time_s__improved,applied_vx_mps__reference,applied_vx_mps__candidate,applied_vx_mps__delta_raw,applied_vx_mps__delta_cost_oriented,applied_vx_mps__improved,reward_posture_component__reference,reward_posture_component__candidate,reward_posture_component__delta_raw,reward_posture_component__delta_cost_oriented,reward_posture_component__improved,reward_traction_component__reference,reward_traction_component__candidate,reward_traction_component__delta_raw,reward_traction_component__delta_cost_oriented,reward_traction_component__improved,energy_abs_j__reference,energy_abs_j__candidate,energy_abs_j__delta_raw,energy_abs_j__delta_cost_oriented,energy_abs_j__improved
motion,flat,27100,motion,balanced,mean_cost_motion,0.22204686327628229,0.22017974704125134,-0.0018671162350309412,1,7.6,7.6,0.0,0.0,0,0.2135941154274502,0.2152274352155234,0.001633319788073212,-0.001633319788073212,1,,,,,,,,,,,,,,,
motion,flat,27101,motion,balanced,mean_cost_motion,0.22204686327628229,0.22017974704125134,-0.0018671162350309412,1,7.6,7.6,0.0,0.0,0,0.2135941154274502,0.2152274352155234,0.001633319788073212,-0.001633319788073212,1,,,,,,,,,,,,,,,
motion,flat,27102,motion,balanced,mean_cost_motion,0.22204686327628229,0.22017974704125134,-0.0018671162350309412,1,7.6,7.6,0.0,0.0,0,0.2135941154274502,0.2152274352155234,0.001633319788073212,-0.001633319788073212,1,,,,,,,,,,,,,,,
motion,low_friction,27200,motion,balanced,mean_cost_motion,0.22654064270826413,0.22462255264956746,-0.0019180900586966698,1,7.6,7.6,0.0,0.0,0,0.21011938803682204,0.2118542128487638,0.0017348248119417597,-0.0017348248119417597,1,,,,,,,,,,,,,,,
motion,low_friction,27201,motion,balanced,mean_cost_motion,0.22654064270826413,0.22462255264956746,-0.0019180900586966698,1,7.6,7.6,0.0,0.0,0,0.21011938803682204,0.2118542128487638,0.0017348248119417597,-0.0017348248119417597,1,,,,,,,,,,,,,,,
motion,low_friction,27202,motion,balanced,mean_cost_motion,0.22654064270826413,0.22462255264956746,-0.0019180900586966698,1,7.6,7.6,0.0,0.0,0,0.21011938803682204,0.2118542128487638,0.0017348248119417597,-0.0017348248119417597,1,,,,,,,,,,,,,,,
motion,rough_perlin,7,motion,balanced,mean_cost_motion,0.22165356141781453,0.21955446539791698,-0.0020990960198975506,1,7.6,7.6,0.0,0.0,0,0.21304811229439158,0.21496031711760322,0.0019122048232116384,-0.0019122048232116384,1,,,,,,,,,,,,,,,
motion,rough_perlin,13,motion,balanced,mean_cost_motion,0.21998378003336952,0.21756319737111735,-0.0024205826622521742,1,7.4,7.4,0.0,0.0,0,0.21227520168633074,0.21415727368077717,0.001882071994446427,-0.001882071994446427,1,,,,,,,,,,,,,,,
motion,rough_perlin,15,motion,balanced,mean_cost_motion,0.22008101313711234,0.21978675087695962,-0.0002942622601527223,1,7.4,7.4,0.0,0.0,0,0.2123193030421798,0.2141331125554201,0.001813809513240311,-0.001813809513240311,1,,,,,,,,,,,,,,,
stability,flat,27100,stability,balanced,mean_cost_stability,0.01162808929278536,0.011660638384210087,3.2549091424726936e-05,0,,,,,,,,,,,0.01162808929278536,0.011660638384210087,3.2549091424726936e-05,3.2549091424726936e-05,0,3.936496894482768e-06,3.86358003694649e-06,-7.291685753627882e-08,-7.291685753627882e-08,1,,,,,
stability,flat,27101,stability,balanced,mean_cost_stability,0.01162808929278536,0.011660638384210087,3.2549091424726936e-05,0,,,,,,,,,,,0.01162808929278536,0.011660638384210087,3.2549091424726936e-05,3.2549091424726936e-05,0,3.936496894482768e-06,3.86358003694649e-06,-7.291685753627882e-08,-7.291685753627882e-08,1,,,,,
stability,flat,27102,stability,balanced,mean_cost_stability,0.01162808929278536,0.011660638384210087,3.2549091424726936e-05,0,,,,,,,,,,,0.01162808929278536,0.011660638384210087,3.2549091424726936e-05,3.2549091424726936e-05,0,3.936496894482768e-06,3.86358003694649e-06,-7.291685753627882e-08,-7.291685753627882e-08,1,,,,,
stability,low_friction,27200,stability,balanced,mean_cost_stability,0.729664496323737,0.724218237779293,-0.005446258544444027,1,,,,,,,,,,,0.010881810994086328,0.010751041739652177,-0.00013076925443415016,-0.00013076925443415016,1,0.7246374037536754,0.719243514368447,-0.005393889385228334,-0.005393889385228334,1,,,,,
stability,low_friction,27201,stability,balanced,mean_cost_stability,0.729664496323737,0.724218237779293,-0.005446258544444027,1,,,,,,,,,,,0.010881810994086328,0.010751041739652177,-0.00013076925443415016,-0.00013076925443415016,1,0.7246374037536754,0.719243514368447,-0.005393889385228334,-0.005393889385228334,1,,,,,
