fold,held_context,pca_rank,k95,k95_explained_variance,ridge_alpha,feature_dim,train_response_linf_mean_iqr,held_response_linf_mean_iqr,held_response_linf_p95_iqr,predicted_pareto_count,selector_exact,selector_score_excess_mean,selector_score_excess_p95,selector_physical_linf_mean_iqr,selector_physical_linf_p95_iqr
1,rough_seed_13,16,6,0.9551316101869018,0.01,38,0.6407937033344807,1.7759323707911794,1.8293996394213923,5,0.24,0.2450545426808973,0.7636417045972977,0.21114179713054174,0.5261227758310324
2,rough_seed_7,16,6,0.9617853073716038,0.01,38,0.6437137341637333,0.8113353816187279,1.0101251420368058,21,0.0,0.29451215933005664,0.748519734381539,0.24526958916373168,0.6703977531082952
3,rough_seed_15,16,6,0.9606309127785133,0.01,38,0.6257319951816147,1.5161576941336221,1.6126461951243642,21,0.0,0.288447678217995,0.6630996505062683,0.18212830885211787,0.34539955441993664
4,rough_seed_0,16,6,0.9627390765219628,0.01,38,0.6680464427231698,0.6535085832999792,0.7787468329233966,2,0.56,0.1754909787475085,0.7047053821786387,0.14022317816486043,0.4861040638057882
5,rough_seed_5,16,6,0.9631899341097631,0.01,38,0.6460650227646315,0.9532027107306633,1.0305619706557616,12,0.0,0.15401324450564358,0.371762219992422,0.24160375324658023,0.6504820970151416
6,rough_seed_11,16,6,0.9624515578724525,0.01,38,0.6483350258565693,1.1099285668631789,1.1442010014153814,13,0.08,0.3895519285039653,0.9934786838441524,0.11022605532244142,0.28595500995017387
7,rough_seed_4,16,6,0.9632155007360184,0.01,38,0.6813006750088664,0.0865506719712076,0.19091141843551462,2,0.64,0.05545060630383828,0.2794668917369421,0.0032015102717753317,0.010820391820501905
8,rough_seed_25,16,6,0.9609919383363333,0.01,38,0.6478668403622146,0.8393644773812577,0.9002881873998112,16,0.32,0.31424857774526993,1.148348153990414,0.07340686630252727,0.27660469561116857
9,rough_seed_12,16,6,0.9627202199121234,0.01,38,0.6620242773618807,0.43808211789360146,0.5417234271987758,16,0.12,0.908173212950409,2.148096104668445,0.23474780469717643,0.37487862857435866
10,rough_seed_6,16,6,0.9614045923216937,0.01,38,0.6254599305924019,1.1700737311192868,1.1861888511159389,7,0.2,0.16335473098364045,0.36904343193350686,0.08802782824758174,0.3058225029270363
11,rough_seed_29,16,6,0.9635856524448488,0.01,38,0.6311007802122374,1.8443089489549531,1.9107770227074528,6,0.12,0.3247100802454203,0.9792775637065236,0.04488778110706784,0.07642760917621426
12,rough_seed_18,16,6,0.9599784118002878,0.01,38,0.5862885332383512,2.0753566809838797,2.1742795466255105,6,0.0,2.51227979011293,4.8688689217120515,0.05927992285145464,0.06747035369493014
13,rough_seed_10,16,6,0.9564119834404229,0.01,38,0.6763410454888715,0.3985751380877296,0.426853143907464,3,0.08,0.07498328346823359,0.1309524984809025,0.09158721280491944,0.18125153013339815
14,rough_seed_8,16,5,0.950098672927222,0.01,34,0.6793990269530578,0.2846025691720017,0.3401977910342191,18,0.12,1.4002040101387327,3.9771797957152883,0.22993078890741414,0.38213673256271047
15,rough_seed_22,16,6,0.9653679046520501,0.01,38,0.6400984054197801,1.2095695155355681,1.2544143213202512,8,0.24,0.2547403122735703,0.7657481052241221,0.12820832433567858,0.2852846351156779
16,rough_seed_20,16,6,0.9613761377437539,0.01,38,0.6279045272297746,1.200527985145594,1.4252713729501345,15,0.2,0.2714588045194827,1.1088312864496437,0.26013533662076466,0.748180541071237
17,rough_seed_28,16,6,0.960597481309616,0.01,38,0.6596177441667208,0.6323810177765073,0.6789350577667745,12,0.04,2.462369294198755,7.818892852493956,0.2166287914034511,0.4564240408960174
18,rough_seed_17,16,6,0.9630870391133157,0.01,38,0.6802945428178502,0.2570287415175025,0.27123251624072936,13,0.12,0.38496123354218803,1.4202018723197536,0.18131440706429722,0.4933543002373171
