objective,terrain_label,seed,candidate,reference,target_metric,delta_target_cost,seconds_per_meter__reference,seconds_per_meter__candidate,seconds_per_meter__delta_cost_oriented,episode_progress_rate_mps__reference,episode_progress_rate_mps__candidate,episode_progress_rate_mps__delta_cost_oriented,progress_m__reference,progress_m__candidate,progress_m__delta_cost_oriented,pitch_rms_rad__reference,pitch_rms_rad__candidate,pitch_rms_rad__delta_cost_oriented,roll_rms_rad__reference,roll_rms_rad__candidate,roll_rms_rad__delta_cost_oriented,attitude_rms_norm__reference,attitude_rms_norm__candidate,attitude_rms_norm__delta_cost_oriented,max_abs_pitch_rad__reference,max_abs_pitch_rad__candidate,max_abs_pitch_rad__delta_cost_oriented,max_abs_roll_rad__reference,max_abs_roll_rad__candidate,max_abs_roll_rad__delta_cost_oriented,attitude_peak_max__reference,attitude_peak_max__candidate,attitude_peak_max__delta_cost_oriented,slip_all_contact_mean_mps__reference,slip_all_contact_mean_mps__candidate,slip_all_contact_mean_mps__delta_cost_oriented,slip_all_contact_rms_mps__reference,slip_all_contact_rms_mps__candidate,slip_all_contact_rms_mps__delta_cost_oriented,established_slip_fraction_ge_0p002__reference,established_slip_fraction_ge_0p002__candidate,established_slip_fraction_ge_0p002__delta_cost_oriented,established_slip_fraction_ge_0p01__reference,established_slip_fraction_ge_0p01__candidate,established_slip_fraction_ge_0p01__delta_cost_oriented,established_slip_fraction_ge_0p02__reference,established_slip_fraction_ge_0p02__candidate,established_slip_fraction_ge_0p02__delta_cost_oriented,established_slip_fraction_ge_0p05__reference,established_slip_fraction_ge_0p05__candidate,established_slip_fraction_ge_0p05__delta_cost_oriented,established_slip_fraction_ge_0p1__reference,established_slip_fraction_ge_0p1__candidate,established_slip_fraction_ge_0p1__delta_cost_oriented,energy_abs_j__reference,energy_abs_j__candidate,energy_abs_j__delta_cost_oriented,energy_j_per_meter__reference,energy_j_per_meter__candidate,energy_j_per_meter__delta_cost_oriented,mean_abs_mechanical_power_w__reference,mean_abs_mechanical_power_w__candidate,mean_abs_mechanical_power_w__delta_cost_oriented
motion,flat,27100,motion,balanced,mean_cost_motion,-0.0018671162350309412,4.497160977328656,4.467153420035954,-0.030007557292702103,0.22236250937897417,0.22385620236699894,-0.001493692988024764,1.6899550712802036,1.7013071379891918,-0.01135206670898814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motion,flat,27101,motion,balanced,mean_cost_motion,-0.0018671162350309412,4.497160977328656,4.467153420035954,-0.030007557292702103,0.22236250937897417,0.22385620236699894,-0.001493692988024764,1.6899550712802036,1.7013071379891918,-0.01135206670898814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motion,flat,27102,motion,balanced,mean_cost_motion,-0.0018671162350309412,4.497160977328656,4.467153420035954,-0.030007557292702103,0.22236250937897417,0.22385620236699894,-0.001493692988024764,1.6899550712802036,1.7013071379891918,-0.01135206670898814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motion,low_friction,27200,motion,balanced,mean_cost_motion,-0.0019180900586966698,4.571063182403581,4.539224297512309,-0.031838884891271846,0.2187674858333887,0.22030195788034604,-0.0015344720469573359,1.662632892333754,1.6742948798906299,-0.011661987556875753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motion,low_friction,27201,motion,balanced,mean_cost_motion,-0.0019180900586966698,4.571063182403581,4.539224297512309,-0.031838884891271846,0.2187674858333887,0.22030195788034604,-0.0015344720469573359,1.662632892333754,1.6742948798906299,-0.011661987556875753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motion,low_friction,27202,motion,balanced,mean_cost_motion,-0.0019180900586966698,4.571063182403581,4.539224297512309,-0.031838884891271846,0.2187674858333887,0.22030195788034604,-0.0015344720469573359,1.662632892333754,1.6742948798906299,-0.011661987556875753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motion,rough,7,motion,balanced,mean_cost_motion,-0.0020990960198975506,4.490806515675684,4.457193450320372,-0.03361306535531128,0.2226771508657484,0.22435642768166644,-0.001679276815918035,1.6923463465796877,1.7051088503806648,-0.012762503800977099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motion,rough,13,motion,balanced,mean_cost_motion,-0.0024205826622521742,4.464027120103836,4.425768838781536,-0.03825828132229958,0.2240129759733044,0.22594944210310614,-0.0019364661298017227,1.6576960222024528,1.6720258715629854,-0.01432984936053261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motion,rough,15,motion,balanced,mean_cost_motion,-0.0002942622601527223,4.46557775165243,4.460888283876722,-0.0046894677757078895,0.22393518949031013,0.2241705992984323,-0.00023540980812217227,1.657120402228295,1.6588624348083991,-0.0017420325801040804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stability,flat,27100,stability,balanced,mean_cost_stability,3.2549091424726936e-05,,,,,,,,,,0.02823077532443962,0.028270259195387372,3.94838709477513e-05,0.003175651069185063,0.003193178019850939,1.752695066587623e-05,0.02840882671164378,0.028450025322323415,4.119861067963457e-05,0.0443358515329888,0.044503826349143516,0.00016797481615471455,0.005850882674493513,0.005928644080598042,7.776140610452932e-05,0.0443358515329888,0.044503826349143516,0.00016797481615471455,0.010536966534553131,0.010519810288153401,-1.7156246399729555e-05,0.05308526033443474,0.052992479520397956,-9.278081403678307e-05,0.03959160521838593,0.03945578231293331,-0.00013582290545261638,0.019058423142374874,0.01904761904762297,-1.0804094751903914e-05,0.012592172433354925,0.012698412698415405,0.00010624026506047927,0.003403289846852771,0.003401360544218502,-1.9293026342691137e-06,0.0002268859897902183,0.00022675736961460036,-1.2862017561795537e-07,,,,,,,,,
