beta_name,terrain_label,terrain,seed,episode_index,raw_path,raw_step_rows,settling_steps,policy_steps,decision_time_s,progress_m,progress_integrated_m,progress_reconstruction_error_m,episode_progress_rate_mps,seconds_per_meter,energy_abs_j,energy_j_per_meter,mean_abs_mechanical_power_w,roll_rms_rad,pitch_rms_rad,attitude_rms_norm,max_abs_roll_rad,max_abs_pitch_rad,attitude_peak_max,slip_all_contact_mean_mps,slip_all_contact_rms_mps,policy_contact_time_s,policy_established_contact_time_s,mean_cost_motion,mean_cost_posture,mean_cost_traction,mean_cost_stability,mean_cost_energy,established_slip_fraction_ge_0p002,established_slip_fraction_ge_0p01,established_slip_fraction_ge_0p02,established_slip_fraction_ge_0p05,established_slip_fraction_ge_0p1
balanced,flat,flat,27100,0,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/balanced/flat/episode_0000.jsonl,43,5,38,7.6,1.6899550712802036,1.6899550712802036,0.0,0.22236250937897417,4.497160977328656,170.47358734301676,100.87462692950571,22.430735176712734,0.003175651069185063,0.02823077532443962,0.02840882671164378,0.005850882674493513,0.0443358515329888,0.0443358515329888,0.010536966534553131,0.05308526033443474,19.321999999994258,17.629999999995146,0.22204686327628229,0.01162808929278536,3.936496894482768e-06,0.01162808929278536,0.5133582389660732,0.03959160521838593,0.019058423142374874,0.012592172433354925,0.003403289846852771,0.0002268859897902183
balanced,flat,flat,27101,1,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/balanced/flat/episode_0001.jsonl,43,5,38,7.6,1.6899550712802036,1.6899550712802036,0.0,0.22236250937897417,4.497160977328656,170.47358734301676,100.87462692950571,22.430735176712734,0.003175651069185063,0.02823077532443962,0.02840882671164378,0.005850882674493513,0.0443358515329888,0.0443358515329888,0.010536966534553131,0.05308526033443474,19.321999999994258,17.629999999995146,0.22204686327628229,0.01162808929278536,3.936496894482768e-06,0.01162808929278536,0.5133582389660732,0.03959160521838593,0.019058423142374874,0.012592172433354925,0.003403289846852771,0.0002268859897902183
balanced,flat,flat,27102,2,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/balanced/flat/episode_0002.jsonl,43,5,38,7.6,1.6899550712802036,1.6899550712802036,0.0,0.22236250937897417,4.497160977328656,170.47358734301676,100.87462692950571,22.430735176712734,0.003175651069185063,0.02823077532443962,0.02840882671164378,0.005850882674493513,0.0443358515329888,0.0443358515329888,0.010536966534553131,0.05308526033443474,19.321999999994258,17.629999999995146,0.22204686327628229,0.01162808929278536,3.936496894482768e-06,0.01162808929278536,0.5133582389660732,0.03959160521838593,0.019058423142374874,0.012592172433354925,0.003403289846852771,0.0002268859897902183
balanced,low_friction,low_friction,27200,0,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/balanced/low_friction/episode_0000.jsonl,43,5,38,7.6,1.662632892333754,1.662632892333754,0.0,0.2187674858333887,4.571063182403581,184.28545520621321,110.83953412442177,24.248086211343846,0.002771509294755597,0.02730984377867573,0.027450115318274897,0.009319311355455166,0.0450700771751511,0.0450700771751511,0.04992786636597516,0.1636271415607485,19.127999999994394,17.115999999995623,0.22654064270826413,0.010881810994086328,0.7246374037536754,0.729664496323737,0.5549508180488122,0.2501752745969164,0.158565085300335,0.12491236270159109,0.0849497546155821,0.04919373685441594
balanced,low_friction,low_friction,27201,1,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/balanced/low_friction/episode_0001.jsonl,43,5,38,7.6,1.662632892333754,1.662632892333754,0.0,0.2187674858333887,4.571063182403581,184.28545520621321,110.83953412442177,24.248086211343846,0.002771509294755597,0.02730984377867573,0.027450115318274897,0.009319311355455166,0.0450700771751511,0.0450700771751511,0.04992786636597516,0.1636271415607485,19.127999999994394,17.115999999995623,0.22654064270826413,0.010881810994086328,0.7246374037536754,0.729664496323737,0.5549508180488122,0.2501752745969164,0.158565085300335,0.12491236270159109,0.0849497546155821,0.04919373685441594
balanced,low_friction,low_friction,27202,2,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/balanced/low_friction/episode_0002.jsonl,43,5,38,7.6,1.662632892333754,1.662632892333754,0.0,0.2187674858333887,4.571063182403581,184.28545520621321,110.83953412442177,24.248086211343846,0.002771509294755597,0.02730984377867573,0.027450115318274897,0.009319311355455166,0.0450700771751511,0.0450700771751511,0.04992786636597516,0.1636271415607485,19.127999999994394,17.115999999995623,0.22654064270826413,0.010881810994086328,0.7246374037536754,0.729664496323737,0.5549508180488122,0.2501752745969164,0.158565085300335,0.12491236270159109,0.0849497546155821,0.04919373685441594
balanced,rough,rough_perlin,13,0,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/balanced/rough/episode_0000.jsonl,42,5,37,7.4,1.6576960222024528,1.6576960222024528,0.0,0.2240129759733044,4.464027120103836,243.96151055767638,147.1690269447251,32.96777169698329,0.007729634891569662,0.12798556449204146,0.12821876607542076,0.016174974377194545,0.19091963514420462,0.19091963514420462,0.023005259075340047,0.1109245125614251,18.06999999999439,15.203999999995812,0.21998378003336952,0.23899274819784558,0.034421432716814096,0.24658492002516424,0.7545128185798136,0.115495922125779,0.04775059194949649,0.02670349907919514,0.007761115495923774,0.001841620626151332
balanced,rough,rough_perlin,7,1,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/balanced/rough/episode_0001.jsonl,43,5,38,7.6,1.6923463465796877,1.6923463465796877,0.0,0.2226771508657484,4.490806515675684,224.05490853400696,132.393058304426,29.480909017632495,0.006236973689201847,0.0853062726022695,0.0855339697786354,0.021723286486475462,0.17450859309329703,0.17450859309329703,0.01987493584384057,0.0952561800517198,18.64799999999459,16.239999999995838,0.22165356141781453,0.10617558904453028,0.019446668762442422,0.11744442033014309,0.6747111682778468,0.08251231527095602,0.03448275862069761,0.021428571428576692,0.005541871921183842,0.0001231527093596239
balanced,rough,rough_perlin,15,2,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/balanced/rough/episode_0002.jsonl,42,5,37,7.4,1.657120402228295,1.657120402228295,0.0,0.22393518949031013,4.46557775165243,254.08566304510992,153.3296329605539,34.33590041150134,0.010798483748207096,0.1168020465551531,0.11730015059978587,0.03066822755406528,0.1992052579246728,0.1992052579246728,0.019650831895398797,0.09526244914337614,18.235999999994174,15.869999999995478,0.22008101313711234,0.19905475883840337,0.024568681503173092,0.21364739689398607,0.7858243267417511,0.10825456836801156,0.03805923125394581,0.025582860743546206,0.011594202898553044,0.00239445494644027
motion,flat,flat,27100,0,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/motion/flat/episode_0000.jsonl,43,5,38,7.6,1.7013071379891918,1.7013071379891918,0.0,0.22385620236699894,4.467153420035954,171.0662440332289,100.54988909022944,22.5087163201617,0.0031941105693340842,0.028181990490340196,0.02836242109423589,0.005907732984521106,0.04440185660242956,0.04440185660242956,0.010501259302317796,0.052913953915221565,19.32799999999425,17.63799999999514,0.22017974704125134,0.011587935648062514,3.86879622369049e-06,0.011587935648062514,0.5151429447351058,0.03934686472389971,0.019049778886498985,0.012699852590999415,0.003515137770723137,0.000226783081982172
