name,hold_vx,score,success_rate,goal_rate,startup_failed_rate,out_lane_rate,first_goal_time_mean,final_goal_error_mean,hold_drift_mean,max_abs_y_mean,mean_abs_y_mean,action_table,summary_json,summary_md
rough_clearance,0.025,96.0498353909465,1.0,1.0,0.0,0.0,178.66666666666666,0.03799999999999996,0.07200000000000006,0.4266666666666667,0.16004115226337448,"flat:0.210,0.320,0.045;start_flat:0.210,0.320,0.045;upslope:0.210,0.320,0.045;rough:0.2050,0.320,0.055;downslope:0.2025,0.320,0.045;goal_flat:0.2025,0.320,0.045;unknown:0.2025,0.320,0.045",reports/phase_d4/context_table_rough_clearance_phase_d4_context_meta_repeat_20260718_150627_summary_v0.json,reports/phase_d4/context_table_rough_clearance_phase_d4_context_meta_repeat_20260718_150627_summary_v0.md
conservative_down,0.025,95.42148424656794,1.0,1.0,0.0,0.0,182.66666666666666,0.08000000000000007,0.03133333333333314,0.4066666666666667,0.1471289383580139,"flat:0.210,0.320,0.045;start_flat:0.210,0.320,0.045;upslope:0.210,0.320,0.045;rough:0.210,0.320,0.045;downslope:0.1900,0.320,0.045;goal_flat:0.1900,0.320,0.045;unknown:0.1900,0.320,0.045",reports/phase_d4/context_table_conservative_down_phase_d4_context_meta_repeat_20260718_145118_summary_v0.json,reports/phase_d4/context_table_conservative_down_phase_d4_context_meta_repeat_20260718_145118_summary_v0.md
smooth_all,0.025,95.13061465044142,1.0,1.0,0.0,0.0,185.33333333333334,0.11533333333333336,0.01266666666666616,0.3376666666666666,0.1403463373896445,"flat:0.205,0.320,0.045;start_flat:0.205,0.320,0.045;upslope:0.205,0.320,0.045;rough:0.205,0.320,0.050;downslope:0.1950,0.320,0.045;goal_flat:0.1950,0.320,0.045;unknown:0.1950,0.320,0.045",reports/phase_d4/context_table_smooth_all_phase_d4_context_meta_repeat_20260718_152126_summary_v0.json,reports/phase_d4/context_table_smooth_all_phase_d4_context_meta_repeat_20260718_152126_summary_v0.md
baseline_hold025,0.025,93.50632065034067,1.0,1.0,0.0,0.0,178.66666666666666,0.16733333333333356,0.006666666666666525,0.43799999999999994,0.20991983741482842,"flat:0.210,0.320,0.045;start_flat:0.210,0.320,0.045;upslope:0.210,0.320,0.045;rough:0.210,0.320,0.045;downslope:0.2025,0.320,0.045;goal_flat:0.2025,0.320,0.045;unknown:0.2025,0.320,0.045",reports/phase_d4/context_table_baseline_hold025_phase_d4_context_meta_repeat_20260718_143619_summary_v0.json,reports/phase_d4/context_table_baseline_hold025_phase_d4_context_meta_repeat_20260718_143619_summary_v0.md
aggressive_flat_rough,0.025,91.60377640603566,1.0,1.0,0.0,0.0,175.66666666666666,0.17300000000000004,0.03933333333333344,0.5936666666666667,0.2913058984910836,"flat:0.215,0.320,0.045;start_flat:0.215,0.320,0.045;upslope:0.210,0.320,0.045;rough:0.215,0.320,0.050;downslope:0.2025,0.320,0.045;goal_flat:0.2025,0.320,0.045;unknown:0.2025,0.320,0.045",reports/phase_d4/context_table_aggressive_flat_rough_phase_d4_context_meta_repeat_20260718_153655_summary_v0.json,reports/phase_d4/context_table_aggressive_flat_rough_phase_d4_context_meta_repeat_20260718_153655_summary_v0.md
