label,trial,world,goal_x,lateral_bound,hold_vx,log_dir,success,goal,startup_failed,out_lane,final_x,final_y,max_x,max_abs_y,mean_abs_y,hold_drift,first_goal_seq,final_context
d4_context_meta_v0,1,tracer_mixed_stress_course_v5_lowfric_from_solid,8.0,2.0,0.025,/home/kraken/Tracer/TRACER/logs/phase_d4_context_meta_20260718_185943,True,True,False,False,8.188,0.052,8.188,0.369,0.19743442622950827,0.0,1780,goal_flat
d4_context_meta_v0,2,tracer_mixed_stress_course_v5_lowfric_from_solid,8.0,2.0,0.025,/home/kraken/Tracer/TRACER/logs/phase_d4_context_meta_20260718_190442,True,True,False,False,7.891,-0.586,8.062,0.665,0.2306803278688524,0.17099999999999937,1770,goal_flat
d4_context_meta_v0,3,tracer_mixed_stress_course_v5_lowfric_from_solid,8.0,2.0,0.025,/home/kraken/Tracer/TRACER/logs/phase_d4_context_meta_20260718_190942,True,True,False,False,8.178,-0.316,8.178,0.448,0.2607777777777778,0.0,1750,goal_flat
d4_context_meta_v0,4,tracer_mixed_stress_course_v5_lowfric_from_solid,8.0,2.0,0.025,/home/kraken/Tracer/TRACER/logs/phase_d4_context_meta_20260718_191442,True,True,False,False,8.249,-0.076,8.253,0.399,0.18612295081967214,0.0039999999999995595,1780,goal_flat
d4_context_meta_v0,5,tracer_mixed_stress_course_v5_lowfric_from_solid,8.0,2.0,0.025,/home/kraken/Tracer/TRACER/logs/phase_d4_context_meta_20260718_191941,True,True,False,False,8.104,-0.53,8.128,0.53,0.1680082304526749,0.02400000000000091,1800,goal_flat
