yaw_gain,yaw_sign,yaw_k,yaw_max,score,success_rate,goal_rate,startup_failed_rate,out_lane_rate,first_goal_time_mean,final_goal_error_mean,hold_drift_mean,max_abs_y_mean,mean_abs_y_mean,policy_json,summary_json,summary_md
0.0,1.0,0.0,0.25,86.7658137108793,1.0,1.0,0.0,0.0,180.66666666666666,0.13500000000000037,0.017333333333332607,0.37433333333333335,0.16895479384003967,models/phase_d4/d4_context_meta_policy_rough_clearance_holdvx0025_v0.json,reports/phase_d4/yaw_gain_0p000_phase_d4_context_meta_repeat_20260718_172023_summary_v0.json,reports/phase_d4/yaw_gain_0p000_phase_d4_context_meta_repeat_20260718_172023_summary_v0.md
0.05,1.0,0.05,0.25,-195.96056890992045,0.0,0.3333333333333333,0.0,1.0,188.0,0.351,0.034000000000000696,2.0526666666666666,0.5009945690696537,models/phase_d4/d4_context_meta_policy_rough_clearance_holdvx0025_v0.json,reports/phase_d4/yaw_gain_0p050_phase_d4_context_meta_repeat_20260718_173532_summary_v0.json,reports/phase_d4/yaw_gain_0p050_phase_d4_context_meta_repeat_20260718_173532_summary_v0.md
