group,terrain,seed,beta_name,beta_motion,beta_stability,beta_energy,status,success,m4_terminal,m4_interventions,policy_steps,decision_time_s,energy_abs_j,mean_cost_motion,mean_cost_stability,mean_cost_energy,roll_rms_rad,pitch_rms_rad,mean_applied_vx_mps,slip_speed_mean_mps,slip_speed_rms_mps,slip_speed_max_mps,slip_contact_time_s,slip_contact_samples,slip_physics_steps_with_contact,slip_per_foot_contact_samples,slip_foot_geom_names
flat,flat,27100,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,success,True,False,0,34,6.944,159.0788732879848,0.20300633105026955,0.011336747400073021,0.5354027802927156,0.003733576960778939,0.027874870569716638,0.21831390011836502,0.012179663660440793,0.0643637955109848,1.6032142008523715,21.347999999993633,10674,4189,"{""FL"": 2621, ""FR"": 2823, ""RL"": 2664, ""RR"": 2566}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
flat,flat,27101,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,success,True,False,0,34,6.932000000000001,158.91455865870012,0.20281367986067383,0.011229609796818762,0.5348497558241394,0.003765340612309348,0.0277428427496581,0.21831669868791806,0.012190745880662062,0.06439272244915378,1.6032142008523715,21.327999999993608,10664,4184,"{""FL"": 2616, ""FR"": 2823, ""RL"": 2664, ""RR"": 2561}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
flat,flat,27102,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,success,True,False,0,34,6.942000000000001,158.8864584817657,0.20257416222056193,0.011265534619867793,0.53475518064551,0.0037139048948219124,0.027787183787673607,0.2183120117906262,0.012179582388528372,0.0643542782342714,1.6032142008523715,21.325999999993613,10663,4184,"{""FL"": 2616, ""FR"": 2822, ""RL"": 2664, ""RR"": 2561}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
low_friction,low_friction,27200,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,success,True,False,0,34,6.944000000000002,171.6645694509618,0.204640347366605,0.009685075176232585,0.5777617471265988,0.005201935954195478,0.02576440543800876,0.21891630550517754,0.06955102038958809,0.1988392901932217,1.9591671008150546,21.063999999993783,10532,4188,"{""FL"": 2604, ""FR"": 2740, ""RL"": 2631, ""RR"": 2557}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
low_friction,low_friction,27201,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,success,True,False,0,34,6.938000000000002,172.45608985309408,0.2043588095347901,0.009758709635464137,0.5804257226451633,0.005214454812479343,0.02586216188701756,0.21891227737069133,0.06954806199709156,0.19885724210643801,1.9591671008150546,21.063999999993783,10532,4188,"{""FL"": 2604, ""FR"": 2740, ""RL"": 2631, ""RR"": 2557}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
low_friction,low_friction,27202,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,success,True,False,0,34,6.942000000000003,172.75538171844818,0.20455900068145944,0.009781840720898573,0.5814330323747179,0.005229833439621185,0.025892794298697258,0.21890687420964242,0.0695485058927282,0.19883374156114417,1.9591671008150546,21.063999999993783,10532,4188,"{""FL"": 2604, ""FR"": 2740, ""RL"": 2631, ""RR"": 2557}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
rough,rough_perlin,13,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,success,True,False,0,35,7.138000000000001,233.19396847662827,0.2088183433843911,0.23684016537394129,0.7624235487064782,0.007586780347758166,0.127407884864235,0.21100354479891914,0.027186545813185276,0.134101146061401,2.921035754704823,20.711999999994966,10356,4293,"{""FL"": 2713, ""FR"": 2685, ""RL"": 2458, ""RR"": 2500}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
rough,rough_perlin,7,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,success,True,False,0,36,7.340000000000002,216.64959562687812,0.2125852550639671,0.10137389293409235,0.6886561254725259,0.007019083493324459,0.08330767609418346,0.21132663992337056,0.02355177214507644,0.11699568344506502,2.888623993207324,21.599999999995227,10800,4399,"{""FL"": 2773, ""FR"": 2820, ""RL"": 2653, ""RR"": 2554}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
rough,rough_perlin,15,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,success,True,False,0,35,7.138000000000001,243.93927282271846,0.21035160253529878,0.19347572566564158,0.7975551309038895,0.00944252363965004,0.11515418887343169,0.21047097343419283,0.021254331700583107,0.1031097733643634,1.9498772329543013,20.965999999994615,10483,4289,"{""FL"": 2730, ""FR"": 2688, ""RL"": 2539, ""RR"": 2526}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
