decision_index,pair_index,context_id,group,terrain,seed,mission,primary_metric,constraint_1,constraint_1_budget,constraint_2,constraint_2_budget,selected_beta_name,alternative_beta_name,delta_cost_motion,delta_cost_stability,delta_cost_energy,feasible_choice_count,decision_weight,pair_weight
30,1,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,decision_time_s,7.14,cost_stability,0.011441272882193914,energy,motion,-0.007747021497040374,-0.00024420523001840964,0.012053133075936251,3,0.1111111111111111,0.05555555555555555
31,0,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,decision_time_s,7.14,cost_stability,0.011453654655234728,energy,balanced,-0.0030707498587375093,-8.612867848244513e-05,0.007303564864900691,3,0.1111111111111111,0.05555555555555555
31,1,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,decision_time_s,7.14,cost_stability,0.011453654655234728,energy,motion,-0.007747021497040374,-0.00024420523001840964,0.012053133075936251,3,0.1111111111111111,0.05555555555555555
33,0,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,decision_time_s,7.1640000000000015,cost_stability,0.011355144203711469,balanced,motion,-0.004676271638302865,-0.00015807655153596452,0.00474956821103556,2,0.1111111111111111,0.1111111111111111
34,0,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,decision_time_s,7.1640000000000015,cost_stability,0.011441272882193914,energy,balanced,-0.0030707498587375093,-8.612867848244513e-05,0.007303564864900691,3,0.1111111111111111,0.05555555555555555
34,1,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,decision_time_s,7.1640000000000015,cost_stability,0.011441272882193914,energy,motion,-0.007747021497040374,-0.00024420523001840964,0.012053133075936251,3,0.1111111111111111,0.05555555555555555
35,0,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,decision_time_s,7.1640000000000015,cost_stability,0.011453654655234728,stability,balanced,-0.005154681979987558,-9.851045152325932e-05,0.009607065956556582,4,0.1111111111111111,0.037037037037037035
35,1,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,decision_time_s,7.1640000000000015,cost_stability,0.011453654655234728,stability,motion,-0.009830953618290422,-0.00025658700305922384,0.014356634167592142,4,0.1111111111111111,0.037037037037037035
35,2,flat_train:flat:27100,flat_train,flat,27100,efficient,cost_energy,decision_time_s,7.1640000000000015,cost_stability,0.011453654655234728,stability,energy,-0.0020839321212500483,-1.2381773040814198e-05,0.0023035010916558907,4,0.1111111111111111,0.037037037037037035
38,0,flat_train:flat:27101,flat_train,flat,27101,fast,decision_time_s,cost_stability,0.01134791284137214,cost_energy,0.5394416710116232,balanced,motion,-0.004439191128277148,-0.00023668719049735505,0.002517532624391139,2,0.3333333333333333,0.3333333333333333
