context_id,group,terrain,seed,mission,terrain_flat,terrain_low_friction,terrain_rough_perlin,mission_fast,mission_stable,mission_efficient,budget_time_raw,budget_stability_raw,budget_energy_raw,budget_time_norm,budget_stability_norm,budget_energy_norm,budget_time_active,budget_stability_active,budget_energy_active,selected_source_beta_name,selected_cost_motion,selected_cost_stability,selected_cost_energy,selected_support_class,sample_weight,alt0_beta_name,alt0_dcm,alt0_dcs,alt0_dce,alt1_beta_name,alt1_dcm,alt1_dcs,alt1_dce,alt2_beta_name,alt2_dcm,alt2_dcs,alt2_dce
flat_train:flat:27100,flat_train,flat,27100,fast,1,0,0,1,0,0,,0.011197067652175504,0.5434552248821048,0.0,0.008277977362677665,0.0695830863006189,0,1,1,motion,0.19835416724562394,0.011197067652175504,0.5434552248821048,strict,0.25,balanced,0.004676271638302865,0.00015807655153596452,-0.00474956821103556,stability,0.009830953618290422,0.00025658700305922384,-0.014356634167592142,energy,0.007747021497040374,0.00024420523001840964,-0.012053133075936251
flat_train:flat:27100,flat_train,flat,27100,fast,1,0,0,1,0,0,,0.011441272882193914,0.5314020918061686,0.0,0.009318538571022312,0.027082154496280545,0,1,1,energy,0.2061011887426643,0.011441272882193914,0.5314020918061686,strict,0.25,balanced,-0.0030707498587375093,-8.612867848244513e-05,0.007303564864900691,motion,-0.007747021497040374,-0.00024420523001840964,0.012053133075936251,stability,0.0020839321212500483,1.2381773040814198e-05,-0.0023035010916558907
flat_train:flat:27100,flat_train,flat,27100,fast,1,0,0,1,0,0,,0.011453654655234728,0.5290985907145127,0.0,0.00937129744402363,0.018959706814760918,0,1,1,stability,0.20818512086391436,0.011453654655234728,0.5290985907145127,strict,0.25,balanced,-0.005154681979987558,-9.851045152325932e-05,0.009607065956556582,motion,-0.009830953618290422,-0.00025658700305922384,0.014356634167592142,energy,-0.0020839321212500483,-1.2381773040814198e-05,0.0023035010916558907
flat_train:flat:27100,flat_train,flat,27100,fast,1,0,0,1,0,0,,0.011453654655234728,0.5314020918061686,0.0,0.00937129744402363,0.027082154496280545,0,1,1,energy,0.2061011887426643,0.011441272882193914,0.5314020918061686,strict,0.25,balanced,-0.0030707498587375093,-8.612867848244513e-05,0.007303564864900691,motion,-0.007747021497040374,-0.00024420523001840964,0.012053133075936251,stability,0.0020839321212500483,1.2381773040814198e-05,-0.0023035010916558907
flat_train:flat:27100,flat_train,flat,27100,stable,1,0,0,0,1,0,6.955999999999997,,0.5434552248821048,0.03773584905659886,0.0,0.0695830863006189,1,0,1,motion,0.19835416724562394,0.011197067652175504,0.5434552248821048,strict,0.16666666666666666,balanced,0.004676271638302865,0.00015807655153596452,-0.00474956821103556,stability,0.009830953618290422,0.00025658700305922384,-0.014356634167592142,energy,0.007747021497040374,0.00024420523001840964,-0.012053133075936251
flat_train:flat:27100,flat_train,flat,27100,stable,1,0,0,0,1,0,7.14,,0.5314020918061686,0.21132075471697923,0.0,0.027082154496280545,1,0,1,energy,0.2061011887426643,0.011441272882193914,0.5314020918061686,strict,0.16666666666666666,balanced,-0.0030707498587375093,-8.612867848244513e-05,0.007303564864900691,motion,-0.007747021497040374,-0.00024420523001840964,0.012053133075936251,stability,0.0020839321212500483,1.2381773040814198e-05,-0.0023035010916558907
flat_train:flat:27100,flat_train,flat,27100,stable,1,0,0,0,1,0,7.14,,0.5434552248821048,0.21132075471697923,0.0,0.0695830863006189,1,0,1,motion,0.19835416724562394,0.011197067652175504,0.5434552248821048,strict,0.16666666666666666,balanced,0.004676271638302865,0.00015807655153596452,-0.00474956821103556,stability,0.009830953618290422,0.00025658700305922384,-0.014356634167592142,energy,0.007747021497040374,0.00024420523001840964,-0.012053133075936251
flat_train:flat:27100,flat_train,flat,27100,stable,1,0,0,0,1,0,7.1640000000000015,,0.5290985907145127,0.23396226415094323,0.0,0.018959706814760918,1,0,1,stability,0.20818512086391436,0.011453654655234728,0.5290985907145127,strict,0.16666666666666666,balanced,-0.005154681979987558,-9.851045152325932e-05,0.009607065956556582,motion,-0.009830953618290422,-0.00025658700305922384,0.014356634167592142,energy,-0.0020839321212500483,-1.2381773040814198e-05,0.0023035010916558907
flat_train:flat:27100,flat_train,flat,27100,stable,1,0,0,0,1,0,7.1640000000000015,,0.5314020918061686,0.23396226415094323,0.0,0.027082154496280545,1,0,1,energy,0.2061011887426643,0.011441272882193914,0.5314020918061686,strict,0.16666666666666666,balanced,-0.0030707498587375093,-8.612867848244513e-05,0.007303564864900691,motion,-0.007747021497040374,-0.00024420523001840964,0.012053133075936251,stability,0.0020839321212500483,1.2381773040814198e-05,-0.0023035010916558907
flat_train:flat:27100,flat_train,flat,27100,stable,1,0,0,0,1,0,7.1640000000000015,,0.5434552248821048,0.23396226415094323,0.0,0.0695830863006189,1,0,1,motion,0.19835416724562394,0.011197067652175504,0.5434552248821048,strict,0.16666666666666666,balanced,0.004676271638302865,0.00015807655153596452,-0.00474956821103556,stability,0.009830953618290422,0.00025658700305922384,-0.014356634167592142,energy,0.007747021497040374,0.00024420523001840964,-0.012053133075936251
