sanity_tag,terrain_key_fusion,world_name_fusion,fused_mode,semantic_mode,style,decision,valid_locomotion_candidate,stable_hold_candidate,fallen_relative_z_based,delta_x,delta_y,min_rel_z,ctrl_ema_mean,ctrl_ema_tail3_mean,ctrl_ema_tail5_mean,ctrl_ema_last,ctrl_ema_max,fallen_mean,fallen_tail3_mean,fallen_tail5_mean,sigma_mean,sigma_tail5_mean,zmean_mean,zmax_max,num_gate_samples,v1_mode_last,semantic_last,ram_level_last,action_last,stable_frac,caution_frac,unstable_frac,would_override_mean,ctrl_ema_tail5_mean_gate,fallen_tail5_mean_gate,sigma_tail5_mean_gate
gate_v2_flat_normal,flat_normal,earth,locomotion,validated_locomotion,fast,validated_locomotion,True,False,False,1.0639536036951531,0.0690373339384028,0.3121697849516397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1006,0.1008,0.378,7.18,9,locomotion,validated_locomotion,stable,keep,1.0,0.0,0.0,0.0,0.0,0.0,0.0986
gate_v2_sponge_firm_downslope,sponge_firm_downslope_5deg_forward,tracer_sponge_firm_downslope_5deg,locomotion,validated_locomotion,sponge_tall_10_c080,validated_locomotion,True,False,False,2.3407717322009765,1.4316563553070698,0.1266570357420133,0.3728,0.307,0.3128,0.305,0.491,0.9975,0.9983333333333332,0.9988,1.0165,1.016,0.657,4.81,9,locomotion,validated_locomotion,unstable,would_conservative_probe,0.0,0.0,1.0,1.0,0.317,0.9996,1.0144
gate_v2_slippery_mid_downslope_avoid,slippery_mid_downslope_5deg_forward_postfix,tracer_slippery_mid_downslope_5deg,avoid_required,no_valid_simple_primitive,safe_stop,no_valid_simple_primitive,False,False,True,1.802155801819572,-0.5289985693050957,0.1095421416430889,0.0162857142857142,0.0376666666666666,0.0228,0.113,0.113,0.1094285714285714,0.2553333333333333,0.1532,0.175,0.2057999999999999,0.53,4.27,6,avoid_required,no_valid_simple_primitive,stable,prior_avoid_keep,1.0,0.0,0.0,0.0,0.0006,0.0006,0.1028
