policy,checkpoint,trained_reward_mode,eval_reward_mode,group,terrain,seed,status,settled,settling_steps,success,m4_terminal,m4_interventions,policy_steps,initial_goal_distance_m,final_goal_distance_m,progress_m,decision_time_s,energy_abs_j,energy_bracket_time_s,mean_cost_motion,mean_cost_stability,mean_cost_energy,sum_cost_motion,sum_cost_stability,sum_cost_energy,mean_progress_rate_mps,mean_energy_power_ratio,roll_rms_rad,pitch_rms_rad,max_abs_roll_rad,max_abs_pitch_rad,mean_action_vx_norm,mean_abs_action_yaw_norm,mean_action_height_norm,mean_requested_vx_mps,mean_abs_requested_yaw_rps,mean_requested_height_m,mean_requested_clearance_m,mean_applied_vx_mps,mean_abs_applied_yaw_rps,mean_applied_height_m,mean_applied_clearance_m,beta_name,beta_motion,beta_stability,beta_energy,beta_index,lambda_motion,lambda_stability,lambda_energy,context_id,split_group,raw_log_relpath
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,heldout,rough_perlin,1,success,True,5,True,False,0,38,1.8088555838009333,0.146691054165137,1.6621645296357963,7.6,212.92816580803603,7.6,0.22661767604674404,0.11583835184647781,0.6412044817567282,8.611471689776273,4.401857370166157,24.36577030675567,0.21870585916260485,1.282408963513457,0.010800432436396742,0.08906371664508358,0.02720344439148903,0.16256645321846008,0.06318819816959531,0.018655018212341116,-0.03201268586379133,0.21263763963391907,0.007462007284936446,0.29807923884817245,0.060000000000000005,0.21263763963391907,0.007462007284936446,0.29807923884817245,0.060000000000000005,lm020_ls060_le020,0.26,0.48,0.26,11,0.2,0.6,0.2,rough_seed_1,val,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/11_lm020_ls060_le020/attempt_001/env_logs/episode_0000.jsonl
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,heldout,rough_perlin,21,success,True,5,True,False,0,40,1.800255618426876,0.14115202389831866,1.6591035945285575,8.0,209.18934660235362,8.0,0.2407650633549129,0.0740278188003635,0.5984482549068295,9.630602534196516,2.9611127520145404,23.937930196273182,0.2073879493160697,1.1968965098136592,0.009592914481010083,0.06703646897446752,0.02220163680613041,0.12306907027959824,0.0648905741982162,0.017356222377566156,-0.03445304564666003,0.21297811483964324,0.006942488951026463,0.29793281726120036,0.06,0.21297811483964324,0.006942488951026463,0.29793281726120036,0.06,lm020_ls060_le020,0.26,0.48,0.26,11,0.2,0.6,0.2,rough_seed_21,val,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/11_lm020_ls060_le020/attempt_001/env_logs/episode_0001.jsonl
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,heldout,rough_perlin,16,success,True,5,True,False,0,38,1.809161203944109,0.12114080634534775,1.688020397598761,7.6,214.03001327214605,7.6,0.22236506618441426,0.06330656210895831,0.6445225469338667,8.449872515007742,2.4056493601404156,24.491856783486934,0.22210794705246859,1.2890450938677338,0.006172135040884685,0.060870549079940155,0.016503416001796722,0.12960922718048096,0.06767700847826506,0.017426666184818668,-0.03438651975930521,0.21353540169565305,0.006970666473927467,0.2979368088144416,0.060000000000000005,0.21353540169565305,0.006970666473927467,0.2979368088144416,0.060000000000000005,lm020_ls060_le020,0.26,0.48,0.26,11,0.2,0.6,0.2,rough_seed_16,val,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/11_lm020_ls060_le020/attempt_001/env_logs/episode_0002.jsonl
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,heldout,rough_perlin,14,success,True,5,True,False,0,38,1.8080373010952755,0.12674857332859416,1.6812887277666813,7.6,219.71998833482337,7.6,0.22347224872258528,0.09195845649648172,0.6616571401776838,8.49194545145824,3.4944213468663055,25.142971326751987,0.2212222010219318,1.323314280355368,0.00855528806516603,0.07006390435569847,0.019984398037195206,0.14907175302505493,0.0685048338614012,0.017577870895988064,-0.03352588451908607,0.21370096677228023,0.007031148358395228,0.2979884469288548,0.060000000000000005,0.21370096677228023,0.007031148358395228,0.2979884469288548,0.060000000000000005,lm020_ls060_le020,0.26,0.48,0.26,11,0.2,0.6,0.2,rough_seed_14,val,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/11_lm020_ls060_le020/attempt_001/env_logs/episode_0003.jsonl
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,heldout,rough_perlin,27,success,True,5,True,False,0,38,1.803073794056723,0.11383210535677007,1.6892416886999528,7.6,224.11395910316165,7.6,0.22216419593750772,0.17301888192777395,0.6748889911104845,8.442239445625294,6.57471751325541,25.64578166219841,0.22226864324999382,1.3497779822209686,0.010719623837191737,0.1053331902178672,0.025734221562743187,0.21353138983249664,0.06468988925610718,0.018767330654602694,-0.03148244774753326,0.21293797785122143,0.007506932261841081,0.29811105313514796,0.060000000000000005,0.21293797785122143,0.007506932261841081,0.29811105313514796,0.060000000000000005,lm020_ls060_le020,0.26,0.48,0.26,11,0.2,0.6,0.2,rough_seed_27,test,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/11_lm020_ls060_le020/attempt_001/env_logs/episode_0004.jsonl
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,heldout,rough_perlin,2,success,True,5,True,False,0,42,1.8266702729970166,0.10708930247180401,1.7195809705252125,8.4,242.44067237611745,8.4,0.24410997462422437,0.1543845058730455,0.6605462360772487,10.252618934217423,6.484149246667911,27.742941915244447,0.20471202030062052,1.3210924721544974,0.012374409066374157,0.09806920204727003,0.03379607945680618,0.2075393944978714,0.06933428347110748,0.017910368710761845,-0.03317852225154638,0.2138668566942215,0.00716414748430474,0.2980092886649072,0.06,0.2138668566942215,0.00716414748430474,0.2980092886649072,0.06,lm020_ls060_le020,0.26,0.48,0.26,11,0.2,0.6,0.2,rough_seed_2,test,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/11_lm020_ls060_le020/attempt_001/env_logs/episode_0005.jsonl
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,heldout,rough_perlin,3,success,True,5,True,False,0,37,1.8074238039438935,0.14430290170799454,1.663120902235899,7.4,207.52729979159935,7.4,0.21906741516285494,0.09595771366213916,0.6418307852746267,8.105494361025633,3.550435405499149,23.747739055161187,0.22474606786971604,1.2836615705492536,0.00616409142440591,0.0808560025480624,0.014068945311009884,0.11342458426952362,0.06614372768514865,0.01900615466670511,-0.032069099815310656,0.21322874553702972,0.0076024618666820434,0.2980758540110814,0.060000000000000005,0.21322874553702972,0.0076024618666820434,0.2980758540110814,0.060000000000000005,lm020_ls060_le020,0.26,0.48,0.26,11,0.2,0.6,0.2,rough_seed_3,test,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/11_lm020_ls060_le020/attempt_001/env_logs/episode_0006.jsonl
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,heldout,rough_perlin,19,success,True,5,True,False,0,38,1.7965344035659587,0.1079941666234759,1.688540236942483,7.6,230.47770269487825,7.6,0.22227956629235476,0.1469948721588502,0.6940525474970924,8.446623519109481,5.585805142036308,26.37399680488951,0.22217634696611616,1.3881050949941853,0.008398383016095854,0.0954995221008769,0.01447154488414526,0.16533805429935455,0.06366366157798391,0.018626563226510035,-0.03246865492608202,0.21273273231559675,0.007450625290604015,0.29805188070443506,0.060000000000000005,0.21273273231559675,0.007450625290604015,0.29805188070443506,0.060000000000000005,lm020_ls060_le020,0.26,0.48,0.26,11,0.2,0.6,0.2,rough_seed_19,test,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/11_lm020_ls060_le020/attempt_001/env_logs/episode_0007.jsonl
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,heldout,rough_perlin,26,success,True,5,True,False,0,38,1.8005473980706206,0.13049837969406378,1.6700490183765568,7.6,201.07358616635935,7.6,0.2253208851354348,0.06728181851651222,0.6055060124314536,8.562193635146523,2.556709103627464,23.009228472395236,0.21974329189165223,1.2110120248629073,0.005824728396143303,0.06260420744432708,0.01775643788278103,0.13830290734767914,0.06568669116026477,0.01767772183551355,-0.03287388563254162,0.21313733823205294,0.007071088734205422,0.29802756686204757,0.060000000000000005,0.21313733823205294,0.007071088734205422,0.29802756686204757,0.060000000000000005,lm020_ls060_le020,0.26,0.48,0.26,11,0.2,0.6,0.2,rough_seed_26,test,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/11_lm020_ls060_le020/attempt_001/env_logs/episode_0008.jsonl
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,heldout,rough_perlin,9,m4,True,5,False,True,1,7,1.8015570656417474,1.5156389109829433,0.2859181546588041,1.3499999999999628,55.47318419710469,1.3499999999999628,0.2404980416114482,0.4398486037255464,0.906842964890912,1.6834862912801374,3.078940226078825,6.347900754236384,0.20760156671084146,1.9310472144230288,0.007994635906098484,0.1736281859116255,0.014041910879313946,0.26184892654418945,0.06724384214196887,0.0338095777801105,-0.018973878983940397,0.21344876842839375,0.013523831112044202,0.2988615672609635,0.06,0.21344876842839375,0.013523831112044202,0.2988615672609635,0.06,lm020_ls060_le020,0.26,0.48,0.26,11,0.2,0.6,0.2,rough_seed_9,hard,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/11_lm020_ls060_le020/attempt_001/env_logs/episode_0009.jsonl
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,heldout,rough_perlin,23,m4,True,5,False,True,1,2,1.8378811254080718,1.8086312577285126,0.02924986767955917,0.22000000000000086,9.242828231733412,0.22000000000000086,0.3859098364850121,0.9634480530795639,0.5288371052851889,0.7718196729700242,1.9268961061591279,1.0576742105703778,0.09127213081199036,2.6268359935219436,0.025127647286697936,0.25697020976414553,0.028238827362656593,0.2629937529563904,0.06145135313272476,0.03869306109845638,-0.011689663399010897,0.21229027062654499,0.015477224439382554,0.29929862019605935,0.06,0.21229027062654499,0.015477224439382554,0.29929862019605935,0.06,lm020_ls060_le020,0.26,0.48,0.26,11,0.2,0.6,0.2,rough_seed_23,hard,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/11_lm020_ls060_le020/attempt_001/env_logs/episode_0010.jsonl
