t_wall,context,x,y,action_id,hold_override,emp_age_s,proj_age_s,theta_age_s,emp_seq,emp_vx,emp_yaw_rate,emp_body_h,emp_clearance,emp_enable,proj_seq,proj_vx,proj_yaw_rate,proj_body_h,proj_clearance,proj_enable,out_seq,out_vx,out_yaw_rate,out_body_h,out_clearance,out_enable,delta_vx,delta_yaw_rate,delta_body_h,delta_clearance,j7_accept,j7_reason,j7_source
1785198591.570626,flat,0.000000,0.000000,1,0,0.003618,0.003559,0.003507,5100001,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100001,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100001,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785198591.620450,flat,0.000000,0.000000,1,0,0.002403,0.002290,0.002218,5100003,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100003,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100003,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785198591.670491,flat,0.000000,0.000000,1,0,0.003425,0.003365,0.003312,5100005,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100005,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100005,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785198591.720413,flat,0.000000,0.000000,1,0,0.003364,0.003304,0.003252,5100007,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100007,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100007,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785198591.770414,flat,0.000000,0.000000,1,0,0.003364,0.003304,0.003252,5100009,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100009,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100009,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785198591.820526,flat,0.000000,0.000000,1,0,0.003303,0.003217,0.003147,5100011,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100011,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100011,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785198591.870438,flat,0.000000,0.000000,1,0,0.003494,0.003434,0.003384,5100013,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100013,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100013,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785198591.920503,flat,0.000000,0.000000,1,0,0.003441,0.003382,0.003330,5100015,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100015,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100015,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785198591.970365,flat,0.000000,0.000000,1,0,0.002604,0.002522,0.002465,5100017,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100017,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100017,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785198592.020449,flat,0.000000,0.000000,1,0,0.003170,0.003093,0.003020,5100019,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100019,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100019,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785198592.070534,flat,0.000000,0.000000,1,0,0.002918,0.002838,0.002777,5100021,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100021,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100021,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785198592.120415,flat,0.000000,0.000000,1,0,0.003003,0.002924,0.002868,5100023,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100023,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100023,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785198592.170377,flat,0.000000,0.000000,1,0,0.003319,0.003232,0.003162,5100025,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100025,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100025,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785198592.220420,flat,0.000000,0.000000,1,0,0.003285,0.003225,0.003173,5100027,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100027,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100027,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785198592.270422,flat,0.000000,0.000000,1,0,0.003362,0.003299,0.003234,5100029,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100029,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100029,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785198592.320428,flat,0.000000,0.000000,1,0,0.002953,0.002892,0.002836,5100031,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100031,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100031,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
