fold,held_context,pca_rank,k95,k95_explained_variance,feature_dim,train_regret_mae,train_regret_abs_error_p95,held_regret_mae,held_regret_abs_error_p95,predicted_pareto_count,negative_prediction_fraction,selector_exact,selector_score_excess_mean,selector_score_excess_p95,selector_physical_linf_mean_iqr,selector_physical_linf_p95_iqr
1,rough_seed_13,16,6,0.9551316101869018,38,2.7719806256760218,12.132933100711227,2.6952670622382544,8.601370979396863,6,0.0,0.0,0.19434929202951395,0.6466385486053151,0.2022773902138754,0.4291815354346628
2,rough_seed_7,16,6,0.9617853073716038,38,2.74146360219898,12.517874899693929,4.671452254608417,14.297166324500218,15,0.7142857142857143,0.0,0.24818389507591251,0.6452773551802705,0.2308920521239908,0.6632268704418293
3,rough_seed_15,16,6,0.9606309127785133,38,2.750546864929983,12.162948317220653,2.4148690899692786,9.181252617599277,10,0.19047619047619047,0.0,0.44942047465940044,0.9564415772897146,0.181442869111003,0.29788901004930973
4,rough_seed_0,16,6,0.9627390765219628,38,2.7892799244919915,12.999175399043992,4.958355952636411,25.055083296163524,7,0.4603174603174603,0.04,0.4945523546357356,1.1825189616002552,0.3740183881265229,0.7161771081708271
5,rough_seed_5,16,6,0.9631899341097631,38,2.6994954777075852,12.19060829222903,4.011842586571934,16.422856965499435,5,0.0,0.0,0.24024849088209674,0.6579949619661515,0.29984925693990644,0.7442325560769619
6,rough_seed_11,16,6,0.9624515578724525,38,2.6479503923496783,11.206962062684358,4.436666611629733,13.406470589860062,3,0.015873015873015872,0.28,0.08177206341034428,0.3160181978425532,0.022370479880526713,0.08996261779655143
7,rough_seed_4,16,6,0.9632155007360184,38,1.2295298041776308,4.162240746747084,16.704387049671894,96.00921860498661,1,0.015873015873015872,0.4,0.23496638855006757,0.7483022986806612,0.0048140207510361695,0.010820391820501905
8,rough_seed_25,16,6,0.9609919383363333,38,2.803171810632855,12.15393134750043,0.6362965638688354,1.7884739461434733,7,0.1746031746031746,0.16,0.3113886286226988,1.0174032598542015,0.09015977655643692,0.33065718613066863
9,rough_seed_12,16,6,0.9627202199121234,38,2.780048089208917,12.179958105567225,1.1977899372729115,3.678288009257312,18,0.25396825396825395,0.52,0.651656664104041,2.4839212262200294,0.13393949347544587,0.47900295048354413
10,rough_seed_6,16,6,0.9614045923216937,38,2.7209221728262225,11.948001585898854,3.110361336110447,12.654845396025731,6,0.0,0.2,0.12789500375988833,0.41582186708603824,0.0895683610976837,0.32133724150036236
11,rough_seed_29,16,6,0.9635856524448488,38,2.82099375713437,12.730339215238695,5.986421372449517,25.212362978029574,1,0.07936507936507936,0.0,0.24194756735566655,0.49521454374891666,0.036442701771345606,0.06518757222731082
12,rough_seed_18,16,6,0.9599784118002878,38,2.237995938957479,11.090648199475018,9.880892352155778,32.49344219743622,4,0.0,0.4,0.5773969151728893,2.3134691509403575,0.03505926895416481,0.07105533486145907
13,rough_seed_10,16,6,0.9564119834404229,38,2.764055703115796,12.477103675389678,3.342380907166275,15.562367494251154,18,0.4126984126984127,0.04,0.438489004402059,0.9912661737005554,0.19403262554415587,0.6325581978920192
14,rough_seed_8,16,5,0.950098672927222,34,2.737711249174111,11.336242436031473,2.4554621261566476,6.68742459681543,1,0.5555555555555556,0.0,2.9079960879737246,5.3980199622671945,0.39926432412300805,0.42262599433994713
15,rough_seed_22,16,6,0.9653679046520501,38,2.7095586385820316,12.642015829061961,3.5980155709329593,16.308449910432405,2,0.15873015873015872,0.04,0.35240187250339644,0.81,0.19517400983678193,0.28591302334889646
16,rough_seed_20,16,6,0.9613761377437539,38,2.7389171730861928,11.576196711694692,2.400840294495888,6.418478199934152,1,0.7777777777777778,0.04,0.3966803138366196,0.9242063326623821,0.6025033930041447,0.7488985787899766
17,rough_seed_28,16,6,0.960597481309616,38,2.6900755913442955,12.045026244381347,2.8205470717286616,9.18355441809714,4,0.0,0.0,0.3519087542763101,0.7481839083604952,0.03748296303899324,0.15692856326400179
18,rough_seed_17,16,6,0.9630870391133157,38,2.811713493918142,12.273718738213454,0.392350695841896,1.0440288872304826,4,0.06349206349206349,0.12,0.1907861553294315,0.4194304632841612,0.04314211248558245,0.12484463433990052
