context_a,context_b,context_distance,response_distance
rough_seed_13,rough_seed_7,4.419710033548107,1.4341820472767308
rough_seed_13,rough_seed_15,4.555518843068834,0.4713227921855785
rough_seed_13,rough_seed_0,6.260671320502494,1.2651096826415424
rough_seed_13,rough_seed_5,4.881307571161473,1.780282784227827
rough_seed_13,rough_seed_11,5.647985560247085,1.7100794337514933
rough_seed_13,rough_seed_4,5.789424497105028,2.568066956054809
rough_seed_13,rough_seed_25,7.466975308861508,2.6763336590434483
rough_seed_13,rough_seed_12,6.81329589898172,1.350734802911964
rough_seed_13,rough_seed_6,6.7558051673660495,2.7127648720130764
rough_seed_13,rough_seed_29,4.504007287079442,1.3822889061663162
rough_seed_13,rough_seed_18,2.7894459168966264,3.5471231903110105
rough_seed_13,rough_seed_10,4.172001884966706,2.6302301513803665
rough_seed_13,rough_seed_8,4.159824727168548,1.458867578597186
rough_seed_13,rough_seed_22,5.668155897834834,1.6799067831950012
rough_seed_13,rough_seed_20,5.040157492623344,2.4807798881244887
rough_seed_13,rough_seed_28,4.932038866449795,2.622296686036589
rough_seed_13,rough_seed_17,4.375765272963761,2.557129146041477
rough_seed_7,rough_seed_15,3.752866343012077,1.4880700806894134
rough_seed_7,rough_seed_0,4.757388969621591,0.3747533706272079
rough_seed_7,rough_seed_5,3.1877729533431594,0.6739601373323555
rough_seed_7,rough_seed_11,4.897258888474452,0.39299560940917816
rough_seed_7,rough_seed_4,4.763839805544842,1.2784333543425932
rough_seed_7,rough_seed_25,6.443280602328676,1.317326168662141
rough_seed_7,rough_seed_12,5.67959398133111,0.16234466306872222
rough_seed_7,rough_seed_6,6.173789689024474,1.4162155067798254
rough_seed_7,rough_seed_29,5.07106428244176,0.25108880716712934
rough_seed_7,rough_seed_18,3.7852719119956855,2.3689751445279503
rough_seed_7,rough_seed_10,2.7432757316987444,1.2396564753171262
rough_seed_7,rough_seed_8,3.288396549731771,0.23847674845050987
rough_seed_7,rough_seed_22,3.7937520842065826,0.27377433832313924
rough_seed_7,rough_seed_20,2.7496215308299696,1.2277577142291805
rough_seed_7,rough_seed_28,3.11644990133173,1.4368689923894433
rough_seed_7,rough_seed_17,2.8409141974960113,1.142708647097909
rough_seed_15,rough_seed_0,4.5782747511121595,1.3615413399285008
rough_seed_15,rough_seed_5,5.460628846863846,1.7862550397471537
rough_seed_15,rough_seed_11,5.819200701458053,1.8139362622802158
rough_seed_15,rough_seed_4,5.55870701857189,2.577222798960801
rough_seed_15,rough_seed_25,7.577859451025147,2.754390472317289
rough_seed_15,rough_seed_12,6.7396219671435125,1.4195028235992113
rough_seed_15,rough_seed_6,6.9448491257816825,2.7345294682323544
rough_seed_15,rough_seed_29,5.076736321145686,1.4360339293334117
rough_seed_15,rough_seed_18,3.238629744763528,3.498371685000848
rough_seed_15,rough_seed_10,5.43595902498225,2.642482807366001
rough_seed_15,rough_seed_8,2.977576856886841,1.5513403611215224
rough_seed_15,rough_seed_22,4.013236847273451,1.7211484012829148
rough_seed_15,rough_seed_20,4.076315070180068,2.46959335741237
rough_seed_15,rough_seed_28,4.862234909558706,2.664502597408887
rough_seed_15,rough_seed_17,4.502174073542243,2.591363420568395
rough_seed_0,rough_seed_5,4.909799641233474,0.6254627059268777
rough_seed_0,rough_seed_11,4.762255737162122,0.5127574568496213
rough_seed_0,rough_seed_4,4.227434560875296,1.3413734512213333
rough_seed_0,rough_seed_25,5.6809383403667635,1.428192794080428
rough_seed_0,rough_seed_12,6.118195441239615,0.27768189611810135
rough_seed_0,rough_seed_6,5.578396967171732,1.4779148556661192
rough_seed_0,rough_seed_29,4.637247417683333,0.48638247876692364
rough_seed_0,rough_seed_18,4.6925165627592715,2.3975114390569785
rough_seed_0,rough_seed_10,6.429438267495422,1.3920245219388527
rough_seed_0,rough_seed_8,4.428431057205024,0.4367846270789356
rough_seed_0,rough_seed_22,5.620265609673911,0.579001291954227
rough_seed_0,rough_seed_20,4.588329685106413,1.2791574584011105
rough_seed_0,rough_seed_28,5.2258225866271095,1.4208136130457898
rough_seed_0,rough_seed_17,3.8716180656675303,1.322736112472435
rough_seed_5,rough_seed_11,2.772376417513791,0.6411783496001223
rough_seed_5,rough_seed_4,2.6080595898019294,0.818907361710852
rough_seed_5,rough_seed_25,3.631368577479751,1.1025331843962476
rough_seed_5,rough_seed_12,3.2516001008854336,0.689152876769412
rough_seed_5,rough_seed_6,3.560965711501771,0.9775899210907028
rough_seed_5,rough_seed_29,4.957846235697881,0.8737748117439709
rough_seed_5,rough_seed_18,3.70633536975058,1.8020662039491888
rough_seed_5,rough_seed_10,4.09578176269405,0.9776519417093453
rough_seed_5,rough_seed_8,3.5207681589731825,0.8098623301252443
rough_seed_5,rough_seed_22,3.7156976819897327,0.709128399828954
rough_seed_5,rough_seed_20,2.2078173972795465,0.7203372510831788
rough_seed_5,rough_seed_28,3.692889168062691,0.916361243014295
rough_seed_5,rough_seed_17,2.5048703811455613,0.9916882943030955
rough_seed_11,rough_seed_4,2.2141056721857946,1.0615316144729752
rough_seed_11,rough_seed_25,2.7002349187925634,0.9965342033356789
rough_seed_11,rough_seed_12,3.6825081199955934,0.40642402276124107
rough_seed_11,rough_seed_6,3.27517160220799,1.1705144121541777
rough_seed_11,rough_seed_29,4.9389254478006634,0.5024219076603029
rough_seed_11,rough_seed_18,3.9280987828132,2.1860564878126407
rough_seed_11,rough_seed_10,5.778703317949375,1.0027106220116253
rough_seed_11,rough_seed_8,3.47057077976104,0.3420779819311569
rough_seed_11,rough_seed_22,4.526257121585559,0.31521414872701464
rough_seed_11,rough_seed_20,3.3806305576366293,1.0533442960202686
rough_seed_11,rough_seed_28,4.9262120601554855,1.1907572204971208
rough_seed_11,rough_seed_17,3.590525175638641,0.8864208403850359
rough_seed_4,rough_seed_25,2.341166986389621,0.577964262557123
rough_seed_4,rough_seed_12,2.569603549354317,1.330102828701186
rough_seed_4,rough_seed_6,1.9971358022745067,0.18839727875211712
rough_seed_4,rough_seed_29,5.1823933909961255,1.4491208819677475
rough_seed_4,rough_seed_18,3.945644372283177,1.1356395802017556
rough_seed_4,rough_seed_10,6.245561424602355,0.41051128467110776
rough_seed_4,rough_seed_8,3.6160762251646883,1.3531087508046185
rough_seed_4,rough_seed_22,3.655505861570777,1.151762673532205
rough_seed_4,rough_seed_20,2.9200098909984633,0.1825400592726643
rough_seed_4,rough_seed_28,4.7809803379162314,0.3588699358246884
rough_seed_4,rough_seed_17,3.735343726817537,0.5694468868444912
rough_seed_25,rough_seed_12,2.7328317238898814,1.366595522224397
rough_seed_25,rough_seed_6,1.94864434510453,0.5104329406521663
rough_seed_25,rough_seed_29,6.35504479463888,1.4396386408416593
rough_seed_25,rough_seed_18,5.663835140922923,1.5002383995647612
rough_seed_25,rough_seed_10,7.49659062176791,0.40252043370005963
rough_seed_25,rough_seed_8,5.412011405935646,1.3090219651181587
rough_seed_25,rough_seed_22,5.368654679412908,1.1316068116654197
rough_seed_25,rough_seed_20,4.527197013403062,0.720636304431529
rough_seed_25,rough_seed_28,6.276768606468061,0.6940606644413542
rough_seed_25,rough_seed_17,4.898787341361818,0.35973563079332443
rough_seed_12,rough_seed_6,2.7568530067836803,1.4643316781498932
rough_seed_12,rough_seed_29,6.001110443299056,0.23988767946923825
rough_seed_12,rough_seed_18,4.861528603871672,2.417003144713586
rough_seed_12,rough_seed_10,6.737913393167197,1.3072508257114555
rough_seed_12,rough_seed_8,4.5580784000396815,0.20669200120576783
rough_seed_12,rough_seed_22,3.649382605489318,0.3598432092742129
rough_seed_12,rough_seed_20,3.292067969549761,1.2773798073902893
rough_seed_12,rough_seed_28,5.060788623076494,1.461974275177087
rough_seed_12,rough_seed_17,4.708788074408982,1.2158637563984633
rough_seed_6,rough_seed_29,6.507480532265895,1.5791310310260551
rough_seed_6,rough_seed_18,5.161230911458086,1.0626282745323536
rough_seed_6,rough_seed_10,7.498311180672946,0.4184978157245382
