packet_index,sim_time,wall_elapsed,command,expected_delta,leg,leg_index,phase,swing,shape,bump,target_z,actual_z,tracking_error,base_z,roll_deg,pitch_deg,yaw_deg,base_vz
1,46.3225,1.0967254638671875e-05,0.05,0.005,FL,0,0.0,0,0.0,0.0,-0.3213641065426557,-0.3213641065426557,0.0,0.32571780006289736,0.0444388822714009,-0.214309662014968,-0.024032286030453705,-0.083159226369125
1,46.3225,1.0967254638671875e-05,0.05,0.005,FR,1,0.10000000149011612,1,0.12960000343322756,0.0006480000171661383,0.0017830003148913468,-0.3212087097483374,-0.32299171006322874,0.32571780006289736,0.0444388822714009,-0.214309662014968,-0.024032286030453705,-0.083159226369125
1,46.3225,1.0967254638671875e-05,0.05,0.005,RL,2,0.10000000149011612,1,0.12960000343322756,0.0006480000171661383,0.0017830003148913468,-0.3217391385702621,-0.32352213888515347,0.32571780006289736,0.0444388822714009,-0.214309662014968,-0.024032286030453705,-0.083159226369125
1,46.3225,1.0967254638671875e-05,0.05,0.005,RR,3,0.0,0,0.0,0.0,-0.3216060920660319,-0.3216060920660319,0.0,0.32571780006289736,0.0444388822714009,-0.214309662014968,-0.024032286030453705,-0.083159226369125
2,46.34025,0.07083392143249512,0.05,0.005,FL,0,0.0,0,0.0,0.0,-0.32285422429166477,-0.32285422429166477,0.0,0.3248773946364752,0.2820180790790747,-0.713409647425482,-0.2287366218198316,0.081556967742598
2,46.34025,0.07083392143249512,0.05,0.005,FR,1,0.20000000298023224,1,0.40960000915527345,0.002048000045776369,0.0002080007324218973,-0.2731351239186784,-0.2733431246511003,0.3248773946364752,0.2820180790790747,-0.713409647425482,-0.2287366218198316,0.081556967742598
2,46.34025,0.07083392143249512,0.05,0.005,RL,2,0.20000000298023224,1,0.40960000915527345,0.002048000045776369,0.0002080007324218973,-0.2854434595121991,-0.285651460244621,0.3248773946364752,0.2820180790790747,-0.713409647425482,-0.2287366218198316,0.081556967742598
2,46.34025,0.07083392143249512,0.05,0.005,RR,3,0.0,0,0.0,0.0,-0.32282698891701117,-0.32282698891701117,0.0,0.3248773946364752,0.2820180790790747,-0.713409647425482,-0.2287366218198316,0.081556967742598
3,46.3605,0.15189504623413086,0.05,0.005,FL,0,0.0,0,0.0,0.0,-0.3245136149922946,-0.3245136149922946,0.0,0.3286990168551893,0.10360793863651255,-0.4898031758087508,-0.38519524922017245,0.1874213329853936
3,46.3605,0.15189504623413086,0.05,0.005,FR,1,0.30000001192092896,1,0.7056000320434566,0.003528000160217286,-0.012537000816106826,-0.20028184836211702,-0.1877448475460102,0.3286990168551893,0.10360793863651255,-0.4898031758087508,-0.38519524922017245,0.1874213329853936
3,46.3605,0.15189504623413086,0.05,0.005,RL,2,0.30000001192092896,1,0.7056000320434566,0.003528000160217286,-0.012537000816106826,-0.22419144079084566,-0.21165443997473884,0.3286990168551893,0.10360793863651255,-0.4898031758087508,-0.38519524922017245,0.1874213329853936
