posterior_id,context_id,terrain,seed,mission,unique_signature_count,expressible_signature_count,posterior_mean_motion,posterior_mean_stability,posterior_mean_energy,posterior_std_motion,posterior_std_stability,posterior_std_energy,posterior_map_motion,posterior_map_stability,posterior_map_energy,posterior_entropy_nats,posterior_entropy_normalized,posterior_information_gain_nats,posterior_effective_fraction,source_balanced_count,source_motion_count,source_stability_count,source_energy_count
0,flat_train:flat:27100,flat,27100,efficient,3,3,0.1521961888755205,0.2587844997418388,0.589019311382641,0.12158923748307734,0.20039797187713218,0.19584681819405414,0.0,0.0,1.0,7.85458563121581,0.9189932279630701,0.6923605183497745,0.5003934858550195,1,0,1,1
1,flat_train:flat:27100,flat,27100,fast,6,4,0.33614649432453186,0.5377120934736397,0.1261414122018278,0.19756884181021073,0.2509621019892718,0.09754261577941141,0.09,0.91,0.0,7.732488331554764,0.9047077396115082,0.8144578180108208,0.44287938350352646,5,0,0,1
2,flat_train:flat:27100,flat,27100,stable,6,6,0.7097789999064664,0.21298147126583186,0.07723952882770195,0.171603496337662,0.17582074062012995,0.06677364397979839,1.0,0.0,0.0,7.09431476376202,0.8300408870743384,1.4526313858035653,0.2339538545606852,2,3,0,1
3,flat_train:flat:27101,flat,27101,efficient,2,2,0.14679765527981473,0.29362143711884686,0.5595809076013395,0.12238775400606917,0.22517118969725883,0.22444757917923286,0.0,0.0,1.0,7.971077682479114,0.9326228974642902,0.5758684670864707,0.5622163902934579,1,0,0,1
4,flat_train:flat:27101,flat,27101,fast,3,2,0.27015535808408353,0.44659071860378013,0.28325392331213894,0.1812843081438148,0.2546021845786129,0.1868383564500524,0.0,1.0,0.0,8.344601475101786,0.9763255002520306,0.20234467446379867,0.8168133447161366,3,0,0,0
5,flat_train:flat:27101,flat,27101,stable,3,3,0.5664801289159723,0.2808094757428854,0.15271039534114203,0.21677110549917653,0.21775309718441083,0.1249623148222745,1.0,0.0,0.0,7.962834635861267,0.9316584539690814,0.5841115137043182,0.5576010626926595,1,2,0,0
6,flat_train:flat:27102,flat,27102,efficient,4,4,0.14200179413094882,0.23722327838646798,0.6207749274825819,0.11250728210178676,0.18535159054292305,0.1798433477796989,0.0,0.0,1.0,7.697186016659263,0.9005773386147387,0.8497601329063222,0.4275174670231511,1,0,2,1
7,flat_train:flat:27102,flat,27102,fast,6,6,0.704430349743386,0.21402239324126004,0.0815472570153534,0.16953344420878352,0.17510844271011128,0.06931423823624205,1.0,0.0,0.0,7.134538608450542,0.8347471112606892,1.4124075411150425,0.24355620515206775,2,3,0,1
8,flat_train:flat:27102,flat,27102,stable,6,6,0.6515365851317825,0.2504179777999429,0.098045437068274,0.1829019272334614,0.1948927762200724,0.07870127649735587,0.92,0.0,0.08,7.402711846902461,0.866123609223713,1.1442343026631239,0.3184676743067497,2,3,1,0
9,flat_train:flat:27103,flat,27103,efficient,3,3,0.15428808288044765,0.25892564458337347,0.5867862725361788,0.12148100630962261,0.19835825608999855,0.19207331699904243,0.0,0.0,1.0,7.85124357620748,0.9186022046724297,0.6957025733581048,0.49872393471932974,1,0,1,1
10,flat_train:flat:27103,flat,27103,fast,6,6,0.7084774065825015,0.2218322461106936,0.06969034730680522,0.17511761204684567,0.17996037508471893,0.06073350787314696,1.0,0.0,0.0,7.034600205272094,0.8230542327249413,1.5123459442934912,0.220392342866154,2,3,0,1
11,flat_train:flat:27103,flat,27103,stable,6,6,0.7084774065825015,0.2218322461106936,0.06969034730680522,0.17511761204684567,0.17996037508471893,0.06073350787314696,1.0,0.0,0.0,7.034600205272094,0.8230542327249413,1.5123459442934912,0.220392342866154,2,3,0,1
12,flat_train:flat:27104,flat,27104,efficient,2,2,0.1972881474562824,0.28855131417030916,0.5141605383734079,0.15192861368912472,0.2164650973689724,0.21071468584008174,0.0,0.0,1.0,8.157741780771019,0.9544627564063513,0.3892043687945659,0.6775957764305376,1,0,0,1
13,flat_train:flat:27104,flat,27104,fast,3,3,0.35813569578206245,0.39045869823134177,0.2514056059865951,0.20069423380002183,0.25257621353756854,0.14465502699509641,0.64,0.0,0.36,8.250358920812474,0.9652990409015054,0.2965872287531113,0.7433507828740832,3,0,0,0
14,flat_train:flat:27104,flat,27104,stable,3,3,0.6223734602135483,0.2849873806186815,0.09263915916777028,0.2154929092159356,0.22277515761793332,0.07841308697278998,1.0,0.0,0.0,7.518339857604439,0.8796521852412248,1.0286062919611458,0.35750487093025984,1,2,0,0
15,flat_train:flat:27105,flat,27105,efficient,4,4,0.13882929046523684,0.23696930998680057,0.624201399547962,0.1101097075930825,0.18445208920356157,0.1785834614254823,0.0,0.0,1.0,7.673838785478449,0.8978456926241997,0.8731073640871356,0.4176517347935202,1,0,2,1
16,flat_train:flat:27105,flat,27105,fast,6,4,0.354622058790912,0.5253404339819874,0.12003750722710145,0.19580796273445392,0.25004389831956475,0.093022385769458,0.13,0.87,0.0,7.66336209640246,0.8966199110534895,0.8835840531631254,0.41329896852902465,5,0,0,1
17,flat_train:flat:27105,flat,27105,stable,6,6,0.646904621370209,0.24148869583318325,0.1116066827966068,0.17957116830144296,0.19149998273577976,0.08551345957933755,0.88,0.0,0.12,7.477513951770287,0.8748755193865759,1.0694321977952983,0.34320333371445544,2,3,1,0
18,flat_train:flat:27106,flat,27106,efficient,4,4,0.14984498613001843,0.2546559729344418,0.5954990409355417,0.11907946495036575,0.19297181708598923,0.18554384526333845,0.0,0.0,1.0,7.79549363626694,0.9120794140797484,0.7514525132986449,0.47168093209841705,1,0,2,1
19,flat_train:flat:27106,flat,27106,fast,3,3,0.5983929650680789,0.2830961644499079,0.11851087048201242,0.21790423267383868,0.22144753756282687,0.09963444814385763,1.0,0.0,0.0,7.748456476969138,0.9065760262644182,0.798489672596447,0.45000811070268787,2,0,0,1
20,flat_train:flat:27106,flat,27106,stable,6,6,0.6652436662941993,0.258740894787748,0.07601543891805243,0.18914225528556478,0.1990265264074374,0.06484399153055188,0.87,0.13,0.0,7.221633381995939,0.8449372741587932,1.3253127675696463,0.2657198375429471,2,3,1,0
21,flat_train:flat:27107,flat,27107,efficient,3,3,0.1350992552333798,0.27673946853353404,0.5881612762330861,0.10975773304221177,0.2067241496899922,0.198211845727592,0.0,0.0,1.0,7.791441079332529,0.9116052614568706,0.7555050702330561,0.46977328629862536,1,0,2,0
22,flat_train:flat:27107,flat,27107,fast,6,6,0.6388390515457336,0.2495036250013406,0.11165732345292526,0.1768788326400052,0.19169275773388111,0.08310067643544555,0.85,0.0,0.15,7.470763413717612,0.8740857006683408,1.076182735847973,0.3408943288314684,2,3,1,0
23,flat_train:flat:27107,flat,27107,stable,6,6,0.6388390515457336,0.2495036250013406,0.11165732345292526,0.1768788326400052,0.19169275773388111,0.08310067643544555,0.85,0.0,0.15,7.470763413717612,0.8740857006683408,1.076182735847973,0.3408943288314684,2,3,1,0
24,flat_train:flat:27108,flat,27108,efficient,3,3,0.15326143672226178,0.2628702899551791,0.5838682733225592,0.12379489698291904,0.20359780601934319,0.20025279372219726,0.0,0.0,1.0,7.881864013807576,0.9221848220265418,0.6650821357580092,0.5142312891952794,1,0,1,1
25,flat_train:flat:27108,flat,27108,fast,6,6,0.7032466852410655,0.21704652382432768,0.07970679093460732,0.17238268567859605,0.17790627441036413,0.06774049468943767,1.0,0.0,0.0,7.129474158057519,0.83415456623883,1.4174719915080658,0.24232584501186594,2,3,0,1
26,flat_train:flat:27108,flat,27108,stable,6,6,0.7032466852410655,0.21704652382432768,0.07970679093460732,0.17238268567859605,0.17790627441036413,0.06774049468943767,1.0,0.0,0.0,7.129474158057519,0.83415456623883,1.4174719915080658,0.24232584501186594,2,3,0,1
27,flat_train:flat:27109,flat,27109,efficient,2,2,0.18324624504342846,0.2957490616135806,0.5210046933429909,0.14069805444514422,0.21915938547018798,0.2085258900542813,0.0,0.0,1.0,8.097767786224694,0.9474457478167542,0.44917836334089145,0.6381522655721575,1,0,0,1
28,flat_train:flat:27109,flat,27109,fast,3,3,0.622621065654891,0.28244096468234453,0.09493796966276435,0.20748366867463655,0.21736449785559275,0.07798748023122176,1.0,0.0,0.0,7.507478489314398,0.8783813958738912,1.0394676602511872,0.35364289002626376,1,2,0,0
29,flat_train:flat:27109,flat,27109,stable,3,3,0.622621065654891,0.28244096468234453,0.09493796966276435,0.20748366867463655,0.21736449785559275,0.07798748023122176,1.0,0.0,0.0,7.507478489314398,0.8783813958738912,1.0394676602511872,0.35364289002626376,1,2,0,0
30,flat_train:flat:27110,flat,27110,efficient,3,3,0.153119493185129,0.25600444392128935,0.5908760628935842,0.1203063514602119,0.19695796228149817,0.19024154076293637,0.0,0.0,1.0,7.832225316275577,0.9163770520156681,0.7147208332900084,0.4893286970128711,1,0,1,1
31,flat_train:flat:27110,flat,27110,fast,6,4,0.3195396043084695,0.5700590932512475,0.110401302440282,0.1922543480991285,0.24343057173269017,0.08903256969189649,0.1,0.9,0.0,7.577905997072481,0.8866214744382872,0.969040152493104,0.3794470746942868,5,0,0,1
32,flat_train:flat:27110,flat,27110,stable,6,6,0.7062954533384497,0.21666311899164306,0.07704142766990707,0.17143452969389278,0.17668529204695832,0.06610989851783075,1.0,0.0,0.0,7.098344860847969,0.8305124118757617,1.448601288717616,0.234898613765149,2,3,0,1
33,flat_train:flat:27111,flat,27111,efficient,3,3,0.15263299843426772,0.2594744719168447,0.5878925296488887,0.12090562802632611,0.1988783835617133,0.1929334939114144,0.0,0.0,1.0,7.847479709185289,0.9181618290158705,0.6994664403802959,0.49685033235523335,1,0,1,1
34,flat_train:flat:27111,flat,27111,fast,6,6,0.7079317139505148,0.2217749092048625,0.07029337684462292,0.17505009471111876,0.17980124902981798,0.06123189606581019,1.0,0.0,0.0,7.0424810053989155,0.8239762930712817,1.5044651441666694,0.22213607283864634,2,3,0,1
35,flat_train:flat:27111,flat,27111,stable,6,6,0.7079317139505148,0.2217749092048625,0.07029337684462292,0.17505009471111876,0.17980124902981798,0.06123189606581019,1.0,0.0,0.0,7.0424810053989155,0.8239762930712817,1.5044651441666694,0.22213607283864634,2,3,0,1
36,flat_train:flat:27112,flat,27112,efficient,4,4,0.11684897905980725,0.26048835480450033,0.6226626661356917,0.09701530119323853,0.19779352380753668,0.19008404451126873,0.0,0.0,1.0,7.61854172626982,0.8913758894639867,0.9284044232957651,0.39518375358791163,1,0,2,1
37,flat_train:flat:27112,flat,27112,fast,6,4,0.27513891668736606,0.6222437668596802,0.10261731645295316,0.18039579561107574,0.22418830079183777,0.09037762089343152,0.08,0.92,0.0,7.5064644036041965,0.8782627469796013,1.0404817459613884,0.353284447601362,5,0,1,0
38,flat_train:flat:27112,flat,27112,stable,6,6,0.6837074301753981,0.2145437968390971,0.10174877298550554,0.17206785937883795,0.17511795750061349,0.08417241521033181,1.0,0.0,0.0,7.341799252102547,0.8589967836027267,1.2051468974630382,0.29964797875217314,2,3,0,1
39,flat_train:flat:27113,flat,27113,efficient,3,3,0.15937858384542106,0.2829675608112941,0.5576538553432835,0.1285521214824322,0.20998141359247485,0.202951916082829,0.0,0.0,1.0,7.957623891496144,0.9310487924275276,0.5893222580694406,0.5547031029181098,1,0,1,1
40,flat_train:flat:27113,flat,27113,fast,6,6,0.35891917812358337,0.40620309259418097,0.23487772928223577,0.1855521436982955,0.25546347266085684,0.1208912205803519,0.63,0.01,0.36,7.981369244938225,0.9338270190626968,0.5655769046273598,0.568032351721197,5,0,0,1
41,flat_train:flat:27113,flat,27113,stable,6,6,0.35891917812358337,0.40620309259418097,0.23487772928223577,0.1855521436982955,0.25546347266085684,0.1208912205803519,0.63,0.01,0.36,7.981369244938225,0.9338270190626968,0.5655769046273598,0.568032351721197,5,0,0,1
42,flat_train:flat:27114,flat,27114,efficient,3,3,0.18572447582194343,0.2737392616213201,0.5405362625567355,0.140475272085888,0.20397300049214148,0.19282051130957695,0.0,0.0,1.0,8.009783725074296,0.9371515375092668,0.5371624244912887,0.5844041928596402,1,0,2,0
43,flat_train:flat:27114,flat,27114,fast,6,6,0.6599822308577983,0.25517345292786897,0.08484431621433251,0.1804081021697679,0.19675338531185488,0.06403125865422137,0.88,0.0,0.12,7.222570512301541,0.8450469192050124,1.324375637264044,0.2659689683713004,2,3,1,0
44,flat_train:flat:27114,flat,27114,stable,6,6,0.6599822308577983,0.25517345292786897,0.08484431621433251,0.1804081021697679,0.19675338531185488,0.06403125865422137,0.88,0.0,0.12,7.222570512301541,0.8450469192050124,1.324375637264044,0.2659689683713004,2,3,1,0
45,flat_train:flat:27115,flat,27115,efficient,3,3,0.15707598049479574,0.2509931089368915,0.5919309105683119,0.12383115916594749,0.19567189898928913,0.19148077645149436,0.0,0.0,1.0,7.8501320852058125,0.918472159275838,0.6968140643597724,0.49816991550429596,1,0,1,1
46,flat_train:flat:27115,flat,27115,fast,6,6,0.3640808993857409,0.4650941871278756,0.17082491348638404,0.1955997336442042,0.2606293980294383,0.11266476901076117,0.08,0.92,0.0,7.915170263651294,0.9260816817072842,0.6317758859142906,0.5316468180687218,5,0,0,1
47,flat_train:flat:27115,flat,27115,stable,6,6,0.7085177950094901,0.21421521042890465,0.07726699456160457,0.17222102762760572,0.17677835420344853,0.06685984970156486,1.0,0.0,0.0,7.099054893825876,0.830595486340662,1.4478912557397088,0.23506545875309923,2,3,0,1
48,flat_train:flat:27116,flat,27116,efficient,3,3,0.13933485131038506,0.26179723704084384,0.5988679116487723,0.11257518489736018,0.20148799269176101,0.19537710665737973,0.0,0.0,1.0,7.7843658098696356,0.9107774488862658,0.7625803396959494,0.46646124432288755,1,0,2,0
49,flat_train:flat:27116,flat,27116,fast,6,4,0.3171855222737229,0.5635545744227884,0.11925990330348962,0.1893509450884917,0.24273708942450126,0.0961646497551238,0.1,0.9,0.0,7.6564237619983055,0.8958081200017223,0.8905223875672794,0.41044128731459206,5,0,1,0
50,flat_train:flat:27116,flat,27116,stable,6,6,0.6523350666557628,0.23905037585335898,0.10861455749087794,0.17856046175198023,0.18921985299866007,0.08436704341334075,0.9,0.0,0.1,7.45097685233047,0.8717706560850603,1.095969297235115,0.3342154957379822,2,3,1,0
51,flat_train:flat:27117,flat,27117,efficient,4,4,0.13963879901690854,0.23754286405567873,0.6228183369274123,0.11128002405161605,0.1857187146512213,0.18055637020576534,0.0,0.0,1.0,7.688294002070186,0.8995369653125705,0.8586521474953992,0.42373282694363323,1,0,2,1
52,flat_train:flat:27117,flat,27117,fast,6,4,0.4031383309511819,0.4212318952580469,0.17562977379077202,0.19017211490794647,0.25693270946955027,0.11085435812033428,0.14,0.86,0.0,7.866707874276441,0.9204115407555578,0.6802382752891436,0.5064962924357249,5,0,0,1
53,flat_train:flat:27117,flat,27117,stable,6,6,0.6535850540817257,0.24162036130706363,0.10479458461121212,0.18009564661244581,0.1913405613897574,0.08230876646873767,0.9,0.0,0.1,7.431457875680256,0.8694869191445619,1.1154882738853287,0.32775520551530846,2,3,1,0
54,low_friction_train:low_friction:27200,low_friction,27200,efficient,3,3,0.15364693165024154,0.2562521593666459,0.5901009089831099,0.12298074944383297,0.19837966836137025,0.1950316764811662,0.0,0.0,1.0,7.857452571123929,0.9193286623811593,0.689493578441656,0.5018301423292388,1,0,2,0
55,low_friction_train:low_friction:27200,low_friction,27200,fast,6,6,0.43867529004217526,0.28084986860732714,0.2804748413504986,0.17050307512796703,0.22340493557305835,0.12213249342644632,0.63,0.0,0.37,7.911033748640634,0.9255977059177712,0.6359124009249513,0.5294521951999341,5,0,1,0
56,low_friction_train:low_friction:27200,low_friction,27200,stable,6,6,0.6702476224932216,0.24758630616699392,0.08216607133978386,0.1867829016146476,0.1954589577402321,0.06825035830662898,0.99,0.0,0.01,7.259657924949918,0.8493861781636362,1.2872882246156667,0.276018268671795,2,3,1,0
